bilibili大爱
？？
牛啊
我刚刚以为我耳机坏了
冲冲冲
大爱无疆
你们都是最棒的好样的
泪目
不错诶
蕾姆
泪目
B站太棒啦！！
看这种就受不了
凉风真帅 edgnb
TMD这么好的事没人刷弹幕
是铭骏啊
期待，直播间见
加油加油
泪目
l
哔哩哔哩干杯
泪目 
棒
国王排名第一集看到这人设我就觉得很牛逼，为残障人士发声，虽然我不是但是平时看到还是希望能施以援手
建议大家把格局打在公屏上，b站或许不伟大，但它总能在意想不到之处触动你我。
加油加油
凉风？
哔哩哔哩干杯
好事情
点赞，投币，转发三连
朱哥排面
好哎
干杯
腾讯来学学
国王排名排面！！！
加油啊
要是有听力障碍的例子出现会更好
肢残报道
只要不失去你的崇高，整个世界都会向你敞开
小破站格局大了
很有意义，人们生来平等
这不比腾讯阿里巴巴美团饿了么有良心
泪目
大爱中国
哔哩哔哩牛壁
泪目
哔哩哔哩牛逼！
空降1：13
汇聚勇气
格局大了
我想他一定是看了月亮与六便士
支持！
棒！
凉风
助力每一个梦想
No，我的眼泪又要下来了
支持
老了，看不得这些了。。。。。。
格局
投币了
因为有无障碍流啊，前面那位
看哭了
不是说和edg没关系，和整个比赛过程都有关系
哔哩哔哩- ( ゜- ゜)つロ 乾杯~
字幕君排面
献上我唯一的一枚硬币
支持
这和未来电竞的发展都有关系
你想象得到这位曾经的消防员曾经被人挂贴吧上网暴吗
我的左耳完全听不到声音
大爱bilibili
加油！
好棒啊
真棒！！！！
支持！
赞啊
啊！！！！！泪目了
说得好
6666
国王
edg建队第七年，终于拿了冠军，一切自有7意，7酱早已看破一切
谢谢，辛苦了
说全平台那个你哪只眼睛看到的？扔了罢
发明手语的人，那是怎样的一个神仙呀！我个没学过的都能看懂一部分，仰望
说得好
示范典例了属于是
哇好有爱
一切都会好的
大气
+++++++++++++++++++++
姐姐你好美
加油
凉风真的是中度听障吗？？
凉风加油呀
又来刀我！
所以B站推出了无障碍直播间
Link start！
为爱发电
华为AI手语
啊B
有爱！
人民电竞
泪目
这个视频应该给那些有自杀倾向的人看一下
小破站牛逼
加油
字幕君
泪目
哭了
泪目
加油！
泪目
辛苦了
那咋办嘛
那咋办呢
我真不知道凉风有听力障碍
大家加油！生活一定会好起来的
吹爆国王的排名！
感动
B站牛逼
支持
芜湖！
加油！
爱小破站！
你多搞些这种视频不是早没事了吗，阿B
爱你们，社会进步了
小王子耶
表白凉风
三连了
挺好
加油
加油加油
bgm是什么
不管从今以后发生什么 我都想成为你的同伴
字幕君！！！
凉风？！
良心B站
小破站牛逼
啊这
谢谢了
辛苦了
格局大了
谢谢
辛苦了
！人民电竞
加油
行了行了
走心了阿B
声音一直在断
对不起 我刚才那句话我说错了
现在中国的无障碍也在进步，虽然距离发达国家有一些距离，但我们还在进步
已三连
支持
支持啊
泪目
卧槽
申请专利了可以
有心了
！！！！！
bilibili真的很暖
B站加油！！
阿B好样的
加油
怪不得有点眼熟原来是你字幕君
加油
泪目
梦幻联动
支持
感动感动
谢谢老师
太暖了
啊？？是那个凉风？？
卧槽
王様ランキング
谢谢你们的努力
手语最好美了
泪目
凉风加油！
心疼秃凉
b站牛逼
支持！
凉风？？？
我们一起加油！～
雷姆
等我攒两天硬币。
B站牛壁 B站牛逼
每个平凡的人都很伟大
你永远可以相信哔哩哔哩！
不亏是b站
看不清了
牛逼
刚刚才看完这个番！
国王排名
强者
泪目 心疼
b站nb呀
卧槽我才知道
小破站牛逼
骨传导耳机呢
有人吗
1小时！
牛
问手语有没有方言的那个魔鬼，你别走，哈哈哈哈哈哈
啊啊啊啊啊
谢谢老师
开头up是凉风
加油
感谢
泪目
已经把会员续到2023年了，小破站加油
泪目
泪目
盲人也想看 阿B脑机快点开发出来呀
手语有方言吗？
凉风
支持
  你呢j不用管它。   
b站nb，中国nb！！！
支持
b占
加油
点赞
B站真棒
酷毙了！
凉风你就说你看得懂吗
别杀了别杀了
蕾姆
干的漂亮
。
天哪 这么多
泪目
泪目
支持
B站！牛逼
支持!
?
nb
真的啊，凉风前段时间发了视频的
朱哥加油
我已经很幸运了
支持支持 小破站牛逼
我和你，心连心
哭了
太棒了
这手语老师得是大神了
格局有了
ju哥加油！大家加油！医学加油！
各位，看到这里，你们可以选择静音观看了
国王排名
贴心，但不够完善，加油！阿B
此生无悔入b站
小破站牛逼！
爱了
真好啊……
这就是b站
b站牛批！！！！
真好  支持
我要这硬币有何用？？
泪目
好好活着！
格局
支持支持
加油
棒
加油
泪目
B站太暖了
支持
小破站NB
支持！
三连了
这赛事解说，用手语，不得比火影还快
凉仔之前有发视频的各位可以去看看
支持
朱哥啊
有心了
小破战比某音某手好太多了
？？？？
让我想起了优纪
加油！！！
三连了，
泪目
小破站nb
2个币 聊表敬意
格局打开
小破站牛B
手语好美，我都想学了
泪目
支持
凉风有。。。
我
nb
凉崽...
加油！
凉风！！！
破防了
三连了，让更多人看到
突然开始期待马斯克的脑部研究
绷不住了
卧槽
朱哥好耶
梦幻联动
???凉崽你怎么惹纟
支持
啊 凉风居然听力中度障碍
支持
管泽元闭嘴
朱哥！
支持！！
泪目
你们好棒
朱哥的眼神好温柔
泪目
额这。。。。。。
支持！！！小破站nb！！
woc
？？？？
不敢看这些，眼泪忍不住
支持
哔哩哔哩干杯
小破站牛逼
小破站加油！
影响力，就该这个样子用才对！
支持
有心了
支持
小破站  有温度
太好哭了55555
年纪大了这眼睛是不行了
凉风是听障人士吗，才知道
璐璐
支撑
泪目
不能让老天的不公阻挡他们对生活的热爱
加油
凉风，好耶
支持
格局
好棒
泪目
泪目
真好
ZHENHAO
B站有心了
小破站硬币回收计划
哔哩哔哩！牛逼！！！！！
进度条细节
凉仔耶
支持
我已经头皮开始发麻了！
支持
朱哥！
加油 你们都很棒！
泪目了啊啊啊
支持
开头的up主是谁
真好
小破站值得无数个硬币
泪目了
泪目
格局大了
类目
支持！！！
叔叔格局真的大
没想到凉风也
卧槽，手语老师可太强了，解说那语速，比划得过来吗？
NB
支持
感谢
加油
泪目
B站有风度也有温度
加油
加油加油
这就是腾讯的力量吗？
加油
刚想举报封面不符，突然泪目了
天呐刚那个角度好帅！
爱了爱了
戳心了，泪目…
支持！B站格局打开了
加油，好好活着！
阿凉我错了
@手工耿
投两币  进点绵薄之力
卧槽，凉风?
好家伙   游戏仓出来了
加油
泪目、支持
阿凉居然…我的天，我再也不白嫖凉仔了
b站nb
支持这个新计划
生命中最美丽的一天
鼓励
叔叔牛逼
赢了
加油
支持
华为合作一下
NB！
看到璐英流了
这可能就是我热爱B站的意义
B格打开
确实格局起来了
泪目
加油！
支持
加油
泪目
成为更好的自己
支持
凉崽！！！
支持
国王排名 就绷不住了！
默默流下眼泪
支持
支持
感谢
支持
这才是真正的后浪
加油
一切都要好好的
凉风有听障?我第一次知道
为B站点赞
支持小破站
支持！！！！
唉这
正能量
哎，凉风居然
支持
支持
幸存者偏差，我们很少看到那些不方便出门的人，但是不代表他们不存在
泪目
需要重视这个群体
泪目
加油！
泪目啦
加油
格局
支持，坚强的人们请让我们一起加油。
进度条用心了
这必须点赞
加油！
泪目
秃凉有听障？
爱死小破站了！支持啊B！
是的，我们只是长得不一样而已
投两个币支持一下吧
感恩
支持，凉风
说真的，好感动
格局打开
支持一个
泪目
支持
支持！
加油！
支持
加油！
加油！好好活着
凉风老师居然是中度听障！感谢您为听障群体发声！
加一
加油
我们是冠军！
真好
支持
看到我，你就不是第一了
感谢
感恩
泪目
加油
支持
泪目，大家都要好好的
支持
泪目
支持！
三连了
加油！
致敬
对他们真正的尊重是从未把他们当成残疾人
小破站，大情怀
格局大了
好！
泪目
啊？
加油！
这个勺 老子不颠了！！！
凉风！
好耶
泪目
泪目
国王排名！
支持！！
加油大家加油！！！
支持
谢谢老师
好样的！
支持
格局打开
泪目
加油
国王排名
支持！！
格局
格局
好
看着真的好难过
视觉障碍咋办呀，除了按摩还有什么好的出路吗
韩国内战可太精彩啦
加油啊！
加油
期待你们再电竞床上为中国夺冠！
哔哩哔哩干杯
小破站加油，你们也要加油啊
加油
只要不失去你的崇高，整个世界都会向你敞开
好！！！
加油
泪目
牛
加油
太强了
算晋元帝还有点良心
支持
说得好
太棒了！支持
支持
泪目
bilibili的手语好可爱呀
woc
格局来了
加油
向您致敬！
啊！关注了很久的up哎，都不知道
你们太棒了
泪目
此处背景音中有轻微的高频音，部分人可能听不到。
绷不住了
元宇宙！
小破站真的很棒
这个币我投了
因为我们都是普通人，是这个世界的一份子
紧跟时事啊
这B站确实有意思
放心，残疾人活的比你滋润。
投币以示尊敬
爱死小破站了
我好想也听不到
加油！
此生无悔做B站大会员哈哈
我靠关注凉风挺久了，都不知道
加油
太棒了！
好耶
世界以痛吻我，要我报之以歌——泰戈尔《飞鸟集》
这么好。
b站是站立的站
投了投了
正能量！
支持!
我们都是热爱英雄联盟的人，这就够了
格局
支持
格局打开！
难怪拿国王排名当封面
lol搞个残疾人赛吧
冲冲冲！
一直都不知道……
朱哥最帅！
都在认真看呢
走心了阿b
我们是冠军
国王排名
你币有了
已投币
格局
赞
不愧是你小破站
这就是我喜欢小破站的原因！无条件只爱B站！
加油！
支持
好！
视频p2自动生成无障碍？
支持支持！
支持正能量
视频p2自动生成无障碍？
好耶
叔叔终于做了一件好事，今天就放过他了
加油啊
牛逼
凉风？
加油加油！
泪目了
冲
为生活加油！！！
投币
用自身代言正能量
卧槽我才知道
b站牛批！
支持
b站公益做的真的是太好了
泪目
加油
朱哥牛逼！
你币有了
好棒
泪目
谢谢老师
加油
小破站牛逼
当你张开双臂，世界就会拥抱你
此生无悔入B站
他们有的连门都出不了，所以我们看不到
格局
真的好喜欢阿b呀
国王排名！
小破站永远这么暖
棒
梦幻联动
支持！学手语支持！
泪目
有心了
支持
加油！
哭了哭了呜呜呜
加油！
太空舱！
泪目
太棒了
凉风啊~
感谢祖国！！感谢小破站！！
永远爱B站
弟兄们，这就是科技的力量！
好！！！
字幕君加油！
不是有字幕吗
B站牛逼
牛逼
哽咽了
燃起来了
給
@手工耿
B站牛逼！！！！
不说，我3连了
这就是元宇宙存在的价值
凉风？
瞬间鼻子酸了
暂停学手势
实在太棒了！
牛逼
加油
支持 正能量
凉风加油
支持
加油
这才是我长留b站的原因
被片头抽的，天天抽能不听障吗？
???
b站 nb
格局
bilibili- ( ゜- ゜)つロ 乾杯~
泪目
棒！！！
加油
字幕
好！
加油加油加油加油
加油加油加油
有的，去看凉风视频就知道了
鼻子咋酸了
太棒了
哭了
加油
凉风！
这里的bgm是什么？
支持公益建设！！！
小破站你做的好啊
啊我才知道
好，加油！
瑞思拜！
感谢 辛苦了！
支持
看哭了
加油加油
手语有方言的ww
毕竟有一本标准手语，大概是普通话？
支持
辛苦了
加油
泪目
太棒了
谢谢你，小破站
帅
小破站真的牛逼，很温暖
