EDG不负众望！冠军！！
我们是冠军！！
帅
edg！
EDG！
我们值得!
我们是冠军！！！
1
我们是LPL队一号种子，这不是我们的压力，但这是我们的责任！
我们是冠军！
我们是冠军
弹幕呢
我们是冠军！！！
我们是冠军！！！！！
全体起立
我们是冠军
我们是冠军
这句话说的太好了
才发现，空了三发
我们是冠军
从来没有过的成绩(指s赛冠军)
世一中！！！
我们是冠军！！
我们是冠军！！！
你做到了，我们是冠军
朱开不错
我们是冠军！！
last night on earth!
含金量最高的S赛冠军！！
许秀不许秀
世一汤！
我们是冠军
edg牛壁
赢了
泪目
泪目啊
我们是冠军！
66666
许秀不许秀，哈哈哈
冠军！！！！
龙之子
我们是冠军
不破不立
你们做到了！
许秀不许秀
背负着整个国家玩家的信任，你们辛苦了
你做到了！
我们是冠军
你们做到了！！！
你做到了！
冠军！
我们是冠军
你这个冠军，我等很久了
edg好棒
不破不立！ 真的不是以前的edg了！ 太敢打了！原来就爱运营！
真的太不容易了
我们是冠军！
太强了
我们是冠军！！！！！
不放盲僧乱杀啊
冠军！！！！！！
都有逆境翻盘的大心脏
我们是冠军
什么叫赢不了？我听不懂!​
会玩猫咪真的太关键了
帅帅帅
欠条回收
你做到了！
9000+
争气！
edg你们是冠军！！
你们做到了
我们是冠军！！！
EDG牛笔！！！！
你做到了
我们是冠军!
在被子里嘎嘎大哭
队内语音快点出，想听！！l
我们是冠军！
好好好好好好好好
我们是冠军！！！！
奈  斯！！！！
JIEJIE抢龙的神
考研，一赞一天学13小时，说到做到，中国人不骗中国人
BGM居然是GreenDay！太好了
恭喜
恭喜
什么叫不破不立
帅
真的泪目了兄弟们
塔拉哈西的蓝雨也终有一天会飘到雷克雅未克
我们是冠军
我们是冠军!
辛苦了！！！
我们是冠军！
没把圣枪哥逼退辛德拉剪进来，好可惜
edg牛壁
我们是冠军
我们是冠军
全是汗
什么叫含金量啊
我们！是！冠军！！！！
世一汤
圣枪哥？改名男枪哥吧
你做到了！
希望未来的EDG会越来越好
恭喜EDG
许秀不许秀
谁能想像被三个韩国队，6个冠军包围，还能啃下这块骨头
EDG牛逼
我们是冠军
我的生产力设备马上到！！
你做到了！
许秀不许秀！！！！！！
我们是冠军
我们是冠军
我们是冠军！！！！
敢
我们是冠军
我们是冠军！
冠军
EDG
不许秀！！
你们是冠军！
不说了，我去表白了！！！！
我们是冠军！
我们是冠军！
敢打
last night on earth
EDG
冰岛人集合
我们是冠军！恭喜EDG
两抢大龙
冠军
淀粉痛哭流涕中
7777777
是责任泪目
我们是冠军
我们是冠军
7000+
我将不可阻挡！
我们是冠军！
jiejie龙之子
不破不立
确实
我们是冠军
我们是冠军！
六年淀粉  泪目
我们是冠军
恭喜！！！
我TM今天就敢了！
圣经！
牛逼！
教练也上去击拳的嘛
奈斯！
我们是冠军
根本赢不了？我听不懂！我只知道我们是冠军！
世一射
你做到了！
淀粉没白等
冠军！！！
我们是冠军！
我们是冠军！！！！
是冠军!我们是冠军！不破不立，骑士归来之时，冠军重铸之日!!
真没想到会玩时光，太惊喜了
Meiko，你世界赛，完美！！
我们是冠军
不破不立，我们是冠军、
新约 圣经
我们是冠军！！
BO5的神！！
通天带
我们是冠军！
太帅啦
我们是冠军！！！
都是眼镜呢
就冲这句话！！！
牛逼
EDG配不配一号种子？黑？再黑？
我们是冠军！
我们是冠军！！！！！！
我们是冠军！
许秀不起来
我们是什么？冠军！
进度条NB
我们是冠军！！
李佐伊！！！
太不容易了但是我们对得起自己
连干两个韩国队，半决赛和决赛，砸的粉碎。过瘾！
我们是冠军！！
今夜无眠
我们是冠军
赵信冠军皮肤！！！
EDG的哥scout
