哇塞第一
1！！！
刚刚！
好早
?
开幕雷击
危
哦吼吼吼！！！！！
泛式，你完了
哦吼，刚刚！
你有毒吧
烫死啦！
刚刚
哇唔
同
来啦
刚刚
漫画里这里女主尿了
吓死我了
草
貌似是棍勇作者
起点这种都看吐了
早
星期一!
哈哈哈哈哈哈哈哈哈哈哈哈哈或或或
哈哈哈
看不见的少女
人民警察：进去再说吧
新鲜
厕纸
hhhhhhhhhhhhhh
能 天 使
经费充足啊！
好家伙看得见的少女
2分鐘！
第一次看到男主断臂我还去查了下他的声优是不是梶裕贵
不应该是棍勇制作组嘛
哈哈哈
迪卢克
好活
星期一的丰满（即达）
经费贫穷
社会人哈哈哈哈哈哈哈哈哈
卢老爷
？还没看蓝色时期，作画这么拉的吗？
早
这个好看的
那他也是厕纸
ohhhhhhhh
哇，吓到我了1，赶紧取关（狗头）
草
bgm真的好听
这个我坚持了三集  坚持不下去了
这部是最早的退队流吧（好像）
2分钟，很热
国王排面
好早！
再名《在暗杀者前播出可以让人更轻松愉悦的观看》
hhhh
我来证明你开了弹幕
这op巨好听
是猛犸！
...
这个我看到了满满的贫穷
真的你们去看漫画吧，超好看的
还是厕纸
但是有卡卡西啊
确实
这部番的op和ed都超级绝！！
草
蚌埠住了
好！我宣布你的排名正确的！
那也不久啊哈哈哈，还以为是月刊hhhh
顶级转场
我还以为是猛犸呢，虚惊一场
那也～确实
烫烫烫
笑死
别别，不至于，暗杀者爽赌真没那摩高
啊这
？春雪君你怎么长高了啊？
所以还是厕纸
！
我们看的就是录像
能天使
“大”学生
哈哈哈哈哈哈
泪目
不要小太刀不要小太刀
吓死我了
哈哈哈哈哈哈哈哈哈
笑死
《只要加上书名号不管多长的句子都能拿来当标题》
哈哈哈
但是真的好看啊！
草，毫无违和感
你吓到人了
原来你也
全体起立！
超级推荐！
放马车里
。
《隐  晦》
毫无违和感
你有毒吧！！
满脸写着经费过剩
这样一看，貌似有些爽
哈哈哈哈
谨慎看好
哈哈哈哈
绝了
同期酱也不错哦！
厕纸
變~帥~~~~
万能日语
原声大碟
有内味儿了！
你也想当正义的伙伴？！
毫无违和感
好厕改出于厕纸而强于厕纸
这个真的是异世界里面的佳作了
有人吗
难道不是我的星期一的丰满嘛
世界名画
来啦
看着番一股无职转生的感觉
这番有点穷。。。
毫无违和感
op赞
哈哈哈哈
神
救命我该哭吗
味太重了
加油，同期酱
这个时候得艾特一下另外一个小两岁的up主了…
吹爆
霸权社牛逼！
笑死
男主性格很吸粉
太草了
真•大学生
星期一的丰满（doge）
好烫 哈哈哈哈哈
草
可是女主真的好看啊
哈哈哈哈哈哈
泪分叉
马萨卡 口累哇 原片？
加上BGM完全一致
太冲了
火纹历代主角标配之保姆骑士
被社会磨平了棱角
草
hhhhh
草
哈哈哈哈哈
国王排名太好看辣
毫无违和感
哈哈哈哈
op巨难听
哈哈哈哈哈哈哈
国王排名已经反超暗杀者了
我不好说哈哈哈哈
已经在看漫画了
这味对了
诗音好耶
草
甜就完事儿了，女主性格特可爱，傲娇不是主属性我喜欢
不阴阳怪气，看标题就不想点
7min赶上了
哈哈哈哈
这个好耶
有那味了
ybb
含金量！
哈哈哈哈哈哈哈哈哈哈哈哈哈
叫什么能天使，叫拐天使（）
我开弹幕了吗
要是新房是导演就不一样了
这种就好像一个流量明星跟你说：啊，我虽然演技不好，也不用心，也不努力，但是我整容还是整的不错的
哈哈哈哈哈哈哈哈哈
人设好看，剧情白开水
你滚呐！！！（大喊！
有内味儿了
七分钟
好家伙
哈哈哈哈
我选慢生活和同期酱
泪目
极主夫道
漫畫真的真的很好看啦
我，再生产!（doge）
绝了
完了，DNA动了
哈哈哈哈哈哈
有内味了
卢姥爷了属于是
草
漫畫真的讚
