终于看到了
第一就是我
第一就是我
爷青结
我们是冠军
真帅啊
语出2018年洲际赛决赛，长毛在RW掀翻KZ之后说的
长毛  嗨
乌兹，永远滴神
好耶！
直奔主题
我们又是冠军
我们总是冠军
泪目了这个阵容
时代的眼泪呜呜呜
终于啊！
泪目了
拿回版权了？
中国台北
卧槽，古董！
这几个人当时都是巅峰状态
我來了！三年了
罕见
中国台北！
大鼻子哈哈
越南运气不好，分到A组了
不然四强不会有沙特
亚军会冠军中单、冠军上单。韩国没有
三年了，终于能看官方解说的版本了
《我们的国家队》
当时真正意义上的全神班
神！！
卧槽，有生之年！！！
能看了？
全神班啊
三年之期
好家伙
他俩头怎么这么大？
啊这
现在退役了三个，上面的还剩小明和兮夜
操三年了
我们是冠军！！！
痛失网名
中国队！
有生之年啊啊啊啊啊
uzi！
痛失网名
痛失网名胡喻童
终于  完整版了
三年了，你知不知道这三年我是怎么过的！
Meiko也在
6666
真名就是管泽元啊？
若风
三年之期已到
雨童痛失网名
今年会不会改成用自己的本名啊
如果是正赛应该不会用ID了吧
来看锅老师打比赛！
台北这么2的吗跟沙特打成 1比1
弹幕呢
China是冠军！
官方！！！！好耶！！
这还是我第一次听lpl解说的版本 之前只有黑屏相声版 和台湾省版 泪目
卧槽 神！
好家伙
第一代国家队
教学马上开始了吗
乌兹！
我的狗明呜呜呜呜呜
如果不是表演赛应该是用选手真名吧
我擦。这是官方考古嘛
污渍！
我靠！！！！！！！！这是什么！！！！！！！
管泽元这一句只输了两局成功把韩国队奶没了
是正版正货
顶级rp
牛皮
兮夜rng体验卡
后面为什么是韩国国旗
三年之期已到！！
神VS神
nba
卧槽，能看了？
明天meiko决赛加油
我擦我擦我擦
好耶
我看到了什么好东西
污渍
小牛明头！
三年了！！！！
你知道我这三年怎么过的吗
战地记者
你没有那么强，指3:1
官方考古卧槽
等了好久好久
沙特还赢了台北一局？
有生之年
个人实力：指我们有uzi
之前就想看视频了
三年了，等到了
我们是冠军！升国旗的冠军！！
？
牛逼啊
等了好久
乌兹，我的乌兹
三年了，你知道我怎么过的吗
沙特还有战队
管神
终于放出来了
中国队牛逼！
稀奇了啊！
三年了，知道我这三年是怎么过来的吗？
好熟悉的bp音乐，雷姆了
！！！！中国队！
这人气没谁了
uziuziuzi
枣！我的枣！！！
中国队！
xiye选手就是最棒的中单
好想哭阿
明牛
雨童原来真叫雨童…
当初顶着延迟用马赛克画质看完了四场比赛
哇
三年之期已到
卧槽 管！
前面的不会把沙特和中东混为一谈吧？
痛失网名
RNGplus
我永远喜欢苏汉伟
罕见？骂谁罕见呢？
痛失网名
都给老子哭
Uzi永远滴神！！！
神！
中国队！
莲男也有份的
若风
等下，弯弯还能输沙特一把？
这衣服真帅
我超，神
现在才发出来？
香锅！
痛失网名笑死
来了来啦
有生之年！！！！！！！！！！！！！！！！
整点
卧槽
诸葛明桶 小明把巅峰全倾注在这次亚运会了
因为电竞正式进入杭州亚运会项目了，其中就包括英雄联盟，所以该视频解封
管解说？
明天比赛加油！！！
全是工作人员
梦之队
痛失网名
空降 17:40
沙特折磨强吗
神！
UZI！！！！！
这大黑脸哈哈哈哈
？？
SSM
乌兹YYDS!!!
余霜，十一，若风
这bo1没赢棒子，决赛赢了啊
终于
活久见
卧槽
中国队
xiaohu倒了
国家队一代目
卧槽LPL解说版本
等了3年
5000+
等久了
还有Meiko和阿布教练
牛逼啊
最经典的那只RNG呀
痛失网名
yszn
罕见
scout？
哭了
三年之期已到
哭了
雨桐好瘦
终于
除了兮夜这就是我最喜欢的队伍了
国家队
6000+有点离谱
biu5
终于有官方视频了！
牛逼！！！！
我发现了什么
罕见
好家伙。。。
侠盗勇士
痛失网名
听台湾解说太多次了
久违了 
罕见是吧？
乌兹！
4个rng选手
长毛bs
中国队！！！！
score
泪目
确实激动
这俩人
搁这复盘呢？
哈哈哈哈哈，被封了四年
卧槽！！！！居然！！！！
原来真的是有解说的啊
四强bo3，先输一局，也很刺激的
啊这！！！
我们对线对线打不过，打团打团打不过
UZI！！！
个人实力，就赢一手uzi
woc，2021了
韩国买了版权不让播
卧槽！！
下次亚运会也有电竞比赛了
三年了 你知道这三年LPL经历了什么吗？
入围赛就各种不顺
就是颁奖服吧？没有比赛服
三年了，你知道我怎么过的吗
8000+
泪目
四强赢的两局，挺吃兮夜发挥的
亚运会居然都不是用真名？
都是直接跳过看正片的么？
迟到的祝贺，恭喜中国队！
纪录片里面有说当时ig的实力太强，打训练赛时候把他们打自闭了
18年的软泥怪啊
嘻嘻嘻
当年那把RW赢了真的是圈粉无数
胡余童你的衣服纽扣位置好别致
若风？
当年管大校还是管大校
可真是第一次看到比赛视频 激动啊
我狗！
就差个小虎就是RNG了
好久不见！！！
3年，你知道这3年我怎么过的吗
UZi
神，乌兹
中国队
如数家珍
考古
我们兮夜
真帅啊
泪目、
9000+
我直接泪目
peanut
古懂
牛逼
三年了，没想到还能看到
三年啊
兮夜
奈斯！
EDG加油
这是现场，还是后来的补录？
好好好好好好好好好好
UZI！！！！！！！！！！！！！！！！！！！！！！！！
终于
沙特还能赢一局省队？
一半都退役了
1W+
这阵容泪目了
牛逼
score，kt老队长
确实罕见
小狗
雅加达人集合！
哇，三年了呀 感觉时间好快
胡喻同，哈哈哈，痛失网名确实是
？
打Faker还得看兮夜
还是得华子
越南没出线也太可惜了
RW赢KZ
卧槽NIMA官方正版！！！！！！！！！！！1
乌兹！
五星红旗！
小组赛没赢过韩国吗…
御三家
战地记者
这个视频不需要空降，从头看到尾
官方呜呜呜
香锅这脸怎么了
当时用120P看的直播
先顶再看
9000了
三年三年
时代的眼泪了
nb
披着国旗比赛真的是至高无上的荣耀
考古
rw，我的侠盗
嘻嘻嘻嘻嘻
日本东亚预选就被淘汰了
明牛
这照片照的
他是管泽元
Yyds
英雄联盟设计师！！
明年的亚运会会是哪些选手呢
沙特有个锐雯绝活哥
泪目
爷青回了
明年亚运会求求来个直播吧
gou!!!!!!
弹幕呢
如数家珍
泪目了，
管神！
？
你知道这三年我经历了什么吗?
s赛是lpl打LCK，这是中国打韩国
所以不能理解的就是，纸面硬实力明明优势啊
现场观众....泪目了
rng老问题是吧
当时在外网看的直播
招魂是吧
为啥台北队
牛逼
管门
销户来点作用吧
污渍  永远滴神
卧槽
很多人分享
好家伙，1.3万？
我超管
兮夜一样值得喜欢
4小时
全体起立
还戴着眼镜的管哥
管子这个时间嘴灵吗
我以为我这辈子真的看不到自己赛区解说的版本了55555
省队差点把国家队送走了，你说强不强
神
物是人非了
从下向上第二三排是韩国解说们，第三排有韩国解说咆哮帝
有生之年系列
卧槽
rng牛逼，中国队牛逼
有生之年
1.4了
五神阵容
大校发功了！！！
干人事了
正儿八经的全华班
两国最厉害的阵容
爷青回
招魂了招魂了
Jakarta雅加达，Palembang巨港
泪目
卧槽，哈哈哈哈
神！
小心翼翼
纯正的华子
第二个华晨宇？
三年，你知道这三年我怎么过的么
好耶
1.4Wl
中国队
现在吗？！？！
国家队的衣服啊
嘻嘻嘻嘻嘻
时代的眼泪啊
卧槽
RNG的别C了
来晚了
uzi!!!!!
卧槽，第一次看
哈哈哈
Uzi！！
头是p的吗
牛逼
三年了，你知道我这三年是怎么过的吗
好久没看到物资比赛了
1.4W+离谱
时代的眼泪
世界名画，小虎在基地
有生之年啊
.
重温
爷青回
嘻嘻嘻
等了3年
1.4w在看
观众（听众）
三年了，知道我这三年是怎么过来的吗？
三年了  三年了 你知道这三年我是怎么过的吗
李哥帅
uzi
神
就剩俩了
三年了
4个RNG
小明都成老将了5555
卧槽
Uzi我的超人！
好耶
三年了，知道我这三年是怎么过来的吗？
卧槽卧槽
香锅？
当年360P看的。。。
你骂谁罕见
妖风
我的兮夜
泪目
3年，真就等了3年，要是下一届亚运不是杭州办估计看不到。
有生之年
重做前的管泽元
niubiniu
两个牛头
牛逼
666
真不熟
神
1*4w
乌兹乌兹乌兹，没想到还能看到乌兹的比赛视频
泪目
三年了卧槽！
护国神牛！
我们是国家
终于有官方了！！！中国队冠军！！！
沙特这么厉害么？
再回首，我心依旧
越南竟然没出线
111
终于能看到了
终于可以播出了？
第一次，确实罕见
后期配音的
1.4万人
罕见
硬实力
中国队牛逼
简自豪我永远滴神！！！
无敌
那年看不了直播
辅助是ming Meiko 轮换 教练阿布 EDG还是有很大功劳的
以前看这比赛都还是粤语解说
18传奇卡
牛逼！！！
亚运正式项目了
当年看的回放都是粤语解说的
RNG青春版
神！
只剩两个人还在打职业了
RNG.Xiye /doge
终于看到这个版本的解说了
Xiye外战，我觉得 行
沙特？为啥不是越南
我超！管！
有生之年
神！
爷青回
这大头照
原来越南跟中韩分到一组了，倒霉
握草！
当年看的马赛克画质
确实够罕见
终于有了！
没比赛的是时候就回味18年
胡一统
卧槽，来了
啊嗨
官方考古笑死
若风？？
握草握草
害！
五个中国人，行!
牛批啊
你是哪吒吗？要生三年啊
看着就很正
阿姨淡妆好嫩
?
