弹幕怎么没了
开口脆！！
换源了
kksk
eason我的超人！
鸡皮疙瘩掉一地  歌神
谁说站在光里的才算英雄！！！
这弹幕也清啊？
副歌旋律好听  歌词 贴切
总有一天，全城的人都要高看我们
再来亿遍
单曲循环五遍了已经
好听
好！
奇怪了，弹幕没了
好听
E神！！！
好好听
弹幕没了过分了。。。。
塔姆说
叔叔又杀疯了
萨科？
杰斯！
牛
战吧！战啊！
好听
3000+正在观看 100-弹幕
好！！！！
头皮发麻
医生排面
edg牛逼
我就问电影什么时候出
挺好听的
叔叔也就这点格局了
4000人正在看
弹幕咋都没了
换源了
牛
范德尔啊，好难过
我永远爱eason
爆爆
泪目了
太好听了！
这个词绝！
看完剧再来听歌才体会到那种感觉
好听好听好听
本命英雄 爆爆。。。。
堵命运的枪
谁说站在光里的才算英雄！！
燃起来了
歌词太强了
自古红蓝出cp
谁说站在光里的才算英雄
谁说站在光里的才算英雄
卧槽，eason
战歌，起！！！！！！！！！
把把c
kksk
edg牛逼
你润去皮城人上人，金克丝留下当鼠鼠，确实全都高看我们
ohhhhhhhhhhhh!
EASON
你可以永远相信陈奕迅
EASON
5k
鸡皮疙瘩！！！！
双厨狂喜
这句超好听
鰨目说~
致那黑夜中的呜咽与怒吼
上头
我的范德尔想到就想哭
有一说一确实好听
爱了爱了
皮城高富帅
为了祖安！！
啊啊啊啊啊啊啊啊啊啊
爱你和我那么像
必须给我迅三连
谁说站在光里的才算英雄
总有一天，全城的人都要高看我们
排名
绝！
我想都没想过能有朝一日引爆全场
维克托也不一定是错的，卡米尔和烬就是证明
委屈巴巴
谁说站在光里的才算英雄
战吗？战啊！以最卑微的梦
战吗？战啊!以最卑微的我
一腔英勇的人就是无畏的英雄
总有一天全城的人都要高看我们
太好听了，继续循环
谁说站在光里的才是英雄
期待粤语版
谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄
谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄
谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄谁说站在光里的才算英雄
这段太绝了
好听 哭了
金克斯好心办坏事
范德尔 我的范德尔
单曲循环了
金克丝主要是太霉了…心是好的。。。
好听
双厨狂喜
金克斯
有没有粤语啊
战！
奕迅奕迅
老婆！！
蔚太爽了
金克斯的含义就是金克斯
太好听了！~！！！！！！！！！！
这感觉就是唱的金克丝啊
金克丝啊金克丝
蔚奥莱！
You are the hero
先打一拳
听吗？听啊！！！！
爆爆
钱雷也是牛壁
稻草人：金克斯，都是你的错，都是你的错
谁说站在光里的才算英雄
杰斯帅阿
这场景好看
狂鼠
尾音好好听啊
谁说站在光里的才算英雄
哈我是小丑，下一个恶作剧对象是你哦⊙∀⊙！
始终支持金克斯
爆爆！！！
世一野，世一ad是吧
肥陈好嘢，好酱
杰斯女警磕到了
谁说污泥满身的不算英雄
好听！！！
范德尔
EDG牛逼，LPL的荣光有EDG守护，7777777
总有一天全城的人都要高看我们！
学生女警实在太美了
在看哦
范德尔5555
呜呜我的范德尔
好听！
666
好喜欢这两人
真的好听
肥陈
同左，一次性刷完
好听
好汀！！！
好听
真的好听
卧槽！！！！！！！！
蔚！太帅了
啊啊啊啊啊啊啊啊Eason
爆爆
还是二萌最帅hhhh
帅啊
去吗？去啊！以最卑微的梦！
医生！
5000+
啊啊啊啊
范德尔不是男枪吗？酒馆的名字就像是男枪开的
芜湖！！！！
可惜网易没版权
看完动漫再听真的很有感觉
陈奕迅
eason
.
杰斯！
吹爆
这段绝了
台词震撼
太好听了……简直了
上头
太好听了
Eason好稳！
塌闷说。
谁说站在光里的才算英雄！！
陈奕迅牛逼！英雄联盟牛逼！
真的要全场起立
带制作
eason
eason!!!!!
维克托的思想是没问题的，只是和杰斯的观念不合
马老师，踏门说~
Eason！！！
战歌起！！！
jinx第一支个人mv上线时，伴生皮加英雄直接点券买的！最爱jinx！
EDG牛逼
爱了爱了
谁说污泥满身的不算英雄
EASON声线绝了
太燃了这里
谁说站在光里的 才算英雄
他们说
梦幻联动了!
EDGNB
杰伦早请过了，也唱过了
我是蔚 代表不羁的未来
歌词是真的好
我有最美好的初衷
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
再来一遍
好听到头皮发麻
双厨狂喜
踏们说
金克斯真是祸害，那是两个好朋友和养父啊
歌词好棒啊
eason太稳健了惹
语感是啥新评价标准…
手游暂时还没有艾克呢
这一幕的蔚太帅了
666666
7000+
无限循环
金克丝的含义就是金克丝！
还挺
好听~
太好听了吧
卧槽
可爱的爆爆
靠～ 你好陈奕迅！
鸡皮疙瘩起！
牛啊卧槽
Eason!!!
