可可爱爱呀~
他好帅，那种传统大帅哥看起来文质彬彬，但很强那种
对的，又强又谦逊温柔
优雅的大帅哥
马队就是坠可爱的！(//∇//)
场上场下完全不同啊龙队
好帅妈妈
帅
一直觉得龙队身上有中国人标志性的温良且强大的品质
龙队鼻子真的好好看哦
你超可爱！！
太帅了
好帅啊！
好帅好帅
这才是该追的星呀
哇哦
龙队每次穿西装都是大杀器，气质太好了
场上六边形战士，场下可爱小奶龙呀
好帅啊啊啊啊啊啊啊
温柔且强大 说的太好了
鞍山小马好帅！
龙队yyds
对，温柔且强大
此时我就是旁边的兵哥哥的眼神
蛋崽崽！
又帅又萌
哥哥的猫唇
好家伙，名牌都打掉了
神龙摆尾
天呐这是什么时候 好贵气啊
好帅好帅好帅
笑起来真好看
永远喜欢龙队穿红色的队服
我从12年就爱上马龙了，爱的无法自拔…
龙队最喜欢紫色队服
交出封面
我不吃可爱款的男生，但我吃马龙这款
太帅了吧，，马龙yyds 
我好爱他啊
你好贵
“永远不要低估一颗冠军的心”
啊啊啊啊我的龙崽！
活捉一只小胖
啊啊啊啊啊我太爱他的西装了救命啊杀人
太可爱了
奶龙哇啊啊啊啊啊
话唠
我好喜欢他东北人的感觉！
恭喜你发现宝藏
马龙又可爱又man的感觉
是不是因为锻炼，身材好，运动员穿西装都很帅唉
勤勤恳恳不卑不亢
太温柔了
强大
神仙大可爱
好帅啊
好正啊
气质拿捏
气质拿捏
为国争光，努力拼搏，这才是我们值得追的偶像！
帅
竟然喜欢男的
这笑容爱了爱了
奶香四溢龙
今天憔悴得都没有铁刘海了，心疼
哇塞，太帅了吧
屏幕前的我一脸花痴
樊振东憨憨的hhh
鞍山小马！
啊啊啊理想型
好奶hhh
好帅啊啊啊
有龙队就是依靠！什么都可以让你来
马龙决赛加油！
前方高能
前方高帅
温良的龙队
抖抖龙尾巴
太帅了
solo全场
龙龙粉了
帅拉了
前面的我和你一样 
龙龙就是最吊的！
胖儿好可爱
龙队好迷人
我的龙龙好帅啊
很喜欢他这一挂的男生，我超喜欢温柔的男生
完蛋了我太喜欢奶龙了
前面的我也一样，年少喜欢张继科，年纪稍微大了却更喜欢马龙这种类型的
这么可爱的中国龙在东京奥运会都瘦成什么样了，憔悴成什么样了？
属于龙队的时代！
呜呜，想要这样性格和长相的丈夫哈哈哈
温柔且强大，发现自己超爱这款的
今晚做梦素材
奶膘
我喜欢许昕，怎么办
龙队好奶啊
封面一眼万年，代入感很强，我已经站在镜头后笑意盈盈的看着他了
打到你没脾气
小跳步爱了呜呜
和这首歌好搭
太帅了吧这也
龙队！
龙队好白啊
好可爱啊奶龙
帅死我了！
俺鞍山小马
夺隼啊
歌词太配了
注意看这里马龙两只胳膊的粗细对比，是多努力练体能可见一斑。
马龙
接下来请欣赏《热爱105℃的你》的正确打开方式
他嘴巴看起来太好亲了，老婆好幸福
你永远可以相信马龙，龙队加油!(^O^)y
这首歌和他简直配
我觉得嘴里的饭都没味道了
温柔且强大
温柔且强大
太帅了！
许昕别走哈哈哈
这个侧脸好温柔但也很有力量的发球
奶指！
勇敢龙龙，不怕困难
哇哇哇，好可爱
秦门多儒将，恩顾且情长。
偶滴鞍山小麻薯
你永远可以相信马龙
好可爱
好可爱啊啊啊龙队
精彩
里约奥运会超级可爱
他好帅好可爱啊！
太喜欢马龙了~
对内谦逊对外霸气
我靠这一帧绝了
啊啊啊啊啊啊啊龙队我爱你
鞍山小马
紫色好帅
首页通知书
什么温柔切强大 你就是喜欢帅的
草这个歌词真的太贴切了
刘国梁:你永远可以相信马龙！
你永远可以相信马龙！
确实
樊振东家园
前面的我也是
太帅了！！！！！
承包这个撅嘴嘴
啊啊啊啊啊啊啊跳舞也可爱
上扬的嘴角就没下来过
你币有了
龙队yyds
别说了三个我都爱哈哈哈
救命龙队怎么这么帅！！
啊马龙
哇太奶啦
真的安心 龙队太稳了
我终于理解张继科为什么说他妩媚动人了
帅
这里适配度好高
...
太有魅力
太帅了啊啊啊啊理想型
我也是
不可以看龙队早期视频不然我的爱会变质！！！！
好的 小本本记下了
龙队是我得不到的男人！！！
好可爱
翩翩贵公子气质
鞍山小马太甜了
太爱龙队了啊啊啊啊
俺鞍山小麻薯
我不行了
最佳状态征战东京决赛！
我也是一眼就超喜欢
盐系男子
活捉小胖
好矜贵的公子！
希望老了以后技术下降，人们都可以善待他
龙队
马龙只能配中国红
里约时爱上你
历史第一人非你莫属
传奇
龙队帅！
东京奥运会希望卫冕
鞍山小马 yyds
我死啦！
有你在！我不怕！
属于你的时代！
可爱死了呀
别一拉一踩 把饭圈那套又拿来好嘛
不我15一直喜欢马龙
龙队好帅
马龙yyds
就是感觉好帅，还奶奶的
好羡慕他老婆啊
帅的哎
马队呜呜呜
龙队！！！！！！
莫名觉得龙队好奶啊啊啊啊
龙队yyds！
真的好帅
巨星 苏
巨星 苏p额四大儿
龙队永远滴神
同意蓝字 ky就别怪辣菜 龙队帅太多
这首歌好适合他啊
妈妈他好帅我爱了
好奶好帅！
歌词好搭啊
啊 奶龙好可爱
帅死了啊啊啊啊啊啊啊啊
怎么会有这么可爱的人
又奶又帅
穿军装真的好帅
好帅！好想嫁呜呜呜
真的超爱马龙啊
帅拉了姐妹们
再来亿遍
最近才入坑啊啊啊
老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公老公
龙队太可爱了，决赛加油啊！
龙哥yyds！
12年伦敦奥运会迷上奶龙，如今已经是十年老粉
这首歌变得可爱了
第一次感觉歌词好棒！
继zzh之后又一非常喜欢非常非常喜欢的人！！！！
贵公子！！！
我跟大家一样喜欢诶
700+
好帅
属于你的时代！
龙队真的温柔且强大  太杀我了呜呜呜呜呜呜呜呜呜呜呜呜呜
你永远可以相信鞍山小麻薯
好帅
谦谦君子，温润如玉
温柔且强大
全程姨母笑，就剩没流口水出来了
有理由相信国乒队也看脸啊
我来ky一下，我喜欢龙队他师傅，那个不懂球的胖子和他师兄弟阿辉
属于你的时代
哇
救命他好帅
我们龙龙英语还说的很好呢
要掌声欢呼声这里杀我一万遍
迷上龙队只需一场比赛
呼呼呼好奶哦，温柔且强大
国乒定海神针
救命他好帅
适配度极高
啊啊啊龙队我爱你
蹦蹦跳跳小可爱
“我怎么能不爱乒乓球呢”
好喜欢妹妹头小马
啊！我要粉了！！！〃∀〃
好帅！
火钳刘明
为热爱而战
救命啊！！！好帅！！！
温柔且强大
鼻子好爱
孩子都5岁会打酱油了
呜呜呜8年老粉
真的耀眼！
救命好帅
气质拿捏
气质拿捏
啊啊啊挑眉这一下我没了，你可以永远相信鞍山小马
前方高帅
不是马队也太白了吧
小马我的好大儿呜呜
不仅是外貌，内在品质也很好啊啊
帅拉了，，
最喜欢马龙
龙队超帅超帅
啊啊啊啊啊啊
这个酒会的镜头。像康辉老师。
每一句歌词此刻变得格外有意义啦
龙队！！！！
好帅啊啊啊
唉嘴角控制不住地上扬
龙队温柔帅气又强大，奶乎乎的超可爱！！！！
妈呀他好可爱
太可爱了吧
龙队今晚决赛加油！
嘴角咧到耳朵根了
优雅
别KY好吗 龙队最帅
好帅！！！
真的冷白皮
是真的长得好看
穿了内增高哈哈哈
太适配了，而且深化了歌词
每句话都合他
yyds
帅气
yyds
哇哇哇
牛逼
霸王龙
妹妹我不可以
别又捧杀了！
可可爱爱，没有脑袋
这是我老公该有的长相！
羡慕嫂子
龙队
绝杀99%明星
马龙好可爱
龙队！
太帅了，龙队
龙队yyds
太适合奶龙了
啊啊啊啊啊啊啊啊啊啊
鞍山小马太帅了吧
700+在看就离谱
这是哪里活动
OOOOO
鞍山小马
俺鞍山小马要在鼠年发扬龙马精神
前面ky的，请问你家哥哥为国争光了？
好看的都上交国家了
1000+
好帅啊啊啊啊
漂亮型解说
这歌是为他写的吧
1000+
太帅了！！！！！呜呜呜呜呜呜呜呜呜！！！
他好像只仓鼠啊哈哈哈
地主家的傻儿子太可爱了
这个太适合龙龙了
他喜欢蔡依林！！
taishuaile
这什么总裁视角！！！
水~~~~~~鸟~~~~~~~~
鞍山小马
龙队～
啊啊啊啊啊啊啊
帅死谁了？帅死我了！！！！！
你是唯一一个怎么打都不会乱发型的男人 
啊啊啊啊啊啊啊啊啊
好适合他这首歌
帅啊啊啊
来b站看马龙了！
这是哪一场比赛啊？
老公！！
歌词莫名搭调
搜索推荐
你币有了
属于你的时代
太帅了，帅晕我
啊啊啊他真的好可爱
里约男团对日本
啊啊啊啊啊啊啊   龙队小奶龙也太帅啦叭
BB
日常羡慕他媳妇
鞍山小马我爱你啊啊啊
奶龙yyds
热搜第一我的天
龙队好符合歌词
好可爱啊啊啊啊啊
谦谦公子
龙队好白啊哈哈哈哈，此刻我就是后面的那个小姐姐
花痴ing
东京奥运会加油
但是我知道
别别别别娱乐圈，退役就老婆孩子热炕头吧
“好球”
鞍山小麻薯好可爱！！！
我就是他的小麻薯
可爱小马
好可爱呜呜呜呜
啊啊啊啊啊这比孔刘还让人心动
好可爱啊啊啊啊啊
赛场风姿超绝
温柔且强大
老公5555
♡︎
是你的时代啊
决赛加油
龙哥帅的
好帅！
龙队！
我知道好可爱
你可以等着嫁他儿子
别什么奶狗奶指的了
哈哈哈哈哈可爱
好帅呜呜 为什么我没有早入坑
币投了投了
龙队最奶！最可爱！
后面的姐姐是在看马龙嘛
马队永远的神
你币有了
俺鞍山小马
小奶龙
我不知道看了几遍了
抢班夺朝
他好帅哦！
名场面
这首歌就是为马龙写的吧
