记得自己进去，他说过的
好！大快人心
好开心
吴签，终于被抓了，一個字  爽
预言家竟是我自己
热乎的大碗牢饭
正道的光
真快
正道的光
漂亮
这碗牢饭大啊~~~
牢底坐穿
大快人心
好好好好好
没事，蹲几年就好了
大快人心
giegie他值得～
一年最开心的事，把刚才的不开心都扫除了，谢谢吴总
天网恢恢疏而不漏！
刚刚
好耶
大快人心
坏仁
哈哈哈
恭喜恭喜
这种人渣终于被抓了
好耶
正道的光
安徽人民发来贺电
这才是热搜第一的样子
哈哈哈哈
大快人心！
普天同庆
好耶
牢饭嘎嘎香
牙签仔终于被抓了，好样的！
太牛了
喜大普奔
好！
牛逼，小吴终究晾了
好耶！
大快人心，普天同庆
正道的光
好耶
正道的光
大快人心
真漂亮
ohhhhhhhhhhhhhhhhhhhhhhhhh
今天是个好日子
正道的光
可喜可贺，大快人心
好消息
好消息
好
漂亮
正道的光
好诶
普天同庆
臭加拿大的，来北京要牢饭了
好！
秦皇岛人民发来贺电！
正道的光
赢了！
今天是个好日子
山东东营胜利油田发来贺电
加拿大人？
各位bgm是什么
牙签伏法
正道的光
牛逼
请严查偷税漏税
皆大欢喜
锣鼓喧天鞭炮齐鸣
太恶心了，一个公众人物，性质太恶劣
恭喜恭喜
哈哈哈！
好日子
好运来呀好运来
喜大普奔…
凡死了
好
就在等这一天
哈哈哈哈哈
正义终将到来，可能会晚但从不会缺席​
陕西人民发来贺电
恭喜恭喜罪有应得
牛逼
正道的光
牛牛牛，这回实锤了
漂亮
好样的
四十分钟，热乎！！
《我自己进去》
大碗牢饭
三连记住
大快人心
天道好轮回，苍天饶过谁
哦吼
坐等好消息
干得漂亮正道的光
正道的光
嗨起來！！
普天同庆
就给牙签的时间很长，可以慢慢学rap
好耶
无法逍遥法外狂徒了
把自己玩进去了
好！！
正道的光！
又是朝阳区吗？
漂亮
我太激动 语无伦次！！！！！
拿下
红字牛皮
正道的光
正道的光
正道的光
喜闻乐见
正道的光
不处理他，怎么平息网友的怒火
海南人民发来贺电
好！
发来贺电
这也太迅速
大碗牢饭吃起
正道的光
大威天龙
正道的光
安徽人民发来贺电
正道的光
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
意想不到的狂喜
终于进去了
喜大普奔
喜大普奔
正道的光
广东人民发来贺电
正道的光
好！
说到做到吴亦凡，哈哈哈哈哈哈哈哈哈哈
好耶
哈哈哈哈哈
正道的光啊！终于来了！
小碗牢饭
正道的光
正道的光
喜大普奔！
正道的光
正道的光
好耶！！！
这还差不多，无法无天了都
广西人发来贺电
终于吃上牢饭了
林生斌什么时候进去？
大碗牢饭
正道的光！！！
狱友们都在排队拿着爱的号码牌，签，你忍一下
正道的光
正道的光
太好啦
这才对
大碗牢饭哈哈
