十年了啊
卧槽好看啊
？？？？？
热乎的
好的脑a
热乎。
好的，死丢丢
热乎
大佬就是大佬
杀猫啊……时代的眼泪
牛逼
？？？？？？
脑a
？？
????
这是一种脚本语言
佩服了
你好死丢丢
强
这个思路还不错
好强
死丢丢NB
又开始迫害幸西亚了
这个是真的很强大
杀猫 已经多久没听过这个词了
牛逼
??????
444人正在观看
？？？？？？？
捞a
太牛了吧
发生了什么
草！
知道了死丢丢=w=
草1！！！
A大
这个好厉害
造了一个轮子
又到了魔术音乐环节
有人吗
？？？？
六边形战士
好的死丢丢
好的  死丢丢
时间过得真快呢 十年
A大，神仙！
6666
天才
？？？
woc nb
简直神了
好的脑a
怒挫A大狗头
太强了
好的脑A
自创？？？
？？？？
这叫差？？
牛批
？？？
soliworks行码
你是魔鬼吗
脑A你好
ohhhhhhhhhhhhhhhhhhhh
输在起跑线
好的，死丢丢
“暂时”
圆圈战士...
？？？？？
脑A
太厉害说不出话
？？？？？？
这就是大佬的世界吗？
教练我想学这个！
脑A也太厉害了，这个黑眼圈怕不是熬了十年233
好的老A死丢丢
谁还记得当年的最强番称号，当年妈问跪的梗
？？？？？？？？
热乎
迫害辛西娅
好的死丢丢
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
脑a
????????
虚幻有素材
自创？？
知道了死丢丢
?
真硬核
api
做了一个DSL？厉害
老a牛逼
好的死丢丢
卧槽
牛逼啊
我也是2010年开始学这个的
老a牛逼
也更新
励志
阿来
前方高亮熬夜党请注意亮度
wocnb
好的，死丢丢
好的，死丢丢
好的，死丢丢
人材，太硬核了
？？？？
？？
????
大佬大佬
？？？？您是什么神仙
握草
已投币
死丢丢！
？
收下膝盖
这刚开始的水平也很高了呀
?????????????
真实
一入同人深似海
66
库乐队
真全能
自己写个导表工具
???????????????????????????
又是打牌
bass，pad铺垫，不然听起来很生
？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
你这个人不成功，一定是上帝在打盹
一点点细节
牛逼牛逼
？？？？？
你可真是个天才啊
太强了
6666
？？？？？？？？
这个。。。。就有点过分，有没有考虑普通人的感受
神仙
脑A
??
耨皮
牛皮
全能
太强了
？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？
大佬
热乎
用笔画好了用板子也不一定能画好，刚开始不习惯的
不努力是做不出来的
??????????
卧槽
？？
一周又过去了
真实
好听啊！？
这么强吗？
A大加油！
？？？？？？？、
我滴ma呀
你币有了
神仙
膝盖收割时间哈哈哈
？？？？？？？？？？？？？？？？？？
？？？？？？
丽莎的记忆
？？？？？？？
我傻了 我先退出B站去复（yu)习
？？？？？？？？？？？？？？？？？？？？？
这是人？这是神吧？
？？？？
看完我想放弃了
？？？？
这最多算一种配置DSL，怎么能叫编程语言
?????
啊....这
脑a
脑A
这就是模仿80年代的电影风格歌曲
《为了能独自做完一个游戏而努力的我最后成为了一个全才》
零基础?
牛逼
？？？？？？？？？？
Blender的A大吗？
还自学个编译原理，还强了
?????????????
？？？？
死丢丢
？？？？？
？？？？？？？？？？？？？？？
？
握草
脑A
这就类似于json……
能这样玩家庭条件能差到哪里~~
我用的blender大概是假blender
？？？？？
我觉得up绝对是个秃子。。
游戏全栈开发。
UP主太不容易了，加油
合成器潮
？？？？？？？？？？？？？
服了，这真的强
？？？？？？？？？woc....
奆老
脑A死丢丢
大佬
这光影，明显是学过但还没学精的，新手的话不出这个效果的
大佬
？？？？是我太年轻了！我还是被吓到了！
我以为我住在B站已经有很大的见识了！
？
真的，玩我的世界光用指令方块搞指令都能让你崩溃
???老A不是国美的吗？
疯狂迫害巧
强
我傻了
脑a
脚本之脚本
轮子造起来
666666
先3连再看
哈哈哈哈哈哈哈哈哈哈
woc
太空歌剧
？？？？？？？？？？？？？？？？？？？？？？？？？
这……还不算写文案的时间吧
？？？
真实
脑A
趴普好学吗
人否？
？？？？？？？？？？？？？
这个就是常规的配表啊
...csv怎么就自创语言了
画画要设计
？？？？？？
从白纸变成马赛克再到清晰
脑A
?????????
、?????????????????????
崇拜，我要向大佬学习
老神仙了
真实
好奇音乐方面的
强推blender
？？？？？？
卧槽
飞燕是咋做出来的
封装的库
？？？？？？？？？？？
牛批
卧槽
脑A
这自学就离谱
？？？？？？？？？？？
脑a死丢丢
非常努力又很聪明
这嘴巴有点奇怪
？？？？？？？？？？？？？？？？？？？
？？？？？？？
这是不会画，那我确实是残废无疑了
牛逼
太牛逼了
？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？
给跪了
惊了……
封神
x
框架
嗯，这是仰望的大佬！
额，总感觉有点假
已买
学python的哭了
这也太牛逼了
????????????
加亿点细节
各大游戏商盯上了你
天才啊
那个笑我人都傻了
天才啊
牛逼
？？？？？？
大佬大佬
？？？
不要说天赋了，是时间的积累和每天的努力
我是2
？
好听
好听！！！复古合成器的味道
ue4你值得拥有
个人势做大作无异于找死
？？？？？？？？？？？？？？
老婆，来看神仙
给跪了
？？？？？？？
MC好评  MC永世长存
啊这
啊这？？
吹爆blender！
VBA？？？
牛壁大佬
明日方舟！
辛苦了
这尼玛是全才啊，天赋不爆表完全学不了那么全啊
？？？？？？？？？？
？？？？？？？？？？？？这就是大佬吗
这就是大佬吗？？？？？？？？？？？？？？？？
这就是个脚步程序
我先磕一个
？？？？？
？？？？？？？？？？？
“大量”
??????????????????????????
竟然特别好评
？？？？
6
ohhhhhhhhh——
大佬你成功不了找我来
wc
死丢丢
【表情】
基础太差
6666666
日常迫害辛西娅，A大腹黑无疑
原来如此
死丢丢
首先你得有闲，天天上班你怎么可能学这些
说实话py应该是能实现功能最少的语言吧..
好！励志
辛苦了
加亿点点细节
源石计划
NB!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
十年啊，巨佬
开始不对劲了
赤 色 杀 人 魔
？？？？？
真的神仙。。。。。
首页通知书
大佬nb！！！！！！！！！
伯里曼好评
乱弹？
强啊
？？？？？？？？、、、、、、、
？？？？？？？？？？？？？？？？
是真滴牛皮
?????????????
全都会……
??????????????????????????
？？？？？？？？？？？？？？？？？？？？
LIVE
您是神仙吗
哈？？？？？
大佬大佬
首页通知书
666
??????
我太i了
666
？？？？？？？？？？？？？？？？？？
?????????
老      八
大佬
这不是2.5d？
这尼玛就离谱...
读个csv文件而已
？？？？
你这个零基础有点强
莎莎
？？？？？？？？？？？？？？？
魔塔！
人？
然后up主出道了，当了一名音乐制作人
食我bl！！
币比赞多系列
首页
datatable?
？？？？？？？？？？？？？？？？？？？？？
？？？
？？？？？？
牛逼
？？？？？？
脑a牛掰
啊这
？？？？？？？？？？？？？？？？？
飞燕
老雷
???
无法形容
？？？
????????
好的死丢丢
？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？
你是我想成为的人
爱了爱了
真的吗？这么强
这是API，给接口，不是自创编程语言
？？？？？？？？？？
街头霸王
521
nb
有赛博朋克那种味了
脑anb
这也太强了
？？？？？
我妈问我为什么跪着看视频
？……
首页通知书
你币有；1
首页通知书
"666，synthwave,chiptune"
？？？？
？？？？
?
脑a
基础有点差
说得夸张了
啊啊啊啊啊！！这个游戏创意好棒
好的 脑A
人否？
？？？
大佬！！！
进步真的好大
??????
离谱了啊
？？？？
？？？？？？？？
全能
封装的接口吧
？？？？？？？？？？
很强
佩服，10年啊
六边形战士
？？？？？？？？？？？
a哥只应天上有。。。大佬何故降人间。。。
2077
献上膝盖
你到底是哪个大学的？
我打算投资你做个游戏，我出钱
？？？？？？？？？？
我跪了
你不对劲
？？？？？？？
谁说没市场的，只是投资人目光短浅而已
死丢丢（狗头保命
这些会更新迭代的数据，不都是读json或者excel表的吗？
？？？？？
牛P
？？？
牛逼
用配置文件的方式来做基础数据。存到数据库+web页面增删改查岂不是更好。
巨佬
用免费素材呗
???
卧槽
膜拜大佬
这就是神佬么？？？？？？？？？？
BUG人死丢丢
太强了
这是写了个工具
太太太厉害了
基础有亿点差
？？？？？？？？？？？？
加亿点细节
这tnd才是后浪
不要迫害辛西娅233
66666666
这tnd才是后浪
《基础》
？？？？？？？？？？？？？？
???????????
大佬
大佬
有个缺点就是你的游戏更容易破解
？？？？？？？
？？？？？？？？
太差了？？？？？？？？？
看到方舟跟PVZ了23333
巧爷！
？。？？？？？
？？？？？？？？？？
????????????????????
？？？？？？？？？？？？？？？？？？？？？？？？？？？？、、、
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
好的死丢丢
首页通知书
blender好评
这叫编程语言马？？这不就是个配置文件吗
这就是全栈制作人嘛
我TM当场傻住
很好听，作为bgm很好啊
直接上手ableton live太强了
？？？？？？？？？？？？？？？？？
这个还好吧，汉家松鼠的部落与弯刀mod也是这种格式，按照格式规范来设计就行
66666
？？？？？？？？？？？？、、
？？？？
这这这这就是神佬没
我擦
提前牛逼
？？？
？？？？？？？
伯里曼用来检查的，不是临摹的
找到自己菜的原因了
牛逼啊
？？？？？？
看到这我感觉我都学废了
好的死丢丢
抓重点，现在暴富了!!!
只有a大不断的迫害。手动滑稽。
大佬
感觉和我差不多
？？？？？？
3247个人好
？
卧槽
666
?????????
天神下凡
?
太美了
有fc红白机内味了
这是真大佬。
？？？？？？？？？？？？？？？？？？？？、
n'b
？？？？？？
？？？？？？？？？？？
不是blander吗？
打扰了
6666
脑A
自律强
六边形战士啊
？？？？？？？？？？？？？
？？？？？？？？？？？
??????????????
编程语言的定义很宽泛，不是什么都一床这不是搞个数据库就行了嘛
??????????
草草草
这种动作类大厂都是几十个人一起干的
？？？？？
太强了
?????????????
我去强到离谱
这就是大佬的世界吗？i了i了
此原石非彼源石
？？？？？？？？？？？？？？？？？？
牛逼啊这个人，有操作的呀
？？？
实力劝退orz
这叫基础差?
你是魔鬼吧
脚本语言也是编程语言啊，他自己写的解释器，支持类似eval()的功能，只是这样不安全，而且运行效率低
这也太顶了
卧槽
家里没矿我是不信的
大佬
？？？
美术外包你值得拥有
太棒了
这不叫自创
其实。。。这个就是个工具。。。
剩下的3633位兄弟你们好
首页通知书
wc
