快压真的牛逼
合理
为什么想不开
火绒目前还是非常良心好用的
养蛊呢这是
1111
华军软件园也是烂透了，以前还挺好用的
驱动精灵呢？
屏蔽广告治标不治本
上市公司二三四五
收到，这就官网下载360
这个是真的烦，一不小心就中招
哈哈哈哈哈
混进了奇怪的东西
合理
哈哈哈哈哈哈哈哈哈哈
建议直接重置系统，别切格式化硬盘
养蛊成功
鹅厂卸载不干净
普通人，安不安杀毒软件，黑客都能把你变成肉鸡。区别在于，好的杀毒软件，可能会让你少变肉鸡几分钟。
必须360
今天的火绒何尝不是昨天的360
养蛊
河里
养蛊呢？
娱乐大师
脑浆糊了
有点厉害
以毒攻毒
您搁这养蛊呢
笑死
电脑登QQ都有广告，而且还是强制在前面界面
合理
火绒开始也不行了
哈哈哈哈哈哈哈哈
最简单的就是不要装任何流氓软件然后电脑裸奔
1
火绒是真滴强
geek
电脑已经卡了
我笔记本电脑就这么废的
hhhhh
我被鲁大师搞坏了一个硬盘
方法：换苹果
火绒算了，不适合新手小白，很多半自动的策略，需要自己设置研究
合理
电脑：救救我，救救我
火绒安全卫士还凑合，Win10就用自带就行，
恶心＊3
用7z
恶心＊5
《绿色健康》
所以瑞星首先阵亡？
合理
合理
我也不想啊
P2P下崽器
我只想要你的桌面……
个个都是流氓啊
2345恶心心
打起来打起来
该管管了，我的电脑还是我的吗？
电脑表示那我走？
1
笑死
哈哈哈哈哈哈
精准截流
这个也很恶心
直接重装正版系统
666
鲁大师直呼内行
建议大家换mac系统没这么多事
火绒虽迟但到
1
2345怎么卸载
合理
离谱
快压可以下破裂版，比较干净
360用习惯了
鲁大师
贼喊捉贼
腾讯不也是么
30块 再来一个系统
2345是什么德行大家都清楚，他才是间谍吧
最后活下来的是蛊王
河狸
广为告知
哈哈哈哈哈哈杀疯了
360
360还是不错的，我关掉广告和开机启动用的挺好
《苦粒怕》
这个给我炸出来了
巧了，这些软件我还都安装过，都是自动安装的，不用去专门下
神仙打架
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
快吧游戏盒呢？
1
1
我用电脑自带的联想电脑管家
王中之王
1
蛊王争霸
那用啥合适？
666
360其次则2345耳
离谱
你怎么把搜狗给忘了
火绒不是瑞星的？
最毒
11
avast和小红伞也挺不错的
好热闹啊。
靎㘑
瑞新企业级还好
还有没事就扫描你的文件
这个推送广告，作死
1毒霸巨恶心
离谱
这些流氓软件拉低了电脑配置1000-2000块钱的配置
离谱
p2p
腾讯全家桶呢
2345和p2p绝对名列前茅
牛p！！！！
驱动精灵恶心
贪玩蓝月给安排上
我只用联想电脑管家
这个有修改版，找修改版就行
2345压是真牛逼，害得我重做系统
11
快压
干净又卫生
2345是真的流氓
怎么没有腾讯
11111111
360压缩就还行
搁这养蛊呢
诸神黄昏
前面的，我是重做了系统之后才深受2345的迫害
天擎
鬼
1
卧槽，全用过
瑞星还活着啊？当年那个去掉了没用的杀毒功能的小狮子还在吗？
360占用内存极低
360
然而你这几个软件都是官网下的
养蛊呢
1
1
我爱看小视频
360当个综合管理平台，还是不错的
重装系统（doge
养蛊现场
都用过。
裸奔它不香么？
这电脑没法要了
哈哈哈，三星S10+的手机浏览器
公司电脑安装了火绒之后卸载不掉，最后还原了
怎么没有腾讯全家桶啊？up主收钱了？
哈哈哈哈哈哈
虚拟机-1
竟然还活着
1
现在下载驱动都限速，我是不用来
1
电脑扔了吧 看的头都要炸了
其实360挺好的
1
11111
有一说一极速没广告
合理
如果新电脑装了这些软件，建议不要尝试卸载，直接重装更快一些
哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
壁纸娘心态曝炸
压缩还是用bandzip，完全没广告
这电脑用不了了
炸了吧，没用了
壁纸娘招惹谁了。。。
为什么没有迈克菲这个软件，我电脑不管怎么格式化都有！
腾讯
还有老是删不干净会幽灵复活
个人觉得360很好~
哈哈哈
这怕不是在养蛊
哈哈哈哈预料之中
驱动精灵现在还要收费了
我不要
2345流氓之王
火绒要么你电脑用的干净，要么你电脑高手，适应人群属于两个极端了
驱动精灵可以用旧版不升级
不了不了
河里
这个是纯流氓
杀疯了哈哈哈
高手
1
群魔乱舞
火绒真的不错
几个女人一台戏来着？
火绒没办法帮我解决牛氓软件
2345
