美哭了啊啊啊啊啊
啊啊啊啊，好好看
真的是全员美人
四月！
全是美女
太美了，而且各美其美
这个挑眉绝了
现在古装剧妆发全是高马尾和发箍，汉服走秀的盘发比古装强多了
啊啊啊啊人没了，太美了
妆容也比现在的网红妆好看舒服多了
让朕登基
这幕的小剧情很有感觉！推荐大家去看！
超过几乎所有古装电视剧
视觉盛宴
啊啊，杜雨宸
朕微服私访，带回一舞台美女
男模特还是太纤细了
哇好喜欢这位
这妆造多贵，剧组哪舍得
这甩头呜呜呜
好看啊
大哥！
因为这是汉服，不是古装
阿锦超！
刘宇啊！是刘宇！
视觉盛宴
霸王别姬那段真的好绝
美人各有千秋，美男为啥发型差不多
给个姬会
今年是常州东方盐湖城，人在现场看完全程
神态好绝！
小宇
居然手机剪的
九井真的美艳！
仙君
四月！！！
感觉up这个滤镜衬的脸发青，其实直播那个就不错不用加滤镜了
秃头帅哥！
啊啊啊啊啊啊啊啊啊好妩媚的姐姐！！
妈诶，一晃而过的刘宇
一点不像林妹妹啊
这个死亡打光简直浪费了服化道
宝贝刘宇啊
白衣服提灯笼得这个妹妹好眼熟
好美好美
大鹅大鹅！
漂亮
难得的要慢速播放的视频
钢材那个拿伞的男的很帅风流倜傥
啊啊啊啊啊太好看了
啊啊啊啊啊啊
太美了
宝贝小宇
这个妹妹我曾见过的
希望现在的古偶多学学妆发
我看到了熟面孔
像林妹妹的好像是荷里寒姐姐
说实话 妆造不如电视剧 但是人长得还是比明星欠点
刘宇啊啊啊啊啊啊啊！
美人！
这是国风大典吗
国风大典的美人，每年都有国风大典活动
不错，这衣服都很现代，也挺幻想
大数据一定要狠狠记住我
这个像橙子
国风盛典在哪看完整视频啊？
原视频是什么？蹲
对比下来刘宇汉服就挺一般的
？？？？？真的？？？
一分八秒那个女孩子是谁呀 还有衣服发饰有卖吗！
怎么这么美怎么这么美  美死啦
北川绾绾和楚琪！
哇啊啊啊啊啊
中华汉服yyds！！！！！！！
太好看了吧
好有灵气
似乎看到古人在朝我们自信又温和地笑
视觉盛宴‘
帅哥？
喜欢！喜欢！喜欢！
各种各样的美呜呜
贴贴
大数据请记住我
太美了
绝美!
擦，大哥
古装剧也来点发包吧
你币有了
四月！！
WC，这个妖娆的姐姐是谁，她好像一株曼珠沙华
这何止是来赴宴的呀！这分明是欺负在炸场子的啊！
中华崛起！必将引领世界！
太飒了！
我趣，好多美女
突突突突突突秃
芝月！！！
太好看了呜呜呜
弹幕
BMG
火钳刘明
古偶学不来
这几位妹妹好像在哪里见过
远赴人间惊鸿宴
四月！
好看好看
这就是仙女们吗
好古典
啊这个变速有点晕
能有一些霸气的武将风的会更好一些
这个好好看！！！
天啊，每个都长在我的心上！
这个是小朱
曹曦月
小灿！！！
给小灿排面
人很好看，滤镜加的好怪
别问我PICK哪个，我全都要
四月太绝了
都是白到发光
大哥杀我
穿越了穿越了
所以说成事最终还是靠热爱啊
国风盛典
cue偷国干嘛 他们哪能和我们泱泱大国比 
……女的美得各有千秋，男的真是……
太美了！！！！！！泪目！！！
这就是后宫佳丽三千的快乐吗
各个都不一样
花魁!!!
为什么都这么好看
啊啊啊啊！！！！！！！我要选妃呜呜呜呜呜
啊这个这个这个这个
妙啊！！！
四月！！！
