新鲜！
你不会也买了一大堆设备吧
diyi
我是第一
刚刚！
承包
快！
重新定义活蹦乱跳
《吃不起系列》
没想到你是这样子的盲石
经费爆炸
啊三文鱼好肥美啊
给你给你！！
@麟宣森
我不行了，我要笑死了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
溜娃
隔壁同行膝盖中箭
哈哈哈哈哈
太腻了哈哈哈哈
一个 懂了
@麟宣生
傻子
我好快
我怎么记得有个阿婆主买了
好家伙，我直接投了两个币
已三连
一模一样
快把
好烫
混！合！在！一！起！（走错了）
一模一样
一摸一样
一模一样
一模一样
来点玛莎拉
这叫轻盈？
一模一样
投了投了 我投了俩！
一模一样！
口胡了
又胖了一点
黑胡椒哈哈哈哈哈
干净又卫生
为什么你家什么都有？
一模一样
才发现我是第一
有那味了
哇！
酱汁：我免费了！
哈哈哈哈哈哈哈哈哈哈哈哈哈或或或或或
@傻子
哇
傻子
哈哈哈哈
热乎
素材回收
热乎
太强了
一模一样
哈哈哈哈哈哈哈哈哈哈哈哈哈
烫嘴
ohhhhhhhhhhh
哈哈哈哈哈哈哈哈哈哈哈哈
一模一样！
哈哈哈哈哈哈哈哈
盲实盲实盲实！
一模一样
天哪
也太活蹦乱跳了，它脸睡出褶子了
完全一致
盲实越来越『离谱』了
一模一样
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
谁在下面？
太牛了
这个肉看起来好爽
哇？？！！！这鱼也太…
啥子？？？？
麟宣生：这个我熟（可以cue其他up吗？ 没有恶意）
一模一样！
我天！
“傻子”
7分钟
美食博主家真是什么都有呢、
大投入啊
太中二了我的天哪
fu
这次好早
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
玛萨拉过分了
蛙
要不加点王致和吧
给了，下次不许了
我噢噢噢噢
麟宣森:这我熟
常见
人家有钱
一模一样！
哈哈抄袭
油渗不进去，水出不来，法餐对肉类保鲜的手段
美食博主家真是啥都有呢
233333
一模一样
一模一样
给我掰点
@某林
《活蹦乱跳》
小麟同好啊
逮住了嘴瓢，裹上《三文鱼》
美食博主家真的是什么都有呢
帅哥
腥！
NO！太爆炸了
"只有傻子,才会买"
太牛了
ohhhhhhhh
太花钱了！！！！
哈哈哈哈哈哈哈我要笑哈哈哈哈哈哈哈
说加玛莎拉是魔鬼吗
《活蹦乱跳》
盲实越来越幽默了
我尬住了hhhh
好牛！！！我是学生给我吃吃！！！
你好爱红毛
厉害了！！！！！！！！
哈哈哈哈哈哈哈
但凡有一点失误
专业人士
早
他喵的特效配音
嫂子！
你就是唐牛？
救命啊你别戴那个假发了 笑死了hhhh
哈哈哈哈哈无情嘲笑
麟宣森属于是傻子自我和他人认证都有了hhh
好漂亮
绝了！
本人无误
一模一样！
专业人士第二遍
哦哦哦哦哦哦摸摸
一模一样呢
前面那个 这是盲石工作室
蓝翔学习
哈哈哈哈哈哈哈
牛蛙
真的 一模一样.....
哈哈哈哈哈哈哈哈哈哈哈
胖了
?!
？
卧槽
马牛b！！！
三连了
是什么让我在图书馆抽搐
哈哈哈哈哈哈哈哈哈
一模一样
熟了，但没完全熟
一模一样
热乎！
一模一样
救命 专业得我头皮发麻
投币了，太强了！
币有了
找出酱油和山葵就可以吃了
《正巧》
《天分》
一模一样
哇！！
琼脂培养基
真的 一模一样
大制作大制作
啥都缺没有
救命hhhhhh，这顶假发都成盲石新宠了
你真的好爱这头红发
一模一样
一模一样！
《粗犷》
我唐牛才是食神
美食博主家里真是什么都有呢！
哈哈哈哈哈刚从她他俩那儿看到这句话 原来是盲石说的
绝了
哈哈哈哈哈哈哈哈哈哈哈
21min！
金色传说!!!!!!!!!
属实生猛，不愧是叫壮实的人呐，甩这么远
完了 盲石好像找到自己的风格了
一模一样
悟了，这才是正片，刚刚那个是花絮
浇辣椒油，可以吃了
一模一样
桌子:你往我身上撒什么啊？
？？？
牛逼
哈哈哈哈哈哈哈哈
动画制作组：我只是随便挑了个颜色
又疯一个
又胖了
牛逼
在桌子上吃。。。。
三连三连
热乎
 大戶人家
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
想要赢 坐傲风
想再刷一遍食戟之灵了
100%！
鱼冰淇淋哇~
一模一样
傻子
小王，这个人可以买你家的二手
杆菌由胃生熬兄弟们
你会记得自己吃了多少块面包吗
麻辣冰淇淋
奶油麻辣三文鱼
傻子
哈哈哈哈哈哈哈
一模一样！！
美翻了
哈哈哈哈哈哈哈哈哈
一模一样
干净又卫生啊兄弟们
滤镜放的好
质感更绝
这么贵还要运费
傻子hh
他是AE做出来的酱汁（doge）
只有傻子才会投币吧（已投两个）
傻子指鳞宣森
好炫
动漫里的菜是作者脑洞的还是真实存在的
培根会嗦嗦
一模一样
哈哈哈哈哈哈哈傻子
帅哥！
一模一样
冰激凌
一模一样
去麟宣森家借吧（不过你居然骂人傻子多半也借不着了23333
一模一样
一模一样
@麟宣森
哇塞
牛逼
一模一样
喔呼
美食博主家真是什么都有呢
ohhhhhhhhhhhhhhhhhhhhhhhhhh
啊这……
《简单》
一模一样
再加一点玛莎拉
哈哈哈哈哈哈
一模一样
麟宣森提刀来！
Dia好我是盲石
一模一样
薛定谔的三文鱼！
家中常备是吧
蓝带，法国顶级厨师学校
可以的
一模一样
大明切 奢侈
“傻子”
一模一样！
没有币辽
麟宣生提刀赶来
刀刀，好快的刀刀！
小麟:??????
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
斥资巨大
吃 虎 鱼 刀
滴几滴然后用勺子一拍就行
《天道酬勤》
哈喽大家好！他是马壮实！
啊哈哈哈哈哈哈哈！
前方大型自知之明现场doge
投币以示敬意
那条鱼过了一个月还能吃吗
干净又卫生
guang
一模一样！
哇！一模一样
有钱人
！！！！真的一模一样，超厉害！！！！
黑胡椒呢？
一模二样
傻子
这次一定
傻子
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
一模一样
颜色害挺好看！
一模一样
有点大，有点沉，有点贵
哈哈哈哈
预定不要洗锅
一模一样
你tm笑死我了
啊哈哈哈哈！辣味冰淇淋
一模一样
桌子：你妈
制作组:之所以是这个颜色，是因为整体色调
哈哈哈哈
哇哇哇哇哇哇哇！
金色传说
不要洗搅拌机
一模一样！
一模一样
哈哈哈哈哈哈哈哈哈哈哈
牛逼
真就一模一样
一模一样
这一步我已经可以开始啃了
帅哥
这次一定了
食神是吧
其实可以去借小麟的
是不是可以做雪葩的机子
懂了懂了，给你给你
少了一个缀。应该是黑胡椒.不洗锅.盲时
闪光剂！我加了闪光剂！
一模一样
ohhhhhhhhhhhhhhhhh
这都不包邮就离谱
加水不会有冰碴子吗
哈哈哈哈哈哈哈，被盘子躲开了
加入本人！
大制作
一模一样！
盲石你太牛了
哥，你圆了，是不是
一模一样
一模一样
哈哈哈哈哈哈哈哈，给你给你
233333
鱼冰激凌，不能接受
脑门过电
我曹土豪
麟宣森家中常备doge
一mu一样
红毛出镜+1
看到这儿我忍不住投币了
太奢侈了
盲石破费了
那么古尔丹 代价是什么呢
因为只有一个硬币贴在上面所以我选择投一个币
一模一样！
裹上三文鱼
这居然还叫冰激凌哇哇哇好想尝尝
一模一样
好黑暗的冰激凌
bgm好耳熟，是什么来着
你当我傻吗？
哈哈哈哈哈哈哈
一模一样
哈哈哈哈哈哈哈哈哈哈
一模一样！！
头发？…
@麟宣森
p5天下第一
敏锐的味觉指。多次翻车。 
空耳：lou质会缩缩
真的好吃吗
一模一样
同款杯子
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
哇，真的一模一样。
好强
一模一样！
真的一模一样啊！
老公又帅了
盲石啊，你可少花点钱吧……
一模一样！
惊了！！！！一摸一样
66666666
麻辣鱼丸
麟宣森
@麟宣森
柯南的BGM！
离谱
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
活笨乱跳
哈哈哈哈哈哈哈
美食区也卷起来了？
听到你这句话踩了，aoe是吧
看来我还是适合质朴的小布丁
实 与 黑胡椒
@麟宣森
