来了来了
不安分的脚指头
大红婚服！
哈哈哈哈哈哈
看着好爽啊。
亿点点
这些矿石太好看了
还好我不正常
太好看了
实干派
冲冲冲
大手笔呀
太棒了！投币投币
目之所及 全是钱
老师好棒！！！！
电气石好像星云啊啊啊啊好美好贵
亿点点
同款碗…
说的太好了
豪气
清理库存
涨知识了
全集高能!
把画画拍的这么燃的这是第一个
天 背景有战场的声音 细节了
火钳刘明
莲子羹三群前来报到！
一键三连支持
这里是雄黄吧？
来了
这发音一模一样
画画好，视频也做得好，你怎么那么优秀
哈哈哈哈哈哈
太好看了吧！！！
冲这句话三连了！欲责人先责己
太喜欢了
看到最后我竟然看哭了？？？
画这个需要家里有矿才行
这端着碗洒颜料！霸气
已经看到bling bling了
挥“银”如土啊
那个化学不好……催化剂是？
出窍出窍出窍
好好看，支持up主
不知其几千里也
哇，颜色好绝，好喜欢
真的可惜啊
家里有矿
亿点点
热乎的，一键三连让岩彩流行起来
真 家里有矿系列
？？
《简单的拓稿》
偷国人故意的
我是不是看到了十三余的瑶
富婆!
救命啊想吃土
好奢侈
壕气
好贵
mie刀片很利索！
这个汉服好眼熟啊
啊是十三余家的汉服！！
难怪那么眼熟！
好赞啊啊啊啊
十三余鸾凤和鸣
投影仪
同款筷子（滑稽）
金钱的气息
实干派
突然专业
刀钝了
这个jiojio可爱
造孽啊
hhhh
停滞400年吧
纯净电气石就是碧玺耶
汉服永远滴神
支持岩彩汉服
真美！！
有种糊成一团的感觉
好酷啊！！！！
太酷了
打开了新世界
这个色质好美
是故意的吧。汉服和韩服区别还是挺大的。而且他们日本不是对中国文化很了解吗？
这种珊瑚我捡过类似的，颜色更偏红一些
记住它此时的颜色
没文化可以去查一下
钞能力
没有韩服，只有朝鲜族传统服饰
这幅画的制作成本好贵啊
要钱
白嫖失败
大制作
家里有矿
學習了
"剛剛是不是把水晶給磨了作畫了,真強!"
挖靠!純金!!!
bgm:华山铭
五彩斑斓的黑？
真家里需要有矿 哈哈哈哈
家里有矿
首页
火钳刘明
三连都不足未过
工笔染色的时也是需要这种盐，比如撒盐法画画
加油
？？？
啊，现在都这样打稿啊……投射仪
大制作
呜呜呜，天然的金粉，好漂亮！！！我表达不出来…
岩画成本还挺高的
太太！！！
视频拍的好专业啊
不过明服确实不太好看
大气！
好帅…
首页
看到这些我莫名激动起来
穆夏！
中间这个是我手机壳图案
看着好开心呀
必须投币
想到小学那个彩色的刮刮乐哈哈
啊啊
五彩斑斓的黑色2333
真·家里有矿
好棒啊
特别有质感！
太华丽了
好强
绝了绝了绝了
太绝了！
欧洲古典画时期就有类似用投影打稿的方法了，用小孔成像投影到画布上打稿
有个词叫，信口雌黄
这个姐姐是不是拍过我住
画的时候会不会中毒？
确实是雄黄 导演要被扣工资了……
哈哈哈哈哈哈哈哈哈
新岩真的好看……1551
银还没颜料贵
猫猫！！
翻译：都是钱
好酷！
偏展现材料性质了
转场绝
凭本事刷到的
我脑子竟然敢告诉我它也能行，真是不知天高地厚
亿点点
可以作为镇站之宝系列了
三连再看
哈哈哈哈好熟悉的操作
汉服是十三余的鸾凤和鸣
中文发音也相近
天然赭石不香了。
研磨
磨漆画
6666666
太长见识了
6666666
绝了
重点：价格昂贵
不吸着或者吃就没问题
燃
贴的时候是真难受
重新定义正常人
真家里有矿
咋还化学，弄啥嘞，让人头疼。
把钱碾碎了
中文发音不像，音调一点都不像
你永远不知道在超市买了一包盐的小姐姐用它干了啥
这是炼金术
就是，没钱搞不了岩彩
金箔...  贵啊
好看
哈哈哈哈哈
化学方程式！
卧槽。。。太强了
首页通知书！
化学？师父 别念了 俺老孙头疼
大学时候老师带着画过，一张a4纸那么大小的
老朝奉
刀顿了
三连三连
《正常人是不会做这个试验的》
哈哈哈哈哈
什么叫专业
'主要是价格昂贵
需要反应时间的
大漆怎么说
月饼保鲜剂
矿啊
高级
没错，就是十三余！
喜欢!!
家里有矿
亿点点
钱都磨没了
金钱的香气
碰瓷就很恶心
我去，太好看了吧
学会了！我一直不敢徒手掰刀片
白嫖失败
莲羊yyds
跟西方油画不一样，国产画就是很贵啊！
已投币   加油
放着别动，我去帮你打扫
稳定性差啊
天呐
文化没落因民族若乱而生，必将随民族复兴而解决
十三余的汉服！
逐渐高级
!!!
我觉得酒这样已经很好看了
太帅了！
我靠怎么又传到日本去了
该出鞘了！！！！！！！！！！！
哇塞
这个买得起！
这些渣渣交给我来处理（bushi
这是矿里有家吧？
这幅画我画过，哈哈哈
好美
十三余诶
大腿缺gua件吗？
《简单的拓稿》
家里有矿
看到了两件十三余
好美呀！
卧槽
好家伙高科技
哈哈哈哈哈哈哈哈
好棒！
十三余啊
火钳刘明
韩服是什么山寨物种
忘了在哪看的视频，里面一个画家对主持人说最高级的材料才能磨粉作画，普通的材料只能送去药铺
重新定义简单
好突然
都是钱
电气石就是碧玺啊同志们，都是钱
亿点点，这个银箔不是很容易变色
收起来下次继续用吗
美翻了好吧
0.75BGM贼奈斯
哇~~！
古代人还吃生肉呢？你为啥不去吃？
希望up能发去外网
大手笔
腿好长
好文案
铁红
这是真的家里有矿
我天哪
剪辑的好棒
对材料特性的把握太好了
好啊体了的你了的你了后来我就图o
我靠，第一次知道原来可以掰的？
岩画，非常的贵好不好！
妈耶，宝友。这可。。。。。
我只能用喷水壶画画了
汉服零调，韩服一调
真的有雌黄！
给我火，给我火，给我火，给我火，给我火给我火。
美！
aaa我的穆夏
哈哈哈哈哈
好美啊！！！！
哇哇哇
有钱行为
