膜拜大佬
期待
是艺术
啊啊啊这一段
内娱的神张艺兴
这也太好看了吧
太酷了吧这段
我火速赶来
有种国师献祭的那味了！！！卧槽
这个手印好好看啊！
张艺兴！
前方高能，心动来袭
卧槽卧槽这动作杀我了
请收下我的膝盖
救救我救救我
他可真帅啊
绝了我天
强啊
这个甩手
突然美颜暴击
好喜欢这里
太美了  我疯了
太酷了 好看！
这里好好看！
再来亿遍！！！
就是这里
神圣，庄重，流行，文化，真正的融合
看第一遍的时候惊呆了啊啊啊啊啊啊
神秘的东方力量
这些动作好好看呀
牛逼
帅呆我了
氛围感简直绝了
这两个小碎步扭到我心里了，太会扭了吧
舞台舞台
反弹琵琶！
力量和动作、美感绝佳！
好牛掰好细节
啊啊啊啊这里一跳好轻盈
神仙舞蹈，期待舞台！！！！
啊啊啊啊啊啊张艺兴不愧是内娱大气层！！！太牛逼了
卧槽
手势都好美
这怼脸！
喜欢
神仙舞台
呜呜呜呜终于等到你
牛逼
这个舞蹈的手部动作好好看啊
张艺兴跳urban了张艺兴跳urban了张艺兴跳urban了
太绝了
真的无法用语言来形容
大家就好好欣赏吧 认真看 认真去品
按张艺兴的舞台审美 舞台版的肯定很美 想看了
好喜欢
跨年演唱会！！谁家邀请到张艺兴谁家有福了
谢谢你的飞天！
啊啊啊最近不停在循环这首歌
这腰
这个手的动作好柔好好看
我好喜欢这里
手部动作绝了
救！！！！！！太绝了
美颜暴击
举重若轻 真的看得出基础超级扎实
吟唱绝了
卧槽卧槽张艺兴帅死我算了
啊啊啊啊啊啊啊啊啊
我悟了
春晚预定
太好看了
前方高能！前方高能！
我已经在敦煌了啊啊啊啊
给我冲上热门！
感受这份balance
内娱有你了不起
再来亿遍
开头见
这里是不是Wacking!!
一抬手就在位置，控制绝了！
 还可以再来三遍
国风街舞
再来一遍
停不下来！再来亿遍！
啊啊啊啊啊太美了
太好看了
这么牛逼的作品当然要一键三连
绝了！！！！！
牛啊牛啊
歌好听舞很牛
龙摆头
来看菩萨了
抖肩我没了
张艺兴的手为啥那么好看，就是为了跳这舞生的吧
鸡皮疙瘩
绝了
再来一遍
前世凿壁不偷光偷藏镌刻
张艺兴牛逼大发了
再来亿遍
开头见！！！！！！
天啊 这张脸美死我了
好喜欢这个，仿佛带着宗教的神秘感！！！
千窟长住异域来的佛陀
在来n遍 出不去了
画面好美
动作都好好看啊
张艺兴神仙下凡辛苦啦
东望故土向飞天落笔书汉墨
果然是张艺兴，厉害
谢谢飞天
太美了
一般舞台都配不上这舞
虔诚
张艺兴我要看你的舞台
啊啊啊啊宝贝
啊好喜欢
卧槽卧槽卧槽太好看了
前方帅脸高能
真的震撼我真的哭啦
手太好看了
太牛了！！！！1
好帅
这是一副飞天壁画吗
太酷了太酷了
是谁被美死了!
开头见
敦煌～～
简直了啊啊啊啊
来个舞台吧！
艺术家
永远很享受张艺兴跳舞
手控天堂
哇   仙子下凡
这段嘟嘟嘟嘟嘟嘟的古典 真的好好听啊！！！张艺兴牛逼！！！！
我在等待 落定尘埃
这舞感觉好难跳啊
好高级
好流程
太棒了
破楼兰 踏祁连 广阔      狼居胥 又一年 传说
balance!
上春晚！
脑子里已经有舞台表演的画面了！！！！！
爱这里！
不要眨眼啊啊啊啊啊
1000人了
美颜暴击
张艺兴你好帅 好牛逼
视觉盛宴
太震撼啦
卧槽 好帅
这就是艺术
救命救命
期待舞台
好高级啊 好想快点看到舞台
真的太绝了
要是穿上飞天仕女跳绝了
这就是艺术
天啊，他好软
救救救救我我缺氧
好想看现场版啊！！！
现在已经是第三遍
练习室舞台top1！！！
这空间居然感觉容纳不下这舞 太壮美了
啊啊啊啊啊啊啊啊
我就期待个双十一或者跨年呜呜呜
飞天荣升我心中练习版第一名
真正内娱天花板实力
张艺兴
来世攀登星辰月亮
张艺兴手太好看了
前方高能
大家细品这里，张艺兴跳得太美太流畅了
天哪 太好看了
这个转圈圈
太牛逼了
白日梦我  逐日而歌
最喜欢这一部分
各位就想象一下艺兴脚踝戴个铃铛穿个飘带啥的呜呜呜呜
这里控制力好强
火速赶来
好帅
太牛了吧
身段真漂亮
好棒啊！这个ending！
太牛逼了
宿命与我
好帅啊
夺命
开头再见
Imma bout to fly
舞台好帅啊啊啊啊
一键三连啊啊啊啊啊啊啊啊啊啊啊啊
太绝了！这排面大气磅礴！这舞蹈得上春晚啊，
这个腿部动作真好看
 太岛了！！！
太帅了，艺兴的舞蹈，绝
不仙不魔底色般若
太好看了！！！
我给跪下了
这个动作太好看了
张艺兴你真的好棒
第五遍了
破楼兰 踏祁连 广阔
张艺兴牛掰飞天牛掰
手部动作好复杂哦
画飞天 望九天 碧落
这个控速！
卧槽
请问怎么一次性投200个币！
手指一勾，我魂被勾走了
飞天没正式妆发舞台我就哭
手部的动作
张艺兴这独一无二的balance
张艺兴牛掰
飞天画壁琵琶雕琢
除了中国人谁能跳敦煌！
张艺兴 你适合住在舞台上
艺术家张艺兴
内娱幸好有你  还好我没放弃
这太绝了
这个手动作绝了
中间那个跳的最好看的，你为什么不露腰？是不是玩不起？！！
这个动作真的用心了
艺术品
太用心了
不仙不魔 底色般若
来自宇宙中的回响
家人们
这要是翻跳，扒舞的人会怀疑人生吧
绝了
卧槽天灵盖飞了
来看第二遍，张艺兴牛逼！！！
太可了
前方高能
龟兹笔墨  千年壁刻
这Balance！！！绝了！！！
起鸡皮疙瘩
震撼
飞天建造信仰来世众生敬仰
反复观看
灵魂洗涤预备！
好喜欢啊
这小脸
成仙了
张艺兴太牛了
我倒要看看谁还没一键三连
开头见
白日梦我逐日而歌
这编舞真的绝！张艺兴真的岛！！
啊啊啊啊啊人没了
啊啊啊啊啊啊啊啊啊啊啊啊啊好想看舞台啊
草这也太美了啊啊啊啊啊啊啊啊啊
张艺兴永远是Dance King！
张艺兴玩融合真的手到擒来
沉浸享受
融合的太好了
这个手部动作波浪真的超美
开头见
张艺兴内娱舞台需要你！！！
滞空感绝了啊啊啊啊
入教了朋友们
开头见
再来亿遍
这一段太好看了！！！
开头见
赞啊
太绝了！
张艺兴舞蹈太优秀了
快点出mv吧！
这点动作好喜欢
爱你！
开头见
不穿飞天舞衣上春晚我是非常不同意的
啊啊啊啊啊真的是神仙！
春晚可以上了
妈呀妈呀妈呀妈呀张艺兴来杀我了
张艺兴！
能够超越张艺兴的只有张艺兴
第四遍了
舞蹈刚柔并济，有张有弛，既带着魅惑又时不时迸发出隐藏起来的力量！
！！！
救救我
舞蹈视觉盛宴
啊啊啊啊，这里
音乐好好听
《东》大气层 《东》太牛逼了
等你的正式舞台！
音乐听觉绝配
再来一遍
啊啊啊啊啊啊啊啊啊想你！
这哥们一看就是下了苦功夫的
真的是融合的完美的艺术品
好高级 好喜欢这一段
国风街舞就是这么赏心悦目
飞天成佛了！
小手一勾命没了
太厉害了
帅死我了这里
这个手啊
啊啊啊啊啊啊啊真好看太好看啦
再来亿遍
太绝了
神仙在跳舞
好优美
开头见
山海经读到第几章 也曾把飞天当愿望
啊啊啊啊最后这一下太绝了
火速赶来
MV付费出来呢
我真的！！起了鸡皮疙瘩！！！
哥哥好腰啊
融合的太好了 再来一遍
他跳得真的好好看啊！太牛掰了
想看舞台了呜呜呜
惊艳到了！！
看呆了
太美了这个舞
开头见
男菩萨扭腰了，呜呜呜呜呜呜呜呜呜
男菩萨 我的爱
一只肥羊～一只肥羊～
入教
飞天建造信仰来世众生敬仰
宿命与我Imma bout to fly
这个练习室太牛了
(我在等待落定尘埃)
震撼！！！
有飞天正托起太阳
男菩萨！反弹琵琶！
宿命与我
神仙
不敢想象这个舞台得多牛逼啊！！！
太好看了！拒绝子
张艺兴！！
全程高能
这舞台太适合春晚了
膜拜大佬！
艺兴艺兴
