mssk
天呐
想哭
真的哭了
正因为有这些地方，才能让一代又一代的人类知道，曾经发生过什么悲剧，应该避免重蹈覆辙。
赞了。这方面纪录片看过许多，
不报团，散客行吗？
难道从毒气室里活着出来了？？？？？
人类悲剧莫再重演
愿逝者安息。
当时整个欧洲据说对犹太人都不友好，但是像三德子这样的还是历史上唯一的一个
波兰好惨啊，一大部分人才让苏联的卡廷惨案给杀死了，另外的犹太人又被三德子杀了
穿条纹睡衣的男孩  美丽人生 
这和希姆莱脱不开干系，虽然德国当时的中层绝对要负责
Arbeit macht frei
南京
后面有小孩
？？？？？？？？？
前面的那位是ch！！！
弹幕好少啊 
太惨了。。。
战争是对人人类残酷的绞杀，种族灭绝更甚！
前面的高中没上过语文课吗
终于有弹幕了
压抑
基本上全是犹太人
安息
《钢琴家》里有运输的场面，有很多人在逃跑过程中被杀了
所以现在的我们必须爱国
说做作的把你丢进去试试？
震撼
战争无情，请珍惜和平。今日中国来之不易。
前排提示请关闭弹幕
前面的，那是辛德勒名单
美丽人生
杠精吗？你怎么知道人家没流泪？？？？
辛德拉名单
有条不紊。。。恐怖的魔鬼
听到这个bgm我都想哭了，不敢想象你们在现场是什么心情
好像有些撑过了毒气，不过也是在死亡的边缘了
相关电影 辛德勒名单 穿条纹睡衣的男孩 美丽人生
好沉重啊
哭了
刚钢琴师。
已经泪了。。。。
高中有一篇新闻报道写了，那也是除了高考课程外，我们老师唯一上了的课。
本来是在吃薯条的 结果看着看着居然发现自己拿薯条的手开始颤抖了起来 
辛德勒
有没有人看过夜与雾
太沉重
南京大屠杀遇难同胞纪念馆也蛮有意义的
我看你视频都觉得抑郁
见者安息吧
咦
希望世界和平
让我想起钢琴家
南京有，看的非常震撼
弹幕少是因为我真的说不出话
弹幕护体
前面的是什么变态？
太难过了
人皮做成包和皮鞋
高中课文有一篇介绍这的
前面那个你够了
南京 
犹太人跟中国人曾经经历过相似的惨痛，我们千万不要忘记
实在是惨绝人寰
辛特勒的名单
高处毒气密度低，毒气本身密度大，往下沉降。
额
哭了
天呐泪目
天呐
14了
还有731
这个地方美丽人生电影有拍摄
想起小小梦魇
。。。
世界核平
真好啊。。泪目
阿弥陀佛
世界大战带来的恐惧
沉重
弹幕护体
不信别看
南京是那次世界大战下的另一个悲剧，唉
6100人正在看
前面的，必修一课本
愿世界和平
有法语吗
像爱情公寓一菲买鱼缸那集卖缸的好吧
泪目
高中学过
读过高一的都知道
穿条纹睡衣的男孩
南京大屠杀纪念馆真的大家一定要去一次
逝者安息
高中课文！
宝尔金
是辛德勒的名单
我……天，可怕
太可怕了
他举起右手点名
天哪。。。
美丽人生
顶上去吧
丧心病狂
母爱实验，丧心病狂
和平与爱的重要性
缅怀逝者没有意义，要记住这里的事，不要让活人再次体会死者体会过的事
战争不可能创造幸福
必修一课文
弹幕别抬杠好吗，国家的义务教育是九年，肯定有人没读过高中的
毫无人性可言
还好看不懂英文
前面比这惨多的那个，这种都有必要比较嘛？生怕不够惨？
这种地方还盈利性收费？
愿逝者安息
愿逝者安息
突然泪目
辛德勒的名单
那个，哪位大哥翻译一下英文，我看不懂
卑微小伙在线求翻译
今天学课文
被屠杀的印第安人，被贩卖的黑奴，和被用来做实验的犹太人……
不算什么?这些糟糕的事情有什么可比性...为什么要拿来比较
愿不再有杀戮
我有点不敢看了...真的好难受
太沉重了
不盈利你出钱给他们维护？
美丽人生
高中学过呀
收费怎么了?你怕不是白嫖习惯了吧
当时的犹太人根本就没有被当成人来对待
人性真的比魔鬼更可怕
太残忍了
一大早睡醒刷到然后迷迷糊糊地看，一下就清醒了
人类惨剧
穿条纹睡衣的小男孩！！！
哇，我们刚好准备学这个的课文
看这个就会想起来南京大屠杀
哭了
多给世界了解一些反战纪录片，这样战争就会少一些
泪目
我天！！我哭
是说感觉有人从上方握住了他们，是谁呢？我觉得是我来自天堂的爷爷。
南京大屠杀纪念馆几乎没人愿意吵闹，为了尊重
有部电影叫辛德勒的名单，建议大家去看看
逝者安息
还有人皮做成的毯子
犹太人和中国人有过类似的悲惨遭遇
被屠杀的中国人
他们爷爷真好
逝者安息
选考政史技的人在这儿
纽伦堡审判
泪目
我记得中国这样的地方也很多
辛德勒的名单
穿条纹睡衣的男孩
请不要做比较，我们没有资格用他们的性命来比较谁更惨
真的会震惊的说不出话…里面有展出用人的头发编织的毯子…想不明白人类为何能如此残暴
这句请这样做   太……哎
逝者安息
刚学完关于这里的课文
逝者安息
南京的等等我。。。。。
不可否认的是犹太人当时确实有钱，但是没能力保护钱
我干嘛要点开。。。点开就泪。。。
地狱空荡荡，魔鬼在人间
别和南京比，谢谢。
地狱空荡荡，魔鬼在人间
有种胸闷喘不动气的感觉
眼泪真的止不住了，再也拿不走的行李和再也无法穿上的鞋子
好难受啊天呐
想到美丽人生那部电影了
Oh my
呵呵
愿逝者安息
请不要再进行比较，不管这不是拿来比较多事情，生命都该值得我们尊重，不是数量里衡量的
逝者安息。
南京大屠杀遇难同胞纪念馆，遇难同胞纪念馆！不要少说
你们有没有人看过《安妮日记》呢？
问题是养活这么多人粮食够吗
有些有什么好比较的？显得你懂得多？无语
天哪
当时发现的毯子就有上万条。。还有好多没做成毯子的头发。（特意换的白色）
突然发现辛德勒名单还原度很高
还有人皮灯罩
对那个人皮灯罩记忆犹新
逝者安息
是你王传君
前面穿蓝色条纹睡衣的等我一下
穿条纹睡衣的男孩
太残忍了。。。
反正我都听不懂
逝者安息
辛德勒加一
战争带来的到底是什么
泪目
啧，胸口发闷
逝者安息
跟南京比什么呢？？？都是生命，请都尊重好吗？
你怎么知道人家没去过南京大屠杀纪念馆，服了，太无脑了吧
恶魔在人间
美丽人生很好看
angle of death
和731很像啊 希望大家也可以去看看731纪念馆
愿逝者安息
“你会告诉全世界我们的遭遇”
一个中国的大城市人口
辛德勒的名单看哭我了
一定要让祖国强大起来
好惨
不要忘了南京
地狱也在日本
逝者安息
辛德勒的名单
扯
up的眼角...
人类历史就没少过屠杀，古代战乱更多。
逝者安息……
爱与和平……
钢琴家的画面
汉娜的手提箱！！！
我觉得这个视频底下还是少提南京大屠杀为妙吧
感到自己非常幸运
我的天啊……
但毕竟不是这个视频的主题吧，还是少提为妙
听说还有拿头发去做肥皂的
太恐怖了
ujm
人间地狱
美丽人生！！！！好像
逝者安息
杀戮者迟早会付出代价
安息……
逝者安息
看不懂?
杀印第安人的是西班牙人不是美国人
逝者安息
看不懂
面色寡黄，嘴唇苍白像极了肾虚的我
我记得这里好像还有一个焚化炉
？？？
逝者安息
逝者安息
这就是刚才那段的大体内容
握草
逝者安息
逝者安息，你们的坚强与受过的苦难将会被我们永远铭记于心
逝者安息
真没人性，f
穿条纹睡衣的男孩
逝者安息
泪目
泪目
再次提醒请关闭弹幕。
逝者安息
泪目
逝者安息
14
150万，我天....我一直以为是60多万
要哭了要哭了。。。
泪目
南京大屠杀死死多少人?
安妮•弗兰克?下面那個?
逝者安息
前面安妮日记的，我看过
