这个升龙有点矮……
收剑是真帅
社畜屠司剑
帅啊
收刀帅
未接儿的动作示意？
公司里随意
哈撒给
鬼泣3维吉尔
普通的上班族
大叔拿的一把剑是欧洲剑吧
英雄？
bia 一枪 (滑稽)
那是咖喱棒！
鬼泣
神特么大叔
真刀单手拿超重 
你就是维吉尔！？
中二可不是这样
2倍速食用更佳
一把阎魔刀一把咖喱棒
没准人家就是动作捕捉演员
塑料刀就不行了
可以看出挥舞大剑时和挥舞太刀时的动作略有缓慢
剑道部的吧
致命的上班族
日本人在中二的这条路上一去不复返了
这个是不是鬼泣5真人版的演员？
你家塑料刀能这么反光到墙上噶
发现1.5更帅
我想看天霸封神斩
太刀的招式帅啊
熟料甩会有声音，试了。
欧式剑？
日本上班时候带刀要和老板pk吗?
我想看星爆气流斩
能不能登龙
维吉尔
2.0自带特效
虽然知道他在表演，也把刀剑舞的很花哨，但力度感十足，难得能看清楚的几个表情也很到位，这样不会让人感觉很做作。
不可能是真剑的…… 你去掂量一下就知道真的钢剑有多重了
这收刀不错。
哈哈哈
大人，食大便啦
这个收刀帅的一匹
建议1.5倍速度观看，效果极佳
这是阎魔刀和力量之刃，标准的维吉尔双持
你又无敌了
！！！！！！
一把欧洲剑一把日本刀。。
我想看龙卷风
你会二段跳吗
流畅的一比，要是打你们估计你活不过一秒
这是武术好嘛，中二是这样的？
米塞路！！！！！！！
大人，食大便了
看守，大蛇结合体233
好帅
骑士的阔剑这么甩吗
居合见切登龙啊
你会二段跳吗？ 
大人，食大变了
出现了，升龙斩！
这个后踢感觉像练过的
我听到呼啦的剑风声了绝对真家伙把
前方1.5高能（eq二连）
基本功扎实？？？？你练过剑？？
塑料归鞘仔细听
一看就是练过的
二倍的魔鬼
2倍速帅到炸
风车好看
听刚才的碰撞我觉得不是真的剑
2倍热血漫既视感
刚才那个转身实战已经死了，就是帅，哈哈
帅……换身衣服更好些
大人  我想看剑刃风暴
啥都中二，你们是有多词穷，知道中二是什么意思嘛？
这个收刀确实帅炸
刚才看到刀光了
还有升龙斩呢。。。
绝对不是花架子
一看就是位中二的时候玩儿过的大叔
这是个练家子，实战也不差
EX咖喱棒
大人，食带便了
有没有双刃绝杀
说升龙矮的那个，您懂得可真多呀！
拔刀要快，收刀要帅
1.5倍新世界
虽然他很中二。但是很帅
石头拔石头，石头离姆
人可以不杀，刀光不能不拉
双刀不是无色
叔我想知道你后跳带不带剑气
可是，真的帅啊，有些弹幕干嘛呢？
大人时代变了
二段跳xswl
习武之人会怕武器重吗
八重樱，请求出击
你挥不了钢剑可人家行呢(ꏿ᷄દꏿ᷅` ;)
大千世界！
三刀流奥义，三千世界！
胶刀
真刀吧，能看出来挑的时候刀有惯性
转身会死？不了解日本文化可别乱说啊啊啊啊啊啊。
这很鬼泣
你没看出来这刀重吗刀头总会朝下
别闹。。。那把打欧剑如果是钢的单手会骨折。。。
虽然动作很花里胡哨。不过的确是练过的。步伐也没有乱的感觉
雷电？
是三千世界
帅呀这一套动作
人可以不杀，但刀光一定要拉
说担心的多余了，有种刀叫做不开刃。
有点暗影格斗的感觉
可能是铝剑
二段跳笑死我了哈哈哈哈哈哈哈哈
g502 滑稽
不如耍花枪
橘右京是你吗？
这很有可能是真刀，那个惯性不是塑料刀的重量能有的
这个是漂亮的表演嘛，类似舞蹈，欧剑实战看了比赛是很朴素的
里-鬼剑术
这是。。咖喱棒！？？
一般阔剑不会这么挥吧？
很稳定，如果只是cos肯定摇摇晃晃的
1.5倍帅爆
二倍速打开新世界
拜托没实战过的说实战怎样前先自裁好吗
真剑谁都不行
流星升~
这个收刀好帅啊
1.5倍没体验啊，收刀动作还以为是剑技
我想看无敌斩
星爆气流斩
他的剑好亮啊
身后没有五把剑差评
上班族，去公安局上班也算上班族吧
