首条弹幕？
11
第二~死渣男~去昆明啊~~~~~~~~~~
啧啧，青鱼我的
来了来了
？？？
熬夜党的胜利
我去，厉害了，百万后期
这么前
海外党的胜利
抢个沙发
熬夜党的胜利
一级头都不捡
我来啦！！！凌晨3:07分
睡醒刚好早场首映
我等到了！
带制作
我永远喜欢青鱼姐姐
来了
时差党的胜利
带制作
大制作
我摸了摸满脸的胡茬笑了
一手包办
看到我这个弹幕 你就是120以后了
出现了这个打扮
做大做强
真的吗(⊙x⊙;)
666
快啊
带制作
这么晚还有没睡的？
来了
熬夜党的自闭
澡堂
等到了等到了
熬夜党的胜利
熬夜党的青鱼get！
大强
开始了啊
嘤嘤嘤
终于等等了
熬夜党的胜利
带片
哇哦
哇哦
555555我永远喜欢青鱼姐姐
带她走带她走
百万后期   演员实锤
6666
快报警，有人杀了狮子
八分钟！
第60条弹幕
哈哈哈哈，夜晚惊喜
竟然半夜偷偷更新了
来了来了
什么是大导演啊，战术后仰
握草，喝个饮料人没了哈哈！
终于等到你
通宵党的胜利
6666
渣男，用过了就翻脸了
青鱼声音真的甜
大制作大制作
？？
终于等到了
我没开弹幕？
荒野大镖客的bgm?
通宵无所畏惧
6啊
猝死党的胜
渣男！带她啊！
厉害啊，三连了
来了
来了 他来了
这是提前录好的吧
小富婆
狮子哈哈哈
其实我熬夜是为了学习，根本不是在等
前排呀
无情
哈哈哈
海外党的胜利
冲冲冲
6666
嗯。。。正常玩游戏不会一直叫人称呼的，很不自然。。
握草，怎么还有这么多人？
大制作
熬夜党的胜利
猝死党
来了来了
牛批呀
我来了
来了
承包这里的青鱼小姐姐
这剪辑技术，没谁了
这个男人好帅
感觉在看游戏cg一样
渣男！
回忆杀已出现
妖尾牛皮
大制作啊
缘起何须问 只可惜有缘无分
带制作
熬夜
陪她啊渣男
让她乖让她乖
nb
渣男终于去丽江了？
后面不撩的片段剪不进来
这都行，牛批
来了来了
熬夜，哈哈
这不是丽江那个啊
通宵党的胜利✌
伽
去丽江了？
技术好
来了来了
这么强吗
z
是真的强
逐渐起了杀心
大片儿啊
这就是熬夜党的胜利！！！
不乱于心不困于情
发现没有，这里青鱼说的不是“我发现你开车..”，而是“我好爱你开车..”
3772
混时长，狗贼
大制作！！！！！！！
时差党开心了
大制作
暂停成功 白色的
6666666
真的，你币有了
这不是，抖音大佬吗
别的不多说了，祝你官司什么的一切都顺利!
看看我刷出了什么
奈斯
做大做强
4:21
我永远喜欢青鱼姐姐
缓缓的打出一个？
胜利
时差党的胜利
带制作
这大半夜的
？
肝就完事了
带制作！！
????????/
？
来了来了
通宵党的胜利
5：05
6035
渣男 都有钱请群演了 膨胀了
怎么像荒野大镖客的BGM？
狗贼去丽江了嘛
猝死党的胜禾
我来了
来了来了
秀了刚才
死神 来收人了！
渣男！
做大做强！！！！
秃头冲冲冲
双声道
我先来，青鱼天下第一
青鱼天下第一
盲猜队友？
青鱼天下第一
青鱼天下第一
癌症党的胜利
都是按着喇叭催你去丽江的人
青鱼天下第一
？
我是修仙党现在是大乘期
为啥没有声音啊
奈斯
7843
大制作，水友演技点赞
开始了
沙发
大制作
大制作
？？？？？
青鱼天下第一
前面的有病？什么叫用过了就不认人了？
通宵党的胜利
青鱼天下第一
青鱼天下第一
通宵的胜利哈哈哈
哇
这个时间
非法组队
我想跟你一起玩
青鱼天下第一
通宵啊
熬夜党的欢呼
终于来了
通宵党的胜利
奈斯
WC
早起党的胜利
来早了
终于来了
卧槽，无情
逮虾户。。。
去丽江
我在场，有我哦
我熬到了么
来了来了
荒野大嫖客
刚上完课就看到了(*^▽^)/★*☆
渣男实锤
疯狂质问
狮子 哈哈哈
恶意组队（滑稽）
大片
大片开始
6666
？
开始了吗
终于。。。
渣男
早起看到的
突然想了想可以开房间的哈哈哈哈
摆拍怪（滑稽）
666
太假了，血居然不是绿的，这还是人吗
饭于到丽江了
青鱼天下第一
原地结婚吧！！！！！！！
卧槽
青鱼天下第一
青鱼爱上梦遗
呸，渣男
缓缓打出一个？
终于来了
青鱼天下第一
通宵早起
大片即视感
带制作
他们再次见面真是这样？    真是天作之合啊
6:45
是电影黄金三镖客的BGM
早起胜利
丽江！
大制作
6666666
等到了等到了
是我打的车 谁叫你不理青鱼小姐姐
我哭了
？？？
6666
直接三连
ohhhhhhhhhhhhhhhhhhhhhhhhhh
？
？？？
终于
不去丽江就别怪我白嫖了
去丽江啊
难道都是群演？
丽江
可爱啊
凌晨4点发视频。。。梦遗辛苦了
渣男，，，，，唔，，，都给我哭
丽江！？！！！
韩服前三突然上线
丽江
他来了
厚颜无耻
我来了
