这个不是阿兹尔的配音..
没有剑来……
可惜没有薇恩，有点失望。
啊~鸡皮疙瘩
不把了不把了
这是卡莎的配音
小姐姐好看
前面说毁梦现场的是因为声优们都是怪物，毁梦只是因为他们的形象没达到你的理想标准而已
这里面很多不是原配音的
毛妹猎空
我只能说 太多人场面是个看脸的时代
不是本人
说别人长相的，不觉得自己很没礼貌吗，人家是声优，不是模特
艾克有丶像
洪海天老师
艾克
无敌
厉害啊，配音者
键盘侠说不定也丑的一b
妲己
感觉好像铁男啊
沙皇的配音有后期音效，人声发不出来
白色的！！！拔刀吧 勇士们
哇，声优都是怪物
人家靠声音就能吃饭，你能靠你的长相吃饭？评论长相的都是孤儿？
恕瑞玛你们的皇帝驾崩了
啊~~~~awsl
盖伦才是永远的主角
一直都是用的剑魔的声线
我将带头冲锋
鸡皮疙瘩！太棒了
我要剑魔的
不是
万茜，我靠
洪海天
Ohhhhhhh
声优大大们辛苦了
fff
我喜欢蓝色的驴
四里，老番茄
aswl
弹幕啥玩意儿，都是小孩子吗？
蓝衣服的阿姨好厉害啊，致敬
这劫不像啊，不沙哑
好厉害，佩服佩服，
太强了
我想说牛
牛
视频结束前我要穿白衣的女生的全部资料
国产cv之光
俺老孙呢
不像
牛批呀，果然声优都不是简单人
我哭了
鸡皮疙瘩
中间的配的有气质
艾克不是
我们一般叫流浪，不叫浪法
魔鬼吧
这个人学的不像阿
盖伦和艾克的声线差这么多他是怎么做到的
这……人和声音完全对不上啊
声优都是怪物
艾克太像了
好漂亮
沙皇的配音电脑处理过，所以不一样
弹幕一群人对着长相说三道四，恶臭的样子让我想吐
起鸡皮疙瘩了！！！
厉害！
给镜头啊
国服配音还是黄莺老师最牛逼
哇
导演会切镜头？
666
艾欧尼亚，昂扬不灭
不看了不看了
这个男的声音不太像啊
艾希接触的第一个英雄，听着好感动
666
艾希好像也是这个小姐姐配的  好棒
他不是盖伦的原配，盖伦原配是吴磊，亚索也是他配的
不是万茜
6666666
鸡皮疙瘩掉一地
洪老师牛逼
沙皇配音确实修过，但是原配真不是他
我有两把枪一把叫射，一把叫      啊
这就是你分手的借口~
压缩的呢
艾欧尼亚昂扬不灭！
我告诉你们一件事，LOL出手游了，但是农药又开始抄袭了
人在塔在，狡诈恶徒
鬼鬼
为出生之土而战
讲真，他们的声音从小陪伴我们到大
挖掘机呐
谢元真吧…好像是这个名字，jinx声优
*卧槽
好漂亮
金克丝好评
我是太阳的抉择
加低沉音效就对了
巴德呢？
这么6的吗
666
想听雷克塞女王和巴德的
安妮很像
宅男的怒吼
金克斯压根不是她配的，仅仅是声音相似才让她在这说的吧
他们真的有在说话吗，感觉在配合背景音乐说出嘴硬
我想听狐狸的
艾欧尼亚，昂扬不灭
舒服
声优都是怪物
卧了个槽
这个配提莫的
在祖安，只有强者才配拥有双亲
原来这就是你分手的借口
啊啊啊啊我酥了。。。。
六批，六批
声优都是怪物
牛逼
这不是原配
就是不给镜头呗
金克丝我老婆！
伊泽瑞尔？？？
右边这个跟原版差远了吧
太厉害
这些不是每个都是原配的
郭富城就在眼前
哈哈
艾克的配音叫李正翔，不过你基本找不到这个人就是了
金克斯是真的听的爽
卧槽，太强了
干掉你们这些装B键盘侠
拔剑吧这个白衣服是我的
有的不是原配
面对疾风吧
这个是假的吧 一抹夕阳
他一点都不像 
绝了
奥利给
哪个人是夏一鸽
放屁盖轮和亚索一个配音
我要听大嘴的
卧槽
这是切镜问题
嘴型对不上
祖安出来打个招呼？
我要看上单小炮的配音
浑身鸡皮疙瘩
鸡皮
又是你
海天姐牪！我爱李！！
蒙上脸吧
没有没有
沙皇不是个老爷子吗？这是谁
太强了
卸载lol
弗雷尔卓德
声优都是怪物
金克丝配音不是谢元真吗
哇，好厉害
只要998
牛逼
黄鸡卢锡安不像
这是我的两把枪～
这导演没经验？ 镜头切的乱七八糟
我裂开了
我抱走了
太牛逼
摄影师加鸡……鸡毛
粉了
巴德谁配的
金克丝不是，起码不是游戏里的声音
nbnbnb
我不管，你把妮蔻给我整出来
爱了爱了
就是不给白衣服的镜头 也是服
我是大屏幕
特写啊！
6666666
为啥我想到了乔碧罗
艾克声线我可以！！！
裂开
纳尔呢
沙皇不是个老爷爷吗
这嘴型不太对啊
你的皇帝驾崩了
6
表白白衣小姐姐
万茜？？？
那你打死我吧
我们都听见了
刚选了刀妹
自带混响？？
恕瑞玛，你的皇帝被削了
诺手配音是程玉疏
开枪？
狡诈恶徒！
bzzbbzzb
鸡皮疙瘩
盖伦空大了
影 流 之 主
刀妹这配音我人酥了。。。。
牛逼！！！！
我擦，我的赏金猎人长这样？
刷乔碧萝有点过分了
好像万茜啊
不想把不想把，溜了溜了
我的鸡皮疙瘩欧
要修音的  很明显是一个人
有点像万茜呢
导播不懂事
66666
惊呆了！
第一条b站弹幕
艾欧尼亚万岁
都是怪物
我也觉得镜头切得很业余
这届导播也太业余了吧
德玛西亚
戴眼镜那个男的感觉配的有点不像
666
镜头切的我头疼
哇瑟
鸡腿没了
没内味
这个配的全是那种。。。。
卧槽
艾欧尼亚，昂扬不灭
nb
？？？
刀妹不是原配 她是卡莎的原配 但是声音跟游戏刀妹一样
鸡皮疙瘩
我想听挖掘机和巴德这里有吗？
看我的傀儡，跳舞吧！
我是小兵
狡诈恶徒
你把机器人的配音给我整出来
这个cv这么厉害吗？
哭了
白衣服的我可以
导播不行啊
声优啊
啊啊啊啊好听
有些游戏人物是有后期处理的
长毛
有的不是原声优吧，声音不像啊
就白衣小姐姐可以
666
不要了不要了。我不把了
牛逼
疾风剑豪---健康哥哥
在现场，我是门口保安
充钱起来 我们就会更强
洪海天66
7777777
诺手的配音我记得是给猪八戒配音的老师
这我老婆⬆️
声优都是怪物
这个可真是假的盖伦吸血鬼亚索都是王磊
岩雀是陶典呀
狡诈恶徒
↑老婆
牛逼
你确实只是杰？不是塞拉斯？
这句太帅了啊啊啊啊啊啊！
666
我裂开了
宰了大龙
这就是声优，恐怖如斯
万茜？感觉好像
刀妹瞬间鸡皮起
ohhhh
我可以
巴德呢
这个盖伦的配音好像盖伦
？？？对不上
一群从内到外丑陋不堪的人在评论别人的长相
艾欧尼亚
为初生之土而战
FFFFFFFFFFFFFFFFFFFFFFFFFFFFF
太太太太太牛批了
我裂开了
我裂开了
为我沙皇打call
求巴德配音
太专业了我傻了
卧槽牛逼....
这个人。好像换了。之前不是这个配音
这个人最不像
无形装逼最为致命
俺也爱黎明！
好运姐
不像的那个，你tm聋了吗？
诺手好像是怯懦之举我绝不姑息
配音都是。。。。。怪物
就是你配的啊
哈哈哈哈
鸡皮疙瘩
emmmm……
暂停看姐姐
劫 不想啊
fff
声优都是怪物
吨叔呢
！
！
666666
都是大牛
tql
我裂开了啊
这就是祖安人打招呼的方式
心态崩了
6666666
我心梗了
中国声优和日本声优的颜值差距太大
怒踹玛
这就是你分手的借口？
天使彦呢
卧槽卧槽卧槽卧槽
鱼和熊掌不可兼得
大型剧场口型肯定对不上，别说了
人在塔在
我是你哥哥！
哈哈哈哈，脑海里的方言出来了
好燃呐！激动！
让金克丝来 人家当年还是个演员
awsl
哇
卢本伟牛逼
太强了！
神仙现场
我爱黎明
艾欧尼亚，昂扬不灭！
声画不同步吧？
蒙多，觉得你是个大娘们
秀
好运姐
我裂开了
也？
幻 灭
哈哈哈，有趣的女人
裂开
cccc
巴德说的真好
我老婆太好看了
厉害
小鱼人也是她配的
黄鸡不是原配
赵厉
洪海天中国配音演员很厉害一个
鸡皮疙瘩
鸡皮疙瘩哇哇哇
欢迎来到祖安
一半英雄都给你们配完了
长毛？
声优都是怪物
这个人不行啊
艾克
鸡皮疙瘩
。
我还是喜欢吴磊的人在塔在
这就没了？
为出生吃土而战!
为出生吃土而战!
打扰了
秀
？？？？？？？？？？？？
点击左侧录制按钮 即可开始录制本局比赛
牛逼啊！！！！
点击左侧录制按钮即可开始录制本局比赛
过年了
老番茄老番茄老番茄
？？？？？？
安妮好可爱
御姐音
6666
这就是祖安人打招呼的当时
？？？？？
？？？
德玛西亚！
艾欧尼亚，昂扬不灭
