祸福自己招
可笑，人怎么可能有绝对的好坏
丘吉尔也不是什么好东西
汤老师
历史课代表＋（n＋1）
打破德军不可战胜的神话
精德落泪
精德落泪
墨胖开始震怒
二战最大的笑话马奇诺防线。
默哀
乌拉
历史课代表+1
鸟拉！
危
默哀
红色警告：二战正式曝发！
帝国余晖了
波兰鬼子也不咋地
大英帝国最后的骨气！
致敬
我们身后就是莫斯科！
不列颠空战真心牛逼！
是国军！
北方的铁矿
危
乌拉！
德意志最后的顽强
ypa
鹰酱罗斯福已上线
乌拉
默哀
再来亿遍
贝斯特牛逼
全体起立
历史课代表+n
沙漠之狐没了
致敬英雄！在德国的轰炸机下阅兵
唉
德军U型潜艇
全体起立！
全体起立
为什么要为但泽而死
ypa
大英帝国皇家空军  
我们身后就是莫斯科！
除了德国都笑了
猪队友上线
再来亿遍
作死模式
默哀
保不住
鼓点真的爱了
危 世界 危
bgm出戏了。。
开罗宣言！
大英帝国最后的荣光
企业！！
至暗时刻
无啦
泪目
把法军士兵送上天堂！(此时此刻丘吉尔的内心想说的是)
中国不会亡!
全体起立
戴安澜将军千古，向中国远征军致敬
远征军太难了
全体起立
战地排面
剪辑可以哦
日本人永远欠我们一个道歉
保卫苏维埃！
在全世界最大的领土上打闪电战？
危
乌拉！！
啊啊啊不错
致敬
不喜欢丘吉尔，玛德对中国有偏见。
这常德保卫战的，1943
国策：莫斯科防御战
三连了
片尾有所有的bgm
吾辈当自强
南京不可能打成莫斯科保卫战的，日军装备先进还有海军支援，要不是沉船封江
法国投降了
远征军的战士们，向你们致敬
默哀
默哀
记住历史，振兴中华！
前方全程高能
第三遍了
默哀
每天一遍！
南京保卫战不可能打成莫斯科那样，当时中日差距比苏德差距大多了
NB！
最后一课
一年零一个月就失去了战略主动权。小胡子就是个班长，考虑的东西太短浅
每日亿遍
致敬
我们的身后，就是莫斯科!!!
波兰：？？？
罗斯福，美帝国的实际建立者
乌拉！
还真就四强，当时除了英美俄，没投降的国家也没几个
远征军死伤太多了
他们的血，他们的领土，他们的命!
日本达成玉碎冲锋成就，同时美利坚TF58黄金舰队起航
整个欧洲？把东欧开除欧籍了？
危 日本 危
在这里讨论好坏的你确定你小学毕业了？
还整好坏之分，真是幼龄化
默哀
“过早暴露我军军事实力”
默哀
乌拉！！！
老美是真的狗，两边都不得罪
全体起立！
人家是政治家，不要评论好坏，坚持和德国作战就很牛逼了
“过早暴露我军实力”
闪电战
默哀
我们身后就是莫斯科！！！
伟大个锤子   铁幕演说就是他提出来的
这不是LOL mv 的曲子吗
看吧，英国残了
斯大林格勒太惨了
沙漠之狐
危
美国把日本的石油断了。并叫日本退出中国。日本不干谈崩了
keep calm and carry on
国策：保卫列宁格勒
国策： 钢铁条约
国策：里宾特洛甫-莫洛托夫条约
静坐战争
不该打的
德军有这潜艇 盟军还玩啥
触发怒海狂涛
戴安澜将军千古！
默哀
大英帝国最后的辉煌
你把他当神，丘吉尔不把你当人
约克城级永垂不朽!
乌拉 乌拉
一寸山河一寸血
约翰牛坑惨高卢鸡
全靠肉体对抗钢铁
《联合国家宣言》
卡廷森林不是法西斯，但也挺不地道了
《至暗时刻》
淞沪会战打垮了国军的脊梁？去读点书吧求你了。
三巨头vs三巨头
英国如果输了二战会更惨
隆美尔和蒙哥马利
戈林和道丁
国策完成，但泽或战争
德国就此衰落
ypa
至少丘吉尔没投降
凛冬已至，春天何远？
走啊，我带你们回家！
走啊，我带你们回家！，
我们身后就是莫斯科
默哀
bgm 英雄联盟cg里的
致敬
危
转折点
   危
大片既视感
U艇群
皇家橡树号哭了
三大转折
未曾设想的道路
奥虽三户亡德必奥
默哀
张伯伦
永远铭记！
致敬
静坐战
默哀
大象踩蚂蚁结果大象脚崴了
斯大林格勒保卫战
电影选的有一些纰漏，但是气氛塑造的还是很好
国策被跳过：埃塞俄比亚战争后勤
触发怒海狂涛BUFF
默哀
一定要活着回来
默哀
新  手  教  程
您已触发事件【凛冬将至】
好队友开始上线
女狙击手？
让库图佐夫的灵魂鼓舞你们！
“莫斯科，可不是你们想来就来想走就走的地方”
素质三连
好 队 友
默哀
欢迎来到，无限火力
光速站队
弹幕真就一群舔美
太强了趴
乳法时间到
说美国是千古罪人的人学过历史吗？
上海失手
你惹错人了
但泽或战争
危
台儿庄乃吾人台儿庄乃吾人光荣所在！！！！
战地5，是战地5！
默哀
默哀
全体起立!!!!!!!!
我们身后就是家园！
轴心国
丘吉尔就np起来了
默哀
默哀
这个应该叫:镰刀行动
默哀
全体起立!
世界四强可还行
来迟了
同志，你知道斯大林格勒怎么走吗
人类史上最宏大的悲剧开幕了！
我 们 自 地 狱 杀 回
全体起立
全体起立
战雷玩家前来了解情报
这都哭？？？？
国民党就一个淞沪会战？
前方高能
板裁
二战转折点
重挫德国空军
啥BGM
有历史的温度书友吗？
美国是二战后最大获利者
同学们都给我记住喽，都是考点啊
872
常德保卫战电影《喋血孤城》
丘吉尔只是英国的丘吉尔别想多
丘吉尔牛逼！！！！！！！！！
美军侦察机：MMP5只大和
身后就是莫斯科，我们无路可退！
中国威武
能加上地图就好了
确实是托布鲁克
中考历史满分嗯
sfls历史社报道
↑真的烧了一架飞机
我们身后就是莫斯科
致敬
默哀
默哀
全体起立
丘吉尔那时候英国国力最强盛，跟德国英国战力就崩了
我历社课带表
丘吉尔确实厉害，虽然打英不行了，但是他却拯救了整个欧洲
二战时世界上最大的战争，好好珍惜现在吧
bgm真带感
二战转折点
孙立人
某光头:今晚去看戏
斯大林格勒战役，二战最大转折点
远征军回来了多少？
罗斯福牛逼
前方核能
前方高能！！
新手教程 差点死
全世界都知道二战德军将领是真的强
这个条约两国都知道持续不了多久，只是瓜分波兰的保障罢了
莫斯科娃
新手教程的笑死我了
不会真的有人现在还用好坏来评定一个人吧
默哀
法国投降一周年
北方的铁矿
八佰！！！
无法忘记在南京大屠杀纪念馆看到的，默哀
it is the reason i am sitting in this chair
默哀
每日一看
至暗时刻
出自《南京南京》
默哀
转折点
吹蒙哥马利的知道市场花园行动吗？要不是没油了蒙哥马利打不赢
丘吉尔有啥伟大的。。改变二战走向的霸王计划，他是最大的反对者。
每天一遍
敦刻尔克撤退即将开始
邪恶的轴心国
It is the reason I sit in this chair!
感谢
牛逼
..0
.0..
.
我们的省后就 是莫斯科
苏联触发buff：伟大的卫国战争
ypa!ypa!ypa!
5刷了
？？？
大片大片
再来亿遍
《决战中途岛》
London Spitfire！
苏美中英！！！！
我的团长我的团！！！
战地5！！！
战地5
闷声发大财
打出来个爹
说实话德国输在天时地利
祸水东引 避战求和
淞沪会战 打得真的惨烈，烈士不朽
恶魔降临
波兰闪击战时就有虎式了
这里英国议会很有感觉
珊瑚海！
斯大林格勒
转折
这是《决战中途岛》电影片段！！
全体起立
