第2个
来了
来了来了来了
不知道有啥
热乎的
来了
害 我错过了
666
laile
来了老弟
啥呀
求翻译
来了
？？？？？？？？？？
P5天下第一
有翻译吗
来了
6666
这帽子
梦开始的地方
？
来了
开幕雷击，结果还是gta5
应该是
来了来了
哈哈哈哈哈哈哈笑死了
难道说？！
这是伟大的一天
此番弹幕我岂能错过，冲冲冲冲冲冲冲冲冲充
淦 还以为要出gta6
OHHHHHHHHHHHHHHHHHHHHHHHHHH
gta5
冲冲冲
gta5:我还要再战500年
gta5不知道？？？
不需要翻译什么，大部分看就懂了
吓我一跳
还有人没买？
来了
我还以为我没开弹幕
她来了
Sony真厉害 把gta5没啥口吐芬芳的都快用完了
吓我一跳卧槽，还以为。。。。。
高维时空
居然还重置！！！
正片69分钟
奎爷牌面!!!!!
刚刚那是ps 4
又炒冷饭
从ps3就开始玩，疯了
三代主机？？
战神排面
还能有重力眩晕3吗？
for free
从ps3挣到ps5 gta5是真的狗
任天堂天下第一
刚睡醒 起来看..
这也能吹 我是没想到
我一个非ps用户都在看
GTA5 要做三朝元老吗?..
任天堂第一的请死出去
热乎乎的
66666666
哈哈，任天堂
芜湖
直接会免？
字幕君呢？
老子以为给他爱6那吓我一跳
来了来了
来了
刚起床
次世代 我来了
接下来你将看到的所有游戏演示均为PS5画面捕捉
嗯嗯嗯，ps5天下第一，你妈不给你买ps5
重力少女排面啊啊啊啊
Windows提示音草
开幕雷击 原来不是
有好消息吗(✪▽✪)
就这？
冲冲冲
钱包要兜不住了
五台主机；一个游戏霸占三个
heiehi
弹幕怎么这么少
录播还没中文…索尼不重视中国玩家啊
弹演翻译呢
ps5没人
我还以为6 wdnmd还在宣传5？
芜湖
它来了
美美我喜欢你
上下兼容么
流弊
zao
只买过ps1
6d点起来看这个?
又是那个游戏
才刚过一小时有中文才怪了
三代老臣啊，现在又辅佐PS5
一个重制能吓死我
我耳机坏了？
都还没起床呢
饶了gta把
小蜜呢，快来翻译啊
蜘蛛侠！
没关系能听懂
民间翻译呢
我来组成头部
没字幕看个毛
我解释下是photoshop 5  简称PS5
刷任天堂的请不要给任粉招黑谢谢
来了！
我聋了?
来了
一上来就给他爱
翻译呢？
刚醒
但是为了今天这一天我们已经等待好多年了
给他爱六是不可能出了
gta5现在还这么赚钱怎么可能出6
啥啊，我还以为gta6
没有人吗？
PS4用户从今天起到PS5版发售为止每个月送100W
刚刚睡醒 晚上的发布会真的没有精神看
这个开场让我觉得这个发布会好像没啥东西
都说了多少次上千款游戏向下兼容
我吐了啊
左上角还PS4呢
没翻译 看个寂寞
gta5重置应该画质比pc更好
6点55在看
gta5又上了
来了来了，4点真的起不来
各位早上好
？
说吧，多少钱
三朝元老哈哈哈哈
回忆杀
凯特老婆
三朝元老
人呢，说好的翻译
首发三，移植四，护航五
哇偶
7点开始看
佩戴耳机听音效果然爽
这波，这波叫摇滚不死
以下画面均采集自ps5实机
我怕不是英语八级
来晚了
这游戏最早是出在ps3啊 加强版的加强版 凎
来了来了
来了
帅
会免？
我现在看到你就烦
ps5线上体验会不会比pc要好。。？
4点起床 忘记看了
嗯嗯，说得好
三朝元老。。。。
gogogo
我缺的是这几百万吗 我缺的是gta6
