麦克林！！
好家伙氨水
徐志胜同款刘海
我以前还以为是发霉的
玩过
《简单查了下》
我特么怎么就查不到
我差点就信了
真有一个大神走了
经典《一点》
？
成核势垒？（也有可能是我记忆错乱了
?
好家伙氨水
【一点】
科大人路过
乙酸铵吗
关注了
结束得有点仓促
up绝了
绝了绝了
好家伙，圣诞树工厂
【皮毛】
好像花菜
一点
进度条：？
好家伙，我看见了康颂，不便宜啊
严谨
马利水粉
从圣诞树到立体化学   （好牛哇）
这是KDP?
小时候买都少买一包辣条吃
五毛一块忘记了
严谨
皮毛）
up幸苦了，投币鼓励一下哦
父母會用藍墨水刷白鞋 
好家伙
书架上的标本是大蓝闪蝶？
翻译翻译，什么叫惊喜
我去？麦克林和氪道
一点
这个我熟啊，检测离子哈哈哈特征蓝色
有味吗？
老白是专家
好家伙，为了一个小玩意
《一点》
尿碱。旱厕常见
好肥料
氨水，开始有味道了
布拉维格子
完了我觉得没人了
一看到氨水我放弃了
一点？
为啥我觉得扎手的好看
好神奇啊
牛哇！
打个光谱看看？
质点这里概念弄错了吧？
真的是离谱，想知道什么配方跑个色谱啊？
《一些》
一会出来个蔫坏的小老头：我要开花！
真的像马桶刷
三连了，佩服
经费爆炸
那块菊石我很有兴趣
这不是检验亚铁离子的时候
BC
万 宁 五 子 棋
进入瞌睡时间…
好家伙
看久了棋盘再看屏幕上方灰色的部分会有视觉暂留哎
你知道医学生有多容易把这玩意看成病灶么
就是硝啦
康颂？？？？？？？？
我也觉得扎手的好看
康颂？考前美术生都不舍得用.....
试试宣纸或水彩？
他似乎真的想教会我们
我已经不认识“简单”了
哈哈哈麦克林
晶胞
真有钱
牛逼
这玩意是咸的
就是好奇普通人怎么买试剂能，阿拉丁网购嘛
晶体的自范性
硬核
这就叫创新思维
我在 up很好
大佬无疑了，直接关注
Ohhhhhhhhhhh
很好
我覺得你的比較好看耶 刺刺的感覺比較像松樹
大佬的亿点的
有的，在听
我的天
然后把我的手指给烫了
材料人表示很赞
他说的好像是中文，但是我怎么就是听不懂呢
配图为海蓝宝石，六方晶系
钻石，等轴晶系宝石
已经听不懂了
不会是万能的表面活性剂吧
这个闻起来有奶油的味道
在呢，up讲的很吸引人
你是来炫富的……
点阵
我大清早起来上课的感觉
氨水可太臭了
还好我学校图书馆都有
14种布拉格点阵
确实 材料兄弟
这不能完全说是立体化学 
好多
大气压一万倍 可以把石墨压成钻石
康颂水彩纸半开的要8块一张
？
在，就听说话而已
给币了
好多花菜
B
里面用普通纸，外头包裹一层卫生纸吸水呢
学术圣诞树
好家伙
好家伙
太专业了吧
这 用不完的纸可以给我吗……
好厉害
麦克林
在认真听
好家伙，差点以为在看大学慕课
没加工的钻石特别便宜
圣诞快乐
有
康颂素描纸
结矿，三矿狂喜惹
后面的罗小黑！！！
在在在
好家伙康颂
你这是要开厂子呀
已经困了
童年回忆
强
诶 我算是老粉了 up百大指日可待
前面的我看成 就是屑了（doge）
投币了
进度条出卖了你！
我困了
搁这儿骗谁呢你
有些钱还是可以给别人赚的哈哈哈哈
up很用心
手指烫的等等我，当时放课桌里撒了
不扎手的像菜花，扎手的更好看
无处安放的手
刑啊
厉害了
已经开始困了
？
我一法考生听到现在是图啥（doge）
哈哈哈哈麦克林
大一化学生狂喜
擦，猴面包树
你这么说我就困了啊【该死的理科】
简单查了一下……
已经是我听不懂的范围了
他为啥认为我们能听的懂呢
他真的想教会我们
看论文过分了
？
缺陷形核
这个东西好像还有香味
谁中毒？
我觉得扎手才是真的松树结冻
已经完全听不懂了
告诉我圣诞树的配方，我研究研究她的身体
来人间凑数的我
钻石并不贵
挺高级的
当然，up主能淘到这些足以证明他的热爱与用心，岂止用钱衡量
