来自星爷的肯定点头
宝强哥
宝强说的对
王宝强的故事确实励志
那些拍烂片的流量明星敢来？
可惜十年才能出一个王宝强
王宝强的树先生真的演技超好
如果101次还是没选上呢
宾馆？？？
名场面
加油陌生人
星爷当年跟王宝强故事差不多的
加油
王宝强小学毕业的，怎么懂那么多道理
邓老师去钓鱼吧
那就102次
现代素质教育教的是知识，不是道理，道理都是自己感悟出来的
经历的多了自然会懂得各种道理，小屁孩
那就102次啊
宝强很真，
王宝强天赋太强了
演什么像什么
马蓉硬是没找出他的黑料
王宝强是光头强原型嘛
面试的
史泰龙面试了一千多次才成功的
心酸
经历让人成长
诶 现在高攀不起了
话里话外都是苦过来的人为什么婚姻另一半的选择那么不靠谱！
那就是102次了
为啥都是在宾馆？
喜剧之王
说的是坚持兄弟，101不行还有1001
好样的。这才是应该支持的明星。
一百零几次这个话题有必要讨论吗
这么好的男人不要给我
h yao y de
好样的
星爷也是类似的经历啊
杠精哪都有
我是在说眼睛干不干的事吗？
首中既停没学过？
道理大家都知道，但没有几个能做到
说的真好，自己说到做到
真 人民艺术家
他是典型的实践家
你配不上他
那就102次
王宝强很励志的一个演员，他的起点比很多人都低，也一直把握住了机会，很多人有红的机会，但就是两年就消失
点赞1000+
树先生真是演技爆棚
懂道理和上学没有必然联系
经历啊
是演艺圈我不想用娱乐圈来形容他，演艺圈中一手烂牌打出王炸的男人​
关键几个人能坚持100次，这就是区别
赌狗
要杠不要来b站
弹幕怎么都。。。。低智啊
有错就认，挨打站稳，真男人
宝强哥
王宝强是数学还挺好的，他还敢给要高考的刘昊然辅导
这种导演也导不出好片
哈喽啊，树哥
那我就会去尝试第102次
太难了
hello树先生，王宝强巅峰作品
对，信自己!
童话故事你也信 
需要宝强这样的人，不然娱乐圈真的是摆烂
前面说方便办事的兄弟，剧组拍戏期间都住酒店或者宾馆的，看情况而定
当幸福来敲门的名句
永远不要让别人限制了你
周星驰肯定感同身受
马蓉垃圾
真诚是王宝强最强的功夫
10068次在等你
这婚改离，她不配！
一眼不咋  眼睛不会干吗？
剧组工作大半都在酒店，不可能去一个地方先买百八十套房吧
配乐实在忍不下去了，再见
横店小剧组面试基本都在宾馆。我大学校招场地不够基本也是安排在宾馆。就是一个面试的场地，进社会就知道了
成长
怎么座位上没贴郭敬明的名字呀
对于不想坚持的人，没有任何理由能打动他
这个话刘宇宁也说过，当然这是幸存者偏差，祝他们都幸福
我长年跟组的人，剧组都是在宾馆办公的，副导演演员办公室财务啥的都是在宾馆
他是我们作文的案例 写的坚持和奋斗 议论文
别人不是嘲讽你的梦想是嘲讽你的实力
千千万万的王强也只能出来一个，绝大多数人该放弃的时候就放弃吧
他母亲现在也离开了
最喜欢宝强
这不就跟找地下水一样，万一下一次就挖出来了
这个坚持不是说一定成功，一定是做好了失败，永远被看不见的打算在坚持。
好棒
一个人的武林
那就102次
喜剧之王
那就是命里没有
封于修:既解决高下也决生死
道理和学历无关，和人心相关
树哥那个真的是演技的巅峰！
道理不是学的，是悟的，纸上得来终觉浅
102
102次
佟大为
对
我觉得比郭四的作品好看多了
朴树即视感
生活的道理和学历无关
复制者为王
真正强者并不怕失败
强哥nb
王宝强是北漂的一个奇迹
王宝强跟许三多一样的，这种人做什么都能成功！！
王宝强的功夫不输甄子丹的
王宝强小学毕业，却能教会很多大学生
星爷应该是感同身受的
智慧和知识多少没关系
被马蓉气死的
树先生值得一个影帝
唐三烂是因为导演为了捧其他人，把宝强的小唐边缘化了，唐3小唐变得可有可无
之前说唐探双男主，结果唐三小唐变得可有可无   唐三烂能怪宝强
希望宝强别再拍唐探了，去和其他导演合作不香吗
多少群演才走出一个王宝强  努力天赋都需要有
唉 宝强妈妈也去世了
厉害宝强
少林弟子都有慧根啊
人生的道理不是学校教的
大多数坚持不到100次。
nb这句话 长的不好看自卑 其实看开不在意别人活自己就开心了 但是很难悟想通
哈喽啊树哥。
搁这叠背景音乐buff是吧
宝强，我们老老实实演戏，咱们不做导演，成不
支持王宝强
你可以不坚持但请不要打击别人
岳云鹏
星爷不帅多了
马蓉之流实属可恶
成功的背后不是沧桑就是肮脏
我觉得我又可以了
能理解，那是他最困难的时期
没有口音了喂
宝强邢台老乡挺你
肯努力，勤奋，好学，所以我一定可以！
说的是坚持  这都杠
经历的多了自然就懂了
幸存者偏差
背景音乐太吵了
应该演个村干部题材的
拍戏不是需要多种多样的人吗？都是奶油帅哥美女能拍什么内容
小人物是星爷能用好
真是被他前妻坑的不轻
马蓉
少林出来的功夫能差吗
我们都是树先生
我觉得吧 王宝强别去拍那些喜剧电影 一点也不好看
这种不屈不挠，我去拼搏的精神，值得我们肯定
好励志啊
宝强可以的
最被低估的男演员，
别人只记得他是草根出身，却不晓得他是个天才演员
致敬
很朴实
十三邀这个主持人最装逼最看着烦，想表现的自己有文化有深度但啥都没有
和妈妈太像了
0.
其实说的还挺感动的
说的我好羞愧啊
树哥好啊
树先生
那就102次
这音乐乱糟糟的吖
不会剪辑就别学人家剪辑行不行？
