情感好丰富的一支舞啊
啊啊啊啊
糖糖！
安乐公主
女神太美啦！！
糖糖
好绝好绝！！呜呜呜女神好绝！！
好美呀！
糖糖表情好到位
这个泪眼
天哪，太厉害了
糖糖演技好好
这滴眼泪杀我
再来亿遍
哇哦
好美好美！！
又拿糖糖勾引我是吧
绝美
糖糖是舞蹈演员呀
怎么看，怎么绝
煌煌祖宗业，永怀河洛间
这个圈圈转到我心里了
这个景很好看
这里以前的繁华和现在的破败 场景转换提现内心的情绪反复
天呐！这个是怎么旋的？！
好美
这几步真是走进我的心
我太爱了呜呜呜呜
这一段太凄美了
唐诗逸就是美的化身吧
要
必须要
要
要
太美了，国舞首席颜还这么好，以后我怎么敢照镜子
要
要
必须要
要
必须要
必须要
必须要
要
必须要
要
要
必须要
核心好强
志不得舒心结郁闷时的遐想，其实她现实中都有过了
糖糖是国家一级演员
这回眸呜呜呜惊鸿一瞥
想要的那么多，终归什么都没有
糖糖女神！！！！！
舞蹈和音乐绝配！太美了！！
鼻子一酸，哭了。
其实不过笼中鸟，不光是现实中的，也是思想上的呀
那我就在笼中起舞吧
啊啊啊啊啊啊啊啊啊绝了
绝美！绝美啊！
失意了
哇这个腿
太轻盈了吧！！！
各方面的绝了
这是被困住了，暗示笼中之鸟吗？
我靠，故事性好强啊！
想死在糖糖裙摆下
可以理解为换一个角度看她的人生，其实是被严重桎梏的，也可以理解为现实中她就是笼中鸟呀
好美的镜头
糖糖！！！
必须的
啊，这结尾呜呜呜呜呜
好美！
老婆！
无力落衣袖，只道春意深
悬空的探海翻身
宛如舞在空中
太美了，全身每个部位都美的要死
老婆的练习室什么时候出来
好美啊啊啊啊啊啊
自杀了吗(╥_╥)
啊啊啊啊啊
好美啊
这个转场醉死我了
人生得意须尽欢
麻麻！！！糖糖用眼神撩我！！
虽然得意，但还是笼中鸟
手太美了！一举一动都是韵！
恣意的舞步配上凄美的背景
嗷呜
比雨霖铃的剪辑好太多了，雨霖铃太可惜就是切镜头太碎
这段光影变幻我好爱！！！
在床上打滚
姐姐我可以
风起洛阳东，香过洛阳西
无一刻不美
这一幕太喜欢了！！！
必须要！
哇，好看
美哭了
哀怨
像嫦娥在月宫的场景
柔若无骨
太美啦
最近自缢了吗？笼中起舞
卧槽这故事感太牛逼了
有此乐，不思蜀
我特喜欢这里的笑
美滋滋
太美啦！！！
必须得啊！！！！
好美呜呜呜呜
练习室练习室练习室
才才
提裙 好好看！！！！
笼中鸟
太绝了
袖子可以这样的吗，我不理解
卧槽，美死谁了！！
唐诗逸是国家级中歌剧院的，别老刷河南好吗
再来亿遍！！！！！！！
高能 这里像绽放一朵花
太美了
哇，这道光，这眼泪！！！
再来亿遍，看哭了呜呜呜
糖糖，太美了
这结尾震撼到我了
跪求练习室
宛转蛾眉马前死
美绝了
真的好美
现实与幻象的对照
唐诗逸！绝宝儿太会选人了
听咬字是不才
绝对演绎也太能搞事了
意料之外的联动 真香
我以为我看错了 游戏必玩
你请糖糖 说明我们品味相像hh
我糖的舞蹈情绪拉满
绝了 各种高难度动作
虽然不了解背景 但被舞姿震撼
她扮演的洛神也美的一批
国家队的实力能差吗
看弹幕才后悔自己书读少了
太美了，想画下来，也想写下来
这回不用梵镜二人组动手了，凄美哇
解锁舞蹈剧本的人来科普下
是舞蹈家 同时也是好演员
绝对演绎：编舞我是专业的
糖糖出圈作品+1
躺着都浑身是戏！
看到糖糖立马预约游戏下载
被糖糖轻松拿捏
必须要啊啊啊
她跳的好轻松啊
手部动作也很美呀！
指甲也做的很唐朝呢
远看我糖有种朦胧美
安乐公主吗？结局有点惨啊
这感染力绝了 	
唐诗逸真的是跳什么都好看
唐诗逸真的好好康
国家队的颜根本不惧怼脸拍
这编舞还不行？
古典舞我只服唐诗逸！
滴！绝对演绎卡
带你们见识下国家首席的魅力
又是为精美服化道流泪的一天
服装太精致了 好好看啊
绝对演绎好良心！期待剧本
糖糖不管怎样都好看
	她的每个表情都像在说话
游戏能有这么高质量的剧本 迫不及待想玩
爱看故事的想多玩几个剧本！
腿部线条好厉害啊
啊 根本看不够咋整
每次看她跳舞我都好有代入感
这才是我心中完美的古典舞！
她对动作的控制力真没的说
唐诗逸还蛮适合唐朝美人的造型
唐诗逸的五官可塑性好强！
配饰好讲究！绝宝用心啦
糖糖演谁像谁！不接受反驳
咱就问同款裙子哪里能买
煌煌祖宗业，永怀河洛间
姐姐的发型也有唐朝那味儿
开什么玩笑 我糖是舞蹈表演艺术家
这是游戏里的剧本？我想玩啊
体会到舞蹈在述说的故事
咱就说单循了一上午
唐诗逸好会！故事感绝了
狠狠代入情景 感同身受
我愿称她为舞蹈家里最会表演的
唐诗逸简直是安乐公主现世啊
安乐公主的一生太可惜了
歌词和舞真搭啊
这如惊鸿般惊艳的舞姿呀	 	 	 	 	 
唐诗逸跳啥类型的都很有感染力
又跟着糖糖共情惹
安乐公主属实有点可惜
整段MV的质感很高级
国家队出来的颜值没的说
仿佛看了一场电影 好美
啥时候公测？我要出道！
中间的戏腔太戳我！
首页来的有没有人
国家宝藏唐诗逸！
这支舞也是剧本内容改编的
被笼中鸟糖糖的情绪所感染
游戏剧本这么顶的吗？好想体验啊
这服化道是按电影标准来的吧
看歌词更有代入感了
	种草了唐诗逸的裙子咋整... 
表情管理是怎么做到这么到位的
我们糖糖什么造型都好康
每个转场都hin惊艳
港真 这舞真的很难跳
唐诗逸雪中那套造型绝美
惊了。怎么有人跳的这么好看啊
这样的合作多搞点 我不嫌多
超喜欢雪景里的那套红裙 
雪景布景的光线好有感觉
姐姐冷 披件衣服吧
科普下唐诗逸是国家歌剧舞剧院首席
我糖跳舞时的力量控制绝了
唐老师的实力根本不用赘述！
国家队就是不一样 表情管理也这么绝
没想到会被剧本吸引下游戏
我愿称之为古典舞的神
直接快进到明天
12.24我们一起出道！
神仙转场
啊 网易不要太懂我
