好耶
这，这不是那个小刺客么哈哈哈
如此强大的up主（Doge）
这运动服我笑了
edg!
达叔
悟空
哈哈哈哈哈表情包笑死了
方法
温迪！！
送你一朵小红花
666:/＄XAFBje4＄~.
不火没道理
666
章北海
哈哈哈吴师傅
JO等
没有细数，但我猜测视频里出现的金牌数应该就是今年东京奥运会和残奥会获得的金牌总数
黄金面具
金牌*1
edg！！
小黑！
雄狮少年？
波吉
李焕英
致敬
左下角方块头
感谢小破站
edg牛壁
好家伙，章北海！
还有金牌？
接着奏乐接着舞
诗！！
猴子难不成是黑神话
刀马
袁爷爷！
袋鼠摇
《大脚超市》
致敬  中国红
哈利波特！！！！！
心有咆哮  勇往直前
吴京    鸡大宝
干净有卫生啊
接着奏乐接着舞
大猛子呢？
蛋生！
三连已投，感谢2021，我们2022再见
接着奏乐   接着舞
致敬
致敬
达叔
张桂梅老师
雄狮少年 呸
运动健儿们
吴孟达
画的好传神啊
双人成行
致敬！！！！
加油
哥斯拉都有
你这一句话让我回去看了五遍
三星堆
手工耿
风雨同“州”
哦哦哦mc
我的三体，为什么没有穿山甲
冰冰
EDG！
达叔
一剑霜寒十四州
卧槽唐！
冰冰！！！
宵宫哇！
迪士尼那只耗子还是狐狸？
吴孟达
哥斯拉
刺客伍六七！！！！
雾山五行
好爱关大洲的配乐
那兔！
左下角是章北海!
我的三体
雾山五行啊！
不干了
阻碍我的 豆浆烩面
小青
张桂梅老师呜呜呜
鬼谷八荒，屋上树旁吹笛人
阿七！！
许渊冲
edg！！！！
我们是冠军
李焕英！！1
弹幕别让我失望
刘备又是你
这是何同学？
一只兔子！
24/38
赵英俊！
14/38
绝了
BGM好熟悉
黑暗降临!
5/38
辛苦了
3/38
2/38
祖国强盛
干净又卫生嗷兄弟们
宵宫！！！
常威
罗老师
长津湖
接着奏乐接着舞
五六七
宵宫排面（火系专用配色）
船头挂了一枚金牌
我们是冠军！
房顶树枝有一枚金牌
霄宫，原神二杀
0
啥，还藏了38枚金牌啊
张老师！
云南大象迁移
韦神
弹幕突然就多了
赵英俊
Edg
烟花易逝，人情长存
不倒翁小姐姐
吴京
罗翔老师
小黑
雾山五行
长津湖
老航天，危
长津湖
宵宝！
章北海
下角EDG
EDG在下面
蛋生
庸子
天宫
库克和何同学哈哈哈
袋鼠摇，金鸡独立！
edg
我兔！！！
刘墉！！！！！
宵宫！
bgm：九州同
三连三连
鸭导排面
Edg
下方树枝*11.*12
树枝*5
那兔！
前半部分的背景音乐是啥
库克厨子和何同学！
禁止燃放烟花爆竹。
下边是刘皇叔吗
国士无双
兔子
烟花好评
那兔
EDG 我们是冠军
edg
冰冰是我的！
饮茶先啊！
韦东奕！
果子哥：宵 宫！！
小黑！
巴巴托斯大人！！！
异地鸡！
庸子
鹅姐
EDG！！！
三星堆三星堆！！
袁老千古！
混进来个方块人
edg！
刘皇叔，接着奏乐接着舞
致敬每一位认真生活的人
潇洒哥一路走好
国漫也在呢！
。。。
原来你也玩原神
没有帝君吗
徐伦！！！
为什么不画猛犸！
皇叔？
波吉
宵宫啊
接着奏乐，接着舞！
马龙
韦神！
雄狮少年！！
edg
黑神话！
波吉
眯眼少年
青蛇
干净又卫生
致敬
波吉
支持国货
宵宫
赵英俊
致敬
Mojo
1
黑神话悟空！
吴京哈哈哈哈哈
小青
贝儿！！！！！
降魔大圣！！
致敬！
长津湖
诶嘿
投币干嘛，愣着啊！
好
温迪
黄鸭！！
巫师？
怎么没有弹幕
达叔！！！
好活，当赏
张桂梅老师
张桂梅校长
长津湖！
罗小黑！
袁爷爷o(╥﹏╥)o
不要哭，眼泪会冻住的
第一次三连
谭警官
roll out
青蛇
黑神话悟空
看到巩立姣了
最下面有EDG
左下角章北海！！老航天危险了？？？
接着奏乐接着舞
大唐灯具城
谢大脚
禁止烟花爆竹！！！
北海！
奥运会
雄狮少年
大猛子
没人？
章北海！！！
刘备
小何啊！
全红婵
张先生！
醉太平
支持雄狮少年！
瓜贩是你吗？
章北海！
小黄人
章北海！
巴巴托斯警告
刑部尚书
章北海！！！
edg
豫兔喜泪交加！
鹅姐
中国
呜呜呜激动坏了
右下章北海！
EDG！
吴京哈哈哈哈哈哈哈哈哈
赵英俊
章北海！北海啊！要多想！
雾山五行！！
小青
章北海结尾？！老航天，危！！
暗影火炬城
袁老
黑暗降临
鲁迅先生：不干了
最下面edg！
仲甫先生！
3000+！
bgm:九州同！！！
黑暗降临
徐伦！！！！
？
波吉？
