bgm好像是何者的主题曲
非常简单
可以触发法球直接半肉吧
打辅助最合适
多段控制打辅助啊
还有误以为闪现有斩杀效果的
大招有bug……丢的瞬间被控就没了
语速好评
接好了，亚索
双剑华斩
听不懂
不是就单纯好看
盘古估计又要来了
就我看着想玩全肉辅助云缨吗
什么周杰伦（幻听）
就不
第一是谁
封尘绝念斩？
能撼动我西凉马超的地位吗
好侄女
这武器爱了爱了
举证一下只有12层枪艺可以触发末世，第3层枪艺无法触发末世。
懂了，ban云缨
反甲之女，李信cp
牛魔：这个我熟
中路
被腿 谢谢
21a 33
算了吧
太复杂了。。
东皇，张良：听说你很能跳啊
公孙离肉～doge
爷也吐了
爷也笑了
元哥马超关羽什么的也打不动啊
我不会，我可懒了，按着累
这是个bug吧？
2A1A
有点夏洛特的意思
对抗路的神
李信：我也熟
射手亲妈
哈哈哈哈
怎么感觉是加强版的韩信
让韩信颜面何存
从开始到放弃 
tui
永恩？
这个就很迷，跑出范围了还是锁定
贼可爱
末世不是下个赛季要削嘛？
主要是好看
直接扳掉
等一下，这被动是宫本套皮？？？？
我嘎嘎被杀
光信落泪
适合中路
由于反甲的消了，我个人认为主流出装非常好 
直接上板位
在？把摄像头拆掉
打野，对抗路玩起来和宫本一样憋屈
懂了，ban位常驻
卡了？
体验服有国服
射手新爹
无脑强的意思吗
技能CD就用明白了
明白了，下赛季把把禁云缨
上到正式服开局被禁了
几乎不用练
不能啊不能禁我阿离
《简单》
所以出末世啊
第一肯定是耀啊
太刮了吧
马超玩多了就不会了（doge
不，是因为她的声音
阳光宅男
两小时，热热还能吃
完了。对抗路又多了一位爹
一个张良不就按那了吗
玄策:这我也熟
啥时候王者上限许攸啊，天天阿瞒有我良计
咬牙切齿 恨铁不成钢
哈哈
不要去想，去感受
不我只是被她的嘴子吸引
那也不必咬牙切齿
这触发末世效果肯定会和菠萝一技能一样被砍
我按补刀
嘘，闭嘴
第一是谁
我买她，我不玩，就是玩儿
话痨的连招都那么花里胡哨
是啊 可比听网课认真多了doge
不，因为她好看
这个指示器很长诶，实际击飞距离比指示器还长半个身
我感觉这个技能变短了，以前这个史诗器很吵
《无聊》doge 
老凡老凡，你就说这个英雄适合打什么位置吧
laof'n
咬    牙    切   齿
还说简单？我存个英雄算了
肯定是中路法师位置啊
懂了，新赛季还玩梦奇
近身把人推走，哈哈哈哈
刘邦：我也教了
暗信：这个我教的
韩信，这个我熟
七分钟
老凡老凡，你就说这英雄适合打什么位置吧，是打野还是对抗路呢
非    常    简    单
打上司
李信同行
看着有点刮
这强化普攻还自动索敌卧槽
那么谁克云缨呢？我要练那个
一直刷一层被动对刚很强
所以亚瑟永远滴神
都别跟我抢她是我老婆
这个是朝大招中间拉的
懂了，还是禁马克
和韩信师出同门
少于30％还是多少会有300％伤害，不然刮痧
哈哈哈哈哈哈哈哈
这个被动第三段是自动锁敌的就好，之前一直在想用这个打到人应该好难
她是我的新老婆
BGM：阳光宅男-周杰伦
先三连，之后再练
这走路姿势真好看
凡妹妹
真实
主要是人好看
跟澜一样去小黑屋呆着吧
一看就是我学不会的
哪里亮了点哪里
都还可以
好帅啊技能
11分钟，早
就有国服了？
你再骂！
第一个看完
2min
热乎热乎！
看到我就不是第一了
听不懂
我已经开始听不懂了
笑死我了
恭喜扳位买房
这个地方虞姬的预警正式服不实装
？？？这不是直接t0了吗
赵云，这个我熟
加上苍穹不得了
五小时
暗信直呼内行
我都懵逼了
感觉……可以打辅助……
你这单杀司空震就是傻瓜操作啊，一直贴面一层被动。真我上我也行
确实比较简单
1
1
1
1
1
2
1
2
1
1
注意，云缨大招是朝面前敌人冲刺，所以可以用闪现（参考韩信二技能）和金身进行二段突刺！
ban位住别墅
对抗前期基本被压
女枪兵yyds
不一样的话唠，一样的刮
卧槽
接好了索儿
打野考虑过野怪斩杀线吗？你配有野区？
打野考虑过野怪斩杀线吗？
没玩过，，，，
云音带闪现有仙术。
感觉这玩意挺适合恶心百里的
还不如夏洛特
简称李信二代
看来我对抗路英雄池又加一位
简单，懂了，尽量在一个星期内抢到这英雄
暗信玩家狂喜
这不出个末世（doge）虽然说被动基本触发不了
高分局就是白给的意思呗
过于真实
麻烦死了
嘎嘎乱杀
哈哈哈哈哈哈
司空震都削成个弟弟了正经人谁还打不过呀（）
哈哈哈哈哈哈蛇皮
体验服宫本先出的强化普攻机制，云樱出来了，宫本还在里面……
我就是关普攻然后打怪疯狂按
我以为飞天连斩，重回魔域
中单
懂了，哪里亮了点哪里
李信青春版
被李信暴揍
干脆说谁都怕不就好了
差不多就是把经济刷好了，一顿乱按就行了
按到失灵什么的，马超表示不会
哪里亮了点哪里
曜：那我走？
不用学都能明白，容易理解
前期弱就去打野……那夏洛特前期弱也去打野吧，干将前期弱也去打野吧
末世比马可波罗还强！！
适合走ban位
李信，这个我熟
壮哉我大天策！
长枪独守大唐魂！
马超：这个我熟
直接小黑屋。笑死了根本选不出来
这不是逆水寒血河？？？？
哈哈哈哈哈哈哈哈哈
李元芳:这我熟
放心CD不允许一直续蓄着抢意
和耀挺相似
这个就是永恩吧
云缨有20多套连招（doge
跟曜一个样呗，强的时候两个都可以，弱势的时候只能走打野快速刷钱
又是个无脑英雄 霸体回血
主要是人好看
这不是赵云的白鹤亮翅吗
人家不是个对抗路吗这不应该是边惩?
马超关羽玩家不会
就这么听感觉就铁t0了
花里胡哨铁定打野
这个二段大招好像有减速，不记得了
李信哭了
咬牙切齿jpg
打野发育快
东皇加张良秒杀
我去  这样越塔杀  不削才怪
新英雄2个星期内必办，3个星期内必削
刮，经济压制都那么刮
你都说了得要蓝buff她还打啥对抗路
打不过程咬金那些吧
对抗路永远的神，万物皆可对抗路
懂了 哪里亮了点哪里
你再骂
欢迎来到对抗路
第三层被动不能触发法球效果
老凡老凡，你就说这英雄适合打什么位置吧
永恩的r和w
最主要的是颜值
不太行
简单说 哪个亮了按哪个
夏洛特澜出来的时候你们也是个个说刮，笑死
阳光宅男好评
排位还能让她出现吗
中路来一波
大招期间还可以丢技能么
我周董好评
光信同感
周姐？？
盘古：这个我熟
云缨？有点像哪吒的红缨
跟韩信有毛线关系
光信:这个我熟
恭喜嘎嘎
飞天大坎
周杰伦
末世怕反甲？
反甲被削弱了
管你听没听懂 看就完了
这司空震也不会玩啊，站着不动挨罚
对抗路前期没线权
李白加强了，李信怎么还不加强
这一招叫哪吒闹海
永恩
嫦娥
我都对抗路带晕眩，直接控到对面死
你就说什么英雄克制她，我就练那个
东皇你说啥
我直接拿来打中单
从此，对抗路又多了一位爹(娘)
体验服玩过了，我拿云缨被对面打得跟狗一样，对面拿云缨被我打得跟狗一样
前提是你要选的到
公孙离肉？？
大鹏展翅
慢点啊！
这英雄控制好多
又一个暗信
对抗路确定可以吗不行。
直接禁掉
这么花里胡哨，我到时候肯定是哪里亮了点哪里
适合高层买房
好的，哪里亮了点哪里
永恩
不怕，玩马超已经练出来了
这是真的我打个人机被对面甄姬恶心坏了
喜欢少女音准备练
孙膑非常克这种英雄。
师傅别念了
关羽表示：这根本走不动
低个锤子，除了肉坦前期对抗路所以英雄都可以抢二砍死。
野位风险大，对抗路稳一点
不刮必上ban位
澜：“这个我熟”
这么多控制？
你再强，我直接禁
这就学张良和东皇去
辅助
马超是不是玩不起除了关羽现在又来个带疾跑的家伙
永恩呐
不是边路么
永恩？
只是单纯的喜欢
这叫简单？
奇妙的比喻
确实并不难啊，不至于搁这打空格吧
国服木兰为啥混体验服？？？
这英雄看着确实没什么高开发的操作，这就开始《简单》了？
不是大喊六尺之内我是无敌的吗
孩子都给刮懵了
就这，在ban位上买房吧！
和曜一样的
永恩是吧
可以走辅助位（滑稽）
中路
削
逍
真玩过永恩吗就说像永恩，永恩是路程上击飞
错了是为了腿
哎，就是玩
打镜开始除了蒙恬都说挂，现在哪个不是t1
感觉和曜打法挺像的，新手用连招，熟练了就不用连招了
电刀
对抗路好久没有妹子了所以我选对抗
音乐好评，就凭这个nanlmono必须三连
不用学了，我肯定给你ban了
周杰伦
no，因为她长得好看
以雷霆击碎黑暗!
我感觉我行了，这是必胜，我告辞了，各位保重
听不懂，完蛋 
简单吗？
这尼玛是六技能 机制像曜
成熟
打野好抓人
第1了.药都没有她话多
不 你想多了
懂了，出面具
正好有20000金币
公孙离肉［doge］
别骂了别骂了
司空震2技能贴脸都能空，什么猪鼻，那个2中了，再1a就能杀了
懂了，排位直接禁，先让她住一个月的别墅
那红buff行吗
谢谢懂了，这就去拿弱化蒙恬对线
玩亚瑟
直接办掉，我不会，别人也别想玩
范围太广，可能被削
我只是被美色吸引了
司马懿玩家表示很真实
越来越离谱了
盘古克云缨
我是新朋友，非常适应，是不是就可以不关注了
阿巴阿巴
永恩?
夏洛特：叠三层我熟
云缨：闭嘴老人们 
而且看起来就很耗蓝
辅助
云缨平a才几段 马可那一梭子几发 怎么可能削
bgm炸出来我
取消也能存枪意吗
一层枪意加末世直接烧死
？？
 好家伙，又是个中期英雄，马超后继有人了
宗师也可以啊，打三层枪用
典韦
众所周知公孙离很肉
好家伙又抄
直接ban
合着把宫本重做推迟的原因就是云缨和宫本差不多呗
君莫笑？？
李信喜提新爹
怎么还急眼了呢（狗头）
亚索的哥哥
永恩？
哈哈和我刚玩雷电法王感觉是一样的
这打辅助射手还有人头吗
。
哈哈哈哈哈哈哈
体验服的国服跟正式服没得比
这还用玩？
你强任你强 我反手一个BAN 人
师傅 别念了 救我
不想学了。。
ps:基本被说刮的英雄不过一个月都成爹了
前面飞天连斩的暴露年龄了
夏洛特：？
un。n
韩信+玄策+永恩
拿蓝走对抗
。
很喜欢云缨说的一句话:双剑滑斩!
周杰伦好评
夏洛特:这个我熟
取消也有枪意的
懂了，拿镜一级进你野区
你在说什么
我也打过体验服国服木兰 
没错永恩ER
双剑花斩 错玉切
谁给你说是对抗路？
发育路
新赛季必禁新英雄
哈哈哈哈
你李信已经加强了 闭嘴吧 别说没加强
走ban位
哈哈哈哈
四级单杀凯
我练不会前她终究要在ban位上
1433223
比暗信猛多了
张良 东皇克一切
咬牙切齿
单杀司空震？
那倒没有，主要是漂亮
上手之后确实还行
双剑华斩
孕吐
自动索敌？这么远不是强得超模
急了他急了
中路
和耀差不多
我决定叉烧你的人生～
