来看崽崽们
啊啊啊啊啊火速赶来 你终于活了
来了来了
啊啊啊啊啊啊
救命
我说怎么没人，原来是我来早了
时代少年团
没人啊啊我好早
我等到了！！！！
可终于见面了！！！
刘耀文好帅阿巴巴巴
有人嘛
总算等到了
.我来了
来啰来啰
啊啊啊
这画质真感人
啊啊啊啊，终于有新物料啦
哈哈哈哈
终于！！！
爸爸！！我终于等到了
终于发了，哭了
严浩翔贺峻霖
张哥我来了
哈哈哈太可爱了
不写作业的小朋友
孩子拥有防窥屏了吗
老师:我给你一脚
老师：绝情
像极了忘做作业的我
上火2什么时候发啊？等的我花都谢了
又是上火分段拆出来，什么时候能看舞台（流泪）
座机画质咩
老师：绝情
笑死 写了不会唱
终 于 等 到 你
笑拉了
我做两个就不行了
啊啊啊啊
终于我的宝贝们
飞哥爱你
这画质
好久不见！
我来早了hhh
哈哈哈哈哈哈哈
这画质
第一次捕捉到新物料
重庆吴彦祖
其他三位宝呢
像极了老师突然抽查作业我却还没写的样子
轩哥来一个freestyle
降 智 小 黄 
啊啊啊啊啊啊啊啊好久不见
真惨！！
你是座机迈
好久没看到轩轩了
《 我 有 》
呀不！！！！，新物料
哈哈哈哈
物料 前排
哈哈哈哈哈
这是什么座机画质
文哥眼神控制一下
宝贝好惨哈哈哈哈
你们是鱼的记忆吗？
激动
全黑啊我的天
贺：受伤的怎么总是我
终于
贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖贺峻霖
飞你好糊
宋亚轩
摸鱼失败
啊啊好好听
终于等到你
我也想摸小宋的良心
梅开二度
啊啊啊啊啊啊啊啊啊啊啊啊
文文为什么有点不开心啊
你的严王 无限猖狂
贺儿：做个人吧
真的是太巧了，一点开就来了
人呢咋都没来
稀碎哈哈哈哈哈哈哈哈哈
终于等到了
嘿
笑死
我儿子咋被你们拍的这么像流浪汉
世界名画
等到了
刘耀文：还得是我
终于
好想崽崽们！
哈哈哈哈哈哈
终于看到儿子了
贺峻霖：我哩我哩脑阔
《写了 但还没完全写》
来啦来啦
这画质。。。。
打到兔头了哈哈哈哈
贺儿滴脑
木有弹幕
我来了我来了
主唱的rap好听
芜   湖~
刘耀文这身绝了！
芽芽，哈哈哈哈哈哈哈哈，我木得良心
真  喜极而泣
四个“倒霉孩子”
我第一次这么前
哈哈哈哈飞来横祸哈哈哈
哈哈哈哈哈哈哈哈哈哈
终于等到你
没人了
文哥喝了几个菜
你们四个怎么了
大家怎么都不在
好好听啊
您终于舍得更新了
新鲜的阿啊阿啊阿啊
文哥咋了
我贺儿哩脑阔！
像极了我上课交作业的样子
小宋很棒！
太绝啦！
四个宝宝怎么傻傻的
人呢？
8天啊终于
来得早不如来得巧
好认真的小宋
贺儿是乖宝宝呀！
香香撒娇！！！
蒙混过关
表白空屏
箱子实力捧场
妈呀，看这衣服这是多久前的物料了啊，真的好能屯啊
老师抽查作业了哈哈哈
轩儿小表情好可爱啊啊
真好听
这画质？？
小宋老师试图萌混过关
眼瞅
没人么
吻文看上去不太开心的亚子
最怕rapper唱情歌
怎么这么搞笑哥哥们快回来吧救命啊
爱死你了严浩翔
做俯卧撑做的了哈哈
严浩翔
终于听到练习室版本
老师：有亿点点无语
想你们想到发疯了
来早
老师好有趣
来了来了
救命严浩翔好帅！
翔哥唱歌好好听
哈哈哈哈老师好可爱
轩轩！
我泪都流干啊呃
呜呜呜呜呜文文以后多唱歌吧呜呜呜呜
好家伙 老师凑近我都紧张了
这个画质我以为是我手机问题
你的严王，不再猖狂
轩轩妈妈来啦
哇哇哇  好好听啊
和我们上艺术课时给老师耍赖皮一模一样哈哈哈
声乐老师承受了太多的
宋亚轩唱歌天才！
刘文的part一如既往的好听
好好听！
花儿都谢了
真的是把上火2剪的稀碎放了出来
啊啊啊啊啊终于等到你
《大壁虎之放飞自我》
哈哈哈哈哈哈哈哈哈
家长组的重要性这不就来人，这四个小孩还得有人管着
哈哈哈哈对不起霖霖 妈妈虽然心疼但也笑得好大声哈哈哈
嚯嚯嚯
轩儿宝贝这身衣服好熟悉啊
  有姐妹了吗
老师不断靠近
宝贝好棒
急到翻老师词谱哈哈哈
孙老师猛的一回头 哈哈哈哈哈哈
终于有物料了啊啊啊啊
我以为右上角的意思是黄昏时候上的声乐课
老师：给我整不会了
黄昏 绝绝子！！！！
哈哈哈哈哈哈哈哈霖霖妈妈揉揉
终于等到了
哈哈哈哈哈
没关系小朋友继续加油
小贺：我哩脑壳
贺儿衣服好好看
好好听！飞啥时候放正片啊啊啊啊啊啊
好好听啊
手机：愿天堂没有宋亚轩
轩轩跟老师相处好可爱啊
老师太宠了
我不会要在物料中渐渐看完上火二了吧....
好香vocal真不错呀
啊芽芽好可爱
旁边的小盆友是谁啊
7分钟！热乎的！
哈哈哈哈哈哈啊哈哈哈哈哈哈
唱啊哈哈
轩轩：轩轩这么可爱，怎么会撒谎呢
没关系啊
霖霖好帅啊衬衫装唉
贺儿唱的好有感觉！
哈哈哈宋亚轩你笑死我
啊啊啊啊啊啊
笑死我了
来了来了来了
这个像素。。。。。
好帅阿宋亚轩
最怕rapper唱情歌
宋亚轩刘耀文
翔哥，表情管理！
没人吗
贺峻霖这一身好帅
好好听啊贺
宋：试图蒙混过关
《心飞翔 破自在》
轩轩好无辜 哈哈哈哈哈像极了要考试的我
咋都放出来了，不播了吗
严浩翔：哈哈哈哈哈啊哈哈哈
好香:我就笑亿笑
好好听！
这不就是被老师逮到的我吗
好听的！
声乐老师：破音的飞翔
这就是没家长组的区别吗，这四个皮孩子还得有人管着
霖霖崽
宋亚轩yyds
破音也好可爱阿西！
翔哥别这样哈哈哈哈
空屏哈哈哈哈，那他们四个都是我老公了！！！！
好喜欢这个老师
《梅开二度》
孩子唱嗨了哈哈哈哈哈
唱出了另一种感觉
老师打他
罚站去
这都发出来了，是不是公演也不远了
《黄昏》
承包空屏
宋亚轩宋亚轩宋亚轩宋亚轩
呼呼霖霖的小脑袋
严浩翔好帅
香香这身好好看呜呜呜
我哩我哩脑壳
小宋rap还真的可以
刘耀文我来啦
老师:....
金木水火贺峻霖
哈哈哈哈哈
心飞翔，破自在
手机：愿我的世界没有宋亚轩
太好听了吻文！请多唱慢歌
公演？上火的吗？
哈哈哈哈哈又是轩轩的手机
灵魂抽取
空屏表白宝贝们
啊啊啊啊啊啊！！吻文，爱了爱了
哈哈哈哈哈哈哈哈哈哈
手机：愿天堂没有宋亚轩
后期监视粉圈实锤
来早了，弹幕都没得，承包空屏
哈哈哈，翔哥找补回来
刘耀文啊。我宝唱的真好听
来啦
哈哈哈哈哈哈老师无奈
圈重点公演前
哈哈哈
啊啊啊啊啊哈哈哈哈哈哈哈哈哈哈
这老师东北银儿吗hhhhh
吓人一跳
只要我暂停的够快就打不到霖霖
刘耀文夸不得哈哈哈
亚亚
严浩翔我好想你！！！
好棒好棒好棒！！！！
我想看正片啊啊啊啊啊啊啊
你们的手机永远不能被善待
《放飞自我》《破音自由的飞翔》
轩 起 翔 伏
救命宋亚轩和刘耀文这素颜好帅
贺儿这身啊啊啊
宋亚轩全能
我哭了
所以是四个人的合唱哇！哇哇哇！
这个老师的口音我喜欢
钢琴那两下严浩翔牛壁
空屏表白霖霖
哎哎哎，这不是上火的字幕咩！！！
上火已经被拆的七零八落的救命
哈哈哈哈哈哈哈哈哈哈哈后期 留  懂？
贺儿，好好看
哈哈哈哈哈哈哈哈哈哈哈
前方高能
哈哈哈哈哈哈哈哈哈哈哈笑死我了贺儿
霖霖宝贝唱的好棒啊
小宋好认真呀
宋亚轩太爱了！！
《被老师抽查作业的你》
声乐老师太有梗了
笑拉了
握草文文唱的好好听
救命终于发物料了
太期待舞台了～～
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈小宋老师！
哈哈哈，给老师整无语了
小刘好爱这件衣服哈哈哈
手机  危
等你把上火花絮放完是不是就要放舞台了，求求了！！
好棒好棒
贺峻霖状态好
崽崽们太棒了
严浩翔好帅
老师检查作业 学生狡辩现场
霖霖领带好好看喔！
哈哈哈哈哈哈哈哈哈哈笑飞了宋亚轩喜剧人
哈哈哈哈哈文文真写了乖宝宝
终于
轩轩的Rap不错啊
哇哦哇哦厉害，我赶上热乎物料了
太帅了！！
舞台不急，只要你定期给物料，舞台你在能放的时候放出来就好了
文文妈妈爱你！！！！！！！！！！
放飞自我，hhhhhh
这是什么座机像素
好喜欢他们在一起的感觉
让我看看哪个熊孩子
小宋老师声音真绝
竟然是这首歌
我没开弹幕？？？？
严王穿搭好好看
软萌浩比
轩轩加油
轩轩感冒了？？？
这个视频里四位怎么看起来这么高啊哈哈哈哈
赶上热乎的了
太早了，还没有弹幕
哈哈哈哈哈哈哈哈哈哈哈哈
写了不会唱可还行
绝了宋亚轩好帅
宋亚轩啊啊啊啊太好听了
老师抬手开打严浩翔哈哈哈哈哈
太好听了啊轩轩唱的！
终于发了
前方过于陶醉导致误伤
刘耀文不错哟
好家伙我们不写作业就是1000字检讨
前方小宋老师高能
我心痒痒了，我好期待舞台！！
翔哥好帅啊啊啊
哈哈哈哈哈哈哈哈哈哈哈
霖霖哈哈哈哈哈哈哈
我咋感觉宋亚轩的声音变的好听了
啊啊啊啊啊贺峻霖
刘耀文
最佳捧场王翔哥
训练都发了，上炎的花絮能不能发合宿的
严浩翔唱的好好听
用zer去顶
怎么能空屏哪，弹幕刷起了姐妹们
严浩翔也太帅了吧
哈哈哈吻文用唱歌jio用力
宋亚轩好棒！！！
好好听！！
手机：我很好
轩轩瘦了哈哈哈哈
是宋憨憨
宋亚轩太棒了
小宋手机危
所以飞飞把一期拆了多少？
宝贝加油！
阿宋加油呀
好听 目瞪口呆已经
贺峻霖好绝
《黄昏》！
翔翔变香香
同款手机壳！
小刘好帅！！！！！
贺峻霖好棒！！！！
贺峻霖好棒啊
前方高能
水杯好大哈哈哈哈
绝绝子
贺峻霖好棒！！！！
哇 这里好好听啊
好乖的文文宝宝~~
吻文这声差点把妈妈送走
哈哈哈哈哈哈哈我无情嘲笑
这四个崽凑一起怎么看怎么傻（bushi）
我打包票必是刘文叫的
突然就换衣服了
团粉＞四倍快乐
稳的稳的贺儿
救命，刚刚小宋那段我以为是文哥！
贺儿：来自哥哥的爱
手机：有离开自己的感觉
贺峻霖绝色大帅哥啊啊啊啊啊啊
