这个花絮的梗玩的好哇哈哈哈哈
哈哈哈哈哈
天呐呐呐
四阿哥衬衫好好看
哈哈哈哈哈哈
皇后演技提高很多
这转场转的可以
演技越来越好了
哈哈哈哈哈哈哈哈哈哈哈哈哈
这么娇俏的叫声
眉清目秀
垃圾袋哈哈啊哈哈
太甜了吧
好像
表白雪见惹
这个眯眯眼面具哈哈哈
皇额娘她推了熹娘娘
酒吧梗笑死
白豆腐还是辣么帅！！！
紫萱白豆腐有那味儿了！
彩蛋让眼泪憋回去了！
泪目
好虐，仙三回忆回来了
哭了
温太医好帅
哈哈哈哈哈哈哈哈哈哈
草
这段吐水给我笑吐了哈哈哈
酒吧草啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈
有内味
三连了
红了哈哈哈
27分钟
哈哈哈
艾利变美惹
哈哈哈哈哈
塑料袋套头
哭泣
垃圾袋着实抢镜，用床单不好吗？
哈哈哈哈
小肚子束缚不住了天
哈哈哈
演的好棒！！！！
哈哈哈哈哈
出个仙剑一吧 逍遥灵儿阿奴唐钰晋元蝴蝶剑仙剑圣青儿女苑姜明全部值得！！！
好期待啊
哈哈哈哈哈哈哈哈哈哈痛嘛
是天花板
这个塑料袋哈哈哈哈哈
哈哈哈哈哈哈哈
等黄桑出场
绝了
笑晕
救命，赵无延的是魔鬼吗
地板谁拖！
酒吧？
今天宿舍轮到谁拖地了呀？
谁吐的谁擦！
温太医是不是长胖了！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
热乎的
超棒
哈哈哈哈哈哈
哈哈哈哈哈哈哈
泪目 币给你
是刘海
啊啊啊啊啊这里！！！我看剧的时候超爱
真好啊
我好爱她！！！
很感动 哭了哭了
what
看哭了
哈哈哈哈哈哈哈哈哈哈哈哈哈
是塑料台布
眼睛亮亮的
我的妈呀，我磕到了
是屋檐，赵无延
屋檐，赵无延？？？
我……
仙剑是我们的青春啊！
哈哈哈哈哈哈哈哈
龙葵：我不配有姓名
哈哈哈哈哈哈
声音啊
我也没见过
怎么办啦~！！
披肩是一次性桌布吧，哈哈哈哈哈
面具笑了
衣服好别致
三连了
这台词很可
才发现是垃圾袋，哈哈哈哈
拿拖把来拖地
雪见瘦了诶比以前瘦了！！！
哈哈哈哈哈哈哈哈哈哈
皇后凉凉的手好好看！！！
你币有了
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈
我的妈，这么配啊
演的不错哈哈
哈哈哈哈哈哈哈哈哈哈哈
好漂亮的呢
白豆腐鼻子好大，好帅
他好像霍建华
道长 我们这里是酒吧
轻点，塑料裂了
救命啊，我为什么要看到这里
老公
被虐到了我的天
厕所？？
又要去重刷了
哈哈哈哈看
哈哈哈哈哈
笑死了
演成甄嬛传
做个人吧
我们看的好像不是一个版本。
演的好好啊这段我没笑了
太绝了
太好笑了！家人们！
《开鸡》
哈哈哈哈哈哈哈哈这个衣服
哈哈哈哈哈哈哈
我都毕业了，你们怎么还没毕业
哇哈哈哈哈哈哈哈哈哈哈哈我擦我才发现是垃圾口袋啊哈哈哈哈哈哈哈救命
酒吧哈哈哈哈哈哈哈
这句太像了！！
哈哈哈哈
有点尬又有点好看
哈哈哈哈哈哈哈好害怕
花絮再来一遍
我粉了，紫萱小哥哥
台词好棒
有内味儿了
哈哈哈哈哈
哈哈哈哈哈哈哈
你们不笑场吗？？？
才发现是塑料布耶
哈哈哈哈哈哈
宿伞之魂
哈哈哈哈
一分钟之内我要紫萱哥哥的全部信息！
哈哈哈
真会玩
眼神绝了！！影帝级别哈哈哈哈
太媚了吧
南诏国从不下雪
袜子抢镜了
和哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好漂亮啊笑死
哈哈哈哈哈
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
去哪里搞的塑料袋啊哈哈哈哈哈
我死了
龙葵呢
龙葵呢，
没有龙葵是因为寝室只有四个人哈哈哈哈
看哭了
好看的！！！！！！！！
百万道具
我一直在等龙葵
这个猪百分百还原
好活
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
紫萱好美
哈哈哈哈哈
好像啊
好看好看我爱了
是天！是我！
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
好美!我可以
哭了
泪目了
就知道这个面具铁定憋不住笑！
我一拳捶你俩大脸盘子上
哈哈哈哈哈哈哈哈哈哈哈哈哈哈救命啊
啊啊啊
这个小哥哥好漂亮
好娇娇的大小姐
泪目
哈哈哈
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
白发笑死
完了我想哭了怎么办
笑死我了
哇，长得这么好看的吗
哈哈哈哈哈
笑傻了。
麻了
hhhhh
哈哈哈哈哈哈
这眼线好稳
哈哈哈哈哈哈
救命
我天
哈哈哈哈哈哈哈哈哈哈
淑女落泪
离谱
烧0
hhhh紫萱太像了
好入戏啊！拍的特别好！很用心！
我居然看哭
我踏马入戏了
完了想哭
这个肩真好看 我一个女生都羡慕的程度
这里好漂亮
小漏香肩
怎么忍住不笑的啊哈哈哈哈哈哈哈
投币了！！！爷青回！
草
啊感觉有点不太对劲又感觉没什么不对劲哈哈
厉害厉害
这不废话吗哈哈哈
帅
哈哈哈哈哈哈
？？？？笑死我了
哈哈哈
哈哈哈哈h哈哈哈哈哈你们毁我童年
很逗！但是演的超级好
面具笑死
啊啊啊啊啊好可爱
一石二鸟hh
这是嵩阳苑吗？好熟悉的寝室啊
名场面！
泪目了
我为别人尴尬的毛病又犯了，，，但是怪好看的是怎么回事
hhhhhhh
哈哈哈哈哈哈哈哈哈哈哈哈好哦加油！
就投给那句“我陪你看”吧。
泪目了
泪目
我直接社死
塑料袋好有灵魂
哈哈哈哈哈哈哈哈哈哈哼唧唧
白豆腐好帅
我看哭了5555
他好美，我好爱
哈哈哈哈哈哈
这桶是蛋白粉吗
离谱
脸通红哈哈哈哈
这白发像婚纱帽 她却永远不能嫁与他
？
好刺激哈哈哈哈哈
猪婆菜牙紫萱白豆腐
这个红衣服的是男是女？
红衣服弟弟好可爱
我 没有 葵妹
呜呜呜呜，想哭
还没结束吗 
见鬼这台词hh
酒吧？
哈哈哈
？
是屋檐（赵无延狂喜）
白豆腐长得像啊阿啊
虐了虐了
竟然看哭了…
救命!怎么有那么多种颜色的塑料袋!
又笑又哭
是不是想漏在垃圾桶来着哈哈哈哈哈
眼泪憋回去了哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
这句话我好期待啊，这里太没感觉了，失望了
这对cp绝啦
步惊云
这个抬眼绝了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈
眼妆这么好看！
仙三永远的神
紫萱整的好
天花板
哈哈哈哈哈
想请问是怎么演出又搞笑又感动的
他摘下眼镜变得好清纯
说真的我看哭了
哈哈哈哈哈哈哈
天哪 我都记得 破防了
酒吧梗要看花絮才懂！
弹幕护体
哈哈哈哈
塑料袋女神
演得好啊
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈
博主好厉害
阿祖，收手吧，外面都是成龙
草草草草草
救命他们怎么做到不笑场的
你脸红啦
卧槽居然有点想哭
哈哈哈哈哈哈哈哈哈
卧槽
好美啊
好像受啊
哈哈哈哈哈哈
好认真又好简陋就啊哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
塑料袋让你用明白了
牛呀牛呀！
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
妈呀憋笑好辛苦
做个人吧
不错不错！
666
惊现同款衬衫！
好帅
哈哈还哈啊哈哈哈哈哈哈哈哈哈
泪目
哈哈哈哈哈哈哈哈哈
越来越漂亮了紫萱
卧槽可以可以
好
哈哈哈哈哈
喜剧的内核是悲剧555
看哭了
哈哈哈哈哈哈
紫萱真的好像
帅哥！
哈哈哈哈哈哈
哈哈哈哈哈
姐姐好漂亮！！！
救命好好笑
