我们如约而至
这大长腿
冲冲冲
啊啊啊啊好早
这个手！
真老来俏！！
来了老弟
看现场效果，是真唱
2021/6/20
哇哇哇！！！
小！嵩！嵩！！！！！！
来了
爷青回！
许嵩！！！！
好多妹子
两千播放一千赞都没热门吗
同年回忆呀
热乎
爷青回
爷青回
哈哈哈哈哈少见
音乐纯粹，爱V绝对
爷青一直在啊
啊哈哈哈哈少见男粉丝
来的早就是好，哼
啊啊啊啊啊啊啊啊啊
爷青回
许嵩yyds
泪目
没人
给你点赞
嵩哥！
好帅！！！
这首歌每次听都好听！
看完直播再来一次
音乐纯粹，爱v
太帅了我的哥！
想起了爷的高中
突然感觉暴瘦好多
热乎的许嵩
绝对
我希望你快乐
格洛米已经没了
老许
小学时候听得了 呜呜呜 现在准备考研
许嵩YYDS
真不错，嵩哥啊
啊啊啊啊
瘦了呜呜呜
全是小迷妹吖
快点结婚呀
你其实明白我心意
明年我一定要去啊
居然没人！！
为你唱这首歌
啊
帅！！！！！
好应景
没有什么风格
啊啊啊老子最喜欢的如约而至啊
战术变调
它仅仅代表着
他怎么一点都没变啊！
好想也在现场跟着唱啊
爷的青春
羡慕这群孩子
满满的少年感啊
这裤子真不错，求同款
yyds
真的十年老粉了
如约而至
vv最棒
这就是青春啊
毕业三年的装一下
漂亮小姐姐
爷青回
没有什么风格
许嵩永远是男粉的
许嵩更新了
它仅仅代表着
啊啊啊！我毕业的时候刚好发行《如约而至》！
怀念那个初中的美好
爱你爱你爱你
作为一个男人，可能这才是我眼里的帅
嵩哥还是一如既往的优秀
青春呀
啊啊啊啊啊啊啊
有小互动了
许嵩yyds
他笑了
啊啊啊啊他更新了
如约而至
嵩哥声音成熟了不少啊
真爷青回
哲学嵩
男粉丝正在看
老许啊
啊啊啊他笑了
嘴瓢
哭了
yyds
日常忘词嘴瓢，哈哈哈～
这是在哪里啊
这个笑，我没了
嵩嵩
视界之外想象之中
听歌ing
我们相约老地方～
抵达永远！
许嵩
大家好他是vae
你还笑
明示点赞
太帅了！啊啊啊啊
每次都抢不到票啊啊啊啊啊啊
爷青回
音乐纯粹 爱v绝对
等到秋叶终于金黄
他笑了，好甜啊
好应景啊
好多的最后一面，都是谈论琐事告别的
大合唱
如约而至啊啊啊
我们相约老地方
我们相约老地方~
下次演唱会一定有我
排面
啊啊啊啊啊他好甜啊啊啊啊
干嘛呢
v！
又瘦了
确实帅啊
他还是那个许嵩
爷青回
好喜欢你呀
陌殊留言！
来了来了
明白啊
卧槽，这个人好有文化
wc，中间这个小姐姐好好看
音乐纯粹 爱v绝对
太帅啦！！
许嵩是男粉的！！
再来个素颜就绝了。太适合毕业
爷青回
如约而至！！！
有一年过年就单循这首歌
他们为啥都穿这个白衣服
我永远爱Vae！！！
现场真实反应了男粉抢不到票的现状
嵩哥
许嵩yyds
我中考出的歌，泪目，现在毕业了
爷青回！！！
好开心哦
戴口罩啊各位！！
前年武汉演唱会的最后一首，泪目！
许嵩还是胖点好看
5555
这男人竟然35了
明白！
等到旧业终于金黄
瘦啦
嵩哥永远的神
我听见有小姐姐说好帅呀哈哈哈哈太帅啦
许嵩少年感绝了
许嵩yyds
你其实明白我心意
好帅呀！
确实有点瘦
啊啊啊啊啊
为啥我不在现场，啊啊啊啊啊啊
许嵩
我想给你快乐
帅啊！！！！！！！
时代的眼泪
嵩哥啊啊啊啊
哈哈哈哈哈哈哈哈哈为你辗转冰河，他还是那个忘词嵩
许嵩只能是我们男粉的
爷想哭，热泪盈眶为什么啊啊啊
我想给你快乐
我的最爱
啊啊啊啊啊
妙啊
啊啊啊啊啊啊啊啊啊
有何不可
忘词了哈哈哈
这合唱绝了
来了来了
如约而至啊啊啊啊啊！
如约而至(⑅˃◡˂⑅)
好听好听！
绝对!
爷青回
如约而至
前方高能
我爱许嵩
许嵩——我的青春！！！
梦回2013毕业
如约而至
如约而至
我们相约老地方~
2+6
哇塞！
一切的美好终将如约而至
如约而至
这个男人什么时候开演唱会啊啊啊啊
耶耶耶
嵩哥
高中听的歌，现在已经大学毕业三年多了
来啦来啦来啦
都在听歌呢
好啊！
一切的美好终将如约而至
确实
明白你心意
啊啊啊啊啊啊啊最爱的
这在哪个学校。
大家好我是vae
泪目！！！
啊啊啊啊，真的是无人不晓的歌
啊啊啊！嵩嵩嵩嵩
这个笑容好甜好甜！
欲忘又止
有人有人
我的青春回来了～
爱您
呜呜呜我的青春回来了呜呜呜
毕业快乐，爱V绝对
许嵩
他笑了 这个男人！！！！
等到秋叶只剩金黄
好多的最后一面，都是谈论琐事告别的
超爱这首歌
啊啊啊啊
Yyds
为你解冻冰河
音乐纯粹，爱v绝对！
哈哈哈前面说忘词的太坏啦
许嵩是我的
如约而至!!!!
啊啊啊啊你们看嵩哥的手腕！！！
yyds
音乐纯粹，爱V绝对！
一切的美好终将如约而至
我们相约老地方
大家好，我是vae
我们相约老地方
老地方～
有换季的颜色
啊啊啊啊，如约而至
许嵩yyds！
老地方～
好多男粉，老许不愧是你
我爱合唱
老地方～
嵩哥嵩哥啊啊啊啊啊啊
什么什么，皓腕凝霜雪！！！我个人觉得也可以是嵩哥的手！
我也好想去现场啊
合唱泪目！！！
我希望你快乐！
许嵩只能是我们男粉的
意料之中
萧亚轩退出视频
太帅了太帅了
爷青回
这首歌是在我的毕业季发的，满满的回忆呜呜呜
如约而至太适合毕业了！
他对我笑了，他是不是喜欢我dogo
演唱会专属变调
口胡x2哈哈哈哈哈哈哈哈哈
抵达永远
来啦来啦
哈哈哈哈笑得好可爱
怀念
啊啊啊啊啊啊我的青春！我的初中！
ohhhhhhhhhhh
好爱这首歌
啊啊啊我的青春
这首歌是我当初小学听的，今年我也大学毕业。
vae
嵩哥！！！！！！
毕业写的，太强了
是青春的歌声啊！！！
爷青回
好幸运啊他们
如约而至
下次演唱会什么时候，各位给我留张票…
太瘦了点
许甜甜！！！
等到金叶终于金黄
爷青回
毕业的时候用这首歌做了毕业视频
啊啊啊啊阿我长大了嵩哥依然没有变！！
南广学院
有何不可！
有的角度有点像shy哥
我又哭了
我的老嵩嵩啊
我高中毕业那年他发的这首歌感觉真的好幸运
我们相约老地方
他是神，真的
5:22还有一处忘词
如约而至！！！！！
前方忘词嵩
准备忘词警告
许嵩
嵩嵩
花絮放出来！
嵩哥的笑容治愈一切
这男人太爱了
好听
爷青回
看了好几遍，还是忍不住姨妈笑
！！！！
爷青回
爱了
爷青回
和声我都会唱！！
音乐纯粹 爱v绝对
我的网名来了！！！
真好听
老地方
如约而至
vae永远滴神
开心开心啊啊啊啊啊
想象之中
爷青回
我毕业：失业
后面橙色的灯好像电风扇
嵩哥！！！！！！！！
嵩哥
一键三连
演唱会最后一曲就是如约而至！泪目了
他好甜！
这个笑真的甜
太合适了！！！
啊啊啊啊
刚上初中时听的歌，还是记忆中的样子
小学初中开始听，现在研一了
太甜了嵩哥
完美
跟戚薇学的律动qilail
毕业快乐
宝藏男孩
如约而至，呜呜呜
满满的回忆
南湖大道的538
那紧张的喉咙
别人家的毕业
瘦瘦的男孩子是不是手都很好看
yydss
爷青回
好帅好帅！
帅啊
今年有演唱会吗，好想去
爷青回啊啊啊
声音微微颤抖
下一站 茶山刘
最爱
永远
老许！
爱嵩一辈子！！！！
超级喜欢如约而至
爱你
1966人正在观看
我的青春啊
这首歌要听哭
怎么都是小姐姐
许嵩你好甜
错过了直播
乖乖，我的小乖乖，你的样子怎么这么可爱，追你的每个人都超级厉害
来啦来啦来啦来啦来啦来啦来啦来啦！
刚刚在想，我咋没关注许嵩，
许老师上线
大合唱啊啊啊啊啊啊啊
爷青回
只爱许嵩
音乐纯粹，爱v绝对
嵩哥
初中听得 现在读博了
大合唱
结果点开一看，
啊啊啊啊啊啊啊啊大合唱
早就关注了，
青春
为你唱这首歌
结果哥就发了几条
泪目
同想知道 是哪个学校
许嵩鸽鸽鸽鸽子
哈哈哈忘词
十二年了
忘词VV
泪目！
哇哇哇
好帅啊
啊啊啊啊啊
还没毕业，一样快乐
我会的
明示一键三连朋友们
这首歌一响起，青春仿佛昨日
这个男人太有魅力了
如果有时不那么开心
老许还是满满的少年气呀
我们相约老地方
男人你好会
好甜！
这歌都倒背如流了吧，他怎么忘词啊哈哈哈
如约而至
本科毕业那年的歌了 ，现在都在读博士了，呜呜呜如约而至
音乐纯粹
哈哈哈哈哈哈哈哈哈哈哈哈
如约而至排面
爷青回
嵩哥只能是我们男粉的
哥好瘦
我毕业啦
好家伙 搁着开演唱会呢
嵩哥yyds
好棒
看着这些年轻的孩子真好啊
卧槽我出息了
19年毕业的时候正好出这首歌
最喜欢这首歌
来啦
谈论琐事
反正我的歌单，嵩不能停
我永远爱他，他永远年轻
谢谢啊谢谢谢谢谢谢
泪目了
好喜欢他歌
跟我朋友长得好像
爷青回
十一年老粉不请自来
他好温柔
好帅啊啊啊啊啊啊
