我的天我是第一嘛
？没人
幻哥牛逼
弹幕清了吧
被清了吗
来了
马哥哥的排面呢？
弹幕？？？
5个傻子
lwlwl
xswl
承包空屏
才18弹幕是怎么回事
两个币压某boy
哈哈哈哈哈哈哈哈哈哈花少北
人呢
我终于搞明白这个游戏怎么玩了QAQ
哈哈哈哈哈哈哈
嘿嘿，用爱发电
先赞后看已成习惯
不是原来宁们之前都没看懂吗
委委屈屈花少北
吓我一跳
盲猜236
厉害了
开始引战
老蕾居然跟某幻了
热的热的
666
似曾相识
带制作
青岛暖男
进度条23.33可还行
全程高能
哈哈哈哈哈哈5傻子
全程高能
某幻~ 某幻 ~ 某幻 ~
终于懂了
马了顶大，就是伟大
司马哈哈哈哈
你太快了？？？？
大哥剪辑绝了
北子不可能是狼，这局话太多了
丝马的哈哈哈哈哈哈哈哈哈哈哈
雷某人用爱发电
没开弹幕
你们都在干嘛呀
每人来一遍？？
马哥剪辑棒棒棒
boy老内鬼了
！
二周目
花猩大番茄队
蕾丝又开始了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好贴心
感谢马哥..其实我本来看他们身份都不知道是干嘛的
老……某幻哈哈哈哈哈哈哈
哈哈哈哈哈哈梅开二度
你们都在干嘛呀
哈哈哈哈哈哈哈哈哈
老蕾从第一集就怀疑马哥哈哈哈哈哈哈
才怎么点弹幕？嗨起来啊
哈哈哈哈哈哈五个大傻子
你们在干嘛呀
花少北又落单了
记大过
你们都在干嘛鸭～
哈哈哈哈哈哈哈哈啥用都没有
来啦来啦
切切会为这个也行付出代价的
233
我万一是狼怎么办哈哈哈哈哈哈哈哈
我压北子哥
不愧是你
00
吓到我了！
这集太牛了
某幻
哈哈哈哈哈哈哈哈哈
某幻～
某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼某幻牛逼
花猩茄
丝马笑死我了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
牛啊gege
你们都在干嘛呀
俺终于看懂这个游戏了
哈哈哈哈哈哈哈哈
热乎的
傻 子 x 5
终于有人解释规则。太贴心了
不愧是你
花    猩    茄
路易鬼屋2的bgm!!
我盲猜番茄，不信这次还错
带制作！！
哈哈哈
带制作！！
你太快了？？
老北b小队
承包空屏、
这个节奏棒
蕾丝又开始了哈哈哈哈哈哈哈哈哈
不愧是你
哈哈哈哈哈
突然空屏
花少北坏坏坏！
平角裤平角裤平角裤平角裤
上局的中国拜
233
