卧槽第一
热乎的
热乎的
A
热乎第一！
刚来、
热乎
来了！
吼吼
来了来了
刚刚！！
1播放!!!
更了更了
woc
一观看285弹幕可还行……
857赞
热乎
愿他长寿
弹幕养肥再看oxo
带制作了！！！
热乎
老营销号
完了又上不了热评了
热乎的
一分钟1700赞
吓我一跳
在下第十七名
哦吼吼吼
逗川弄了个小孩
朱  元  璋
来了
人呢
是我来太早了吗
新系列诶
新系列！！yeah
热乎的
霸占空瓶
第一次这么早
完全一致
冲冲冲
加分特效
你开弹幕了你开弹幕了你开弹幕了你开弹幕了
第一！鲈鱼！！
来了来了！！！！！
热乎
前排还有没
哈哈哈哈
op有亿点长
来了，来了。
哇哦
老番茄加油！
先点赞再看
哈哈哈
刚刚
咋没弹幕
+
第一次这么前？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝
承包空屏
哈哈哈哈哈哈哈
大河向东流啊！
第一次这么前
哇，带制作
好 哥 哥
我是您的新粉丝。
记大过
来了
某幻：有被内涵到
正义的背刺！
烫烫烫
某——————幻——————
热乎
热乎的！！
来早了没弹幕啊
这个下巴好评
人数疯狂上涨
热乎
哈哈哈哈哈哈哈哈哈哈
好哥哥！
啊啊啊啊啊啊啊啊啊啊啊啊
咏春 啊茄
哈哈哈嗝哈
老番茄也入了我们骑砍坑，哈哈哈哈。。。
ohhhhhhhhh
卑鄙小人老番茄
热乎的
芜湖
好哥哥！
某——-幻———君——
ma呀
超级加辈
热乎！
爷青回！
嘿嘿嘿
熬菜啊
我的马鸭
来啦！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
他急了他急了
高产似那啥
我的ma呀
热乎的
热乎的
！
承包空屏
哈哈哈哈哈哈
才反应自己是前排
热乎的
漂亮
永春————@徐大虾
我的ma丫
某幻！
毁天灭地上勾拳！
臭弟弟
我的ma呀
茄师傅，尝试切他中路啊
男孩
没人？
牙膏厂瞩目
马哥：？？？
换    碟
卑微
吓我一跳
咏春 叶问
哈哈哈哈哈哈哈
好哥哥！！！
热乎的切切
噢吼
独占
茄师傅，尝试切他中路
噢耶
有破腚
好—哥—哥———
老梗了哈哈哈哈哈
努逊
啊！
热乎
？？？？？
某————————幻————————
哆啦A梦BGM哈哈哈
1
开新坑了~
我的ma呀
没有弹幕
叶问好评
我的ma鸭
马-————哥————哥————！
某————幻—————
哈哈哈哈哈哈哈哈哈哈哈哈
哇哦
空屏是我的了
好哥哥
吓人
老刺客了
才三分钟！！！
～
长兄为父
哈哈哈哈哈哈哈哈哈哈哈哈
我的ma呀
来太早没有弹幕？
都在吃瓜
承包空屏
马哥哥
真就白piao啊
斗技神砂岚
我没开弹幕？
我要打十个
没弹幕?
哈哈哈臭弟弟
偷偷抱走老番茄
我来证明你开了弹幕
弹幕空城计
随便发
热乎的
啊啊啊啊啊好早
9000人
吓到我了
不忍心！
罗罗乌人
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈好哥哥
可爱的老番茄
hhhhhhhhh
不管你是谁，只要玩骑砍咱们就长寿
偷偷抱走老番茄
卧槽带制作
戳什么？？
突然想起来蝙蝠侠的马步冲拳
正直
一度怀疑自己没开弹幕哈哈哈哈哈
幼稚茄哈哈哈
...
臭弟弟！！！
？？
功夫番茄
哈哈哈哈哈哈
剑圣
肉搏战
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
华夏第1届。
五分钟！
承包空屏
弹幕呢
热乎
233
？？？？？？？？？？？？？？
.
hhhhhhhhhhhhhhhhhhhhhhhhhhhh
好烫
哈哈哈
我的ma呀
才四分钟……
承包空屏
好哥哥
我要打十个！
内蒙拳王
白嫖禁止
我来的太早了吗
热乎
妈妈我出息了我赶上番茄发作品了
出现了！我的ma呀！
直接白赚
 ohhhhhh
承包空屏
哈哈哈嗝他急了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
内蒙拳王
不忍心不忍心
热乎的！
我的妈呀。
全部曹飞！
哲别
超     级    加    辈
中国功夫
哈哈哈哈哈哈
nb
第1300条弹幕！第一次这么近！
白嫖暗示
白嫖
心脏骤停
承包
胳膊没被砍掉
ohhhhhhhh
不愧是你
前面的你休想
没人
来了
善良滴哥哥
白嫖？？？
恩？
热乎
1
内 蒙 拳 皇
热乎的
涨的好快
哈哈哈哈哈
好安静   没弹幕
洛伦兹力？？?
我来证明你开了弹幕
怎么越看越像神奇宝贝
嘿嘿
不，我拒绝
热的热的
承包弹幕
哈哈哈哈哈哈哈
地转偏向力你没算呢
第一次这么前！
怎么没人发弹幕啊？
他急了他急了他急了
有生之年啊啊
瓦兰迪亚呢呐
发火嘛
承包茄茄
不如多人运动
我猜拒绝
??????????????????
看到结局了
承包空屏
堵到旮旯里往死里打
为什么可以这么快你们
好弟弟
关库伦兹力什么事
啊啊啊小学生行为哈哈哈
啊啊啊啊开坑
热乎
咏春，叶问
众所周知，这是一场拳击比赛
我的ma呀
哈哈哈哈
承包番茄
来了来了
哈哈哈
热血高校！
我的ma鸭
没有人？？？
哈哈哈
？？？？？？？？？？？？？？？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
茄师傅，尝试切他中路
弹幕一直在加
屏幕是我的！
没人吗？
诶嘿
你滴寒王
