头一次这么前
1
嗷嗷！
刚刚
有人嘛
承包
1
第一次这么前
1111
222333
，
播放1？？？
刚刚
来了来了
1
惊了
关上前一百的大门
我在b站买房了！
高产
1
282
我是白字
沙发
魔鬼
来了老弟。。。
在这停顿
1000！
109
第二条
魂斗罗30种打法？
刚刚！
第二d
第一条弹幕
兄弟们好
一分钟！
搓出来的
这个人怕不是 ...传说中的哥们
抢位日常
两分钟前
关上3000大门
没人？
我是你告诉的
2分钟前
what？
吼吼吼
本人因身体原因已处于半退休状态，更新随缘
刚刚
先有鸡还是先有蛋
你吃啊！！！
二分钟前
没人我就承包了
两分钟前
男枪告诉我的
我爸买过这本书
你们都是住在b站的吧2分钟2342人
三分钟！！！
是我太早
厂长牛批
神奇的鈔能力
三分前
两分钟前
车
111
hhh
靠前！
3分钟前
刚刚
牛皮
三分钟前
来了
3分钟前
这也挺早的我去
2分钟！
弹幕呢
第一分钟嘻嘻
承包处女屏
然而我并没有通过关
弹幕在哪里
没人
牛壁
3分钟前
志愿太难填了，先看敖厂长
没人？
。。
难得没人发弹幕
前1w!!!
宝藏阿
四分钟前
哥们的力量
坐等BGM
吕子乔+1
以前有杂志，专门介绍秘籍
三分钟
等待哥们的出现
4分钟前
四分钟前
四分钟前
鲁班告诉我的（bushi）
刚刚
哇 我有这本书
六啊
哥们来了
666
卧槽！这本我还有！我朋友1块还是2块从旧书摊买的 后来他不玩了就给我了
666
承包了
妈耶不愧是厂长
游戏开发商？
敖敖什么都有(ﾟoﾟ;
摸你
4分钟前
哥们呢？
第一次这么前
7777!!!
我从来不知道，村通网之后查到的
前一w
我关弹幕了？
居然不是哥们儿帮助
太厉害了吧
有的
五分钟前
5分钟前
哈哈哈哈哈
吕子乔告诉我的
五分钟前
哇
有人
！
五分钟
从哥们那里
有报北大的吗
哥们厉害
哥们儿！
2分钟前
牛壁嗷
摸你战争游戏
来了来了。
3分钟前
都
这书八成绝版了
我关弹幕了？
哇，居然有这样的读物
沙罗曼蛇
5分钟1.1W
难怪没弹幕……
男枪告诉的＋1
关上1.1w的大门
是男枪
……
时间错了喂
太强了吧
6分钟
6666666
我一直以为是沙罗曼蛇2代
六分钟前
哦两分钟前
吆西
七分钟前
mandy的BGM
条过半
厂长会日文，牛批
川普
1.3万
之前也玩过日版
养肥再来
多少年之前的
7777
我有这两本书
没人呢
关上前八千大门
任地狱发现玩家太菜了自己传播的？
7777
有人没？
敖厂长nb！！！
迫真魂斗罗，30条命的里技
七分钟前
嗯？
设计游戏的人第一个知道
先投后看
没有弹幕？
认真看
11
没人?
小天才手柄
承包敖厂长
下面的字幕错了
认真听课
吕子乔？
想起了爱情公寓
1万3
哥们上线！
没人？
七分钟前
男枪告诉我的
这个时候不应该是刷哥们的时候吗
有
好像沙罗曼蛇
是哥们
人呢
那个时代不发达，却有这种书发售
沙罗曼蛇！！！
吕子乔告诉我的
填志愿去了
哥们
厂长是我表锅！
弹幕没了？
哥们儿！！
书图书馆都能找的
妈耶
@游研社
5分钟前
这杂志很精致
lei 了
有
霸屏！
格雷福斯讲的
这些书都是上古秘籍啊
沙罗曼蛇？
故意的
沙罗曼蛇？
考古
第几万么
来了
没人我承包这片屏幕
怎么像看撒贝宁时间。。
来早没弹幕
突然没有弹幕
你先吃
歼星舰
字幕不对啊，厂子
不是哥们么？
是我没开弹幕吗
字幕是1
好快
！！！
考古开始
9分钟前
9分钟前
9分钟前
九分钟前
小时候不知道
这种解密向好爱
不愧是厂长
10分钟前！！！
承包这个处女屏
这个玩过 一直不知道有秘籍
十分钟前
沙罗曼蛇。。。
是konami
比我大十岁的书
打错字了
这都能找到
想敖厂长的哥们了
我表哥告诉我的
难道还打得通？
当年书上有的
第一第一
吕小布告诉我的
6666666
有人吗
十分钟前
我猜这里没人
真的是我自己瞎搓的
居然没弹幕
10分钟
厂长打错字幕了！13打成12了
弹幕呢？？
发条弹幕娃娃
是我没错了
承包
第二条弹幕
11分钟前
来了
没人？
进度条不简单
这难道不是沙罗曼蛇？
你特么怎么拥有的？？！
11分钟前
zhao日
过半警告
我打一下
我也有这种书！！
祖传秘籍
666
因为沙罗曼蛇
12分钟前
很多fc游戏的秘籍都是这个
程序员.…
人呢？
LADOWKOPD
满满的干货
十分钟前
来的太早了
有人吗3：14
23333333
我没开弹幕？
男枪
?口胡了?
朝zhao日
1
老任官方杂志
字幕错了(小声BB)
承包空屏
杂志上有
维基也是网友编的
我来
朋友告诉的
敖厂长哥们
泪目了，这本书我居然有，当年搬家翻箱倒柜从压箱底翻出这本泛黄的册子，没想到在敖厂长这里也见到了
好像是编辑手残打不通关
厂长nb！！！
哎？都看入迷了吗
前前前前
15分钟前
哥们
14分钟前
14分钟前
这个玩过
是我
前15分钟
科研鬼才
第一次是我乱搓出来的    之后在就不知道怎么按了
日版的可以选关，具体怎么选忘记了
这个电话现在是任天堂的客服
newbee
没错，两个游戏秘籍调法都通用
那个男人要来了嘛
66666666
这个肯定是游戏公司自己发布的
都在安静的看(^m^ )
哈哈哈太难
我爸告诉我的
"我X,我当时白玩了"
这个不感冒好吓人
震惊
这个bgm好吓人
你咋啥都有
认真看视频
厉害
我来了！！！
高产
来晚了
这本我也有！！
只又我是瞎按出来的吗？
当时不知道，就知道瞎按会有机会按出30条命
承包空屏
12分钟前
我来组成弹幕
摸你战争
我有这书，搬家时卖了
17分钟
吕子乔
吕子乔在飞机上……
我看过这本书！
不是baba嘛
最喜欢看敖厂长考古了！
沙罗曼蛇
这书我有！！！
zhao日。。。
来了
哥们儿说的
18分钟前！
十分钟前
我去，这本我也有！
 晚了一步
第一个知道的不就是游戏开发人员吗
官方彩蛋吧
18分钟前
18
厂长nb！
男枪
福建人民，表示不知道有这事
这本书比我还老卧槽
程序员？？？
男枪
川普笑死我了
关上前100万的大门
WTF!通过 不知道这个也有
asahi
哥们儿
在？多少出？诚心求
fc单机游戏好多秘籍，我最熟悉的是热血格斗，老虎秘籍
前前前，，第一次这么前
杂志上知道的
沙罗曼蛇
填志愿填到头疼，来找厂长解忧
沙罗曼蛇也是这个秘籍吧
敖厂长太狠了吧 这都有
敖厂长上线
不就20分钟吗？就这么多人了
哥们儿牛批
4分钟前霸屏！
我生日。。
来了老弟
在哥们的帮助下~
22分钟前
zhao
22分钟前！
我爸告诉我的 我爸又是从他朋友那里知道的qvq
鲁班七号
这书我也有
nb
张伟
因为太难了游戏测试员都通不过
这个秘籍通用于很多科乐美的游戏
我玩的不用输入秘籍...直接30条命
厂长土豪
游研社
我来的好早啊
通过游戏风云知道的
一年前
第八关的remix
这魂斗罗 厂长炒了不下5期了
我
哥们呢？？？？ 这就有了？
来了！
吕子乔
11255
一分钟钱
酸除
来了来了
26分钟
NB
磕了没秘籍
是我
男枪告诉我的
有牌面
26分钟前，感谢！
27前后
定价1.5元
从哥们儿那里知道的
不应该读zhao日吗
666
研究这干嘛
这本书我也有
27分钟前
厉害了厂长
苏联解体了
28分前
真。武侠秘籍
就是这本书
男枪！！
自己都打不过就敢发售
我的妈耶，怎么会这么早就有秘籍书卖的？
居然有这种书233
28分前
29分前
6666666
30分钟前
卧槽
我是看到小岛了是吗
川建国同志
江户川厂长
我有个在FBI的哥们
66666666
我有一本 《电子游戏公关秘籍》好像就91年左右出版的
ko no DIO da
30分钟前
fu※k konmai命令
那时候大概刚满月
业务用！！！
30分钟前
这本书我也有
字幕12日？？？？
唔？！我家里也有这本书
来了
进度条鬼故事
奈何本人没文化，一句卧槽行天下
苍井空发现的
来咯来咯
当然是我dio桑啦
半小时前！！！
32分钟
32分钟前
填志愿的等我
果然耳熟
游戏公司
这些书比我年级都大。。。
lail
魔鬼
嗷嗷
刚知道
33分钟前
我打胡建
霉生日？
哥们上线
来了来了
nb
难道不是科乐美自己公布的？
哥们告诉我的
34分钟前
打扰了，我排除在全世界玩家外
。。。
34分钟前，还能吃
距离我出生还有一个月
