答到真的 真实
來了
承包空屏
Mayday
哔哩哔哩 (゜-゜)つロ 干杯~
2333
前排合影留念
哔哩哔哩-(゜-゜)つロ乾杯~
哔哩哔哩-(゜-゜)つロ乾杯~
哔哩哔哩 (゜-゜)つロ 干杯~
这就是青春的样子啊
哔哩哔哩-(゜-゜)つロ乾杯~
老番茄！！！！
大哥在偷偷睡觉！
哔哩哔哩-(゜-゜)つロ乾杯~
时间都停了
你的益达
哈哈哈哈哈哈哈哈哈哈
力元君？！！
bilibili- ( ゜- ゜)つロ 乾杯~
别放弃啊！
哔哩哔哩乾杯
哔哩哔哩 (゜-゜)つロ 干杯~
霸占
23333
哔哩哔哩干杯！
哈哈哈哈
哔哩哔哩 (゜-゜)つロ 干杯~
工作之前的经历完全一样，刚毕业，
真实啊
有幸看到了b站的这一天
强烈推荐！干杯原版MV！很好看
承包山居的方脸
休想 山猪我的
是你陪我走过一生一回匆匆的人间
哔哩哔哩干杯
每个努力的你都是最好的你
干杯！
哔哩哔哩 干杯 - ( ゜- ゜)つロ
我的天啊
江西理工大学 哔哩哔哩-(゜-゜)つロ乾杯~
人生啊
十周年快乐~
如果我们不曾相遇！
划了腋毛
哔哩哔哩-(゜-゜)つロ乾杯~
哔哩哔哩 - ( ゜- ゜)つロ 乾杯
bilibili- ( ゜- ゜)つロ 乾杯~
同款刮毛刀
我还想过100周年
哔哩哔哩-(゜-゜)つロ乾杯~
泪目!
太真实了，就像是我经历的一样！
卡大树，我们的优良传统
哔哩哔哩-(゜-゜)つロ乾杯~
青春啊！
感谢一路陪伴我的所有人，青春无悔
十音！！！
哔哩哔哩-(゜-゜)つロ乾杯~
干杯！
2014年用户报道
bilibili- ( ゜- ゜)つロ 乾杯~
太真实了这就是毕业后的生活
哔哩哔哩干杯
什么时候我也能做个这样的视频
捕捉某幻
回不去了
爱死小破站了！！！
这里是怕机身太热在吹凉电脑哈哈哈哈哈哈
耳机是不是小馒头啊？
台院？
哔哩哔哩-(゜-゜)つロ乾杯~
我居然看哭了
干杯~！
五月天，干杯，哔哩哔哩干杯
哭了
抑郁症表示看这个有点不适
演员都很可爱
十周年快乐
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~
为我们人生中的每一个十年，为b站的十年，干杯！
大哥！你好帅！！！！
我今年也大学毕业了
有悲伤有遗憾有不舍但最终还是长大了
时间都停了，他们都回来了
哔哩哔哩-(゜-゜)つロ乾杯~
哈哈哈哈哈哈
干杯
哔哩哔哩-(゜-゜)つロ乾杯~
与山烫头
万岁
哔哩哔哩-(゜-゜)つロ乾杯~
哔哩哔哩-(゜-゜)つロ乾杯~
哈哈哈哈哈
b站万岁！
bilibili- ( ゜- ゜)つロ 亁杯
渐渐感觉有点不对，我不吃狗粮
哔哩哔哩-(゜-゜)つロ干杯~
你们眼是真滴厉害！(ง •̀_•́)ง
淦，泪水，bilibili
哔哩哔哩-(゜-゜)つロ乾杯~
怀念的人啊 等你的来到
bilibili干杯
哔哩哔哩-(゜-゜)つロ乾杯~
开荒！
干杯
哔哩哔哩-(゜-゜)つロ乾杯~
刚毕业的我  泪目泪目
哔哩哔哩-(゜-゜)つロ乾杯~
还有这种操作
bilibili乾杯
干杯
我永远喜欢五月天！
wmls
是附中！
生日快乐小破站    爱死这个小破站了
哭了
短发的她
加入五月天，永远不会太迟！
哭
毕业啦！
bilibili- ( ゜- ゜)つロ 乾杯~
十周年留影
干杯
哔哩哔哩( ゜- ゜)つロ干杯~
推荐，干杯这首歌原来的MV，也很精彩
哈哈哈哈
永远的五月天和永远怀念的夏天
十年了，唱出了多少人的青春！
大骚！
哈哈哈哈哈宿舍做饭，中国消防警告
阿鲁巴
干杯
毕业加一
好真实
太真实了
大骚哈哈
森海塞尔哈哈哈哈
十音 大sao 力元军
表白十音
马总哈哈哈哈哈
看到豆豆子和十音
我也毕业了
Bilibili，干杯
哈哈哈哈哈哈哈哈笑死我了
哔哩哔哩-(゜-゜)つロ乾杯~
刚从附中毕业，取景的时候还在
我今天领了毕业证学位证我也毕业了
闹了半天是狗粮啊
六道
10周年 我也大学毕业了
第二人生
bilibili干杯！
告诉你吧
十音
干杯
承包十号线！
干杯
我爱五月天，我爱干杯到永远
干杯
我爱五月天，我爱干杯到永远
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~ 
背景板出现了
这是台州学院附属中学!!!
十音我发现了
door♂door♂子
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~ 
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~ 
我爱小破站！！
哔哩哔哩 - ( ゜- ゜)つロ 乾杯~ 
高中没有上树，差评
生日快乐
阿山的侧颜真好看!!!
开不完的会
时间都停了他们都回来了
哔哩哔哩-(゜-゜)つロ乾杯~
干杯！
毕业了
哔哩哔哩 (゜-゜)つロ 干杯~
干杯
青春啊哭了！！！！
后天毕业典礼，朋友们再会吧，四年的时间，感谢遇见感谢并肩
哔哩哔哩-(゜-゜)つロ乾杯~
当代歌坛！！确定是90后的青春了(ಥ_ಥ)
五月天和小破站陪我长大
哔哩哔哩 (゜-゜)つロ 干杯！
哔哩哔哩-(゜-゜)つロ乾杯~
我也毕业了
今年我大学毕业了，看着同学们一个个离校，很心酸
干杯
我透  我哭的跟狗一样
干杯
干杯
2019.6。我高中毕业了
生日快乐！哔哩哔哩干杯！
阿山啊啊啊啊哭了
不回头，不回头的走下去，再见了，学生时代
干杯！
逼站十周年干杯！！
干杯
哔哩哔哩-(゜-゜)つロ乾杯~
bilibili干杯
爱b 站让我遇见许多有趣的弹幕 带给我很多欢乐
sao里sao气的
干杯!
是的 现在我走到这一步 干杯
干杯
『那我重新写一条送你哈哈哈』
后面那好像是力元君和六道？
干杯
33！
