牛啊
厉害
好耶
关上前一百大门
话说浮舍四只手的话搓澡能搓到后背吗
终于
魈不是不在层岩战斗
终于来了！
先赞后看
正片在ed！！！别跳过
看的人还挺多
带制作
崩坏兽既视感（）
青空酱！！终于来啦！！！！
好帅这段！
逆天
逆天
逆天
ed很精彩！！！
重嶂不移
千岩牢固
重嶂不移
千岩牢固
千岩牢固
千岩牢固
千岩牢固
重嶂不移
泪奔了
千岩牢固
千岩牢固
千岩牢固
千岩牢固
千岩牢固
重嶂不移
重嶂不移
千岩牢固
千岩牢固
压力又一次来到了官方
ED才是正片
太强了
这次一定
我追番键呢？
火钳刘明
好耶
500年前魈没参战吧
牛蛙
动画！
牛蛙
五百年前，魈大圣被压在天衡山下（
细节，金鹏和腾蛇
帅！
片尾做得太惊艳了！
为了守护璃月人民，父亲不得不与妻子和儿子分离
带制作！
好棒
三连！
将帅兜鍪
好好哭
细节啊，浮舍拿的息灾
大哥拿的是息灾？
燃起来了
这次一定！太强了！
太帅啦
正片开始！
正片开始！
我超，艺术
我tm吹爆！
逆天
魈好帅啊啊啊
没想到前排了
很棒的ep！！
火钳刘明，哦青空啊，那必火了
ed好好
帅啊
种哥！
浮舍这个出场太燃了
NB
种神！
火了喊我
兄弟们正片在ed不要跳了啊
兄弟们正片在ed不要跳了啊
这……魈宝发量是不是有点“薄”
哇靠！哇靠！！哇靠！！！！
NB
轻置玉臀，火了叫我
太牛了呜呜
哇喔
火钳刘明
先赞后看，已成习惯（）
我名浮舍，意为，浮世一梦，万般皆舍！
确实，500年前参战的只有浮舍
我要这个币有何用！
我该怎么选择呢
小别致长得挺东西啊
千岩牢固，重璋不移
我超鸡皮疙瘩
卧槽
千岩牢固
这么丝滑！
绿字毁气氛哈哈哈哈哈
种神！
种哥的神卡！
片尾太泪目了啊……
青空nb！
压力这回来到了。。来到了。。
太牛了!
500年前魈没参战
典
牛壁
“快去”
“带他们走！”
这是……他们的契约
此身已许国，再难许卿
