弹幕
哇
一模一样
好
？
草
3000+
4000十
4000
4000
哈哈哈哈哈哈哈
3000+离大谱
11111111
3000+
泪目了
3000+笑死
3000人都给我投币
火钳刘明啊啊啊啊啊啊啊啊
酱紫剪，币有了
3000+
3000+
上船，启航！！！！！
这名字好像有那个大刀
请收住你的姨母笑
11111
《不要输在不会表达上》
甜甜甜甜！！！！！！！！！！！！！！！！！！
3000+
叶哥.3/3/3了
3000+
3000+
甜死了啊，哎喂！！！！
嘿嘿嘿
直播间刚过来
3000+
hhhhhh
3000+
滴滴哒
3000+
期待着叶宝回来的视频《兄弟们，我求婚啦》​
滴滴哒
又是一次历史的见证
开船跑路，但是对面是哪吒.jpg
上！ibai冲！
开船撞墙了（坚信不疑）
1111
30007
3000+
三连了
3000+
见义勇为の叶
草
尼给路达油
3000+
国服第一吃软饭
叶心动了
泪目
恭喜你发现了宝藏
白姨好美
3000+就离谱
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈生草啊
3000+？？？？
3000+
111
白姨说要有光
3000+
张飞要准备开大了吗(doge)
泪目
三连
up主人才，新海诚四部曲走起
11111111
你就是太阳
好好好好
3000+
18:13
吓出原型
火钳刘明
真的无敌了，up
确信是开心乐园套餐
哈哈哈哈
3000＋，我的乖乖
甜死我了
花木兰
我电脑看直播，手机看这个
！？
3000+
哈哈哈哈哈
3000+离谱
爱了爱了
这里叶宝有点帅啊
二刷，3000+
开场暴击
火钳刘明
白姨前面无弹幕
3000＋
3000+出来
我瞧瞧3000+了
等白姨回来双排
3000+
3000+
300+
3000+了
请教张三这种情况怎么判
原神启动
3000+
111
11111
《2000+》
真的快啊
1111
二次元都这么说（doge）
2000+
111
树叶这脸扣的太草了
2100+
2000+
好甜是怎么回事！
小黑子无处不在
扬帆，起航！
《不要输在不会表达上》
杨帆
111
直播间来的举个手
神了
哈哈哈
笑死我了
你干嘛～嗨哎哟～
你干嘛啊嗨哟
2000+
2000+
1111
这里都有你们这帮小黑子
哈哈哈
哈哈哈
哈哈哈哈哈哈哈哈
小子，你三连有了！
11111
我平板看直播，手机看这个
2000+
你干嘛～嗨嗨哎呦～～(警觉)
2000
哈哈哈哈哈哈哈哈哈哈，笑死我了
带走白姨却没有船的树叶是屑！（doge）
nnd毫无违和感怎么回事
盖亚！！！！
我也是刚来
哈哈哈哈哈哈哈哈哈哈
大骟人
111
2000+
进度条不对劲
齁死我了
2000+
2000+
2000+
这俩大脸啊
历史的见证者
甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜
2000＋
2000+?
2000+
呐，现在开始就要放晴了哦​
哈哈哈哈
怎么这么好看？
动我女人，死！
6666
金典
？
↓figo老师       
痛，太痛了
好有代入感
开船!
给人干沉默（指把人枪毙了
开团是吧
牛牛牛
马的，笑死我了
直播间来的
你干嘛～哎哟
111
剪的好
还得是你小子
干巴爹，叶桑！
干巴爹，叶桑！
干巴爹，叶桑！
没完了是吧
干巴爹，叶桑！
干巴爹，叶桑！
干巴爹，叶桑！
干巴爹，叶桑！
你干嘛～（警觉）
干巴爹，叶桑！
干巴爹，叶桑！
国服第一吃软饭
兄弟们消息很灵通啊
1000+
1111
你给路打油～
卧槽一千+在看
太美了1111111
111
必须支持！
干巴蝶，叶桑!
哈哈哈哈哈
哈哈哈哈哈哈哈
直播间来的加一
离谱
666
这里是麦当劳，不是肯德基！
1111
hhh
11111
哈哈哈
好甜啊，毫无违和
好活
耳机党去世
这里挺细节的啊！
真的好看
历史的见证者
你乃乃的
大制作
哈哈哈
树叶要坚强啊
听到直播间的召唤来的
不愧是茄导的大制作
《大膳人》
哈哈哈，树叶现在巅峰赛连跪，运气确实差
叶哥：一给路达呦~
经典永不过时
经典永不过时
我的白姨啊
111
这不来个三连？
兄弟们都是从直播间来了吧？
典
直播间过来
创死人多节奏
