我我我我第一
1分钟
第一次这么前
看三宋的视频会觉得平平淡淡的生活也很好
终于更新了
真实却善良才更珍贵吧
这个场景好浪漫
希望三宋赚更多的钱，不止这一套房
理想主义能浪漫生活，但不能当饭吃
泪目
看得我有点想哭
哈哈哈哈哈又按下去了
完蛋了，我才一开头就在哭了
听到这里有点泪目了
1843
买房是为了安家，但是为了买房家里人各奔东西了，不是本末倒置吗？
终于更新了
好好哭
这段话好想哭
理想主义也要吃饭也要看病也要生活
普通年轻人的压力好大
爸爸妈妈好甜蜜！！！
19年应该是很贵的时候了，后来还有了疫情，哎 ，新款！
这几句话戳到了我的心里，好像看到了现在的自己
好想哭呜呜呜呜
哭了呜呜呜
即使平庸却也曾是少年
这煎饼不错
哈哈哈哈哈哈
好想哭
理想是要有责任感支撑的
平淡兴奋生活不是平庸！！！
听到这句话我哭了
理想不能当饭吃
终于！
确实，骂的好
看哭了
哈哈哈
终于等到你们更新了
好甜！
这几个画面太美了! 三宋你也没丢掉你的理想主义，现实和理想以另一种方式共存
怎么闪屏啊
先三连再看
宋哥真的好有文采，爱了爱了
我真的哭死
哈哈哈哈哈哈
这句话好赞！
泪目
为什么啊
泪目
我哭了，我奶奶也这样给过我200
太好哭了吧
对啊妈妈希望你能娶妻生子
卧槽绷不住了
日语？
你的爸爸！
我哭了
泪流满面
啥
可是我好羡慕你啊
加油呀
你爸妈真的对你太好了
我也 我哭了
我只知道我们都会好好的
哈哈哈哈哈
哭了 都怪你
唉咱们小地方的房可真不便宜
不是买房改变生活的轨迹，是负债改变了
满分作文
本来用来下饭的，关了晚上看
哈哈哈哈哈哈哈
宋啊，我喜欢小静
居然真有人会跑去私聊233333
啊啊啊啊
哎………
大户人家
啊我要哭了
华为
先赞后看
看哭了
一直有人在负重前行
好像小丁啊，还有点像王大雷
看哭了，冲啊宋哥
这句话实在没忍住，哭出来了
恭喜发现宝藏
日语
好便宜啊
一直白嫖关注 这次 给你们一键三连 以后也会 
没钱哪来什么理想
2刷 哭到鼻涕泡都出来了
我也是常年在外，现在只想回家躺平，工资少也无所谓
在图书馆看到最后妈妈说，他搬不动，你帮帮他，直接忍不住了，哭死
哭了
买房不就是找到归宿感吗？为什么恨，恨的话就别买了
房子掏空一家人
父母在不愿远游
我好好好的，花还香香的
和我奶一样
耶！更新了！
成长就在一瞬间
三宋你牛
恭喜你发现了宝藏
我也是用的家里的荞麦皮枕头
看哭了
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈语言魅力
等好久
淄博房价这么贵吗
不要买
宋涛，好久不见！！！
我一辈子关注！
董子健
爷爷我关注的up主更新了
首付全是借的？？
华为啊
我哭了
是我也走
带墨镜是因为哭过了吗
20年后，我再也收不到外婆的红包，也给不出去要给的红包了
我也是 前一阵子终于交房了 5年
哎，真不容易
哭了
不行了 不行了 哭了哭了
淄博很贵的
真的不值得，你会后悔买这个房子的
这个场景！
救命
收下再偷偷塞回姥姥口袋，这不也是我和姥姥的相处模式吗？
哈哈
泪腺日常作业
我恨房子这种东西
大家准备好纸巾
哈哈哈哈哈
币比赞多系列！！！
何不食肉糜
日语
哈哈哈哈哈这里有点臭屁但是很可爱
我很我喜欢你  一直再关注你
邮费也要几十
卧槽  暴击了
华为
这是普通人的不平凡
第二遍
投币比点赞多哎
啊呜呜
爱
真好啊，有爱
你走去那么远，我很想你
火车站也要改了
丁彦雨航yyds确实有才
二刷
终于等到失踪人口回归了
二刷
这个视频必上热门！！！
支持你 
我靠，猝不及防的泪目
荞麦皮枕头，破防了
我时候来认识的你 真好啊现在投俩币还能帮助还贷
就喜欢你的真实
哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
人生呐
我好像去过这个楼
这个楼 是华为嘛
这个造型梦回以前
泪目
他懂个煎饼
我哭了
光线？
终于更新了！！！！
淄博这房价就离谱
终于更了
哈哈哈哈哈哈哈哈哈哈哈哈哈
宋的家庭好好
我倒是越来越喜欢了
哈哈哈哈
你是汤姆？
一秒哭
哇，确实是大公司
简单明了，大白话hhh
再刷一次 从头哭到尾
妈妈总是那个未雨绸缪，看的更远的那个
淄博确实好
呜呜 怎么这么催泪
类目啊
哈哈哈
黄带子是外包
前面收着会安心么真的是笑到我了
被生活磨平了棱角，这期很现实
可是小静却不在父母身边了
仿佛能看到两三年后的样子
泪目了真的
助力每一个梦想
哭了直接
这一声国策直接让我三连加关注。
太好哭了。宝藏up主
投币了
华为
下一个阶段？要当爸爸了？（狗头）
终于更新了
泪目
哈哈哈哈哈哈哈哈哈哈
就为了这么离谱的一套房
哈哈哈哈哈哈哈哈
父母在，不远游
淄博站S
看哭了
哭的涕泗横流。。
真的很棒，是理想洒进现实的样子
祝你和小静好
一眼自如
祝父母好
wanede gcd
老实说，太真实了，流泪
？？？
涛不哭抱抱！
看第二遍，还是很感动
开哭！
哈哈哈哈哈
淄博一般工资太低了。。。
泪目
戳到我了
有知道这歌叫啥名吗
三宋的视频是我唯一不用高倍速看的。
我出来打工我不为钱 我为什么？
哎呀好酸啊
哎呀
这么贵
突然酸酸的
离谱的房价 压的人喘不过气
为什么只能赞一次？
唉又泪目了
哈哈哈哈哈
签下卖身契~视频为证！
你是怎么贷出来的？
这是个宿便吗？上班不为赚钱为什么
哈哈哈哈哈哈哈哈哈哈哈哈
华为？
哭了
哭了
想我姥姥了
看哭了
三宋你又让我看哭了
这是哪里来的zz。。。
确实，我都不敢想
煎饼
我也喜欢荞麦皮的枕头…
再看一遍 重温感动
我姥姥也是
梦想是回到家乡在别人看来很可笑???
救命 我已经在哭了
等了好久，终于更新了
终于更新了
好耶好耶
确实哈哈哈
终于更新了
借这么多钱真的还有必要买吗
泪目
55555币比赞多 
银行狂喜
哈哈哈哈
杀人的房地产
哈哈不用在意大家都是生意人，不赚钱？不赚钱我要做事干嘛
三宋一家都是很好的人呐
呜呜呜呜呜呜
哇哇哭
可算是更了！！！！！！等了好久好久了呜呜呜
哈哈哈哈哈哈哈哈哈哈哈哈
我的荞麦皮枕头，带到大学里，带到工作的城市
我们为什么要过这样的日子
忍不住了
开哭
外包啊
这。。。。。。。。。。。。。。。。。。。。
喜欢这样的叙事方式
三宋加油！！！
投币比赞多系列！！
爷爷，你关注的UP主更新啦
呜呜呜
为煎饼三连
三宋是中国传媒大学的啊！学霸！
江浙地区
6000人
终于更新了，终于等到你
啊我觉得不值
我哭了
哈哈哈哈哈哈哈哈哈
父母都这样
间谍过家家
