大家晚安呀～
这样的视频必须三连支持
好看
17个没睡觉的
我是欧尼酱
巧克力炫我嘴里
人性化的说明
一看就会，一上就废哈哈哈哈
恭喜你发现宝藏
才听出来BGM是大鱼
每次看到做完严丝合缝的盖上太满足啦
殴泥匠！
秦权
梦中情泥
好丝滑
大叔好手艺
好舒服
禁止在麻瓜面前使用魔法
好厉害啊！从一个泥块敲打成容器
好厉害手好稳啊
殴打泥巴笑吐了
好漂亮
诶，他奶奶的，为什么不火，火，火啊
拜托！看殴泥匠的视频超酷的啦！
看起来好好吃
天冷防寒
太美了
BGM：大鱼
殴泥匠
好美
曲对币有
挑食的拖出去！
师傅好温柔的样子啊
天冷防什么？
惊人的观看量
为什么会有不锈钢的感觉！！
姐妹这可不兴炫啊
好好看
边角料炫我嘴里
摇骰子
我寻思我也没眨眼啊
高级感
挑食的叉出去［doge］
这可不兴炫啊宝友
四季防日韩
边角料炫我嘴里（bushi
三次殴打
牛
真的可以装水泡茶吗
900
边角料炫我嘴里（doge）
我也没眨眼呀
这可不兴炫啊家人们
解压
支持
快炫快炫，马上就可以吃席了
心静下来了
光泽度惊人啊
舒服
做啥的
好美
别人的玩泥巴和我的玩泥巴。
优雅
这可不兴炫啊
梦中情手
要多用力啊
好看
边角料炫我嘴里
神他妈殴泥酱
不是吧阿sir～这你也要吃？？
殴泥匠
诶，怎么到这了
好好看
BGM，大鱼这是钢琴版，原唱周深
边角料炫我嘴里
快！炫我嘴里！
快！边角料炫我嘴里！
bgm是大鱼
大鱼！
中国文化必须给我火（传下去）
开瓢
看困了。。
这玩意儿可不兴炫啊！
他在试图教会我们
手太稳了
弃之，食泥
中华文化必须给我火（传下去）
中国文化必须给我火（传下去）
好了，可以给我了
咱别啥都炫嘴里
好想捏一下。
真的有这么丝滑吗
其实有时候看手艺人制作也是一种快乐。
大爷您是做什么工作的
强迫症表示三连
强迫症表示三连了
小壶嘴
弃之食双手
快！把手选我这里
中国文化必须给我火（传下去）
中华文化必须给我火！传下去
《b站三大食堂之一》
好好看
德芙纵享丝滑～
我问一下这个是在做什么壶
殴泥匠​
芝麻味儿的
这玩意儿可不兴炫啊。
这真的是泥吗
禁止在麻瓜面前使用魔法
强迫症表示必须三连
你再这样玩泥巴长大了就。。。。
BGM《大鱼》，钱雷老师作曲
←什么开瓢啊
茶壶
才知道这是要做壶
中华文化必须给我火（传下去）
弃之，食大师（不是
打泥泥（doge）
下面店有东西的
中国文化必须给我火（传下去）
快！边角料炫我嘴里！
殴泥匠
大，大鱼！？！！！！！
中国文化必须给我火（传下去）
呜呜提TNT的有事情吗就只会喷是吗小黑子
看海天一色，听风起雨落
我在东北玩泥巴
已经太辽阔
看你飞远去，看你离我而去
弃之，食铁饼
你不说我还以为是铁做的
殴泥酱…我笑了
友情提醒：可以呼吸
两千多人愣着干嘛点赞，投币啊！
姐妹这可不兴炫啊
看完睡觉
好干净的感觉
弃之食板子
好棒
欢迎来到万物皆可食的环节
中国文化必须给我火（传下去）
炫我嘴里
把那个挑食给我叉出去
把挑食的给我叉出去
不是什么东西都可以往嘴里放的啊喂
中国文化必须给我火（传下去）
笑死我了确实
"Made in China,！the world's top!"
什么鬼啊有什么事啊楼上的
加倒圆角!
感谢施演
这是泥土吗，为啥是这个颜色啊
中国文化必须给我火（传下去）
做蛋糕
天冷
边角料炫我嘴里
现在空屏是我的了
中国文化必须给我火（传下去）
同志，这可不好炫阿
我竟然忘记了呼吸
陶土的颜色本来就不一样↓
陶土的颜色本来就跟普通的泥巴不一样↓
中国文化必须给我火。
中华文化必须给我火。
手好稳！
来着泥炫我嘴里
天热挡日
别躲了那2000个人出来吧
阿泥压
这里上满片时导致的内部多的泥怎么刮呢
中华文化必须给我火（传下去）
大师！！！
弹幕出人才
防韩防个锤子防韩
中国文化必须给我火
紫砂壶？
殴泥匠
中国文化必须给我火（传下去）
轻轻敲醒沉睡的心灵（物理）
"""他，会魔法吧~"""
他是怎么一下子变那么光滑的
