看看评论
罗杰推荐的必属精品 收藏了
收藏了
三连！！
这个神作啊！！岛田吹爆
几乎后来的作家都有抄岛田庄司
神作 点赞！！
你的三连有了
叶奈法！！！
刚看了翻拍的，真的厉害
神剧
当时电影院看的 好多人都走了 看到最后真的是太爽了 结尾的反转
这个电影是祈祷落幕时
这是啥电影
恶意有电视剧版本的吧
这个看的超级爽
看不见的客人也就一般吧
真的很像阿加莎的风格 好喜欢她
这个真心赞
我的叶奈法
这是很经典的推理电影
开幕即神作？
推理一般，不过也很好看
好看
神作哇！！！
吹爆这个！！！！必看
埃勒里奎因，和阿婆跟卡尔是黄金时代三巨头
奎因都不知道吗？？？？
奎因是德玛西亚之翼
没听过奎因的肯定不看推理小说
神作
超喜欢
总有杠精在这一般一般，找存在感呢？
恶意作案手法和罗杰疑案类似
我爱阿加莎！！！
阿婆是对人物拿捏最好白与
我就喜欢推理 
手机出卖了凶手
东吾不是太稳定，有几部非常好看
波罗侦探
真神作
你币有了
来了来了
还三流作家?现实中的矮子来找存在感了
那个找存在感的真的是屑
就你不一般
一般水准？人家可以说开山鼻祖了，笑死，你看过几部他作品？
大侦探波罗
我猜到了
嘲讽福尔摩斯是常态，御手洗，罗波等。就连福尔摩斯也会嘲讽杜宾，其余作家又怎会留手
神作
神仙
我看到小护工回忆那里就猜到了凶手
不要剧透哦
收藏了 爱了爱了
这个小说日本翻牌了个电影
每一部都看过 爽
一般啥呢 宝贝
一般啥呢 宝贝
反转反转再反转
上单奎因
这个真的神 一个活人在厕所里凭空消失 
谢泼特
一千还没到
岛田庄司神人
什么都一般，你来写，我看看你行不行
奎因你不知道，真的假的？
见罗吹
每次都来一般般的是不是同一个用户啊？哪里来的水军，引战都不会？
岛田庄司当然没有弹幕大神厉害
那几句都是一个人发的 屏了就没有了 钓鱼呢
特别强
哇奇想天动的诡计爱了
恶意真的好看，读完毛骨悚然
爱阿加莎
阿加莎经典很多
一步也没看过
恶意是东野圭吾的小说里我最喜欢的一本
个人觉得y的悲剧比x的悲剧结尾更为震撼
岛田大神也嘲讽过哈哈哈
神作 诡计逆天了
刚才的陀螺不是盗梦空间吗？
一对表兄弟
叙述性诡计
这片子最后一个大反转直接就给我看傻了
看过舞台剧
菠萝
几部阿加莎的？
