绝了
弹幕呢
冲冲冲
你就是自己的英雄
看哭了
讲道理这首歌刚听的时候我就觉得特别适合基层工作者和解放军，歌词太适合了
孤勇前进
致敬
我们都是孤勇者！
我们不孤独
泪目
早就想到官方会来这个了哈哈哈
我的梦想就是参军成为人民背后的坚盾。
火钳刘明
致敬英雄
英雄全都是从人民中来的，并不孤独。感谢！
咋这么悲伤？
我咋上来就泪目了qwq
为有牺牲多壮志，敢教日月换新天。
致敬
他们本来就是光
致敬
为什么投币只能投两个
起鸡皮疙瘩了
排面！！团结一心的各位抗疫孤勇者，加油！
Eason！
真.梦幻联动
消防战士
致敬缉毒警察
每次看到交警大冬天辛苦值班，很受触动
谁说站在光里的才算英雄
致敬
致那黑夜里的呜咽与怒吼
意料之外，情理之中
梦幻联动！！！
谁说站在光里的才算英雄
过春天！！
致敬
就喜欢看这种
三连了
歌词还是要略微改动一下
致敬
投币为啥有上限啊
致敬为人民服务的人
原来每个人都是金克丝。。。不惧灾难，不畏未来！
致敬伟大
才有感觉就结束了！！！
致敬！
为人民服务！！！
黄字别刷了，他们爱国也爱民
谁说站在光里的才算英雄
西安加油
河山统一
致敬
牌面
致敬人民英雄
有感觉了
排面
致敬
致敬致敬致敬致敬致敬致敬致敬致敬致敬致敬
泪目
eason
华子牛啊
致敬
eason
火速赶来
绷不住了
火钳刘明
上枪声绝了
上枪声这感觉就来了
火钳刘明
格局打开
致敬
弹幕呢
弹幕呢
简直头皮发麻
泪目了
真正的孤勇者！
这才是该有的MV
求求了春晚我想听这首歌 
致敬
无畏
谁说站在光里的才算英雄
致敬 这才是我们应该崇拜的人
人民英雄永垂不朽
致敬英雄
梦幻联动
看得我太激动了
谁说站在光里的才算英雄
大家给评论区需要帮助的人点赞后刷新一下
梦幻联动！！！
嘿！
谁说污泥满身的不算英雄
每个人都可以是自己的英雄
你们可以永久相信他们
隐身
谁说站在光里的才算英雄！
我们有我们自己的超级英雄!
致敬！
平凡而伟大
求完整版!!!!
致敬
谁说站在光里才算英雄
三厨狂喜
现在还挺热乎的
火钳刘明
致敬
太神了！！！
致敬英雄们
排面
排面
谁说站在光里的才算英雄
优秀！
梦幻联动
致敬每一位默默无闻的英雄
火钳刘明
官方认证
再来亿遍
呜呜
谁说站在光里的才算英雄
致敬英雄
谁说站在光里的才算英雄
官方认可了这首歌，希望春晚唱这首歌别安排流量明星了，来各行各业真心英雄
英雄
致敬
这首歌真的唱出了很多勇敢的人儿，很切合今年的好多热点事件
官方认可了这首歌，希望春晚唱歌，不要来流量明星，来各行各业真心英雄
谁说站在光里的才算英雄
致敬每一个负重前行的人们！！！祖国不会忘记！！人民不会忘记！！
致敬
致敬！！！！
ohhhhhhhhhhhhhhhhhhhhhhhh
火钳刘明！
牌面！！
