太绝了！
第一，太强了
这到底怎么画出来的啊！！！
呜呜呜兵长
火钳刘明
空降04：50
就比
空降04：50
牛逼
空降04：50
空降04：50
空降04：50
感谢指挥部
感谢指挥部
感谢指挥部
感谢指挥部
感谢指挥部
感谢指挥部
感谢指挥部
感谢指挥部
收下我的膝盖吧
我擦
牛逼
团长！
卧槽太流畅了
B站得神人还是多啊
外冷内热
外冷内热
粗暴且神经质
外冷内热
粗暴且神经质
外冷内热
666
外冷内热
66
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
外冷内热
粗暴且神经质
平均一页一小时
六六六
牛
6p
直接看呆系列
来了
哦吼
你刚才玩得挺开心吧
？？？
我要这币有何用
哈喽？肝还在吗？
你们看到他的替身了吗？
兄弟好技术，国漫靠你了
他过来了
太牛逼了这个人
我先来 进口刀片
真的牛壁
辛苦了
最帅的!
关键是每一幅画的还特别好
牛逼啊
辛苦了，三连必须
卧槽，这边也太离谱了
牛皮
？？？车车人？
太厉害了
这工作量
好秀
强啊
666
团长
火钳刘明
牛啊
团长！
大神
上正片
太强了
帅就完了
看up这么辛苦  三连支持一下
你币有了
牛比
nb
哦靠，不试试原创
竟然人这么多，就把牛逼发起来。
牛逼！
先投为敬
看到黑蚊子多了
nb
nb
建议配音给原话，代入感更强，毕竟这段是名场面，没团长那喊声少那味了
草点错了
这是用了什么魔法？
我要这币干什么！
太德芙了这也
画的好快
c，我选错了
辛苦了
眨眼
没有橡皮擦
牛逼
平均一小时一张太牛了
肝帝
太————————强了！
手滑…
牛
我的天。。。
手都不带抖的
612帧
喎草
兵长砍猴
你竟然已经起舞了
我宇智波愿称你为最强
up吃德芙长大的吧
这是吃了多少德芙
中间画达人
太肝了
计时器上说millkun tv哦
这么多搁我身上没个半年一年还真搞不定
太棒了
wit有了你，工期减一半
大佬
大触
这帧数挺高
就凭这份热情不看先投币
蕾姆
辛苦了
要不我给你寄点铅笔吧！
三连了
头皮发麻
牛逼
什么神仙毅力
进击的巨人
nb
太厉害了
利威尔太帅了
膜拜大佬
膜拜大佬
有灵感瘦子走哪去
猛男
草，按错了
哇哇哇帅的
？
辛苦啦
牛啊牛啊
啊 帅到！！！
您！
612我们宿舍的门号，哈哈哈
进击的巨人第7部  2022年由你来画
有被转笔帅到
酷
这是高手这是高手
教练我想学
我点错了！
应该配上原版台词更有感觉
浑身是肝
牛逼
牛壁
肝上长了个人
画的也太还原了吧！
白昼
肝帝
辛苦了
辛苦了
不是我吹，这种图我画上两张，右手就得休一个礼拜
素描巨人
真热爱啊
也可能手上抹了飘柔
是替身!精密度A
给我砍死它！！
这除了真的有才之外还很有毅力吖！厉害的！
太飘柔了
我币没了
为什么只能投2个币
投币投币
太帅了吧
牛
平均一分钟一张，大佬请收下我的膝盖
。
橡皮擦和倒放不是更简单
虽然没看过巨人，但是这画个真的nb
太强了
牛逼啊卧槽
我去，丝滑
哈哈哈哈哈哈哈哈哈哈哈
踏踏开！
舍友问我为什么跪着看手机
不用配音，已经刻在DNA里了
怎么做的每幅画位置大小变化顺畅的呢？
这次一定(破音)
我
1.5倍速非常流畅
nb
在看的有人告诉我这是第几集吗
踏踏开！
秀
大佬牛壁
牛
白金之星
钝角
卧槽╭(°A°`)╮
海的那边是敌人
我靠
火钳刘明
辛苦了
点错了
不知不觉都快一个月了
久违的妈问跪视频
牛壁
这么一来海贼王画上20年也觉得是合理的
正片开始
利威尔必须是我的
明天把币补上
空降的血亏，前面才是精髓
真牛！
ttk
卧槽，我弹幕军呢
转笔好飒
秀得天花乱坠
开始吟唱
牛逼
牛蛙牛蛙
快看看肝上长了个人
woc
打印机也不过如此
强
时至今日看到这里还是感觉好燃
配个BGM更舒服
速食面，速食面（前进）！
关节炎警告
西北老汉
那个说国漫的 这个up是日本的吧
原版是这个的1.25倍速
黑蚊子多啊！
这手绘帧数绝了
这可太nb了
喜欢巨人！！
天呐
听见叫的声音了
人才 你不應該只在B站
天呐
眨眼补帧
你还真的一帧一帧画下来呀
牛逼
好强
虽然我没看过这个番但我觉得很nb
几万粉丝的up干着几百万粉丝的事
达人级的
祝你创作出一部脍炙人口的作品
三个手？
感谢指挥官
我靠好帅
是！自由之翼！
燃起来了
牛逼
三连吧朋友们
《进口刀片》
大神 牛哇
此时，一阵风吹过来
为什么只能投两个币！
我喜欢利威
无他，唯手熟尔
淦点错了
你笑兵长一米五，兵长笑你后脖肉
c，选错了
火钳刘明
这肝不比法国鹅肝好
点错了
好牛批
火钳刘明
我一直在看数字标号在哪里(ㅇㅅㅇ❀)
进口刀片
火钳刘明
利威尔 破音障了 哈哈
求画火影！！！
我很关心 铅笔用了多少支？
您？
卧槽
牛B
nb
牛逼
牛笔
卧槽，我都不忍心空降
怎么把握形体的呀！
楼主家里肯定有矿
利威尔！（幻听
手抖
卧槽
兵长砍猴
牛皮，up你币有了，还两
太顶了！
小兵长帅
您
手动加帧
您？！
太秀了，必须一键三连
兵长yyds
没画错过
牛逼
岸边
这币我不抠了
只要是巨人，我就投币！
外冷内热
牛逼啊
第一次玩这个软件，弹幕是实时的吗？是的话后面回复一下
披风都飞舞起来了
建议0.5倍速～
我直接傻掉
全程都不敢呼吸了
进         口        刀       片
平稳落地
火钳刘明
太肝了
绝了
牛皮
火鉗劉明
真《肝》帝
肝王
火钳刘明
666666
我看谁没三连
强啊
Ohhhhhhhhh
苏苏梅！
兵长砍猴
给我一年我都画不完
我的团长啊！
塔塔开
空降04：57
空降04：57
火钳刘明
操空降的时候按错了，应该是第二个
不就想要我的币吗？给你了
心脏撒撒给哟
太牛了
洗马他！
挖槽！开头暴击啊！我就知道会是这个片段！！
这种视频看到标题就直接三连了
进口刀片
进口刀片
战斗吧！战士们！
？我0.5倍速看的？？？
画的真快啊 专业的吧
感谢指挥部
不是实时
超越人类系列
你这全身都是肝吧。
太牛了
旺达与巨像？
BGM好像是《纳米核心》ed
真帅啊
made in heaven
肝帝
帅到我眼睛了
太强了吧
我要这币有何用
牛！！
左下有人
刚刚你扔得挺开心的嘛
转笔好帅
除了说nb还能说什么呢
哇
nb给个三连支持一下你
好牛壁
爱利威尔！！
这是大佬
你币有了！！！
要币何用
太强了
技术活当赏
太帅了
太强了！！！！
长按屏幕帮up主加速
卧槽
定格动漫？
如果知道除了利威尔，他的同伴全死光了，就能理解他的愤怒了。。可惜啊，利威尔为什么不把谏山创后颈也削了，这样就不会烂尾了
火钳刘明
牛逼
牛
厉害真棒
兵长
进口刀片
牛逼
这就叫每一帧都是艺术品
看得我心疼，所以决定跳到结尾
毛干净了
您
66666666
几分钟一帧！真速度
这么变态的强者
会不会手都磨破了
牛逼
吃打印机长大的吧
燃起来了
前面说一分钟一张的 是小时计数谢谢
肝帝
这也太牛了
踏踏开！
6啊
不就是币吗？给你就是了
三连奉上
up主肝上长了个人
火钳刘明
注意UP主的手！
我愿称你为肝帝
卧槽，直接三连
值得三连
nb
跪着看完了
空降4:50
牛
是我老公！！！
矮子杀猴记
作者辛苦了
前进！！！
火钳刘明
前面的大兄弟？这个是按小时算的，不是分钟
兵长砍猴
612！
肝帝
您
简直一摸一样
卧了个大槽
这次一定
您
画一张草稿，后面在画一张演示拍视频
这是真的牛啊
牛
每一帧都好帅
必须给币
nb
求职满分
太强了吧
这币不给你给谁
太牛了。卧槽
您
牛壁
好帅
牛啊牛啊
2倍合适
你币有了
一看标题利威尔就知道肯定是砍猴
狠人
这不是一分钟一张，这是时钟不是秒表，大概一小时一张
这个前面还是一个小时一张，后面基本半小时不到就一张
火钳刘明
太强了
我猜他已经把兵长恨透了
2倍速
又拿打印机骗我三连
respect
肝帝
草点错
德芙失踪案件
这一看就不是你画的，这明明就是打印机画的
有点东西
您
长按视频为up主加速
火钳刘明
一下橡皮都不用的
这得吃多少打印机啊！
您是ai？
牛逼
加个原声配音就好了
美特英黑文
sha人呐 这操作 upniubi
乱了怎么整理。
这里快了一点，兵长正在犹豫要不要杀的。
丝滑
动画片的由来！
巨人的结局你们还记得吗
早期的动漫就是这样一帧一帧画出来的噢
不去平台签约画漫画可惜了
离谱妈妈给离谱开门
动画间隔一秒照着画
人类真牛逼
你就是关谷大师兄？俗称人肉照相机？
让我标数字都得累死
嗷~兵长砍猴！
绝了
给大佬跪了
66666
牛皮啊，在哪家动画公司任职呢
牛逼啊气势磅礴
ohhhhhhhhhhhhhhhhhh
10秒
好家伙 我直接好家伙
太强了啊啊啊啊啊！！！！！！！！
鸡皮疙瘩
定格动画
好是挺好，就是费手
这才是热爱
刚才粉丝还是两万多
杀鸡一样
牛逼了
兵长真厉害
这不画个孙猴子大虐奥特曼
为什么那么燃啊
大牛
火钳刘明
火钳刘明
自由の翼
卧槽
燃起来了
正片开始
塔塔开！
我要这币有何用
进口
好耶
必须一健三联！
前方高能
你币有了
这镜头兵长也太帅了吧！动画太快都没看清
人不能，至少不应该
燃起来
岸边露伴！！！
大佬
我的妈呀
不是人
不是人
我的妈妈呀
你刚才扔的挺开心啊
您
太强了
进击的肝脏
真牛逼啊
牛逼阿
币给你了
太牛了
一分钟出一张
真肝帝
这画得也太顺滑了吧
动画就是你画的吧
已三连
速速面
牛逼
太tm疯狂了
小伙子有前途
我愿称你为最强肝王
触手怪！！！
动漫部泪目
您
兵长永远的神！
神乎其技!
火钳刘明
一个人可以撑起一家公司
空间能力满分
必须三连
请宁收下我的膝盖
这么厚真的翻得动吗
不信就从前面看
天天天天
你币有了
太帅了！！！！
画完写啊
[NON]
[Noo]
[WoW]
为兵长献出心脏
大佬！
这也太丝滑了！
抄袭
逐帧草席
666
！！按错了是外冷内热
封面第一眼流川枫
好家伙我一张都画不出来
开两倍，真牛掰。
圣雄肝帝
JO太郎！
我人已经傻了
你怎么不睡觉啊  你没了我给谁点赞去啊呜呜呜
牛逼就完了
看痛了 - -@
果断三连
《利威尔兵长再怎么厉害，也不是战士长的对手》
前方高能
燃起来了
<白嫖之星》
进击的肝帝
我的天太牛了
空降4：57
巨佬牛批！
目が、、、
間に合わない!!来不及了
wryyyyyyyyyy
さっきはずいぶん投げて楽しそうだったね
666
卧槽，我生日的帧数
nb
火钳刘明
肝还好吗
牛逼
这也太流畅了
666
本来打算买打印机的，看了视频之后买了根铅笔
牛逼牛逼
我的天
正片开始
没币了
流弊
我们寝室是614
您
3连 加油
卧槽
这种硬核之作还值不起这区区几个B？
真牛逼
哇 很流畅了 太牛了
你玩的挺开心啊
我的最爱利威尔
《进口刀片》
兵长砍猴
塔塔开
这帧率正好卡上了
我要这币有何用
牛牛牛
丝滑啊
这up我要了，过来上班
可能手上沾了德芙
画一张要多久，感觉好快哦
摔
好看
我踏马直接泡脚
幻影剑舞
没有人可以从1写到1000
平顶山男孩，希望大家了解一下。已经已经没信，可能快没气了。
有的是1小时1幅图，有的是半小时
助力每一个梦想
南无阿弥陀佛南无阿弥陀佛
牛逼
这个打印机多少钱？
塔塔开
太离谱了
火钳刘明
巨佬巨佬  进击的肝脏
各位，我是跪着看完的
塔塔开塔塔开塔塔开
点错了...
团———长————
