永久免费！？！？
ohhhhhh
好耶
宋浩哎
开源精神
n
这是我第一次人三连
我终于找到了
谢谢你
谢谢你们
感恩阿婆主！
我去，查理老师
加油
吃灰，吃灰
滚去收藏夹里待着吧  哈哈哈哈哈
塞壬唱片
感谢
感谢
支持
三连了
我看成了你弟 寒王的唱片
好久没有给人三连了，这次一定
牛
六六六
好样的
正道的光，必须三连
大家三联走起
投币
知网： 版权都是我的，等律师吧
感谢up主和各位同胞的努力
张三老师（不是
我一个文科生迷迷糊糊学了计算机
你们缺少个git
顶，刚刚看了一下文档
塞壬yyds
97位兄弟，币別握着了
罗翔哈哈哈
罗翔老师
理科学法学，被调剂了吧
学问
呜呜呜我也法学的
感谢
我好像看到了艾教授的名字
进收藏吃灰去
进收藏吃灰去
真棒
文档在哪里
三连了
妙啊
谢谢
好耶
支持
"干嘛要吃灰，每天学一点不好吗,,Ծ^Ծ,,"
墓指我看谁吃灰
吃灰去吧
收藏收藏
尚德机构
好是好 太杂 觉得需要评分筛选
同法学生
领域展开
感谢 已收藏
已投币
真的想法超级好啊
知识不是垄断，法律服务、医疗服务确有收费的合理性
人类，就是从这里走向新的文明高塔的
好
省流：一个网课网站。众将死战，非我之功
那些光收藏，都不点赞的怎么想的，收藏＞点赞一万多
b站大学
好哇！！！
加油，为学习减少阻碍
直接三连
好的 就在收藏夹吃灰吧
我一个体育生迷迷糊糊就填了声乐
法外狂徒张三前来报道
知名
很惭愧什么都没做却要使用。
b站大学
没有初中1~3年级的吗？
up主真棒，三连支持一下。
吃灰去吧
厚大！
感谢！
塞壬！
好耶吃灰吃灰！
吃灰吧
厉害厉害
前面说富豪的诞生的是有病吗？这些都是免费的
共享！
非常感谢
张三
好家伙收藏比点赞多两万多
牛蛙
我一个艺术生迷迷糊糊学了计算机
医学刘忠保yyds
呜呜呜
吃灰去吧
收藏比赞高
吃灰
加油，中国新青年！
收藏多于点赞，极度离谱
这个我也看了
法学还有up主
？？？
太厉害了
但是我只想偷偷一个人知道，哈哈
第一次三连奉上
感谢走在前面的人，让我们看得见方向！
已三连
已三连
支持！
感谢up
吃灰去吧
信息共享
谢谢
还有变态心理学
变态心理学注目
已三连
厚大法考哈哈哈
谢谢up!!!!!!
B站大学
太牛了，真心感谢
历害
牛啊up
早晚在B站读个研
慕课就不错啊
是的！！！
mooc好用
非常感谢各位
吃灰大全
背景图贵州六盘水牂牁江
厉害了，好用心
资本震怒
@知网
我一个文科理科都垃圾的人憨得选了新传
已三连
哎哟，这不是张三嘛
0.0.0.0
法学？？？
查理老师哈哈哈哈哈哈
罗振宇看了直跺脚
谢谢up
感谢
牛
好人一生平安
有没有日本老师单独辅导的课
好棒啊
感谢！！！！
厉害了
知网出来受死
遇事不决量子力学
哈哈哈我也是
太精彩
艾公的课一下就吸引我了
谢谢
Mooc?
查理，好家伙
好棒，加油
厉害了
牛逼！！！
我最近在看名师公考老赵的课程，考公务员
收藏从未停止 行动从未开始
加油
谢谢你
必收藏系列
好的大学没有围墙
活菩萨
共享概念
Github搞个项目
保护
保护
干翻知网
搜索引擎怎么说呢，简直污染严重
已售收藏 再见
投币了
谢谢
我在B站上大学
@知网
您就是开源之子
卷起来！！！
大赞！
数学天王--宋浩
谢谢你
800人看
对对对
这就是门户网站呀
计算机学着像文科
说话有股针味
感谢
这不三连还等什么，疯狂打call
感谢up主！！
太棒了
警惕一些资本市场
66666
太离谱了
收藏是点赞两倍好家伙
可
抱歉up没币了，下次回来补
吃灰去吧
我上岸之后就来投币
up建个维基吧
太棒了
吃灰，吃灰
封面是《起风了》？
积灰
这个点赞保存很很皮
是的是的是的是的
支持支持，共享资源这样才能增加人才数量，推动人类进步
牛，加油
可敬的人，三连支持
知网来学学
老罗骂骂咧咧退出直播间
注意安全
有没有混元意形太极马老师的课
大爱
收藏多于点赞，收藏的伙伴点个赞啊
“你TM犯法了你知道吗？”2333333
千刀万剐（狗头）
吃灰
所以这个文档在哪？
感谢！
感谢
太赞了
人才汇聚处。
谢谢大学生很需要这些
知网：你不赚钱的么
好强!!!
这才是真正的互联网的初心
陈印法王
收藏夹吃灰
意味着考公非常容易
这收藏量比点赞投币加起来都多哈哈哈哈
感谢
ohhhhhhh
投币了
我的志愿可以说是乱填，根本不知道自己喜欢什么
我也看了
不做商业用途应该没事
感谢up主
小心被盗
对啊
我就不知道我喜欢啥
众所周知，B站是个学习网站，加油吧！！！
支持
同法学生
我一个文科生迷迷糊糊学了动物医学
果断投币收藏
谢谢up主
颜群老师yyds
6
互联网以前就是这样…然后版权时代来临
妈妈再也不用担心我的学习了。
刚进文档看了一眼，400多人。。
就怕你学不过来
感谢up!!
最全吃灰合集
必须保护起来
非常感谢作者
好人一生平安
可敬的人
知网是什么东西!
有我啊！
软件确实一堆
众所周知法考机构是靠卖书赚钱的，视频免费送
收藏的人你们的b呢！
军事理论！
牛啊
中国慕课大学
收藏夹吃灰去吧
含泪来了个会员发个弹幕
那个请问一下这个文档怎么用？
好棒
吃灰去吧
升华了！
进收藏夹吃灰吧你
好
知网建立的初衷也是这样，不过后来人家越来越强大，飘了
英语兔
插眼
很厉害！！！！！！！
谢谢
看前先赞，养成习惯
保护
up加油
劝人学法，千刀万剐
感谢up主
三连了
牛批牛批
前两页都是广告啊
收藏比点赞多
b马上补上
知网：都不赚钱还搞个屁啊
支持
牛逼啊
我一理科生还学了工商管理呢
我看过这个老师的视频
已经三连
爱你
牛啊
要是出生迟一点就能看到这个视频选一选专业了
吃灰
收藏夹吃灰！
良心，给你投币，为免费图书馆添砖加瓦
让我想起了gitub
太需要这种资源整合型的优质up主了！
谢谢你们
声乐可太牛了
三连啦~
请问文档在哪里
查理老师
很好，进我的收藏夹吃灰吧
缘分刷到后续
感恩家人
有，我已经收藏了茫茫多，下架了也很多，收藏一个下载一份
艾公千古！
难为你把这些知识一个个搜罗起来，你也是可敬的人
格局大了
不是吧，大早上258人，当不当人了
理科生学文就对了
这背景是安工程？！
所有伟大的知识都是最普遍且最不值钱的
up主牛逼
夹吃灰
吃灰去吧
感谢up
比如宋浩老师
回来投币
收藏夹里吃灰吧
我高三选志愿也是！！
up你是好样的
吃灰冲
支持！
666
我也是，莫名其妙就选了能动
又进收藏夹吃灰了
多谢
下载excel之后，筛选提示内存不足或者修改后保存提示文件错误的，可以尝试选中所有表复制到新的工作簿，之后就不可以正常筛选了。
罗振宇震怒
先三连，在看
哇哇哇，感谢感谢
哇~~~~太哇塞了
知网出来挨打
感谢up
大学直接倒闭
知识无价！是因为它的普及性以及实用性！当知识被垄断后明码标价，那她将一文不值！
好棒啊！！！！！！！
进去吃灰
感谢 已吃灰
感谢！
塞壬！！
感谢UP主分享，对于可能需要的人来说功能无量，你必有了
感谢大神们的辛苦付出！！
批吾歪吾点抗
东西呢
这是我第一次投两颗币
支持！！
感谢
支持
感谢
感谢up！
谢谢你！！！
感谢
谢谢大家
简介里有地址
太牛了
好棒
因为是你自己选的，所以你一定会听完
我觉得你可以上百大
我一理科生学了文学:-)
活菩萨
太棒了
谢谢博主
感谢
变态心理学
谢谢你
谢谢
谢谢
谢谢
b站大学
插眼
感谢
一键三连，退出，一气呵成
我一个理科生也是被管理学了
好强的发型
俺需要需要
我一个理科生进了文学院……
文档在哪？
在哪在哪
copyleft
没有最好的只有最适合自己的
滚去收藏夹
感谢
收藏了
三连了
必须给币了，良心
进收藏夹
投币，交学费了
注意安全
必须三连给你
宋浩
你们是什么神仙啊啊啊啊啊！！
收藏夹地干活
我的一个大创项目就是不谋而合的想法
选一个喜欢的专业真的很重要！
太牛了！！！
吃灰
我推荐的导演课，大家可以去看看
无人深空就是我
知名魔法师
回形针的声音？？？
文档在哪里额
去收藏夹吃灰
哇~~
查理老师
已三连
领域重叠
去收藏夹吃灰吧
nb三连了
中国大学算不算
硬核网站就要最简洁那种，啥版面都不要
吃回去吧你
我也是
我成了天打雷劈
牛逼
发电
发电发电
注意安全
文科生学计算机很牛啊
啊其他专业？土木工程有吗？
谢谢感恩
益博思
@益博思赶紧送啊
呜呜呜感谢感谢
牛！
谢谢，这个社会有你而精彩
谢谢大哥
请笑纳
现在生活不是一个问题。而大部分人更想是分享与得到，认可
哇
法学！！！
感谢
文档在下面的简介
量子力学
酷
一起加油UP主
吃灰
说的很对
感谢
先投个币支持一波
好人一百零八胎个个是好汉，还有一胎是梁山
我呸，又不是永久免费的，看看以前那些不是免费的，人多了就开始收费。就向这比站一样开始免费，然后收会员费，有些还要再收费尼玛都黑
必须三连
法学的本质就是理科
我是看浏览量进来的
贺银成
资本震怒
大佬
非常真实
有用啊
去吃灰吧！
表达敬
敬意
respect
万年白嫖党，看了文档后，不回来投币都不好意思了，连推荐理由都一条一条写上，太强了。
收藏等于学过
三连投币
吃灰吧
我一个音乐生填了动物医学
确实
感谢
git
知识不应有价格
niubi
谢谢，进收藏夹吃灰去
好家伙，你这事干得漂亮啊
罗振宇看了直骂娘
惊！喜！
感谢！
开源精神
真好呀
安工程
安工程
