刚刚！！！！！
评论发不了？
哇，热乎的
学到了学到了
ohhhhhhhhhhh
好的  我的币成为了不可能的形态
厉害啊
nb!!!!!!
草
确实
妙～
我投了一个错位的币，是不是相当于我投了两个
舒服了
哇哦！！
难受死我了
牛
！！！
我去
选秀logo？
秀
牛币
恶魔音叉
bridge
想玩纪念碑谷了
冲冲冲
纪念碑谷
匹克？
暗示投币是不可能的
哇
？？？？发生了什么？？？
build！
你是谁 为什么我关注你了
人类的眼睛真好骗
看晕了
哇
你好牛逼.......啊
《简单》
PALACE就这么不被人熟知
woc，还以为要把柄连起来，没想到
暗示up想百大（
好看
纪念碑谷
创造营
卧槽
重塑
眼给我整瞎了
好强 
这个不矛盾吧？
《简 单》
妈呀
哇
明示投币
迪芝伦！
1111111
101？
纪念碑谷
好看诶
纪念碑谷诶
纪念碑谷
魔法！
ohhhhhhh
太牛逼了
这个图形是可以建出立体模型的，不算不可能
UP你怎么这么优秀
是魔法，他用了魔法
但是这个几何图形是可以合理存在的啊
2小时！！！
《这，不可能！》
好吧，不用暗示，我投币了。
n64
这东西只能存在于平面
我为什么看着感觉好难受啊
afinity photo
奈飞
感觉这个应该是存在的，可以折纸试试
感觉可能存在啊
？
秒啊，可以做logo
！
我去
投了
暗示投币是不可能的
google drive(难视)
左边有这感觉，右边没有
ansys？ hfss？
FEZ
术士
两柱异面
palace
潘洛斯三角
best match！
土命术士（
多看埃舍尔的图x
???
很好，我开始晕了
埃舍尔
妙啊
但是这个N一点都不矛盾………
妙蛙
Google Drive
广发？
说可能的画个三视图就知道行不行了
老纪念碑谷了
心理暗示也来
Magic
palace
palace 彭罗斯
噶殿无处不在
Half as interesting
有本事画4d
这小箭头飞来飞去得好可爱
王思聪和他爹有矛盾
palace
这个不矛盾啊…
不矛盾呀，转个直角弯的事
可是这个图形的形状，是完全可以在现实中做出来的。
恶魔音叉的原理
新字体的创作
金 星 玻 璃 拱 顶
我倒是觉得非常无趣
我眼有点花
这不是一条腿歪了的H吗？
地 刺 干 员
这个一个在左前方一个在右前方
芜湖
H
这，不可能
《明  示  投  币》
《马  上》
我看到了捷克国旗？
魔尺
捷克斯洛伐克（doge）
palace
奇妙的Abstergo
妙啊
辅助
海海老师我来了~纯属来听您的声音解压了（其他听不懂）
好家伙不光投币，底下还三连呢
网飞？
埃舍尔
给你两个
刺客信条奥德赛
图穷匕见
彭罗斯三角
妙啊
佩兰数列…
这就是魔法
这是视觉反映，立体实物不存在的
好活儿
芜湖哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哪里都有嘎殿
这个好像可以画立体图
nface，csgo
把白色部分和蓝色部分看成两个片就可以了 是人脑把他想象成立体的而已
矢量滑板
学废了
妙啊
palace
连字怎么做
简单粗暴doge
这个能弄出来不矛盾
明示
所以我为啥要设计图形
《非常简单》
术士
三体
说不矛盾的空间想象能力不过关
？？
匹克
AWSL
好玩
palace
明示投币
伏击客
发生了什么事？？
palace
下次一定
牛
卧槽
拓扑
？？？
看起来也不矛盾
？？
术士？？？
nb
？？？
卧槽，帅啊
不矛盾的麻烦想象一下3D画面
首先排除币字，所以这是什么字，我不认识。
居 容 台
明白了，这就去设计纪念碑谷
纪念碑谷！
西门子shapr
这个没毛病
投币=矛盾
这个有点乱
哪都有嘎点嗯，除了土命2
我看不懂（doge
阿特拉斯
无限回廊
滨海大厦了
这个硬笔的声音让我想起了非自然死亡)doge
创造101吗
幻术吗？什么时候？
这个图形是存在的，别被弹幕误导
创造营。。
这个可以有
我就眨了个眼？
这个用立体可以做出了
够了够了
术士
N64
学费了
好难受啊
麻将八条
说不矛盾的再好好看看吧
匹克
但是这种图看着好难受
这样就组成了一键三连
扭起来了
好家伙
有内味
知道了，那就不投币了
《简单粗暴》
palace
魔法
暗示投币
这！这不可能！！
赶紧取关
潞安集团
方舟进化（不是
知道了，不可能投币
把柄！！哈哈哈哈哈哈，我笑点被戳得就很莫名奇妙
投了投了
纪念碑谷超好玩
神奇
不可能音叉
《简单》
是bug
是的可以
是bug
真的吗我不信
下次
这个不矛盾，完全合理存在
san值掉了
纪念碑谷
汐斯塔
这个n确实是现实可以做出来的
符合设计 不符合美观
纪念碑谷
好家伙，益博思的logo原来是这样设计的
《简单》
这个图形可以成立
验 证 码
谢谢晕了
嗯
我给你+1
网飞
就可以得到术士 泰坦和猎人
潘洛斯三角形
纪念碑谷没你我不玩
时间走廊？
