无人
良作无人
鸡你太美
重庆军统，高级特工
背后的漫画也改了，细节
还有这烂活哈哈哈哈哈哈哈哈哈哈哈
火钳刘明
工作量极大
上面菜虚鲲什么鬼哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
毫无违和感
草
就离谱
好活
忘记原版
右边这个是穿山甲？我还以为是猴子
封面看成波波和卖鸡小子，我有救吗
一 人 饰 两 角
离离原上谱
cxk
遇 到 困 难 摆 大 烂 ！
火钳刘明
up，这是干什么，太阴间了吧
up就是波因哥本人？
nervous
草
这是什么
《|奇  行  种|》
什么阴间视频
高技术力呀 
有原版那味儿了
这画风模仿太强了啊
草
带制作
带制作
jojo！
草
经典坑比，哈哈
突发恶疾
哈哈哈哈，好像！高技力！
简直一模一样就离谱
好鞋垫的画风
波因哥
双厨狂喜
牛批
好猎奇
100％death
家   乡   话
波因哥真传弟子
反正听不懂
tql
说阴间的是你自己不懂，回去看jo3
Jo厨狂喜
空条鸡太郎
火钳刘明
如此良作竟无弹幕
嘿嘿你这个病小问题等死吧
坑比哈哈哈哈哈
这画风简直一样
还原
草
？
还在想穿山甲什么时候出现，原来一直在眼前啊
草
离谱
hhh
波因哥
荷尔荷斯和波因哥
……绝了
草 高技术力生草
被识破还这么开心的屑
破罐破摔
鸡皇2333
替身：穿山甲，能力：下毒
哈哈哈哈笑死我了
牛逼
tnnd为什么不火
牛逼
十七小时
草
大制作，火钳刘明
火钳刘明
才17小时，这赞够了
这，阴，可
哈哈哈哈up鬼才啊
up主牛逼！！！！
双料，指日料和火锅
催逝员
草
tnn！！为什么不喝！！！！
高质量！已三连
卡牌暗示难道不是穿山甲（滑稽）
带制作
好活，你币有了
←鸡你太美
双厨狂喜
填词太合适了
太nb
草草草草
火钳刘明
草
草
才看出来，小个是穿山甲
tnnd，为什么不火!!!
荒木早期幼年画风
高技术力
替身：穿山甲
司令员：滚！枪毙！
哈哈哈哈哈
草
大离谱
我的替身能力是白给
火钳刘明
nnd
nnd为什么不上热门！
坑比！
干 净 又 卫 生
完全一致
太草了
说吧大号怎么没的
绝对100％death
kksk
梦幻联动
画风清奇……
牛哇牛哇，支持
害怕
不是笑川天皇差评
荒木觉得很赞
播音哥
坑比
鸡王
哈哈哈哈哈
都江堰，wdnmd
点赞 祸害更多人
语音卡上了就离谱
坎井我dnmd 
草
都江堰的四级考疯了哈哈哈
波因哥
好活
好牛逼啊！up主
这鸡皇也太传神了
这也太阴间了吧
前面那个在做自我介绍
火钳刘明
tnnd，为什么不火
900
献出今年第一个币
摆烂是吧
jo逝员
鸡皇，笑死我了
坑B！
6666
离谱
草，三部的大家变成鸡了
6666
离谱
波音哥
什么东西啊
波因哥和欧因哥
绷不住了
三廚狂喜
草
真当我听不懂日语？
双厨的你们都厨了些什么东西啊啊啊啊
san值狂掉
kksk
背景细节
正版√
双厨狂喜
警告，前方经费爆炸
完全一致
我看不懂但我大受震撼
火钳刘明
恐怖新人
逆天
哈哈哈哈，开场笑 火钳刘明
波因哥画风
？wc，这是阴曹地府吗
牛皮
？没想到的
草
鸡你太美
越来越离谱
欢迎回来
san值狂掉
好活
火钳刘明！火钳刘明！火钳刘明！
良作无人，甜腻腻的给爷火！
坤坤？
笑死我算了
优米斯达<
jiji
离谱
所以他们俩是把汤喝了吗!?
京杭大运河
这不是漫画书替身的画风吗
庭渡久宅歌
离谱
奇怪的画风好像在哪里见过＼(◎o◎)／！＼(◎o◎)／！
高级特工
用鸡汤打出枪的声音的屑
草
火钳刘明
高技术力suki
新人都是魔鬼系列
草
草
草
100%哪够，应该1000%（老千并感）
太阴间了
火了，已经上热搜了
替   身
替身能力是啥？打开书出来一碗鸡汤？
属实惟妙惟肖
kb
火钳刘明
梦幻联动
双厨狂喜
离离原上谱
一碗肝菌由胃生的鸡汤
寄汤来咯
代了个寂寞
摆烂的屑
这是人类想出来的?
出现了菜虚鲲
草
san值消失术
这艺术对人类来说太早了
太强了大兄弟
寄汤来咯
催逝员
重庆菌桶双料高级特工
代号：氚疝钾
咬舌自尽
太生草了
大制作
233333
给爷火
狂掉san
笑死我了
代号穿山甲的穿山甲
262
草
太草了
坑比哈哈哈哈哈哈
666666
这是JOJO吗doge还是穿山甲
首页通知书
太草了
波因哥画风
这个鸡皇会唱歌跳舞打篮球吗？？？
三厨狂喜，还有我能源之城禾斗比
坑比
哼，想逃?Kobe!!!
草
火钳刘明
开始摆烂
草
小老帝
san值狂掉 
这恐怖的画风
越来越离谱
双出狂喜
开心摆烂
还原度真高
大制作必须三连
关键词和原曲还大部分都对上了
提前生草
草
草
大制作
火钳刘明
左边胳膊没了…
草
越来越离谱
带制作
绝了
甚至背景内容都不一样
鸡王
这是什么阴间活
up这是干什么，太阴间了吧
双厨狂喜
好棒
阴间
草，我看到了孟婆在对我笑
。。。
大制作
100%得死
火钳刘明
火钳刘明
地 狱 绘 图
逆天
660人
虽然我不知道是哪部动漫可是我只知道被玩坏了
焯
这太离谱了
太草了
哈哈哈哈
后面的鸡太郎煮了吧
好活
氚疝钾（真•毒汤）
需要有艺术水平，又好像不需要
哈哈哈哈哈
后面的用心了
蚌埠住了
双厨狂喜
草
你？？？
‘
梦幻联动。
技术力高啊。
祖传白给
太强了
草
