西安在这快来!!!
您的垃圾 柠檬精已上线
233333
恶魔学校
哥德巴赫猜想
抢生源？？优秀的人都会往优秀的地方去而已
高考作文……
好可爱
闪闪发光的孩子
酸什么啊
有点帅
充满了正能量
有理想的孩子
那叫握拳
好帅啊！！！！这样的男生真的超级帅！
烟花
广东，我的梦想。
帅啊
我们当时高考是卓（zhuo一声）越不是杠哈
活得好透彻的人
帅的帅的
西安在这里 高中生真的自愧不如 真的很优秀 很从容
近视的多啊，好努力
小哥哥真的很厉害，很强
少年  未来可期
女朋友
改着改着就错了海星
都是眼镜。。。
觉得有点帅 关键是气质啊啊啊
卧槽宣誓?
好棒
从这个演讲来看，衡中的教育理念的确跟强
哈哈哈
让我看看衡水的学霸怎么演讲的
猪蹄子
作文题材
现在的学霸都是成绩又好又优秀
因为梦想闪闪发光的样子真的是羡慕极了
天生的朗读者
在衡中只有屏幕出现老师或者校长大家才会欢呼啦。。嘿嘿
这才是优秀的大佬啊，服了
好像我当初班里暗恋的男神啊
像发鸡爪疯的我。。。
都是戴眼镜的
好帅啊啊啊啊啊
太阳嘛。
是我是我.现场的小朋友报道
祖国的未来
有梦想很好啊，前面的干嘛啊
萧亚轩警告⚠️
哎，看过现场的我，明白他果真火了，身为和他一届的高一学生深表惭愧啊
大二老学姐感觉自己好菜啊
很有主持人的风范
他真的好厉害。让我想起我的高中时代
小别致真东西
挺好的了
爸爸哪去了？？
后手螺旋
我好喜欢这样的男孩子，闪闪发光的
能激发潜力啊，可惜分数不够去不了
大家好。我是青春，我都不知道我什么颜色。
好爱
还有作业
泪目了
屏幕上是谁？
按照我的经验，一大帮人在写学案和改错本
我居然哭了握草
我一男的觉得他好帅
绿色
果然不化妆的男孩子要帅一些
你谁
学霸读jiao色？语文老师出来
看到的高三生，最后半个月加油加油一定加油
不得了
赞，我的梦想衡中
不要用四眼这样带有侮辱的词句
高手
烟花
jué角色
左手力右手电，手心迎着磁感线
每年四月我都会到西交大，真的很美 很美。
？
哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
好棒啊
前面像左手的笑死我了哈哈哈哈哈哈
这个在人间世上有
小哥哥我爱了
像神经元。。
衡中的学生真的很优秀
好浪漫
老弟，你撩到我了
给老师个镜头啊！！！
校长我发现这个小伙子半夜刷抖音
泪目
爱了爱了
自愧不如
小别致长得真东西
小橙帽小蓝帽学生会学管会
听不见
好可爱
他也太棒了吧
我的颜色
敲棒
听听这是人说的话吗
你看看这是人说的话吗
哈哈哈哈哈哈哈哈哈好棒！
全都是戴眼镜……
BGM什么鬼
我居然哭了
西安不夜城，我们做的
炸鸡汉堡那个，真的有
你们对衡中有太多误解了，我衡中毕业，班上很多帅哥呀
自信散发的帅气
好会撩是怎么回事
人大啊
我是西安的，不要期望过高！
有些题改着改着就错了太真实了
像手
我觉得他演讲的很好啊( ﹡ˆoˆ﹡ )很有趣，我很想听下去，以前有的演讲我向来是收藏然后再也没看过的………
像馒头...我饿了
像女朋友
！！
学习会带来快乐。。只不过学的方式和方向不同
衡中的老师真的没那么友好
真的是有梦想的年轻人，闪闪发光
bgm：way back home
哈哈哈哈，这太真实了
好多戴眼镜的啊
衡水中学，我这成绩，叹而观止啊
烟花!!!
满江红23333
真的很喜欢这样的男孩子了
我被激励了！
佩服佩服
哇，还有课间
衡中的老师一般都是很年轻的
衡中颜值高的很多，我家就在衡中边上，衡中一放假我就猫在边上看小哥哥
我一个大四的觉得好感动
卧槽心动的感觉
湖中等我！！
牛逼
角（jue）色，大家注意发音
好棒，小弟弟
。。。。。。。
摄影师出来
我妈妈今天把他的视频给我发过来，妈妈希望我能好好学习，我不想放弃自己，明年就要高考了，加油
像烟花！
心里酸了
魔都武大可还行
好优秀的小朋友
真好，你们老师好负责
为什么我泪目了TAT
风华正茂，书生意气，挥斥方遒指点江山，激扬文字
喜欢闪闪发光的人啊
衡中等我
唐朝没有夜市，只有草市
好熟悉 的博雅馆
不是自己写的哦  作者原意是指放屁
紫色
这底下得多少人被他撩到啊！老阿姨都被撩到了!
学霸怎么还念错，是juese
他真的好优秀
 这居然是文科生！
好帅
哇手机砸脸了呜呜呜
牛逼
像核弹。
心脏在左边
年轻人记性就是好
每个人都拿着学习资料。。。
哇哇哇
右下角瘫着的小哥有点帅（重点错了）
紫色是18年高一学弟
西安人举手
BGM:way back home
高手过招，一针见血
背景抢眼
640老学长前来报到
我觉得他好帅
复旦大学
还有带手机的
把爱带回家，让回家成为最好的礼物~
好可爱哈哈哈哈哈
听听这说的是人话吗
考上大学了吗你
啊！
爱了爱了
way back home
是绿色
听不到，得摸
女朋友
他们都感觉是特别单纯的开心的青春时光啊
我的妈
不怯场，放的开，这男孩长大一定有出息
右手螺旋定则
哭了
衡中根本不是说的那种机器，
同是衡中，为什么他知道这些段子。。。。他是不是带手机了。
他真的好帅，他真的在发光。优秀的人，让人热泪盈眶。
南大是我理想的大学！！！
我大西安
主要是是不怯场，本身有魅力
这只是他生命中的一部分，希望他能够一直保持优秀
广东人想去上海+1
磁感线
咋这么多逗号啊
我的梦想是没有梦想
小嘴抹了蜜
高一学弟好
还是乡下好
这是高手
hhh
自信的男孩子啊，太耀眼了
你谁
可以去学播音主持
青春与梦想，哈哈哈。
好棒
好自信，未来可期啊
一本正经
自信的男孩子最帅了！
考研狗看哭了
希望你们明白考大学也只是人生的一个阶段 梦想不是某某某大学 而是要一直寻找的东西
猝不及防的作文
确实是因为他是名校
爱了爱了
梦想十年后能在上海有一份安定的工作。
像。。。女朋友？
我的梦想就是活得久点
现在高考就是读jiao色
还是更喜欢叫她:长安
加油
好好
这就是高中生啊
太优秀了
开花
今年下半年。。。
哈麻批
他像篮球
为什么我感觉有点像老张......
他真的好自信，好阳光啊
哇哇哇，我们西安！！！
没人感觉有点像杨洋吗
活着
叫她长安的那个，等等我，我真的喜欢她叫长安
我想去国科大
西工大路过
可爱..诶
开花开花
右手安培定则
子非鱼安知鱼之乐？
哈哈哈哈哈哈哈哈哈哈哈
way back home！
我写过这题！
哈哈哈哈哈哈
好优秀
中学那会行文或是谈吐，都是充满文采
我大江中总是活在衡水的阴影下。。
两个手就是两开花
我要考清华
我也好喜欢地理啊啊啊啊啊！
这个男孩子好有趣
是我中学时期会仰慕的男孩子
这人就像我们同学聊天一样没有压力
听不到。。。。
哦呜
希望少年看过岁月，仍怀赤子之心
哈哈  怀疑开车了
鬼知道看了多少遍
你给自己放了个烟花
怀疑语文老师是班主任
卧槽，我死了
放烟花
人间世儿童骨癌患者在病床上给自己放烟花呜呜呜呜就是这段
好闪耀啊
好看的小弟弟
小哥哥有前途
梦想能够在珠江新城买一套房
安中
放烟花哈哈哈哈
真的很激励人啊！！！偷几个句子写作文
梦想:中国航天局
哈哈哈哈哈哈哈哈哈哈哈太可爱了吧
太好玩了哈哈哈
BGM：Cold Winter----July
哇都是学霸
是我古塔拉黑暗之神的天下了，哈哈哈
是四月你的谎言……不说了我去哭会
他在发光
恭喜你，开花了！
开头是猴子出来了吗
没听见啊
579班那个站住！我587，同一届了！！！
我觉得他讲的很好
大家好！！！
哭了
哈哈哈哈哈
啊啊啊广东！！
有几个毕业的大学生能有这样演讲？
我的梦想是宇宙
这样的演讲才有趣
我知一双手只要握成拳头能捱下去
集会都带着作业
主jue jiao色
23333
哈哈哈哈哈哈哈哈哈
好可爱这个男孩子hhh
我看到过这个，特别喜欢
衡水难得的清流
真的在发光
爱上小哥哥了
天呐我心动了
王源?
浙江大学就是我的梦想
666
难受
当兵！
中山大学，一定等我
像老婆
画重点，这是要考的
好青春啊！！！！！！！！！！
15天小高考加油
我都没去过市里
是满分作文
物理老师张剑锋
哈哈哈哈哈哈哈哈哈哈哈哈
沙包一样大的拳头
外面正在放烟花哎
bgm  失去才懂
罗马的那个，就像我们羡慕桃源乡，有些桃源乡却羡慕外面一样
哈哈哈哈可爱的男孩子
高考加油鸭
这个学霸有点帅……
我觉得衡中的氛围很好啊
期末加油，JJY，你一定可以
大二狗内心五味杂陈
23333333
BGM: shuan-way back home
他在发光
我只想去召唤师峡谷
李鹏鹏shadow
哈哈哈哈哈
呵呵哈哈哈
欢迎来上海
上海报道
阜阳师范大学
怎么就尬了
诶，我怀疑前面的是我们班同学诶，我们班学霸就叫雪峰
教育不为了考试，为了啥？
哈哈哈哈哈哈哈哈哈哈
6.16中考，一中！
他一定在发光吧
讲得很好
老师每天都在拿衡水中学跟我们做对比
口才真好，全方面发展啊
这个男孩子太耀眼了！
我也曾站在这个舞台
很耀眼，让人移不开眼
满分作文背出来的
董力研吃着板面打架
铁一中的那个同学等一下我
为什么？？？为什么？？？
宝藏男孩
常常会听到帝都魔都什么大唐不夜城新一线领头城市这类名头在那炫
厦大，中大等我我会努力的
他真的好优秀啊
这个男孩，太耀眼了吧
滚上去！
"我的梦想也跟你一样,但是因为社会限制了我。"
我是福州一中的=·=
这个少年在发光
你学文嘛
小学生有这水平很厉害了
我的西安
想到青春就想到夏天
烟花
？？？？？？？？？？？？？？
是个狼人
哎呀呀呀这演讲的太自然了吧
？？？什么玩意
我真是对这种成绩好又自信的少年木有抵抗力！
很阳光是我这辈子都不可及的
河海河海！！！
长的还挺好看
好厉害
表白上海
即便是背出来的，那也是他的本事
有些人讲着讲着就开始讲起了相声
其实如果我户口可以，我也想去衡中，逼自己一把。青春才有意义
啊啊啊啊啊我好喜欢这个
烟花虽美，转瞬即逝。
西安上大学的我报道！
老王好 我知道你会给我们看
广东人来了
石家庄二中高二路过
青春啊
川大
我觉得能站上去讲其实已经比一些人优秀了（比如我）
你听听这是人话吗，，我哭辽
十尾（神树）
哇
复旦
老婆
发光的男孩子！♥爱了
小别致真东西
求bgm
太会了吧
真的是优秀的人
好阳光啊
放烟花！！！
西安人好自豪
他在发光
像猪蹄
北大
厉害！
23333
隔壁班的
我在网吧看这个
我会全力以赴赶超这个男人
他好耀眼！
广东人在此
爱了爱了
PS:这个烟花可能不是原创，应该来自一首小诗，这张图片我好像也在同一个博主哪里看到过。路金波  一个出版人  韩寒书里的那个人
央美等我
系统命名法是化学的，应该是
狂野？哈哈，笑死
广东！！！
上海！
郴州市的等等我
爱情
中南！！！！
为了远方，我们需要努力
泪目了
武大冲啊！！
江大
新实加油！
太喜欢了
哈哈哈哈哈哈
有一条路，人烟稀少，寸步难行，但是确却不得不坚持前进，因为它的尽头，种着梦想
襄四高四34路过
23333333333
可以
有没有桂电的
居然pick了西安哇激动
交大附中路过
我喜欢他！
我枯了，谢谢你。
吾什么时候才能成为这种人呢...
后面看不到啊
真的帅
衡中?你说笑呢
？
桂电的留步
全是眼镜啊
高考议论文热点 注意记笔记
好巧呀，我也喜欢地理
女朋友
awsl
是不是我太胖了…我听不到呜呜呜…
右手螺旋定则
。
好羡慕他的气度啊
高考加油
注意看这里极大多数都近视了。。。
沾学霸的气啊
炸弹
清美
bgm:失去才懂
小别致真东西
认为努力抵不过房价的人，世世代代都只能为房价挣扎
狂野不可阻挡
南海区石门等我。
北邮！
好喜欢
广东!!
普林斯顿
他真的在发光
复旦冲冲冲！！！！！！！！
哈哈
？
nb
央美等我!!!
广东珠海！！
优秀的人不断优秀
求bgm
five
优秀啊
爱了
南宁三中五象校区等我，30天
海的味道，蓝色
有，作
心动了awsl
小别致，真东西
jue色不是jiao色
我要考211！
烟花
上海交大，明年见！
首医大！
华师大
哈哈哈哈哈哈哈哈哈
M
我只是一个梦想，哈哈
追求卓越是校训 校服后面都有的
梦想浙大 只考到了东南 但努力过不后悔
我感觉题海战术最好使
清华，你要等我，何子煜，我一定会在清华大学的门口，等你来见我
这才是少年人的模样
厦大等我
国防科技大学
我的妈呀 春晚吗
西安来了
小哥不错
帅的
"“人间世""第一集的那个小女孩的名言"
只有我觉得这男孩像benny吗
哇
张口就来
前面的二中大佬！请收下我的膝盖！
好可爱哈哈哈哈
我是先泪目还是先走流程
渐变心跳红啊
你去的到吗？你知道多少分吗？
我也爱地理！
这个男孩在发光
bgm  失去才懂
北京协和等我啊
讲的不错
家里蹲＋1
我要把他的话抄下来贴在桌子上
别说人家衡水监狱，大多数是自愿的，人家不是被壁的，说到底还是教育的方式，人家愿意这样往死里学还学得不死
…………………………。…。。。。………………像女朋友……………………………。。。。。。
西安交大等我
权力的游戏
真好
南师大等我！
求bgm
在第一次看到这个视频时才五万播放量……
好厉害！！！
这个男孩子在发光
唯青春与梦想......与姑娘与美食与美酒与小说与电影与风景与自己不能辜负
是綠色
我呸!优雅美丽??明明是丑陋!邪恶!!
？？？
不用流程，交过钱了，直接泪目
还有十天，我可以
多伦多大学！
女朋友
最后亿遍
像Benny的哈哈哈哈哈
北理等我
中科大笑笑
啊啊啊啊啊我大上海
我觉得他超厉害！
植物。。沐彬中学我吃定你了
"说没时间的,到了高三就知道了,高手永远有事做"
想哭
郴州哈哈哈哈
北京邮电
全区前100！！！
这个男孩会发光
全是眼镜
秀啊
看他的笑容自信而强大
卧槽这个颜真的可爱
听听这是人话吗
再见朋友们，努力去了
广东的娃子，没有珍惜
想看看后面的背景啊
对学习的渴望还会在这看b站?
我现在的梦想是今天刚考完的二建能过
二高迎接我吧
我怎么看出恋爱的感觉了 该死
当你满眼都是追求卓越的杨子时，便也，没理由落后了。
西安啊啊啊啊啊
别致
浙大等我
像爱情
成都
刷郴州的有毒吧
武汉理工!
自信的人最帅了
这数学题牛啊，哥德巴赫猜想啊
？
数学题太美丽了
哈哈哈哈哈哈
武大等我！
哈哈哈哈有意思
厉害了
真的好棒呀！
小东西，挺别致
妈呀这句话
女朋友
厉害厉害
摸仙水晶球
自信认真的人最迷人
天大等我
211，955为了自己为了所有为了我付出的人，冲啊！！！
发光的小哥哥
别的不说，光这种气场这个年纪都是少有的
像女朋友
丞哥等我
大三地理系路过
热血高校开头谁还记得
我向生活认了输，把梦想和欢喜都给了它
辟谣。晨跑拿着书那个有毒…我们是跑步前等集合的时候晨读
哦呜，是吗
中国传媒大学等我
小老弟不错，现在让我上去也说不出来，控场能力很强
老师今天刚给我们看过
南师附中等我！
巴啦啦能量，乌七八黑！
way back home谁不知道（捂脸）
优雅美丽？我哭了你们呢
重大，我的梦想
硬核哈哈哈哈哈哈哈
鸡王母的等等我 ！
哈哈哈哈
我酸了，好优秀啊啊啊啊
西安人滴城墙是西安人滴火车
真的是高素质人才的气场，我们学校就有这样优秀的人
数学真美
大三老学长提醒大家到了大学也不要忘了梦想哦
兄弟我在工地等你
基本都戴着眼镜……
脱稿公众讲话很难的，难在真的把自己想表达的说清楚
想对象
厉害了
我们会宁二中当时保送两个去衡水 不过去了一个 另一个没去 没去的一个也考了北大 
看的我脖子疼
魔鬼
失去才懂BGM
没有！
厦大等我
AMD VS INTEL
绿色
为什么我听不到
你大爷还是你大爷
??
人话？？？？？？
发光了
可爱
黄色
西南政法大学
这个少年会发光
bgm是啥啊啊啊啊
2019江苏省常熟中学我来了
啊啊啊啊啊啊他好可爱a
同盛的模型
