看的好爽
全员！立体机动！
为全员献出心脏！
这个镜头看的我整个人都是麻的
鸡皮疙瘩
献出心脏！
高昂的自由之翼，进击的巨人之心永不磨灭！
高能二倍速
不管看多少遍都不腻，太帅了啊
给我上学来一套立体机动装置
承包我韩吉
你大爷终究是你大爷
6666666666
兵长和阿尔敏一样高
去B站港台版。
兵长一米六！！！！！
永远吹爆的巨人
吹爆巨人
问啥番的那个可以退群了
啊啊啊啊啊啊啊啊啊兵长爱你
立体机动mad
太热血了
666
骑马时只能反手刀吧，要不然就得交叉手了
这作画只有在巨人能看得到
好帅好帅
这镜头，这动作，啊啊啊啊啊啊啊啊啊
太帅了
我好担心后面的人会不会扎到我屁股。
吹爆兵长，兵长帅爆
这转场太棒了
给他们光剑的话，利威尔就不会被肯尼打得到处飞了，直接挡子弹
要不是只能投两个币
要是我可能会变成肉饼
会死的
在b站看要设置很多东西，而且很卡的
我觉得幽游白书出个桑原就能灭了巨人
三笠帅炸！！！
我也想飞
我爱死进巨了
这一段是op里面的
我死了
见血了？！
高昂的自由之翼，进击的巨人之心永不磨灭！
不带耳机亏大
说实话兵长是真的猛
吹爆巨人！！献出心脏
我们是，自由的！
拆迁大队
做的太棒了吧
三爷牛笔
没死
兵长没死的！
爽到飞起！
教练，我……
没死，只是重伤
他们是怎么回收钩子的？
献出心脏1
BGM:barricades
前进
前进1
高昂的自由之翼，进击的巨人之心永不磨灭
女王高帅！！
女王这段帅炸
画质好评
突然想到 楼房外墙是不是都是扎进去的洞
他们的城市建筑上是不是有很多洞洞眼…
没看过就去找着看
为人类献出心脏！！！
阿克曼血统无敌！！！
为人类献出心脏！！！
利威尔战力天花板
前面的，会摔死的都在新兵的时候就淘汰（死）了
阿克曼家族nb！
耳机党阵亡
火钳刘明
为调查兵团献出心脏
进击
我不允许说巨人不好的人存在
说蜘蛛侠的，巨人里面的这些只是普通人，没有超能力
0.5倍也看不明白系列
铠甲巨人～莱纳
蜘蛛侠：MMP
前进！
一米六小旋风，冲鸭！！
太棒了呜呜呜呜
我也是麻的
三笠.阿克曼
米可死的冤啊
三笠！
为团长献出心脏
为团长献出心脏
为团长献出心脏
为团长献出心脏
这个钢线有多长啊？？
巴拉巴拉吧怕
。。。。
太好看了
啊啊啊啊啊，我三爷啊啊啊
线打结的都死了
人类塔米尼心脏撒撒给油
晶体强化后颈肉，笑谈兵长一米六
兵长进城这段太快了，完整版更帅
用枪怎么样
三笠！！！！！！！！！！！
兵长！
苏晓NB
啊啊啊啊啊啊啊三笠啊啊啊啊啊啊啊
不行，三笠太帅了
为兵长献出心脏！
命运的后颈子肉
好爽的感觉
本来就是巨人的bgm好吧
这也太燃了吧
这个长镜头太帅了
为团长献出心脏
前进，不顾一切地前进！！！！
这个作画我吹爆
三爷啊啊啊啊！！！！！
三爷牛批！！！！
麻了
献出心脏
这世界的真相究竟是怎样的呢
進め!
帅炸
飞翔吧！
肯尼-阿卡曼、三笠-阿卡曼、利威尔-阿卡曼。。3个杀胚
又骗我玩三笠
为三笠献出心脏！
進む
進む
進む
前进
漫画没完结
为三爷献出心脏
首席精英
偷偷告诉你们一个秘密三笠有6块腹肌
蜘蛛侠
看不了，B站别想
雷枪
百年笼中鸟，片刻自由人！
進ぬ！！！！
百年笼中鸟，片刻自由人！
杀过巨人的只有少数老调查兵，没看过不要乱说，而且老兵都不敢随便上，随时都会死
说巨人是木桩的，那是b站给你放不了吃人的画面，没看过别乱说
献出心脏！
你要自由！！！
0.5倍看完，不想错过每一帧~
女王！
go ahead
这里挂雷枪的韩吉桑太帅了啊啊啊啊啊啊啊啊啊啊！！！！！！
啊啊啊啊啊啊啊啊为兵长献出心脏!!!!!
团长真男人
我想冷静一下
还没有完结呢。。。
都不晕
为兵长献出心脏
韩吉桑是不是因为超巨领便当了？
第一季线条特别粗犷
心臓を捧げよ
希望下一集团长冲锋也可以作出前几季的效果
火钳刘明
近身后无论是路人还是人类都没人是兵长对手
帅炸了
后面漫画入侵马莱帝国更加帅
awsl
兵长牛逼
为人类献出心脏
高级版跑酷
泪目
难以言喻的感觉，平静的心再次躁动，这就是巨人的魅力，吸引我的存在
超级棒
处女币献上
如果团长死了，我会觉得利威尔少了半个世界；如果兵长死了，我觉得人类一败涂地。
哪来的䈺筱亚
6666
死死鱼眼都很帅。。。
兵站1米6然而我1米6不到
护住命运的后脖颈
<<Barricades>>
团长没断手之前一直很骚气
超大型巨人：花里胡哨的，，
鸡皮疙瘩
献出心脏
旋风小陀螺！！
话说女王后面怀孕了孩子是谁的？
为兵长献出心脏
为利威尔兵长献出心脏！！
为利威尔兵长献出心脏！！
兵长SAMA啊啊啊啊啊啊赛高！！
为兵长献出心脏
"靠的是剧情啊,国内这小说都无限和谐别说动漫了"
6666
这是什么动漫啊
这个镜头是第三季的了
阿克曼無敵
高昂的自由之翼，进击的巨人之心永不磨灭
高昂的自由之翼，进击的巨人之心永不磨灭
高昂的自由之翼，进击的巨人之心永不磨灭
说怎么回收的看动漫的时候注意看那个情报就知道了
暂停找耳机
为利威尔兵长献出心脏
今天玩2b小姐姐发现是三笠的配音
千万不要信他的话，自导自演
为兵长献出心脏
什么动漫
我们是自由的！！！
你三爷还是你三爷
燃
献出心脏
献出心脏！！！！
百年笼中鸟，片刻自由人！
什么番
这么乱不会打结吗
三爷帅爆！
鸡皮疙瘩掉一地
这是什么
第三季是真的很多高能的!!
兵长一米六!!!
摄像师辛苦了
Dark Side Of The Mone
厉害
线打结的是魔鬼吗？
来吧！1.25
刚看完第三集
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
向团长敬礼!
唉，一拳超人钥匙第二季也是这个制作水平就好了
我三笠太帅了！！！
前面说av画质的你在逗我
女王！
为利威尔兵长献出心脏
鸡皮疙瘩啊啊
阿尼
三爷我的
旋风小陀螺
啊啊啊啊三爷
弹幕清了吗？？感觉之前看到的都没有
我爱你艾伦
我不在现场
自由之翼！
为利威尔兵长献出心脏！！
为兵长献出心脏！
艾尔迪亚人
利威尔在我床上呢
这不就是人人蜘蛛侠了
没气了
贼好看
三笠阿克曼
矮之巨人
第四季外国出了
舞动青春
荷兰弟搬的秀
最帅一米六
现在哪里可以看巨人
艾伦
玛丽亚夺回战！
为三笠献出心脏
每一帧都透露着富有
第四季   今年什么时候播
玛利亚之壁夺回战开始！
献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏献出心脏
从来看进击没有不起鸡皮疙瘩的
爱辽
三爷美如画
献出心脏！
为兵长献出心脏
有没有第一人称视角
阿克曼组
哎呀，看到女王高兴不起来啊
这首歌的三人版本也超爱！！
眨眼补帧
这首bgm在qq音乐上已经找不到了
操飞的好爽
全场最佳-三笠阿克曼！！！！！！
为兵长献出心脏！！！！！！！
啊啊啊啊啊啊啊啊啊兵长！！！！！
0.75食用更爽
兵长
为利威尔兵长献出心脏
好看呐
高昂的自由之翼，进击的巨人之心永不磨灭！ 高昂的自由之翼，进击的巨人之心永不磨灭！ 
献出心脏
为利威尔兵长献上心脏！！
快乐风男
良心之作呀！
进击的巨人
150
莱恩也帅啊
承包我妮
三笠！
前进
这作画牛逼
想知道在一起没，看漫画去，不剧透
看个小视频我都能热血沸腾兴奋鸡皮疙瘩都起来了
三笠ああああああああああああ
吹爆它
为利威尔兵长献出心脏！
一直觉得立体机动装置很帅
帅的头皮发麻
献出心脏!
为兵长献出心脏
墙都能射破 为什么不直接对着巨人突突 万箭穿心
★宇宙英雄
献出心脏❗❗
Because nobody wants to die too fast
I could hear your voice
I could see your face I could hear your voice
Song for the reluctant heroes Oh Give me your strength
Our life is so short Song for the reluctant heroes
三爷！
我要这硬币有何用
期待更新
!!!
宪兵团女成员这里也是高帅
猿之巨人他喵竟然是子安配的
三爷大帅比
喜欢兵长！！！
兵长最帅！
这一段真的吹爆，分镜无敌了
三笠阿克曼
三笠阿克曼
