好像啊啊啊啊！
我以为会有重楼景天徐豆腐（doge）
哇塞啊
好厉害！
我命中注定的老婆
这是本人吧
这个好像兔子精白雪！
好像啊 (⊙o⊙)
卧槽
挖槽
龙葵不太像，其他的都很棒！
来个茂茂
这也太像了吧
好像！
雪见和花楹都好像啊
禁止本人参赛
牛
绝了
真的像
还有火鬼王和那个海里的美女！
cos邪剑仙
茂茂呢茂茂呢？
哇，都好像吧
雪见真的比原版还好看
卧槽？这是本人吧
有点像吴京
神态很像
邪剑仙呢？（dog
花楹好像!
好像啊
龙葵化得比较像袁姗姗
好像啊
姐姐仿一个杨幂姐姐肯定很像
好牛逼
卧槽卧槽卧槽
牛逼，这么像
这个视频怎么翻来覆去一直在放啊
啊啊啊啊
好像啊，不知道为什么泪目了，可能是再也回不去那个无忧无虑的时候了吧
花楹简直！！！！
角色
Jue色
仿妆！不是仿人！
是魔法
真的不是把原演员找来的嘛
卧槽!!!!!!!!!!
什么情况
景天呢
？？？？？
卧槽卧槽
惊为天人！！！！
卧槽真的心一抖，一模一样真的
少拿本人忽悠我
卧槽！？！！
卧槽
卧槽这是本人吧
紫萱不是很像耶
魔法！
好像幂姐啊啊啊啊啊救命
流批
除了诗诗都挺像的
高能预警
乍一看是真的像
卧槽！紫萱
我他么直接三连
好绝
牛逼
我傻了
怎么做到的
龙葵脸有点尖了
牛
这这这
卧槽！！！！！！！！！
花楹好像
忘了水碧呢
我惊呆了
"妈耶,不要拿原片来骗我(doge)"
卧槽
？
啊啊啊啊啊啊我的龙葵
好像啊，太厉害了
卧槽
？？？？厉害厉害
卧槽
太像了吧
素颜有点像毛晓彤
？？？
好像
省流:一模一样
一模一样
没有茂茂？
我靠
禁止放原图！！！
太像啦！
牛牛牛牛
woc
卧槽
每一个都真的好像啊！！！！！
卧槽
这么厉害！！！
好像啊救命
花影不是本人？
卧槽
牛
一模一样
啊啊啊啊啊啊啊
茂茂来一个
吓人
太像了
我惊讶的叫出了声
我直接c语言
？
终于找到正主的号了
幂这个太像了吧
离谱
邪剑仙才是童年，这不来一个吗
花楹最像，可能是up主本身就有点像花楹吧
卧槽
花楹特别像
nb
花楹太像了
卧槽！
我靠我靠我靠
卧槽
哇，好厉害
花楹好像！！！
这个造型好像！绝了
一模一样
雪见是本人吧
嗯？
这也太像了吧
龙葵不像
挖槽
太像了救命
？？？？
这是一个人？？？？？
都不论演技了 就这妆造就可秒杀当下热播的一切古装剧 仙侠剧
这个最像
是“再”不是“在”，打错啦
这哪是化妆，这是换脸吧
沃德发 神了啊
卧槽
一人千面！
太像了！
卧槽
这简直就是花楹本人呐！！！
沉默着走了有……
素颜的时候就有点像花楹了
头两个绝了，乱真
太像了吧
Emily Bloom？
求仙一啊啊啊啊啊哭
为什么没有景天
Up本身就很像花楹耶！！
死去的记忆突然袭击我
景天呢
为啥不还原景天（狗头）
土豆
卧槽
我去！！！
少拿拿原版骗我
好像！
关注关注
我的童年还没过完
卧槽
再来一遍
鬼知道我看了几遍
卧槽，一模一样，一模一样
她是怎么做到气质又杨幂又唐嫣的
龙葵！
技术流
卧槽真的卧槽
第一眼都好像
你不说我都不知道不知道是一个人
龙葵是真滴绝了！！！！！！！！！
很像
这是花楹的演员吗？
我的茂茂呢！！！
甜妹花楹
今夕何年？
今夕何年
卧槽
花楹是绿色的
没有邪剑仙差评……（dog）
厉害啊
哭死我算了
很像了
卧槽卧槽
juese
卧槽？这是原剧本人上线？
卧槽
卧槽
c语言
哟
好厉害
好像花楹
好像！
姐姐好漂亮
只有花楹说自己，其他都在叫男人
出不去了呜呜呜
卧槽牛逼
卧槽牛逼
你在赣什么
握草
握草，求仙一
太像了
哇哇哇
一连几个卧槽
卧槽
卧槽
？？？？？太像了吧
嗷嗷嗷嗷
我去？？？！
真的像啊
卧槽？
夕瑶太像了吧
我以为我幻视了
卧槽
夕瑶绝美啊啊啊啊
牛逼 
？？？
卧槽，你没拿真人骗我吧
一眼大飞
我靠 真的绝
太像了!!
？？？？？？
我擦   我也没眨眼啊
一毛一样啊啊啊啊啊
先不说精不精致，关键每个角色都好像就无敌了
卧槽太像了
jue 角色
你是怎么做到每一个都那么像的？我靠
好厉害诶，雪见和花楹特别像
好像啊
姐姐好厉害
？
我不理解
牛！！！
怎么没有景天dog
我就没看过这剧
我只能说非常惊艳
？
为啥我能刷到你三次啊明明看过来
太像了
好像哈
币给你了
花楹好像！
卧槽
卧槽
除了龙葵都比较像
绝了
太像了
素颜就已经很像花楹了！
卧槽
这个真的太像
哇好像啊
好像啊
前两个好像
不cos我景天，看不起吗?(doge)
哇除了龙葵都好像啊
牛！！
卧槽好牛啊
卧槽！！！
素颜就已经很像花楹了
不，巅峰已存，
都是女角色
哇哇哇
哎哎哎哎怎么回事每个都好像
噢噢噢噢噢噢噢！好像啊
卧槽怎么会这么像啊
爆赞爆赞
太牛了
卧槽？？？？？
平均脸
太厉害了吧
好像啊
她男朋友一定很幸福
？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
小鱼儿与花无缺中的小仙女
我以为还有李逍遥、景天、茂茂他们
邪剑仙那个我笑死了，哈哈哈
这个也太像了
我的天我的天我的天姐姐好厉害！！
素颜就很像郭晓婷（花楹）了
好像！！！
夕瑶～
等等，这真的是你一个人？！！！
！
亚洲邪术！是邪术！啊啊啊吧
牛逼
就花楹就他么离谱，简直一模一样
她是怎么做到每个都好像的啊！
谢谢你我哭了
这里好像李一桐
卧槽
牛逼！！！！！！！！！！！！！！！！！
好像花楹啊
啊啊啊！！！太像了吧
真的都很像唉！
你特么是本人吗
卧槽了个大比兜
卧槽
这也太像了，一人演全局，天哪天哪天哪天哪天哪天哪
太像了
呜呜呜呜哭死
不科学，不科学啊啊啊！
还差个逍遥
眼睛好漂亮呀！
我趣
卧槽好像
花楹和雪见比较像
花楹真的好像
真的好像啊woc
我景田不配
我的眼睛瞬间变大
你确定这是一个人！
？？？？？
是不是说四个人加一起  就是她素颜的样子！？？
这个是真的好像！！！
卧槽
卧槽卧槽卧槽卧槽卧槽
？？？？？
本人？
化妆比ps还离谱
我去
第一个好像
卧槽卧槽！牛逼死了！
卧槽
我想看邪剑仙
你一个演吧太像了
刷到好多遍了
太像了
就内娱目前形势来看可能都没有下一个仙剑
心好痛
好像啊!!!
卧槽
什么技术？？？有本事来个胡歌
？？？？？怎么做到的我不理解为什么能一模一样
奈何本人无文化，一句卧槽行天下
这个花楹简直了本人吧
我的妈太像了
？？？
？？
我还以为是花楹
别走开，她马上就要夺走你的卧槽了
woc！！
花楹本人
我以为会有邪剑仙
卧槽
！！！
我靠
还原个茂茂看看
一模一样卧槽
好像宝拉姐姐
这是一个人？
卧槽，怎么做到的？
我以为是邪剑仙
卧槽
苍兰诀的婉静娘子？
厚礼蟹
太像了吧！！！
邪剑仙呢
？？
都好像太牛了
你好漂亮
魔法
？？？？？？
我靠好像啊
卧槽
少拿原片骗我，哼
没化妆就很像花楹了
五毒兽真的很像
杨幂也太像了吧
woc好像
花楹贼像
卧槽
高能预警
为什么都那么像？
不要拿原图骗我
离谱，太像了
这就是那个演员吧
