1播放
1播放60赞B站特色
优雅，实在是太优雅了！
第一个看完
两分钟，还热乎！
帅哥你谁
好听
这才是真正的ikun，他真的，我哭爆（bushi
当你看到我的时候你就不是第一了
真的我哭死，他甚至画了一幅画
你干嘛嗨嗨哟
红豆乃是我ikun中的一员大将
坤哥帅帅
来了来了 我是第405个赞
第一次压扁成这样的我
问问坤的粉丝那个可以做到这样
刚刚
空瓶是我的啦
坤坤我老婆
该说不说，有点帅
这么帅。。
白带异常
我靠 帅到我了
第一次压扁成这样的我
6啊
电摇篮球
巅峰迎来虚伪的拥护 黄昏见证忠诚的信徒
小黑子，露出鸡脚了吧
莫名好听
看见我你就不是第一了
我超，好看捏
抢占先鸡
白带异常发生在右手
《变形鸡》
关于我关注的up都是ikun这件事
小黑子
来早了吗
啊这
不打篮球改打棒球了是吧
鸡哥好帅
厨力释放属于是了（doge）
看到我你就不是第2了
w  c我手机充满电了
艺术就是爆炸~
棒球艺术？
好帅的只因
《我踩我自己》
小鸡脚，漏出黑子了吧
是不是ikun都沉默了
有点帅是怎么回事
优雅鸡舞（bushi
29分钟还有余温
满屏只因
说实话，看这么多坤哥的鬼畜，都看出感情了（doge)）
为了只因哥，即使在上网课我也无所谓
卧槽，好帅
四年了，你们还玩这个梗有意思吗？能说明什么？说明这个梗真的很好玩
关于我关注的ikun都是up主这件事
这不去画漫画可惜了
厨力好强
好...好师啊
好美！？
什么神画师
上瘾了是吧
来力！
ado的歌
双厨狂喜
在现场！！！！！！！！！！！
虾仁（幻视）
百万调音
太高级了我们ikun
鸡哥能不帅？
妙啊～
火了踢我一下
来了
抢占先鸡
我先来你干嘛~哎呦~
开始上头
有点好听
怎么办有点帅
疯批美鸡！！
kksk！！！
封面有一种鬼灭之刃累的即视感
一小时前
你们食不食人啊，盗窃会不会（乱入）
我家鸽鸽真好看
这段绝了
迎面走来的你让我如此蠢蠢欲动（doge）
让我怎么去烹饪
。
巅峰迎来虚伪的拥护 黄昏见证忠诚的信徒
