这个时长！！
?
居然没人发弹幕？！
霸屏！
有没有种可能是老师没有3D打印机（doge）
致死量
纯手工?
再来一遍！
你这漫画正经吗
也不要杆，我只是好奇罢了
比较好奇，大佬为啥不用数位屏呢？比较方便，对一个有可观收入的人来说，拿下一个也不算太贵，
热乎热乎
逐渐感觉事情不对劲
万代看见了他慌了
好家伙，神之手剪这个，有点狠啊！
3d打印机没坏
马夫蒂
这是把纸贴到塑料板上切出来的吗
因为ray老师就是同济大学建筑学研究生，本职工作就是这个啊
ray你到底是何方神圣
摆UV的你
SU 犀牛 建筑狗来报道了
ray搞建筑的会这俩不是很正常。。。
同款打印机
这个我真的会
？？？？？？？？
终于
这就很奇怪明明装备相同为啥就干不出同样的事
无法脱出莫比乌斯环（南瓜头）
竟然是高达？！
就这视频质量 年更吧
让他们见识一下吧，马夫蒂
各纳库吧  高达设定李专门用的维修收藏库
喷的是啥？
温馨提示：不要知道个烂梗就乱用，跟个小孩一样
致死量……
爷关更
拼酷
后面是付费内容了吧
复活区up主
李在干神魔？
？？？？
大佬都是自己造格纳库的
好耶！
除了卧槽我还能说啥呢
今年居然又更新了
展uv了这是
这是要先造个格纳库吗？
这个吃不来，下一个
你是怎么排出个比较正的矩形
你要干嘛
这漫画去哪买的啊？
终于到我会的
爷爷你关注的up更新辣！
断了我就笑死
《艺术创想》
复制粘贴我会
不可能是艺膜的广告吧 他们那么抠门
dog home ？()
是是闪哈~
来看看吧
密度板很臭啊，大佬注意甲醛超标
再看一遍
来点花絮！
这个我会（指打摩）
你！是！我！的！神！
是那味儿
RAY老师说，3D打印还不够我费时间呢。
给我上去
进度条不简单啊
隔了四个月
bgm是啥
有手环节过去了
信我，先投币再看
活了活了
这是准备超脱3D了么
OHOHOHOH
影分身之术？
辅助设计
终于等到我会的了QAQ
uv都展好了
神之手：你牛逼
太卷了
飞书ptsd
Ray佬下次弄个一个半小时的剧场版视频
胶佬的时光机
终于更新了
生前影响
非常好
这间距怕不是用尺子量出来的吧
4个半月啊，你知道我是怎么过来的吗？
老师好
老师怎么不吃肉了啊
胶佬家里真的是什么都有呢（羡慕）
知道为啥四个月没更新了
这个我会
WC
更新啦！！！
警觉！女夏亚
WC
发生甚么事了
祖宗！你关注的UP主更新了！！！
我想借用作者的这双手。
bgm taja的 no limit
重力战线
taja
强迫症舒适
提前献上膝盖
我三连不保
蚀刻片做这么干净不容易的
卧槽牛逼卧槽卧槽牛逼牛批哇哇
卧槽
这是要减肥了吗哈哈哈
一首终于等到你送给RAY老师
更新巨慢的Ray老师
大佬同款
建筑学是和医学一样的理科学霸专业，五年制本科
这个我会！
逐渐离谱
越来越离谱了
想想这些还要喷
止步于此
卷
……人是建筑师不会才奇怪
克里斯蒂
++++++
笑死硬币比点赞还多
正片开始（bushi）
吓死个人
不整点活怎么要走我们的三连
这细节太恐怖了
胖墩墩的扎古是扭蛋
我这是在看做高达吗？？
失去快乐
还有什么是您不会的
同款数位板
在此感觉三连不保
BGM重力战线第3话ED
为啥不直接3D打印
哈哈 不吃油炸食品和可乐了吗
大佬接下去要做拟阿迦玛了
承包空瓶
什么建筑三件套
老本行哈哈
woc
有生之年
好圆的高达
太会了
这是谁来着……
刚大木
失踪人口回归
666
爷爷，你关注的up主终于更新了
爷爷！你爷爷的爷爷关注的up主更新啦！
这拍的也太像sw渲染图了
空屏我的
到这里我会（）
不要无中生有啊，喂
默示录！！！
看成了我把女神塞进机甲
更新了芜湖
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
去万代上班吧老师【传下去】
我还以为要3D打印
这个我会
年更是有道理的！
我会！！！！
牛逼！！！！
woc
要来力
南瓜头
比例不对[手动滑稽]
真正的手搓格纳库
这个我会
建议ray和手工耿合作出一期视频
好家伙木工活也能来
这也是自己做的？
自己建个格纳库。。。
莫比乌斯环
搁着展UV呢？
发生什么事额
机库？
闪光！
啊，我死了
终于更了，还以为
好久不见 大师
凌空刻线。。。
你谁，怎么在我关注列表里？
让他们见识一下你的厉害吧，马夫蒂！
爷爷你关注的up主更新了
你还活着系列
我终于知道为啥4个月没更了
这个我也不会
真的太羡慕了
曲对币有
太夸张了
非战斗人员请撤离
生前照片
减，减肥？！WTF
这肝上长了个人
听到这个歌满脑子是mc那只美西螈
