我来也
生日快乐
1播放刷到-1
老林！！！！！！
好帅
帅
劫宝生日快乐！！杰宝给我冲
你这背景太假了
林俊杰永远的神
卧槽这也太瘦了
帅啊帅啊
好帅
刚刚4个人  现在1000人
你这背景太假了
好帅呀啊啊啊啊啊
好听
这是王子吗
老林排面！劫宝生日快乐！
牛牛牛
就算打不过我也要返魂
生日快乐
来欣赏这炸裂世界的E5！
表白迦南老婆
啊啊啊啊啊啊啊
來了！
第一个听完，全程无弹幕
怎么没人
这套衣服帅死了！
排面
眼影好绝
怎么有股天下味哈哈哈
白色好帅！！！
好好聽
你这背景太假了
林俊杰，我华语乐坛唯一的神！
你这个背景假的吧 doge
一黑一白 既是歌者又是主角
一键三连上热门！
林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰
全体起立
唇形好好看啊啊
啊啊啊啊！！！
？当时就觉得这张脸像林俊杰，这都在你的计划之中吗？杰宝
所以这里的大佛皮肤呢？
谁在我地盘撒野
林俊杰永远的神！！！
迦南！
刚发，认真听歌，没空发弹幕
刚刚1000，现在2000
2000+了
厉害了！！
啊啊啊啊啊啊啊
2000+了
老林别剃你的鬓角了。。。
因为刚发
强混E5，林俊杰我的神！
太帅了林俊杰
好听
2000+人呢？
卧槽
永劫无间有你真好
现状三千人
再来一遍
2000+
天灵盖天灵盖
3000+了
听歌等游戏11点开服+1
MV好会拍
3000
为什么不给新歌配个新的cg！！
老林我爱你啊啊啊啊啊！！！！！！
三千人不说话是吧
给我一个可以屠龙的高音
3000+了
刚上传七分钟，弹幕肯定没那么多
就很帅
歌词应该更好一点
啊啊啊啊啊啊啊啊啊
谁在我地盘撒盐
上热门
斩出一道不朽荣光
你说我这背景假？
3000个人不说话
三千了
A4（四拍）-C5（四拍）-D5（四拍）-E5（二拍）
3000+
林俊杰真的四十岁了吗？！！！怎么这么帅
JJ你是我的神
不要在刷背景烂梗了
爱了爱了
3000
牌面
我这中二又帅气的老公
再来N遍
谁在我地盘撒野！！！
感谢网易让我们免费听歌 获得免喷卡一张
上热门
等我下个steam支持下
3000+光看不说话哈哈哈
忙着听歌呢
鸡皮疙瘩，
3000+
起飞
愣着干嘛啊三联啊
前方高能！
上面的 我怎么觉得像嘎子（
他好瘦啊
谁在我地盘撒盐
他转圈了他转圈了
好帅卧槽
恐怖
久等了！
比伯燃！！
YYDS
林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰新歌无拘
一周年快乐
画面好帅
我直接三连。
好听
画面好美 JJ最帅
5000+
谁在我地盘撒野
谁在我地盘撒野
炸翻天灵盖
不要在刷背景烂梗了，专心听歌！
我超太牛了
rap太绝了
忙着听歌呢
谁在我地盘撒野
JJ！
卡点转圈也太帅了吧！！！！！
生日快乐！
再来亿遍
谁在我地盘撒野
林俊傑
保养的好啊
生日快乐！！
帅帅帅！
谁在我地盘撒野
双厨狂喜
谁在我地盘撒野
我打破
林俊杰太帅了
就算打不过我也要返魂接着干！
生日快乐～
游戏的主题曲中二点怎么了
谁在我地盘撒野
迦南我的迦南
林俊杰基本包办啊，天王真的有水平
歌词不能找张怀秋
身上的枷锁
谁在我地盘撒野
我唯一的神
真帅
谁在我地盘撒野
林俊杰好帅
你这背景太假了
这套造型好帅！靴子酷~
2000多人看 就这么点弹幕吗！
太牛了！
不激情
你这背景太假了
无尘好帅
华语乐坛不能没有林俊杰
好帅呜呜呜
谁敢在我地盘撒野
谁在我地盘撒野
谁敢在我地盘撒野
谁敢在我地盘撒野
这不起飞？
谁敢在我地盘撒野
好帅好帅
为什么不换个新的mv
谁敢在我地盘撒野
帅
谁敢在我地盘撒野
不敢想象这男的41
高音炸裂
谁敢在我地盘撒野
你这背景太假了
我承包这个林俊杰，我舔脸
短视频用起来 早晚会火的
别敢左右我的视野
2000人装高手不说话是吧
此刻听得我震一百下刀
谁在我地盘撒野
不敢不敢
林俊杰林俊杰林俊杰林俊杰林俊杰林俊杰
梦回《我们的爱》
林俊杰牛逼
帅死了
燃
这一段好有感觉
你这背景假的吧
谁在我地盘撒野
炸翻天灵盖
给我一个灭掉世界的高音
我不敢我不敢
太顶了
卧槽
可以啊卧槽
生日快乐！
“C5算什么，lol”
