请平安
犯我中华者，虽远必诛
加油，祖国永远在你们背后
转移仇恨，找替罪羔羊，像历史上的犹太族？
我们欢迎遵守国内法规的华人回国，请务必以自身安全为重
特朗普这甩锅，完全不考虑后果
美国乱得像是要亡国一样
加油
唉！到底不是自己的地盘，挺替他们担心的，不行就回来吧！提前报备，遵守隔离规定就好
回国吧
游击战传统
加油，团结
哥谭
dollars。
中心城市**，武装夺取**（狗头）
加油啊
加油
了解
自由啊
川普掩饰自己的无能，转移美国的矛盾摔锅给中国
人家是美籍华人回来干啥
忍让只会让他们更嚣张!更肆无忌惮!
反击
看的心寒，大家加油！！！！
华侨和华人请分清楚
回来吧，只要时候隔离14天就行
枪杆子里出安全
团结起来
回国隔离都好过在美国心惊胆战吧？
特朗普作为一国领导人故意煽动仇恨，就是法西斯行为
韩国人 日本人 日子也不好过。
枪！！枪！！枪！！！
转移矛盾而已
联合起来保卫自己！
谢谢
回国？美国籍的华裔回哪个国？
注意安全！！！！
来几个高等华人把他们举报了！
甩锅是治不好病的
别怕，拿枪和他们干
加油加油加油加油加油加油
加油加油加油
在美华人同胞一定要保护好自己！
加油加油加油
加油
加油！
保护好自己吧，祝你们活着。
为外国华人加油
一定要平安啊
一定要保护好自己啊
泪目，大家一定要保护好自己！
泪目，太不容易了，好好保护自己
祈祷平安！！祝福安好！！
保护好自己
我们坚决支持海外华人的抵抗，抗美援朝我们都没怂过，现在更不用害怕它们，星星之火可以燎原，干就是了
不包括华裔嗷
你们应该回来，只要按规定报备隔离，祖国不会置自己的人民于不顾的
祝平安无事
种族仇视什么时候能消失？！心疼！请保护好自己
成立华人自卫队
华人自卫队
反对华人然后聚集在一起？这是嫌病毒穿的慢嘛
自卫队自卫队自卫队，组建自卫队，参考92年韩裔
加油！华人一定要团结起来！
加油！
确实
鸡皮疙瘩起来了
加油
请你们见证，在海外的华人，走向团结一致的过程
是的大家义愤填膺的同时，要记得严重时海外华人的帮助
保护好自己。
每天枪击美国佬
大清附体~ 吼吼吼吼
一定要保护好自己啊
第一步：建立根据地
派来一个毛委员
加油
你们要好好的保护好自己！
中国永远是我们的家
棒棒棒
好！
团结起来，中华民族传统精神
团结就是力量！
非我族类，其心必异，只要团结华人就够！美国就有上千万
总算是觉醒了   开始变强
好样的   炎黄子孙
加油
沉默解决不了任何问题
SHD华人部
川普在搞民粹主义
中国人一定要团结
干得漂亮
一定要带枪，拉群互助，定时巡逻，保卫自己所在地安全
欢迎回来，但要听从指挥
加油，这才是中国人
为什么我的眼角常含泪水
战狼
让平民去战斗…
加油！！
回来配合好工作就好
天啊，必要的时候一定回国。
这种国家流氓是主人
囤起来，干起来，意向不到的道路
华侨可归，华人算了
加油
加油
配合防疫工作就不是添乱
意识形态永不落幕！
1、建立根据地⋯⋯
这种情况就别那么见外了
哭了
加油加油加油
安全就行
希望你们能颠覆美国
保护自己
华人民兵组织的崛起！
支持你们
能回来就回来吧～家里安全
加油
放弃幻想，准备斗争，囤积武器粮食，注意敌人动向，团结互警互助，保卫生活安全。
聚众，传播病毒的好方式
一定要多保重！
正确的做法
泪目，华人华侨真不容易，多保重
你们回来没事，只要不是作妖的，这里依旧是你们的家！
加油！
加油
加油
建立红色根据地
加油！
加油，拿出亮剑精神，狭路相逢勇者胜
不能让印尼的悲剧重演
加油
团结就是力量
跟他们干
建立敌后根据地
加油
一定要团结
都开始攻击商店了吗？
干就完了
回来也没事，不瞒报就行
有必要的话，主动出击，进行诱杀，只要进了家门，全部杀光
要保护好自己
