我第一次充钱是在哔哩哔哩 13.85
没感觉 爱奇艺
没感觉
阿里巴巴不行了吧
不喜欢不喜欢
我是为了看bbc看的
我是之一啊
对对对
加油！
禁止套娃
首页来的
优酷不是被阿里收购了
收了20亿，亏了3亿
越亏越多？
白嫖阿里，嘿嘿嘿
行8
优酷真是瘦死的骆驼
二次元不主流？？？
爱奇艺这个条都快出去了
我靠这么高
章北海传一生推！！！！！快去看！！！！
……
？？？？？？？可怕
b站给阿婆主的钱，并不多
年费路过
主要是b站可以白嫖，比如我
5个人要1个付费，有点难
湖南卫视？
！！
海贼王啥的
赖冠霖！！！！
亏的起
然而并没有88VIP的我，靠充钱
爱情公寓
8:13
nb
nnnbbb
2:47
8:31
小破站加油
我！其中之一！
靠靠靠！停下！
我相信没有资本会做亏本生意
越亏越多
优酷已经没啥可看的了
爱奇艺最实惠
就是因为买各种动漫和电影的版权搞得亏损了。
我我我
不充值香吗
有操作的啊
因为都是送的会员
他们只懂白嫖，不用讲
不看mc
b站很多地方都大手大脚花钱，英雄联盟独播办晚会
下次一定
我看b站不卡，优酷会卡，我不知道为啥。。。
老巫师了
又以你为准？巫师教训看来不够
腾讯基本上都是送的会员吧
心疼b站
不说了我得去充值了
然而一个人有好几个号，还有废的号
护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼
护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼护眼
个人认为b站的原因最重要的是白嫖的多，比如我
芒果综艺都是自己的，买版权的钱都省了？
惨
小破站太弱小了
下次依然
爱奇艺广告又多又长
8:13
8:31
我还有个芒果的，为了明侦我也是很拼
早点倒闭爱奇艺
优酷真的没什么可看的 
woc
其实可能改成至比较好
有些老剧只有优酷有，只有含泪充年卡
牛
优酷原来差距这么大了，无力回天吗
没德云社我要这有何用。
我冲过会员
小破站亏什么亏，去年好像一共亏了四个亿，光买全球总决赛就花了八个亿
会员又不贵，买了还不亏
在？借个会员
壮哉我大b站啊啊啊啊啊
赶紧去买了个会员
可以理解为20分之1充值率吗
表白北海
现在已经没了好像
油管是九还是赚
486
讲的可以
全都赔钱为什么做的一个比一个起劲呢？你细品
那爱奇艺有很多活动，一块钱一个月哦
然民币
B站没广告，以前用优酷和B站，现在就B站
我的三体！
这就是说明一个事，内容的自我制作是一件很重要的事情
会员
腾讯有NBA
能的一匹
爱奇艺很多是用移动积分换的，花钱的很少
这个装逼梗就不要说了 很尴尬
救救B站
我用优酷五年了 一直年会员
月活应该是活跃用户吧
愿凉我笑了
白嫖就是资本的对手
幸好我都不看
乐视也盈利了
netflix最大赢家
白嫖
是不是审核时间也变长了
最近b站买了这么电影，成本随在升高，但是在疫情期间，感觉这段时间会有很多人买大会员，愿明年少亏点hh
前面那个我不懂巫师出事和以我为准有什么关系
巫师怎么凉的不知道么?
里面有多少是抄袭啊...
护眼
能买时下火爆电影就好了）电影党心声
喜欢b站，前天续了年会
白嫖
哦，原来都是和我一样白嫖的
那么问题来了，一直在亏，资金是哪来的?
我信你鬼 中国人从来不做亏本买卖
这次一定
 b站没有广告 还一天给两个硬币白嫖能不亏
？？？？？？？？
怪不得
腾讯又很多假面骑士独播
我咋就那么不信你说的话呢？
然而一部都没有看过
B站无敌
巫师警告？狗头
德云社版权啊
充了会员的我感觉自己包养了bilibili（doge）
握草，护眼护眼
我也是这四个会员
我可是天天都逛B站的人
完了760万分之1
借的不香吗
B站太惨了吧！
真亏啊
也不是这么算的吧
海贼王
给它充！
你们怎么开的好几个号，不会有好几个手机号吧
小鲜肉贵了
继续卖周边吧
我以为b站最多
小破站这么惨吗！！
给他们冲个几百亿不就得了
不用会员也能看
亏这么多咋做下去啊
心疼我破站
芒果超甜的-
一年178你和我说贵？
他们巴不得亏损
买了lol几年全球总决赛版权，能不亏吗
护眼
为了甄嬛传和极限挑战冲年费
白嫖高于一切
2:47
毕竟b站好多是独家播放
芒果的自制都是全民度高的，爱奇艺的大部分都是些针对的小众群体
爱5
开  幕  雷  击
2:47
能
白嫖
为了一拳超人
要不你自己查，不然还不是以up现在说的为准，真的是
谢娜一个人分走了3个亿
明星大侦探热播，会员同比增长率应该会提高
湖南卫视自己的呗
你觉得他们软件会亏，不你错了
优酷可惜了真的...本来就下坡路，现在大鱼号甚至感觉在打压优酷
优酷很多好的美剧的
b站香
可能等00后都长大了，b站的会员会更多
惨案
火影忍者！
因为我还没充
备考芒果台好撑腰
然而内容还是那么垃圾
账面上的数字都是给我们看的
b站的受众群都不一样
快救救小破站
我住B站
汉化公寓
糊
强啊
爱奇艺庆余年和爱情公寓都是点击量贼高
爱奇艺好多都是独播
看到这个我给小破站充会员了
芒果tv是湖南台的，湖南台的综艺很强的
亏钱还能做?成本是大风刮来的?
除了番剧电影大多数都是来看原创视频的怎么可能
B站买片严重
七分31秒
爱奇艺的会员是免费的。虽然是免费，但只有些。是免费。
不要玩这个梗了 我现在看到觉得当时对巫师的膜拜像是吃了一把苍蝇
凭什么流量小鲜肉那么高的片酬要用户来买单？
花钱看个视频还得想它亏了用户有错吗？
重生就够强了，爱奇艺都没好看的
嘿嘿
这不就是我吗
搞不懂那些节目有什么好看的，还这么赚钱
表白此处鬓边
哈哈哈到底有多少人在白嫖！
有一说一，还是好帅啊这位
懂了这就去充年费
b战基本都是学生占大多数
湖南卫视始终还是牛逼的
活该
会员飘过
芒果不是没亏损吗
哈哈哈哈哈哈哈肖战现在是所有b站用户的敌人了吗
谁还记得曾经的pps
我也是
我没
为了明侦冲的
我高估优酷了
不过他真的好帅啊
“下次一定”会有潜移默化的作用
优腾爱自媒体的审核可是比B站宽松
它有火影忍者就足够了
23333333
这么残？
都是连环经济  动一发牵全身
刚过期
美国韭菜的钱
不管白嫖还是付费，B站片头没广告，其它视频谁能做到？
以前没有VIP是怎么赚钱
下次一定
爱奇艺烂片太多
优酷现在没什么好看的
芒果娱乐真滴强
南瓜电影不香吗
靠情怀
我现在只开b战会员
优酷有火影和银魂啊
不可能亏
巧了这些我都有会员
因为亏损额可以抵税！！！！懂吗
？？？
b站白嫖
广告费
优酷不想说什么直接喷
创作是王道
你把赚的钱去填窟窿了吧，
因为有太多白嫖怪
那还是别充了
6666
四个我用三个
爱奇艺会把自己玩死的
我可是住在b站的
别别别up快住嘴
，
明星大侦探吹爆
20有水分吧，作者能把数据来源放一下？
我已经充了
带慈善家
小
用B站的人本来就少
小——A
。。
不赔钱的话就要缴税了！
马化腾出俩皮肤都回来了
说白了没有自己特点内容
游戏还分季节？
巧了
b站版权太少了，而且好多都下架了
内容成本买了就一直有吧，扩大内容吧，以后也可以用。
我感觉我在上政治课
所以B站走的是可持续发展道路?
没发现b站现在很多新片？
开腾讯会员就是为了看假面骑士
活该，谁让明星片酬这么高，买版权的时候給高了
我擦
靠直播
白嫖
亏本为什么还做？是不是傻
小破站那么少吗
爱奇艺吃香太难看，用了一次后坚决不用。
这有人看吗？
哈哈哈
护眼
.....
已举报
为海贼！
nb啊芒果
我就在其中
腾讯买了全部的假面骑士
我开腾讯就是为了看假面骑士。。。。。。
我每天都挂在B站上，会员都开了几年了，我小破站还这么可怜？
希望B站更新更多有吸引力的地方
是648的声音！
乐视曾经辉煌
幸好有护眼
白嫖党の后果
年度会员
2：12
这4个视频软件都是充年费…
该
hhhhhhh
 B站那么多好看的片子都需要购买版权的，投入大
b站太良心了，新番不开会员也能看，基本上没什么需要充会员的
不能，我虽然是b站年费，但我根本没有用过会员权益
两年大会员路过
白嫖使我们快乐
b站up的钱也是总部给的吧
快充钱！
b战电视剧这个板块热度不太行
B站平均年龄太低了，很多经济不独立
b站亏是肯定的  连广告都没
爱奇艺让我看180秒的广告，180秒啊！
都是靠白嫖
只有我直接跳到8.31嘛
我的一天都在b站度过
巫师财经都翻车了
为了看甄嬛传充会员太真实了
B站买了英雄联盟S10的独家转播权，这得赚多少
海贼呐
因为我一个会员养活了5个白嫖的
厉害啊芒果（唯一一个不用的网站）
 白夜追凶，三年了我透，第二部呢？
优酷主要是为看火影
腾讯视频感觉无聊还是哔哩哔哩有意思。
B站是我唯一一个氪金的视频APP
有我
再等个五六年等使用B站的人群年龄段上去了就有人充会员了
担心
亏的好
我天天看
up把b站的对手弄错了吧，b站是字节跳动那几家视频app阵营的。
光靠会员是赚不了什么的
这次一定
？
这个世界太奇妙了
你这个视频不就是刚才那个热门的？？？？
还不是因为湖南卫视
还不是当初版权大战搞得
氪金
上一个唯一盈利的视频网站是乐视
会员多了，看广告的人也就少了，现在绝大部分影视都要会员
心疼小破站了
小破站大多用户是学生党
别骂了别骂了
b站太贵了
充腾讯纯粹为了假面骑士
BV1tE411c7H1
刚为了杰伦买了芒果会员
为了假面我才充的会员。。。
因为我没充
b站都是学生年龄段还很低的那种
不然你以为b站有多厉害？
我只用它看看海贼王
为了海贼王，我冲了爱奇艺
都没怎么看
可以可以
减少明星收入，减少明星收入
我！优酷会员
斗罗大陆
2:47
这次一定
就不充钱
广告收益没有？
因为我没充
我白充了。
我优酷...两块钱一个月滴
毕竟老二刺猿比较少
买不起
优酷以前有秦时明月和火影忍者撑着
好久没看过湖南台了
上了大学我就冲会员。
白嫖
哭了
我一个会员都没有，白嫖
小破站好惨。。。
B站白嫖党应该是全部软件从最多的
乐视呢？
下次一定
对对对，超前点播很气人
都是看爱5买的
这里
所以b站白嫖最多
这次一定
前面那个玩梗的是不是嘴臭
B站有一部分和我一样的穷逼
啊这个声音w
他们老是喜欢买独播，肯定贵，自然亏得也多
？？？
吸引
我一个星期25个小时
小破站学生党太多了，都要依靠父母付钱(╥╯^╰╥)
湖南人抬起头颅
b站主要是年轻人
不太信每年都在亏 广告费太赚钱了 
没有震动，差评
因为明星大侦探好看吖  原创优质内容的力量
av号没了
因为绝大部分付费视频都是可以脚本破解的
更亏
腾讯有游戏撑着，这个无所谓（滑稽）
冲大会员干嘛？冲游戏它不香吗
破冰行动
明侦一出新的就续一年会员，然后扔在那……
