2分钟
AMD YES
AMD YES!!!
BGM启动！！
"AMD,YES!"
5700xt很难受，不过相比人家2080ti的，倒是算不得什么了
AMD YES!!
哈哈哈哈哈哈哈妙啊
3000系列也可以？！3600狂喜！！
按摩店，噎死！
amd
yes
p5的bgm欸
卧槽
Amd
Yes
唯一的遗憾是主流渲染器都不支持A卡
想多了，必须要新cpu
矿场该更新了～大批低价5700即将上市
好家伙
老黄去食大便啦，搞饥饿营销？
神速の蒸気火鸡
nb
蒸汽火鸡yyds 太肝了
从晚10点肝到早6点。。。靠
直接爆炸
P5天下第一
辛苦了up
只要肝不死，就往死里肝
？？？？？？？？？？？？？？
火鸡英语真好听
太帅了草草草
驱动看来行了这回？
阿这.11.18我刚好期中考试
战歌！起！
全体起立！ amdyes
希望amd专心优化吧
虚晃一枪
香
AMD YES
起飞～
三连了
AMD YES，苏妈牛逼！
16G显存标配，yes
开始超频！
AMD    YES！
全体起立
全体起立
蹲坑看
ohhhhh
Amd yes
AMD，yes
瑞思拜
买5700xt都加价卖了
来了来了 睿频火鸡嘴
nvidia:别骂了别骂了
牛逼
透过灵魂看的
这么早
p5天下第一
amd，yes
3080突然有货了
yes
amdyes
虚晃一枪
套装属性
才5000！！
火鸡太敬业了吧
已三连
这功耗舒服了
这也太秀了吧
128兆三缓？？？
amd：你功耗高
不愧是吃透索尼微软的女人
强强强
开始吟唱
这不逼出3070ti？？
Ohhhhhh
AMD YES！！！
Amd Yes
辛苦了
Amd yes
老火鸡真的肝
我感觉我被背刺了。。。。。。我5700xt
杀给爷杀
按摩店yes!!!
牛逼
几几开？
我说老黄这么良心！原因在这呢
AMD yes！
用QVOD看
坐马桶上看的
3A套装称霸天下！
amdyes！
AMD YES 
？
牛B！！！！！！！
吃饭看
这嘴开ragemode了
Amd yes
才8K，感谢苏妈
不是GDDR6X
龟龟
amd yes
买3090的不是要哭晕啊
amd 领先外星科技
这也太香了
这次一定
三连了
都想搞个AMD全家桶了，再等等
5700xt 红魔流下了眼泪
虚  晃  一  枪
各位道友好
肝帝
AMD YES
GDR6X有用吗？AMD无限缓存等效1.66TB的带宽，3090也赶不上啊
杀疯了
nb
AMD YES！
AMD，Yes!!!
AMD YES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
起飞啊
16gb
套装加成
这里是up，锐龙3000和400主板还不一定哦，这里暂时按勘误处理嗯！
有TYPEC??
这个就真心优秀了，不用优化
牛逼
AMD YES
yes!!!!!!
捕捉火鸡 辛苦了快睡吧
amd yes
蹲坑看的
正面硬刚老黄
握草
nb
amdyes
2060震怒
AMD YES
AMDyes
蹲坑看
流批
AMD YES
显存也能给cpu用？这个6啊。
牛逼！
AMD，Yes！
AMD yes
超频了，这嘴
AMDyes
yes yes yes
"AMD, yes!"
爆打奸商
按摩店！永远滴神！
Raja垃圾
3A平台牛逼
妙啊
AMDyes！
泪目
极限反杀
AMD yes
卧槽
卧槽
不影响质保！
3A神教，10年的神话
amd，yes
"AMD,yes!"
微软，索尼：爽到
这衣服是魂斗罗的秘籍
好家伙
蹲坑中
AMD YES!
bgm对劲！
AMD yes
功耗爆炸
卧槽
amd，yes!
"AMD,YES!"
！！！！！！！！！！！！！！！！
AMD yes
66666666
蹲坑看
！！！！！！！！！！！！！！！
yes!!!!!!!
友商外观不标准
OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
 卧槽！
amd杀疯啦
3080买早了，还加价买的！！！
nb！
起飞，，，
3A平台牛逼
AMD   YES！！！！！
up辛苦了
这个牛啊！
给劲给劲给劲
AMD yes！！
YES!!
香到炸裂
太棒了！！！！！！！！！
AMD YES
这波是小嘴超频
加价
老黄这次良心，是不是因为听到什么风声了
杀疯了杀疯了
AMD yes
晨跑看
amd yes
卧槽
ohhhhhhhh
yes
异构牛背
AMD yes！
价格价格关键的价格
AMD yes
老黄应该有货了
5700xt哭晕在厕所
N卡88
开始超频
3A的神秘力量
nb
duv
还有全球顶尖的FPGA制造商
没说400吧？
王炸了
这也太便宜了
amd yes!
3aA平台
amd yes
老伙计 辛苦了
你凑齐了一个三联        触发羁绊
3080有货了，可能买了
当然是蹲坑看
300w 就离谱
AMDyes
买了  为了魔兽
ohhhhhhh
amd yes
一般的价格，一样的性能？
牛逼牛逼！鲨疯了！
AMD YES
战歌起
ohhhhhhhh
Amdq yes
一尅！巴 萨 卡  ！！！
OHHHHHHHHHH
直接起飞
我用它打英雄联盟可以吗？
amd yes
你可以凑成一个三连
yes就完事了
矿老板狂喜
Amd功耗高成为传说
AMD YES！
给我冲
搞好自己的生态就厉害了
yes
3a狂喜
AMD yes
我用狗眼看
AND YES！
5099鼻子香破了
AMD YSE
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
蹲坑看
AMD YES
少了一对ba
3000也可以 太良心了吧
敬业
王炸！
开始超频
拉爆老黄
amd yes
AMD YES
太吊了
amdyes
yes，就完了
老黄傻了吧
苏妈杀疯了
老黄哭着看的
3A走起呀
AMD  YES
这也太香了
AMD yes
老黄有货了
妈呀！真就对标呗！就硬对！
amd yes
才300w  8000块不到
套装属性。。。
6900无敌
AMD YES
不够香
一定
ohhhhhhhhhhhhh
这性能。。。跟3070还真差不多
amd yes
爱苏妈
AMD，yes！
AMD  YES!!!!!
300w？ohhhhhhhhhhhhhhhh
牛逼
今年组3A!
NBNBNB
AMD yes
6800要降价的
AMD YES！
你功耗高
AMD TMD YES
不影响质保是最好的
AMD 买
AMD，Yes！
宵龙版的rdna
大力出奇迹，显卡超5G
一键获得额外13%性能
爆炸！
YES
3080瞬间不香了呢
2080。你还好吗？
3070专用围剿卡吧
amd yes
AMD，YES！
这。。。。开无双了
想买
ohhhhhhhh
3700x还能战哈哈哈
上上下下左右左右BABA
卧槽，把老黄打成大黄狗啊哈哈还
AMDyes
火鸡牛逼
666666
下一代不是更好吗
persona 5
狂暴模式
au加a卡 yes
卧槽！    AMD YES
组3A吧
AMD yes！！
对标3080，完爆
3070的8G感觉会不够用，
衣服求TB链接
来了！
AMD YES
AMD牛逼！
不影响质保爱了
真的牛批
amd yes
And yes!
AMD yes
AMDyes
牛皮
要amd全家桶了么
魔兽？
AMDyes
AMD YES
注意看PPT，6800XT战胜3080需要用到SAM
And yes！！！
AMDYES
AMD，YES！
3A走起
AMD，YES！
3A平台又发力了
卧槽，香啊
起飞
买买买
哦吼吼吼
动作真快
AMD YES！！！
麻蛋，今年买英特尔亏死
3080收3080！
AMD YES
全系16G显存啊
用b站看
？？？？
用rx470看的
一键boom
AMD yes！
AMD  YES
"woc, AMD YES!"
握鄵!!!!!!
AMD  yes
yes
便宜一半的价格可还行
这个真是牛逼
"Alan’s,yes"
wtf
全体起立!!!!!!!!!
amd yes
AMD YES!
功耗还有优势，所以一点都不怕N卡ti版本
坐着看
570收5700
辛苦了
准备3A平台了
yes，yes，yes
AMD，yydy
AMD NB!!
3080亡了
zen1哭了
AMD YES
AMD，YES
吃饭看
AMD YES!
泪目
AMD YES!
芜湖模式
等于amd版的dlss？
