牛逼！后面真的帅爆了！
前方高能！！！
wubba labba dub dub!
有一说一，这个视频确实牛皮，心疼UP的肝
天才注定孤独
泪目
这视频不火我就当场把这个电脑屏幕吃掉！
前面的我感觉你得吃了哈哈哈哈
恭喜我发现镇站之宝
这一块的剪辑思路感觉和2018年度混剪很像
这首电音真的燃爆了好吧。V神牛壁
握草，燃起来了
燃
要泪目了
30秒后持续高能！
我知道你又回来了
我知道你又回来了
我知道你又回来了
加一
画质好高
你手中紧握着的传送枪，是我此生不变的信仰
一定要看到后面，你会感谢我的
这点赞率666啊老铁，这热门上定了啊
Jerry’s rick
Loser~
但是真的做得挺好
哈哈哈
吃吧
好看不火
瑞见进
NBnb燃爆了，好啊，冲！！！
大口吃
这个转场帅
竟然是他
因为天才都是不被大众理解的
心累(  ･᷄ὢ･᷅  )
真就没弹幕？
pickle瑞克
我允许你蘸酱
不火没道理(  ･᷄ὢ･᷅  )
提前蕾姆
牛壁
不火没道理
支持
草史莱姆
就凭这段你的硬币有了
佳作无人啊
佳作无人啊
燃起来了
弹幕支援
老骗吃骗喝了
硬币还是没保住
不火我一起吃
瑞克和莫蒂！！！！
突然想来一句艺术就特喵的是曝炸呀
正片开始。
下次一定
无人？，滑天下之大稽
吃都能吃
由我来组成弹幕
你币有了
火钳留名
宝藏
俩天差不多俩万播放，不火？
你有币了
我要这币有何用？
生来孤独
wow
我的低脑发麻
大家都在认真看，哪有心情发弹幕啊
这个和一个高考视频很像
拥有，疯狂，到最后的失去……
瑞克和莫蒂必须顶
给我上去
等我明天的硬币
混吃混喝
火钳刘明
好看的呀，火钳刘明
泪目
我怎么在看这个？
我已经三刷了，瑞克和莫蒂
瑞克一心寻死
我要这币有何用？
s10赌神献上2币
火钳留名
名场面
火钳刘明
此曲一出，你币有了
火钳刘明
说好的帅呢
以后可能成为一个考古视频吗？
孤独的天才
有这么好的动西 为啥不早放
燃燃燃燃燃燃燃
冲
为了姥爷，投币了
这首歌在我歌单！
露个脸
超燃的
正片开始  火钳刘明
推你去首页
前摇过长
没有高达那段吗
阿这我币要没了
右上角瞩目
完了，《莫要回头》这首歌一响我泪就有点了
好活当赏，一键三连！
泪目
你币有了
火钳刘明
好转场
火钳刘明
Don't look back
那个人就是我
白嫖失败
首页通知书
还好我没有币
RICK！
i know you try，i know you try your best
你永远不知道我有多孤独
姥爷N——B——破音
姥爷N——B——破音
姥爷N——B——破音
姥爷N——B——破音
转场可以
姥爷N——B——破音
姥爷N——B——破音
姥爷N——B——破音
真理永远存在，愚钝的生物终归末途
他想死，但是制作组不会让他死的
C371不变的信仰
火钳刘明
他只能眼睁睁的看着身边的朋友一个一个被制作组。。。。。
Rick!
up主！加油！！！！！
拿走你的币，爱死你的视频了
卢食传说
啊，我不行了，泪目QAQ
刚准备白嫖。
燃起来了
天才到极致便是疯子
刻在dna的痛啊hhh
火钳刘明
火钳刘明
loser
everything
loser
loser
loser
新人都是怪物
loser
火钳刘明
全宇宙最孤独的天才
正 义 执 行
现在全体起立
正 义 执 行
你币有了
BGM好拼
没有弹幕么
Wubba lubba  dub dub
我先三连了
谁不是生而孤独呢
哎呦
实际上一直用电波城的翻译会让视频更有排面 可以参照好莱坞大片的运镜
！！！！！
莫蒂其实有无限可能
明明都看过为什么总感觉有些没看
一口气 看完的 我很喜欢这个动画
嘶
你也有无限的可能
首页通知书
求歌名
白嫖失败
有
RIck 还是爱他的家人的。
膜大佬
吃
泪目
前方高能
印象最深的永远是瑞克那句everything
必须一键三连！！
！
火钳刘明
这次一定
bgm犯规
你是因为什么进来的 everything
弱问下，第四季出了吗
nb
草牛逼爆了
帅炸！
火钳刘明
我要这币何用
瑞克永远的神！！！
因为天才生来孤独因为天才生来孤独
准备好高然场面
把瑞克永远滴神打在公屏上！！！
！！！！！！！
瑞克永远滴神！！！
凡人之躯，比肩神明
高达那段太酷了
nbnbnn
nbnbnb
yyds
刚刚才两万多播放
燃爆了！！！
nbnbnb
nbnbnbnb
nbnb
最喜欢这里和这里的原曲了
正片开始
爱了
你币有了
火钳刘明
unity这集我看了好多遍
火前留名
白嫖失败
为神作献上弹幕
刀刀刀
要来楽
先赞后看好习惯，牛壁还得给币，pickle Rick
剪得好棒
do you feel it?
