首币
最危险的饭人
太猛了
这次一定
太猛了
太猛了
太猛了
太猛了
这次一定
太猛了
《公寓》
怂炮同款bgm
助力每一个梦想
为了进监狱，他甚至劫了个机飞了1000多公里(doge)
《瘟 腥》
我看刑
哈哈哈
坐警车(doge)
刑
军火展示（
从语气里听出来小测真的很害怕（doge
这灯是认真的吗
五分熟
军火！没收！
二乔：这个我熟
哈哈哈哈
全熟
甚至还犯了个罪
唐 仁 杰 进 行 曲
刑
我看非常滴刑昂
解锁成功
太猛了
我喜欢3.1415926分的
犯人能做讲解员地位不错呀
好家伙，做饭就可能打起来hhh
身份确实挺非凡的（doge）
关的都是替身使者
试过，很好吃！
你还进去过别的监狱?
虽然刀没有开刃但是面包可以咂人
《瘟 腥》
解锁成功
《回家》
追着啃的
离谱 吓人
雪(
解锁成功！！！
全熟
菠萝味
我单方面宣布对意大利发动解放米饭战争（
一分熟
手抓饼
口黑
啊对对对
jo伦
《明 天 见》
《你要去的监狱 》
过分了
刑
监狱文化
西班牙烩饭也是夹生的  欧洲好多地方做米饭好像都是这样
《领进监狱》
奥托斯科尔兹内进入了直播间
和宿舍一样
解锁成功
奥托斯科尔兹内进入了直播间
《招犯简章》
you，苏卡（幻听）
？你见识过多少监狱啊
木屑
3000+
奥托斯科尔兹内
刑
兰州拉面等级
殡至如归
越狱犯人都是用面包砸开锁的
小测进去了
助力每一个梦想
这玩意比甩棍好用多了
烩饭，意大利当菜吃，跟阿三一样用籼米
如果吃霸王餐会怎样（doge）
我想去咋办
解锁成功
解锁成功
《朋友》
还是活的
笑不活了，是不是刑期满了还得给他想办法抓回来
徐伦，我要进去了
《二乔快乐面》
瘟衅
1.114514分熟
意大利就那么大，去哪儿都被抓
死神流克
雀食挺好吃的
甚至还犯了个罪
好明天就入住
刑
西班牙de也是夹生啊
3分
《公寓》
萨莉亚的利索托饭
通辽龙场
蒜泥牛逼
惊了，居然这人就是犯人
我有一个朋友
如果你被威胁了，请眨眨眼
菠萝味
剩了一粒夹生的
小猫乱叫！
瞬间慌了
房 地 产
后面那个海报确定挂在监狱里合适？
回家的感觉？
如果你被威胁了就眨眨眼
5分
质量好：指密度堪比金刚石
3.1415926分的熟度
来晚了，来晚了
口黑
助力每一个梦想
主厨：嗯？你猜我为什么会进来？
帕尔玛!小将布冯!!
应该都不是重刑犯
意大利饭确实都挺夹生的
朋克
代入感很强，已经换手机了
有来无回
直
太萨莉亚吧
芝麻菜很好吃的
追着牛啃
吃不完，可是会有惩罚的哦（无端联想）
黑魔仙是吧
《瘟 腥》
进去就出不来了
下次去里斯本
彬彬有礼
有点小贵
黑 魔 仙
解锁成功
探店后壁多
物理避免逃单和霸王餐
这是煮饭上面冒出的泡凝固后的东西吗？
探店齁币多
解锁成功
这肯定是炒上一道菜没刷锅后的下一道
吃霸王餐你就可以当服务员了
柜殡
助力每一个梦想
我要吃菠萝披萨
刑
还剩了一粒米                                             ↑
圣枪游侠
波尔波狂喜
解锁成功
太好看了
《朋友》
广场上人山人海投来核善的目光！
我想逝
点赞20w在意大利餐厅点一份菠萝披萨
入口即化
《帕金森干酪》
不值
不超过七分熟
这经理的嗓音，浓浓的教父风，这很意大利
刑！！！
黑化了
一口石油(bushi)
潘小火
髌致如癸
贵的一笔
5
5
5
5
5
解锁成功
5
5
5
5
5
5
4
5
5
5
5
5
4
5
5
5
5
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
意大利面
解锁成功
114514分熟
一个小时热乎着
5
5
5
1
5
5
限定皮肤
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
3
5
5
5
5
5
3
全熟（确信
5
5
5
5
5
5
5
5
5
3
4
5
5
5
5
5
5
3
5
5
5
5
5
5
3
5
1
4
5
5
5
5
5
5
3
5
5
5
5
5
5
1
5
5
5
1
3
5
5
5
5
5
5
5
5
5
5
1
5
5
5
5
5
5
3
4
4
2
1
5
5
4
5
5
5
4
牛排一般我吃五分的
5
5
1
5
像恶作剧
4
5
5
5
5
4
5
3
5
5
3
4
5
5
5
5
5
5
1
4
5
5
2
1
1
？
5
你什么时候擦口红了呀
1
5
5
求色号
《明天再来进监狱》
不
真香
不去
非常刑
髌至如归
《进去了》（指小测进监狱了）（doge
毕竟武器嘛
那你还走（doge
意呆利
非常juicy
厨师让我想到死亡飞车的郭达了hhh是不是因为做饭太好被搞进来了doge
坐牢测佬
解锁成功
发明菠萝披萨的人（doge）
这个人声音舍了
助理每个梦想
一分熟
去见徐伦吗？
解锁成功
教父
梅洛尼和普罗修特来了
刑
没有菠萝披萨？  不！
《小测看世界》
《高兴》
阿哲看不到脸啊
114514
咱永远不知道小测究竟会多少种语言
如果你被威胁了就吃下一道菜
助力每一个梦想
刑
沐浴花
因为做了拿 手菜进来的
服刑成功（
两个人
米粒太
《瘟 腥》
甚至都不愿意叫我一声教父
哈哈哈哈哈哈
解锁成功
解锁成功
哈味十足
黑色的
商务
意大利煮的面也是夹生
当你想到回家的感觉的时候就抬头看看防弹门认清现实
解锁成功
这个很好吃的
黑嘴党
菠萝披萨
越狱成功
欧洲监狱tour
刑
专业对口
只吃饭不住宿
1                 1                  4                5                1                 4
我看刑
宾至如归
You are going to the 监～
西班牙联统那不勒斯
白字什么三观？
帕金森干酪
意大利剁手党
吃过，味道比较淡
《回家的诱惑》
能不能摸一下电网，我想看
3-5分都喜欢
不，你要挑战在那不勒斯请那不勒斯人吃菠萝披萨
值
必须刑，拷得住
钝器
非常的刑
《逝一逝》
居然还有刀叉。。你猜这玩意捅不捅的死人？
5
5
1.1919810分熟
究极烟嗓
庞肖活（确信）
都TM可以用来越狱了
不愿意
哈哈哈哈哈哈哈
《成功人士》
剩了要坐牢？
这个背景音乐不对劲诶 
意大利的旅游业已经卷成这样了？
《我很高兴》
我吃的还没监狱好
我以为是木瓜……
米兰小铁匠
试试就逝世
有没有菠萝披萨？？
"这个肉也特别好吃啊,特别有活力(doge)"
BGM： Not angry？
毒入膏肓(doge)
西语回意语可还行
五星好市民
《比   诺   托》
这个挺好吃的诶！
太牛掰了。
我们去不了吧哈哈哈哈哈
菠萝披萨（即答）
两千多人无一言？？
黑              齿
解锁成功
可以在里边吃菠萝披萨嘛
助力每一个梦想
解锁成功
逃离
逝世了
光头吴克
肤色正确
性感黑唇
应该来个 以父之名bgm
看着就像一个很正常的餐厅
你就看着刑不刑
有老板么？
乔鲁诺乔巴纳亲自带领
还行
