这一版字幕慢了吗？还是我的错觉
嗟
♡k
王仙芝！！！
大汉牛逼！！！
弹幕补充工作开始
秦国六杀
荆州人来为楚都发弹幕
复我大魏扬我国威
会昌灭法?
好像没有北齐？
冲冲冲
啊啊啊
焚诗书坑术士
个人首币投了！
2倍速真的好燃啊
2倍速真的好燃啊
再来亿遍
血皮槭
水龙吟！
自古P3没人看
三连
我的贵妃
心疼商鞅
曹操是枭雄好吧
曹操只是统一北方
字幕速度太快了，起码停留时间还要长1.5倍
参见陛下！
太帅了啊啊啊啊啊啊啊
音乐配得太棒了
城濮之战
三国
我真的好爱英雄
配乐真的无敌了
丞相啊啊啊啊啊啊啊
必须留下我的名字
这段bgm水龙吟
他的国号成为一个民族永远的名字
唉，圣人们
南北朝并立，隋唐五代传，宋元明清后，王朝至此完！
BGM是什么
司马懿蓄力准备释放
汉贼不两立，王业不偏安
李煜！
n刷了
这儿好仙
丞相！丞相！！！
慢了很多耶
每日亿遍！
出师一表真名世，千载谁堪伯仲间。
每日一刷
其妹班昭续写《汉书》
其实文成公主不应与吐蕃和亲的，我盛世大唐，岂可屈人？
开元天宝盛世
衣冠南渡
后辈拜见庄公
 何不食肉糜
BGM：明月引
第n遍
猪瘟
最腊鸡的大一统王朝，西晋
不喜欢历史不行呐！
数一下 七杀
突然好多历史老师
历史老师放了，高兴
前方高能
忠烈杨家将
秀儿
字圣！！！
虞兮虞兮奈若何？
萧关逢候骑，都护在燕然。
我一个文科生第一次后悔学文，学理可以去造武器！
我倒是觉得刚刚好，可能是我阅读速度比较快
臣于南方，亦设此座以待陛下！
后辈拜见庄公
盛唐不复
七杀应该算上了百越诸部
如今盛唐依旧
北齐也很重要的，他家制定的北齐律开创了后世的先河，虽然一家子都是奇葩。。。
安史之乱后唐朝还活了一百多年
最富的朝代
"初二表示，还好我是3+3,我一定要学历史！"
剪不断，理还乱，是离愁，别是一般滋味在在头
乱世开始
考试之前看一遍
奋六世之余烈
我觉得 世界历史上 也就中国古代 无论是战争还是文化最大气 有气魄
再来忆遍
军师牛逼!
大唐
枭雄
注意BGM这首歌是从3分钟开始截的
我贞观！！！
穿越者遇上了位面之子。。。。。。
亮涕泣曰：“臣敢竭股肱之力，效忠贞之节，继之以死！”
亮涕泣曰：“臣敢竭股肱之力，效忠贞之节，继之以死！”
山西人表示看到白起真的笑不出来
苦心人，天不负，卧薪尝胆，三千越甲可吞吴
看哭我了！！！！！！
同时借所有人都认为吴国必败的心理拖到酷暑
好快
前方极致踩点预警
高梁河车神
全場最佳
金戈铁马，气吞万里如虎！
↓hape就是水龙吟好吗↓
如果当时攻吴带了诸葛亮。。。
天天看
北魏NB
广陵散于今绝矣
666
可怜了
一个大男人居然看哭了……
冉闵大帝
武悼天王NB!
历朝历代亡于弱，唯吾汉唐以强亡……节度使制太坑
他这个记事是这本书从公元前403年开始记事还是这本书从公元前403年开始写
南北朝的这个字体颜色好看
啊啊啊东晋北府军！！！！！
圣殁
王勃牛逼
每当看到杜甫都想哭
王莽
山川异域 风月同天 寄诸佛子 共结来缘
霍去病！！！
bgm:水龙吟
猫妖！
成也玄宗，败也玄宗。
白起白起白起！
精 唐 落 泪
壮哉我大汉！
的确，刘备驻兵于阴凉迎风处，用火攻即可破
古代杀降从来都不是死罪，因为这些人养不起，放走又怕叛变。
打电话！！！！！！！！
我们的族名—汉
我最爱的大唐啊啊啊啊啊啊
！！！
赐爵制，军功授爵
每次看到唐朝这段就泪流满面
班超十三人玩转西域
前方高能
再来亿遍
太美
终不能忘
千古一帝，无人可毕
错别字嘛  大宗产品？
秦字出来那一下，我哭死了
我政哥！！！！
宋朝，市突破了时间和空间的束缚
罪在当代功在千秋
骓不逝兮可奈何！虞兮虞兮奈若何！
爱了
而且公瑾人真的棒棒哒，说小气完全是被黑
而且公瑾人真的棒棒哒，说小气完全是被黑的
跪下干嘛？快愣着啊！
政通人和，百废俱兴
