我突然不敢笑了
红衣太绝了
谷主A爆了
爱了
好帅
疯逼美人
Bgm绝  剪辑炸
太好看了
看美人骂人好爽
人鬼难分，是人是鬼都没关系，好看就行了
好家伙，疯了以后骂女儿
疯了
好帅！！！
哈哈哈哈我以为“天！要变了！”
温客行
剪的好好！
他衣服好多啊！！
小乔要努力变强
这要是反派我也好爱啊
这里手好看
太帅了吧
哇
龚俊这个真的绝了
绝美
红衣那里连扇子都杀得沾上血了 
疯批美人太可了
阴间bgm 
绝美！
明明很好看
笑起来真的很疯魔
扔扇子飞我心里了
疯批美人我好爱
他好疯 我好爱
我疯了啊啊啊啊啊啊啊
你好看！！！！
真的怎么那么俊美
转扇子太绝了
你最好看！你是怎么
谁不爱疯批美人攻
我敲，我可以谷主
凭实力刷到
最喜欢这句：都起来！！！
我做鬼都佩服你们，真是长我审美点上了
疯批美人我太爱了！
越疯劳资越爱
他是黑的，不是黑化
我也想这么青面獠牙
我最爱你了老温！！！！
太帅啦
服道化很美
老温衣服好看
天要变了！！！！
他比杀阡陌要天真善良些
哇塞
啊啊啊啊啊红衣绝了
疯批美人爱惨了，啊啊啊啊啊
他比杀阡陌可好看太多了！！！
失恋的人惹不起
我沦陷了
爱上他了
疯批美人攻我可以！！！
上热门了
疯批美人
前面南北批吗哈哈哈哈哈哈哈哈刻入DNA的天要变了
天，要变了！！
温大善人
白发红衣好期待啊啊
第一次这么喜欢一部剧，看了一遍又一遍，小破站都
想要封面
他越疯我越爱
我也好期待白发红衣，这样好绝
他好疯我好爱
绝了绝了绝了
这部剧主角没有纯粹的好人，这才真实嘛
疯批美人啊啊啊啊啊老龚你好棒
up剪的太好了太好了呜呜呜​
好疯
好喜欢阿温啊
老龚快火啊
疯逼美人我爱了
唢呐绝了
世人皆负我，举世皆可杀
好期待白发
带感
没看过剧的直接看这个肯定以为他反派
太美啦
剪的好好
好帅啊！！！
太绝了呜呜呜呜
啊啊啊啊啊啊啊啊啊
谷主
啊啊啊啊啊啊
菌菌子说，老周的衣服比他多，他最喜欢那套红衣战袍，因为贵。。。
真的好绝
太赞了
太可了
好带感
疯批美人
他演花城吧
老龚沙窝~~~
你真面目也好看！！！！！
每一套皮肤都好看啊啊啊
王怜花
绝了绝了
疯美人
太酷了
天真又残忍
好美啊啊啊
mua的我好喜欢疯批
温客行，一个单纯的不懂同流合污的傻子
是温大善人
我出不去了
优酷  山河令   给我冲啊！！！
老温是反派也是温大善人
天真又残忍
大美人！
世人皆负我，举世皆可杀。
第一次get到这首歌
啊啊啊啊帅死我了
好喜欢看他发疯
这个表情我没了
他好疯我好喜欢
美人儿呜呜呜呜呜呜爱你
好绝好剑
见封进
手也太好看了
我硬币不够了！！！
我太期待红衣美人了
再来亿遍
我也是跪了
性感倜傥
疯批美人我爱了
刷遍所有山河令视频
为了这个剧，第一次成为裤的会员
哇哦
演的好，配音也超级喜欢
发疯演技真的好绝呜呜呜
我哥冲上首页了哈哈哈哈哈哈
他只是疯但他确实是个好人
又疯又美
太丝滑了！！啊啊我爱！！但我也爱他老婆！
剪的太好了
温大善人
牛逼
我好喜欢疯批美人！
刚才那句永沦地狱是演员原声吗？和配音不太一样
骨像绝了
手也美
俊
温大善人
对龚俊路转粉了
龚俊太帅了！！！
老婆好美好美好美好美好美
配音好贴脸
不愧是血洗b站的男人
世人皆负我，举世皆可杀
一边杀人一边闭眼笑
好帅啊
你好疯，我好爱！
他笑的好可爱！好喜欢他啊啊啊啊
大美人！！！！
请把配乐换成芜湖
啊啊啊啊啊啊我可以！
的确疯批
太绝了太绝了
老温我爱！！！！！
老公老公老公老公老公
最喜欢这个邪魅一笑
爱你芜湖~
眼神真绝
眼神真的绝
这眼神真的绝
妖妖回家了哈哈
龚俊这演技真的绝
爱了爱了
龚俊，又攻又俊
温客行，阿絮不在你又发癫了是吧
好帅呜呜呜
草草草他好疯我好爱！
反差萌太让人心动了
他好绝我好爱
龚俊身高实际是188，为了好接戏对外改的是186
温客行绝世好攻！
大扇子绝配
救命他怎么这么好看啊
他演技真的好绝呜呜呜
好看的
红衣绝
这剪辑的太好了
越疯越爱
帅！！！！
什么时候才能见到红衣阿温
三连
我爱温客行
我好喜欢这句
啊啊啊啊啊老公
我好爱
