真棒！
硬核话题转移
热的！
宫村老婆！
好嘢
刚刷破站就看到了
名作之壁
来了
第一次这么快
爷青回
我第二好吧
来了来了
热乎
烫手
草
好耶
来了
好早
2月要结束了
6666
壁下无名作
热乎
会计系
yeah
来了来了，名作之壁
诶嘿酱！
诶嘿酱友情客串
诶嘿酱
巨人排面
没有
一分钟
热乎
2分
我怎么变色了
没有不能
Gosick绝了
赛马娘YYDS
确实
理科生表示想屁吃
热乎的
02觉得很淦
这OP真好听！
ohhhhhhh
这个是真神番
维多利加！！
这个牛逼
这是竹鱼的声音吗（doge）
英专飘过
哈哈哈哈哈我靠这个我小时候看过
新闻专业
ohhhhhhhhhhhhhhhhh
草
3分钟！
哈哈哈哈哈哈哈
考古？
henti
2分钟！妈妈我出息了！
马得好羞耻哈哈哈哈哈哈客厅外放不敢调大音量
孙尚香(bushi)
社死
等名著
我觉得以前更厉害
我王宝宝终于前排！！！
符合条件
我汉语言文学
土木 狗头
四大名作
无限斯特拉特斯
好看好看
啊这
wowwwww
这个牛逼
亚洲舞王！！！
亚洲舞王
？？
好像告诉你！
??????????????????????
不行了 笑yue了
+1
好羞耻阿
666
哈哈哈哈 这个好久之前的究极搞笑番 哈哈
全看过
gosick赛高！
脚趾扣出四室一厅
ohhhhhhhhhhh
hai p
当时的第一次还很新鲜
亚洲舞王
学前教育全系120人只有5个男生
是我了
好家伙
社死现场
四分钟我出息了
四大名著
舞蹈班 幼师班都和这个差不多
四分钟！
护理
精灵使的剑舞
草
药剂
这个腿是认真的吗？我可以了
草
可带路～
热乎
哇
啊 不行了 鸡皮疙瘩一身
学前教育之“尼姑庵”
5分钟，好烫
莲阿修贝尔！！！
真可爱啊
？？？？
僵尸步
4分钟
只有蹭得累是吧
维多利加！！！
这其实也是现在的状况，只不过现在流行的是龙傲天，不过还是有萌王这样比较优秀的龙傲天动画的
播音主持系
233333当年真的笑死
两人抗四十多人的教材你敢信？
哈哈哈哈
教父
我的XP系统更新了，xdm（doge）
好可爱！
我就是，全班就我一个男生，裂开了
导演（bushi）
普 通
那几年后宫番多
普通（牛头人）
普 通 爱 好 者
超好看
普 通 爱 好 者
？？？？？？？？？？？？？？
喂喂喂你在喘什么啊
秀吉!
裂开
ntr教父
建筑系是相反的，全班只有一个妹子
哈哈哈哈哈哈哈哈
小圆BGM
？
gosick是真好看
我淦。。。。。
四大名著
苏半夏
好家伙，整活大师
维多利加
放浪息子
此处应有弹幕
第二季好看
你别说这玩意还挺好看的
普 通 爱 好 者
刚才去搜完回来：lbgt是各种(男同女同双性恋跨性别等)的总称
志村真的牛
僵尸步
《多角恋》
四大名著
