有帮助
很有帮助啊
这个软件我有
感谢分享
难道不是360全家桶+腾讯全家桶？
内容短小精悍
最近刚被同学推荐了dims++
bandzip，7-zip
wegame
360啊
这个最好用。
QQ？？
qq自带
马赛克是啥
2345（滑稽）
强烈安利火绒！
everything
我到哪里去下载啊
分区助手专业版
能识别图片文字吗？不能的话还是qq香
steam
接下来的五个软件都没有必要下载
我用qq
极客是geek的英译
假的吧，我一下再就捆带一堆软件
QQ截图
这个很好用
不能截长图
正版一年264元
最后一个对我太有用了
这是下了qq这些功能qq或者qq浏览器都自带啊
这个好
五个我装了三
360
没用
谢谢up主推荐
鲁大师能卸？
360
去哪里下载呢?
真好，可惜我都用不上，系统不兼容∠( ᐛ 」∠)＿
spacesniffer
steam
everything不香么？
360，装一个送一家
去收藏夹吃灰吧！
已经三连了
已经三连了
第一款就要收费了
geek一直用！
好
去我的收藏夹吃灰吧
会员收费警告
QQ自带，还有翻译
感谢up点赞了
360
Everything     Bandzip    软媒魔方      Disp++
Cccleaner
QQ就行
hhh用过cleanmymac
对对对geek，这个东西很关键
这个我有很好用
这不是苹果mac吗
进我的收藏夹里吃灰吧
ililidid
联想电脑管家
去我收藏夹里吃灰吧
吃回去
吃灰去吧
买电脑必装360
dism++
自带的截图也不错
不用看了，第一个软件就要收费.
Steam
插眼
先收藏再说
收藏比点赞多系列
QQ截图似乎也能实现这个功能
qq截图
这个好
巧了，我也是QQ截图
QQ截图就够了
NO.92
学会了
不需要
这个很推荐！
QQ截图
360
QQ截图蛮好用的
我得C盘一个T
这种就像那种手机工具盒，看着东西多，其实平常使用也没差
收藏量离谱。。。
360
..
UC浏览器
火绒真的好
qq
要钱的
小程序
罗云熙你咋在这儿？/笑哭
？？？惊现翠翠？？
我都用系统自带按键接盘
没有文字识别吗
手机拍屏幕
为什么会满？
这个太强，上周刚下载
docker
这个我有
360
ctrl+alt+a
不装这些软件就是最好的软件
360
chrome idm potplayer adobe
这软件是收费的
电脑自带截图
360：你直接点我名吧！
能卸载我的CAD吗
懂了 ！这就去买台电脑
这个我用过
进收藏夹吧
window键+G截图
ShareX不服
QQ截图不香吗？
这个软件扫描C盘要用管理员身份运行，不然老是报错
那我卸载它呢
这个好用
这个好
有两个
oracle也能删干净吗？hhh
千万不要拿这个去扫自己装了学习资料的盘
这个我在用超方便
360，装一个送你一户口本
2345永远的神！
WIN+SHIFT+S可以截图
mac没C
wintree舒服
进爷的收藏吃灰吧
360
win10自带的截图很好用
2345全家桶
fscapture
这个确实好
进收藏夹吃灰去吧
强迫症福音
火绒是信仰
visual studio 2019
263块
脆脆！
来一起装360全家桶
QQ截图
这个没有长截图
360
qq截图天下第一
ohhhhhhh
360必下好吧
进我收藏夹吃灰
我都是直接按键截图
360
来了来了来了
everything
躺在我的收藏夹里面吃灰去吧。
谢谢，学习资料删没了
首页通知书
无语，你这个就是把简单的东西弄复杂
geek yyds 才6MB
收藏夹收藏夹
pycharm
360
360
360
360
不会用控制面板？？
2345可以嘛
这个好
我就用的这个
用过 
QQ表示不服
QQ截图跟这个没法比
这个真的难用
说啥来啥
visual studio 2019
这个我在用
知道了，软件在哪白嫖
vscode
setuna不服！
IDEA
VS Code
Intellij IDEA
截图软件还得TIM自带的 该有的都有 还有ocr
这个好用
1 2 3 4
可以卸载p2p么？
vim
vs code
ubuntu
sudo rm *
faststone
这个最好
360:得有我吧
QQ截图天下第一
同款键盘
收藏远远大于点赞。。。收藏的时候点个赞不好吗
geek installer
、
这个狠到连自己都卸
PYTHON
cleanmypc 需要钱的。
这个用过，确实好
回头试试！
夹 灰 懂？
三连
360：你再骂!
360
去我的收藏夹吃灰吧
revo
2345
QQ截图他不香吗
meigeniaoyong
everything
everything天下第一
vs code
geek永远的神
visual studio
notepad++
JDK
qq无敌
吃会
这个我在用，巨好用
国外的软件吧？淦   
感觉现在360还行啊，没那么恶心了
哦？
截全屏不就行了
CS:go
cleanmymac
ccleaner
fscapture
idea
qq不服
vscode不服
这个可以
geek是真好用
一年263！~
qq截图
visual studio c++6.0
anaconda
这个用了好久了
QQ截图
DEV C++
额
我看见网易云了
不是叫week吗
那是你不会用
我的也满了
哪下载呢
去我的收藏夹吃灰吧！
小红伞
win10自带的不香
win defender→全新启动
VScode是魔鬼吧
Python
季克不是gi克
QQ截图
