兽娘二？
冰海我吹爆！！
？？？
巨人真的太震撼了
让她生！让她生！
yysyqs
安达充我永远的神
兽娘二真的是个传奇，烂出奇迹
猛男必看
哈哈哈哈哈哈
我也喜欢盾勇
鬼灭吹爆
，
bgm是灶门炭治郎。
我太爱了
起点爽文全球第一，老外看了都爱不释手
老外没有经历过起点
没人么
改了，把约定的梦幻岛加上去了
我也很喜欢盾勇
哈哈哈哈哈
哈哈哈
皿三昧。。。。。
21w
我觉得还行
C&T没拉胯吗（……
鬼灭牛逼！！！！！
哪次b站也做个这样的综艺呗
大马修和小咕哒
秒内噶
哪次b站也做个类似综艺呗
兽娘比ARCV还烂
仙狐啊！
hhhhhhhhhhhhhh
hhhhhhhhhhhhhh
太真实了
哈哈哈哈哈哈哈
一尅！哦瓦力打！(PTSD发作）
街角魔族！
鬼灭！
不太认同
我觉得好看啊
等一下，你室友好像是妹子来着
？？？？？？？？？？
巨人
马猴烧酒
只有在中國是最糞的
确实
哦~
多罗罗
平职原作吹爆
B站小学生多就想爽
逐渐流星花园
五等分的牢饭
 毒奶之王
战斗我记得你奶的是拾又之国啊
盾勇如果不是画面不错真的看不下去
上头上头
哈哈哈哈哈哈哈我的手！！！
手放下，挡到泛式了
21万了
21.2万了
好看呀
听到这个BGM我以为要防不胜防了……
吹爆ct！
女高第一！
一方大爷呢？
？？？
xv又没了
异界风俗娘，我tm吹爆
吹爆冰海！
？？？？？？？
？？？？？？？？
吹爆猛男番
中之人就全程很可爱www一点也不悬疑wwww
多罗罗能把手冢治虫气出棺材，反战动画夹带军国私货也是服
我吹爆街角魔族，猛男必看
？？？？？？？？？？？？？？
不吉波普！！！
我觉得不错啊
泛式的眼神好没魂
mix！
吹爆
泛式壁化了2333
你要和室友弄一个么哈哈哈哈哈
我觉得还行，但和冰海比。。。
?
什么叫史诗啊（后仰）
猛男必看
…………
热血猛男必看，太燃了！！！！
好看
？？？
多罗罗后期真让我气愤
兽娘2？？？
boom！
吹爆女高
来了来了
炎炎消防队真的好看
20W，啦啦啦
好看好看
街角魔族吹爆！
吹爆鬼灭！
献出心脏
高木吹爆
鬼灭nb！
？骂人
盾勇我感觉还行hhh
生娃预定？
烟草挺好看的
惨 泛式 惨
猛男必看
女高中生冲冲冲
皿三昧！！！
街角魔族超好看啊
猛男番
鬼灭牛逼
跟强国源泉没法比啊
各位！去点赞！谢谢！不要问为啥，详情看10:10左右(滑稽)
多罗罗吹爆
我也觉得是天花板
女高哈哈哈哈
刘谦
暗示准备生孩子
女高
c&t我tm吹爆
多罗罗我吹爆！
c&t我tm吹爆！
233
BGM似乎暴露了什么。。
让她生让她生
这个真人版笑哭我
哦哦哦哦哦哦为兵长献出心脏！！！
别挡着，我是来看狗狗的
真实
高木冲啊
哈哈……
沙雕番实锤
鸡皮疙瘩起来了！
巨人牛逼！
平成醉蟹
表情包鬼畜万恶之源
巨人牛壁
我觉得盾勇还行吧
？？？？？？
完美的巨人！！吹爆
吹爆女高
真实
你这么一说我就去看了
早生贵子
？？？？？
还室友？
没弹幕？
明示了
19集！！！
不要以为这样你就赢了呀，魔法少女。
20万了
缺了一个梦幻岛
女高冲冲！！
猛男必看
我觉得盾勇挺好看的呀
街角魔族
吹爆冰海
猛男最爱
因为中国这种太多了都烂了
盾勇好看啊！！！！！！！！！！！！！
确实
安达充天下第一
