好厉害wwwww！！
神！！
太厉害了！
老师好强
牛
火钳刘明！
好看！好评！
nice啊
好舒服
很有意思
太太的画风好好康！！！！
神仙！
这也太棒了吧
nice
画风我可！
留下脚印
！！！！
太棒了！！！！！！
强的离谱
绝美啊
喜欢这里！！必火
好棒啊！
好强！！！
！！！
有點a6的畫風（
!!!
预定
好看的啊
太美了太美了
火钳刘明
来了~
首页通知书
宝藏！
首页通知书
这画风和人物明显アボカド6啊（アボカド6是日本的一个画师）或许这个画师是你老师吗
好可爱
啊啊啊宝藏！
画风suki
火钳刘明
画风i了i了
好看哦
为啥不火!!!!宝藏!不要走!
！！！
火钳刘明
我来了
好舒服啊
宝藏哦
！
老粉预定!
这个画风，i了i了
糖饺粽子nb
bgm是啥
恭喜你发现宝藏up主！
suki
哇哦
初中生都是怪物
我真卡了
好可爱
巨佬
宝藏挖掘
tql
芬达
火钳刘明
治愈了
舒服！！！！！！！！！！！！
拍落日真实hhh
！！！
nb
！！！
榜一通知书
火钳刘明
爱了爱了，太棒了
热门通知书
真的好治愈，看着舒服
榜首通知书
好看！
好萌啊
火前留名
爱了爱了
榜首通知书
可爱
marenol（
极度舒适
画面极度舒适
好厉害！！！！！
这才是高质量视频啊
！！！
tqltql
把衣领看成了嘴巴~~~~~~
？？？
你币有了，以后的币也有了
哇好棒！好有创意！好有想象力！
热门榜首通知
热门通知书
好舒服的感觉
啊啊啊啊啊！！！！
火钳刘明
火钳刘明
火钳刘明
注意这个飞机后面回忆
这音乐好听。
火钳刘明
别人的初三
太棒了
这样一走一抖太可爱了啊啊啊
火钳刘明
热门通知书
好干净
厉害
宝藏宝藏
前面告诉我们猫是液体做的，女生是水做的(๑❛ᴗ❛๑)
差点以为是春卷饭
可爱
有少女终末旅行的感觉
可爱
可爱
!!!
VA11-HALL-A
！
好棒的配色
我币没了
画面很流畅，看得很舒服
火钳刘明
好看
！
好酷
踩点卡的nb
三个感叹号！
1
太厉害了！！！！
宝藏啊
！！，
！
可爱
哇啊啊啊啊啊啊
艺术
喜欢喜欢！
耳机党死了
nb
老粉预定，留下爪印（有几十万粉up的潜力）
可爱！
好厉害！！！
宝藏手书
首页通知书
我妈刚才问我为什么跪着看手机
哈火钳刘明
火钳刘明
宝藏up
首页通知书
真的有这么丝滑吗
好好看
好可爱！！
老粉预定
哇！这个风格好可爱啊～
火钳刘明
kikuo超好评！
好可爱
果然moa
画风好可
靠身为同龄人
可可爱爱
好喜欢！！！
榜首
画风召好
针不搓
太棒了吧
100W喜报！！！
哇哦
！！！
kksk
再来亿遍
其实可以投4个硬币的
好清新！！！
ilidilid
画风好爱
i了i勒了
为什么只有822弹幕
可爱
怎么哪都有音游人
114.5啦
好厉害
上热搜了
牛批
这里好像两个人在跳舞啊
璠
好喜欢呀！
百万贺电
恭喜
两天破百 强
我感觉我初中白上了
！
这个画风我喜欢！
？！这么快
好棒啊...
！！！
极度舒适
卡哇伊
1111
这是一个初三妹妹画的，太牛了！
我币没了
How
音乐风格有点像终末之旅啊
！！！
！！！
呜呜呜高清壁纸get了
物语
来啦
！！！
！ ！ ！ 
！！！
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
首页通知书
鎮鈈嘬
！！！
可爱！！！
等列车行驶而过的时候我惊了
好看啊啊
wwwwww
日榜第一了！！！！！！！！！！！
太棒了
！！！
没币啦，下次再投
好可爱
kikuo？
好看
画风好喜欢，
可爱
注意此up只有1级
！！！
爱了爱了
nb
德芙，纵享丝滑
没看懂
舒服
绝美啊啊啊啊啊啊！！！！
！！！
！！！
这种风格好爱！！！
哇哇也太神了吧
国漫有这种做工还怕没人看?
神特么手书
飘柔，纵享新丝滑
火钳刘明
首页通知书
！！！
火后留名
！！！
再来亿遍
收藏和投币一样多！
猫   是   液   体
！！！！
好厉害！！！
报喜报喜
？？？
bgm是kikuo教主的曲子！！！
腾讯110
好棒
！！！
！！！
本视频建议关闭弹幕食用
好喜欢好喜欢
有点好强的艺术气息
针不绰
！！！
？？？
啊！！币！
MARENOL
草，不要再迫害骂人了（
好可爱
来啦来啦！！首页通知书！！
这个标题真的是很标题
！！！
！！！
!!!
！！！
！！！
!!!
!!!
！！！
kksk
啊乐
111
火钳刘明
nb
害怕
再来亿遍
发现宝藏
！！！！
！！！
太棒了看封面我還想起了a6老師，有點他的味道，居然看到簡介說靈感來自a6老師有點高興，我很喜歡a6老師，他是卡密，up主也是卡密呢
好舒服
！！！
火钳刘明
欢迎回来
！！
喜欢喜欢
爱了！
！！！！！！！！！！！！
！！！
！！！
！！！
马上200万啦！
好强啊啊
这个画风也太爱了吧
196.6w合影！
？？？
白看不腻
好可爱
kksk
我初三还在啊吧啊吧
超强！！！
200万贺电
marenol??
200万瞩目
！！！
！！！！
合影
超喜欢啊啊啊啊啊啊啊啊啊啊啊啊啊啊
爱了爱了
！
在看一遍
！！！
!!!
.!
！！，
喜欢
可可爱爱
可可爱爱
大火诶！
这是个神仙啊
被封面吸引进来
·
好看好看
？？？
你币有了
这个画风我好喜欢啊啊啊啊啊啊
ohhhhhh
！！！
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
！！！
再来亿次
awsl
？！！
好丝滑
宝藏！！！
！！！
嗷嗷嗷
太爱了呀
这个标题好随意啊
!!!!!!
爽！！！
欢迎回来
熟悉的kikuo味
！！！
火钳刘明
我好爱
！！！！！！！！
新人怪物
爱了
！！！！！
！！！！
！！！！！！！！！
表白画风
！！！
！！！！！
讲的什么
!!!
鬼知道我看了多少遍
234.4合影
新人怪物！
爱了！！！
！！！
！！！
！！！
叹为观止！！！
别人的初三(哗哗流泪
！！！！
！！！！！！！！！！！！
太绝了
i了i了
！！！！！
火钳刘明
我咋没看懂?
！！！！！！！
0000
！！！
！！！！！
喜欢
246.4万了！！
！！！！！！
246.5
！！！！！！
奇奇怪怪
！！！
！！！！
啊啊啊啊啊啊啊啊啊啊
249.9
哇
nbnb
!!!
HOPE
！！！
!!!
254.9
我喜欢这个画风
火钳刘明
画风好可爱啊啊啊啊啊啊
！！！
不可思议的感觉
？？？
！！！！！！！！！！
!!!!!!
！！！！！！！！！！！！
可爱啊
火钳刘明
弹幕？
快！带耳机！
！
!
zbc
每周必看通知！
261.8
牛uu21
260！！！！！！！
264.7
猫是液体
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
！！！
！！！
！
？？？
！！！！
！！！
在看一遍
确实很好看，很轻盈很舒适，讲道理 这水平真不是想做就做得出来的
欢迎回来
你被B站官方盯上了
！！！
273.3w贺电
！！！
! ! ! ! ! ! ! ! ! !
场绝了
转场绝了
𒆙
！！！
280万贺电
280
！！！
！！！
太厉害了
超级爱这段的！！！
！！！
太神了
！
！！！
！！！
可爱！
！！！
𒆙
鬼知道我看了几遍
！！！
！！！！
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
！！！！
好棒啊
1.5
!!!!!!!!!!!!
！！！
！！！！
？？？？
！！！
！！！
耳机是左右横跳，真的太棒了
初三？？？！！！爱了爱了！！！！
！！！！
！！！
293.5w贺电！
好可爱www
！！！
!!!
棒
快三百啦！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
跪求bgm
！！！
！！！！！！！！！！
!!!
298万合影
！
！！！
！！！！！！！！！！！！！
！！！！！！
！！！
！！！！！！！！
！！！
320w贺电！
有点治愈
大佬
𒆙
！！
309.5万贺电
309万
309.8
nb
！！！！！！！！！！！！！！！！！！！！！！
！
！！！
!!!!!!!!!!!
313.3！
𒆙
再来亿次
！！
！！！
那只喵是我的
！！！
天上的白云有点像在跳舞的两个人
！！！
!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
！！！
飞飞飞
𒆙
阿好喜欢！！
！！！！
！！！！！！！
？？
𒆙
好可爱！！！！
感觉太太好有a6那种的感觉啊，好厉害
爱了爱了
爱了爱了
！！！
！！！
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
真的好治愈啊owo
!!!!!!!!!!!!!!!!
𒆙𒆙𒆙
325
！！！
！！！
前方高冷。
！！！！
这里开始有一股春卷饭味（不是ky）
！！！！！
漂亮的画风
好喜欢！！！
!!!
！！！
！！！
，，
328.5万
有种鳄梨六的感觉，但是又比六大唯美一点
！
哦哦哦哦哦哦哦哦哦哦哦！
！！！
!!!
风格好像eve
!!!
𒆙𒆙
𒆙𒆙𒆙
前方高能
好美！
334万合影
！！！
！！！
！！！
好秀
！！！！
！！！
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙
666
!!!
！！！！
!!!
338w
！！！
欢迎回来
！！！！！！！！！！
𒆙
𒆙𒆙𒆙
!!!!!!!!!!!
为什么只能投两个币！！！
！！！
𒆙
𒆙
! ! !
!!!
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
𒆙𒆙𒆙
！！！
ԅ(¯ㅂ¯ԅ)
！！！
！！！
爷爱了
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙
！！！
!!!
𒆙
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙 𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙
！！！！！！！
看，猫果然是液体
 𒆙
这类作品在B站为数不多（钩直饵咸
𒆙𒆙𒆙
𒆙
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙
 𒆙
纵享丝滑
！！！
𒆙𒆙𒆙
 这个𒆙是什么呀
𒆙
！！！！！！！！！！
𒆙𒆙
𒆙𒆙𒆙𒆙𒆙𒆙
𒆙𒆙𒆙
𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙𒆙
来了来了
第一！！！！！！
𒆙𒆙𒆙
