喔
陈真！陈真！陈真！
再来亿遍
孤苦无1
遍地飘0
交大前三黑来了来了来了
哈哈哈哈哈牛批
卧槽掏枪了
上海。。。百乐门？？？
我靠哈哈哈哈哈哈
19届新生代表啊哈哈哈哈哈
新生代表啊哈哈哈哈哈
hhhhh
每天亿遍，防止抑郁
掏枪了掏枪了
666
前方高能
竢实扬华
扬华警告
新生代表风评被害
交大？？？
竢实扬华
竢实扬华！
hhh
挑眉好评
拍脸这两下 真是绝
哈哈哈
踩点好评
哈哈哈哈哈哈哈
来了来了
守护全世界最好的zlx
保护
保护
竢实扬华
竢实扬华
sishiyanghua
杨华杨华
哈哈哈哈哈哈哈哈哈哈哈哈
他们不先拉上拉链吗？
竢实扬华
前方高能
拍脸绝了嗷
右边男生的头好像p上去的
这位哥哥好白啊
最佳最佳！
金馆长
交大有戏，微笑有你，人间绝品，只此一家
竢实扬华
竢实扬华
美女浓度过高！！
带制作
给我火！
竢实扬华
火钳刘明
竢实扬华
自强不息
兄弟萌把保护打在公屏上
四是烟花
带制作
哈哈哈哈哈哈
兄弟学校北京交大报到
漂亮
竢实扬华
这位哥哥好白啊
这个挑眉牛批哈哈哈哈
什么沙雕啊
竢实扬华
李一兵出来
这个质量高啊
带制作
竢实扬华
竢实扬华
左边马天宇哈哈哈
竢实扬华
这个学校所有的女生都在这里了
明明是霍建华
竢实扬华
壮哉我交大
舒梓疯出来吃烧烤
西华风景好，交大有烧烤
同款纸巾
竢实扬华
竢实扬华
带制作
竢实扬华
这是跳的最好的
这是最好的一个，哈哈
竢实扬华
带制作
开头见
竢实扬华
再来亿遍！！！
这位哥哥好白啊
袁磊快开看!
致死量。。。
最强
hhhhh
竢实杨华
哈哈哈哈哈哈哈
这个好
这个拍的有感觉
竢实扬华 自强不息
竢实扬华
竢实扬华
团长好！
我们全校女生都在这儿了！
表白红衣小哥哥！
带制作
前方高能预警
哲学笑容
学弟学妹的制作啊，毕业好多年的飘过
学弟学妹的制作啊，毕业好多年的飘过
这个抖的不错
这不得撒一地
竢实扬华！
竢实扬华
炫炫炫
撒一地哈哈哈哈哈
霍霍和马天宇打一架吧
Let's dance！
竢实扬华！带制作
黄旭东
火钳刘明
华东交大路过
新城队员
大制作
带制作
西财路过
有点帅耶
哈哈哈哈哈哈哈哈
制作精良啊
这个穿西服的小姐姐好看哦
红红火火恍恍惚惚
好喜欢南交大
？？？
这眼神
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈
哈哈哈，竢实扬华
带制作
带制作
为什么！！！我不能发那种弹射的弹幕
我是底部弹幕
哈哈哈哈，质量最高的翻拍
